Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-28', 19.65, 19.790001, 19.379999, 19.610001, 10100.0, 19.610001, 0.29999999999999716, 0.1800009999999972, 0.16724607884577983, -1.0, 0.0, -1.0, 0.0
'2016-09-27', 19.35, 19.799999, 19.309999, 19.790001, 14700.0, 19.790001, -0.03999899999999812, 0.08999999999999986, 0.16306415165803767, 0.0, 0.0, -0.8, 0.0155038759689921
'2016-09-26', 19.389999, 19.68, 19.309999, 19.42, 10100.0, 19.42, -0.16000000000000014, 0.059999000000001246, 0.1630420093118095, 0.0, 0.1, -0.5, 0.0067045129811507224
'2016-09-23', 19.549999, 19.77, 19.549999, 19.610001, 5400.0, 19.610001, 0.0799999999999983, 0.20999899999999982, 0.16505935363566093, 0.0, 0.5, -0.1, 0.0017050469755352058
'2016-09-22', 19.469999, 19.75, 19.25, 19.719999, 8900.0, 19.719999, 0.20999899999999982, 0.1799980000000012, 0.16075670395673142, 0.0, 0.8, 0.0, 0.0023112610329358153
'2016-09-21', 19.26, 19.459999, 19.219999, 19.370001, 11500.0, 19.370001, -0.06999999999999673, -0.06999999999999673, 0.15791860435151026, 1.0, 1.0, 0.0, 0.004049844236760093
'2016-09-20', 19.33, 19.42, 19.18, 19.26, 6900.0, 19.26, -0.010000000000001563, -0.07000000000000028, 0.15915211926642855, 0.0, 0.8, 0.0, 0.0027590963959303353
'2016-09-19', 19.34, 19.43, 19.209999, 19.290001, 12900.0, 19.290001, 0.04999899999999968, -0.2800009999999986, 0.15908263890295773, 0.0, 0.5, 0.0, 0.002289850790367844
'2016-09-16', 19.290001, 19.4, 19.120001, 19.33, 36100.0, 19.33, -0.03999899999999812, -0.18999900000000025, 0.16208244280930673, 0.0, 0.1, 0.0, 0.002332808329040512
'2016-09-15', 19.33, 19.57, 19.15, 19.24, 16300.0, 19.24, -0.07000000000000028, 0.030000999999998612, 0.16277503883283886, 0.0, 0.0, 0.0, 0.0018393975972868905
'2016-09-14', 19.4, 19.59, 18.77, 19.34, 8800.0, 19.34, -0.2200009999999999, 0.04999999999999716, 0.16294150954774805, 0.0, 0.0, 0.0, 0.001288659793814433
'2016-09-13', 19.620001, 19.780001, 19.23, 19.379999, 16100.0, 19.379999, 0.14000099999999804, 0.1000009999999989, 0.16187663821688414, 0.0, 0.0, 0.0, 0.00013900008558520604
'2016-09-12', 19.48, 19.75, 19.309999, 19.73, 37300.0, 19.73, 0.18000100000000074, -0.06000099999999975, 0.15562105591728279, 0.0, 0.0, 0.0, 0.0007272416153319565
'2016-09-09', 19.299999, 19.49, 19.26, 19.48, 17100.0, 19.48, -0.05000100000000174, 0.04999899999999968, 0.1518055089043179, 0.0, 0.0, -0.1, 0.0013949821368464195
'2016-09-08', 19.35, 19.58, 19.299999, 19.49, 9400.0, 19.49, -0.16999999999999815, 0.19000000000000128, 0.1570210007197517, 0.0, 0.0, -0.5, 0.0011074197120708642
'2016-09-07', 19.52, 19.52, 19.299999, 19.450001, 13600.0, 19.450001, -0.0200010000000006, 0.5199999999999996, 0.1710780712628952, 0.0, 0.0, -0.8, 0.000443989071038248
'2016-09-06', 19.540001, 19.540001, 19.309999, 19.51, 14300.0, 19.51, 0.2900010000000002, 0.4200000000000017, 0.21011355866221226, -1.0, 0.1, -1.0, 0.0
'2016-09-02', 19.25, 19.49, 19.23, 19.48, 14000.0, 19.48, 0.08999999999999986, 0.10000000000000142, 0.2130835003787535, 0.0, 0.5, -0.8, 0.015064987012987021
'2016-09-01', 19.16, 19.32, 19.129999, 19.17, 15800.0, 19.17, 0.16000000000000014, 0.030000999999998612, 0.22814449281174634, 0.0, 0.8, -0.5, 0.009916518789144051
'2016-08-31', 19.0, 19.49, 18.0, 19.1, 39400.0, 19.1, -0.12000099999999847, -0.10000000000000142, 0.2345539478346295, 1.0, 1.0, -0.1, 0.009473701754385968
'2016-08-30', 19.120001, 19.35, 19.120001, 19.290001, 9500.0, 19.290001, -0.02999900000000011, -0.00999800000000306, 0.2609078129240483, 0.0, 0.8, 0.0, 0.005491631511943981
'2016-08-29', 19.15, 19.389999, 19.049999, 19.309999, 12300.0, 19.309999, 0.02000099999999705, -0.3900010000000016, 0.27020980490536556, 0.0, 0.5, 0.0, 0.0040731174934726016
'2016-08-26', 19.129999, 19.4, 19.07, 19.33, 5700.0, 19.33, 0.02999900000000011, -0.2800009999999986, 0.31192511751011515, 0.0, 0.1, 0.0, 0.0035720684913086733
'2016-08-25', 19.1, 19.389999, 19.09, 19.25, 11600.0, 19.25, -0.02999900000000011, -0.46999999999999886, 0.3271806262946445, 0.0, 0.0, 0.0, 0.00329095736724008
