Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 11.53, 11.59, 11.02, 11.15, 1769800.0, 11.15, 1.0599999999999987, 1.08, 0.7507966879699632, -1.0, 0.5, -1.0, 0.0
'2016-09-21', 10.47, 11.36, 10.35, 11.29, 2801500.0, 11.29, 0.41000000000000014, -0.28999999999999915, 0.7744233697116554, 0.0, 0.8, -0.8, 0.1012416427889206
'2016-09-20', 10.06, 10.2, 9.97, 10.13, 1045900.0, 10.13, -0.11999999999999922, -0.9499999999999993, 0.7759140845909852, 1.0, 1.0, -0.5, 0.0730616302186878
'2016-09-19', 10.18, 10.35, 10.06, 10.08, 1364300.0, 10.08, -0.2699999999999996, -0.75, 0.7641375676029951, 0.0, 0.8, -0.1, 0.044204322200392915
'2016-09-16', 10.45, 10.59, 10.03, 10.1, 6391400.0, 10.1, -0.3100000000000005, 0.02999999999999936, 0.7578519351136839, 0.0, 0.5, 0.0, 0.025837320574162683
'2016-09-15', 10.76, 10.86, 10.44, 10.59, 2275000.0, 10.59, -0.25, -0.7799999999999994, 0.7635229022250886, 0.0, 0.1, 0.0, 0.014312267657992558
'2016-09-14', 11.01, 11.09, 10.62, 10.81, 2521600.0, 10.81, 0.08000000000000007, -0.6799999999999997, 0.7733851275758771, 0.0, 0.0, 0.0, 0.007871631849833478
'2016-09-13', 10.93, 10.98, 10.67, 10.85, 3088700.0, 10.85, 0.5099999999999998, -0.6699999999999999, 0.7940087461035229, 0.0, 0.0, -0.1, 0.007842112142203629
'2016-09-12', 10.42, 11.11, 10.35, 11.1, 3611500.0, 11.1, -1.1199999999999992, -0.5999999999999996, 0.8025573015194754, 0.0, 0.0, -0.5, 0.013315738963531663
'2016-09-09', 11.54, 11.56, 10.55, 10.68, 2258300.0, 10.68, -0.15000000000000036, 0.9799999999999986, 0.7925805952709163, 0.0, 0.0, -0.8, -9.628345850182735e-05
'2016-09-08', 11.69, 12.09, 11.63, 11.7, 1656700.0, 11.7, 0.08999999999999986, 2.139999999999999, 0.7911820270961669, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 11.6, 11.77, 11.27, 11.74, 1798200.0, 11.74, 0.5800000000000001, 1.9900000000000002, 0.7895075821182609, 0.0, 0.1, -0.8, 0.00775862068965516
'2016-09-06', 11.02, 11.84, 10.93, 11.7, 2534100.0, 11.7, 0.4599999999999991, 0.8599999999999994, 0.794327178602537, 0.0, 0.5, -0.5, 0.030399274047186932
'2016-09-02', 10.56, 10.79, 10.29, 10.72, 2237500.0, 10.72, 1.0099999999999998, 0.6300000000000008, 0.7972575214794498, 0.0, 0.8, -0.1, 0.035669191919191885
'2016-09-01', 9.55, 10.23, 9.45, 10.23, 1684800.0, 10.23, -0.05999999999999872, -0.8199999999999985, 0.7936817162229873, 1.0, 1.0, 0.0, 0.05602094240837693
'2016-08-31', 9.61, 9.65, 9.37, 9.62, 1637400.0, 9.62, -0.5500000000000007, -0.030000000000001137, 0.7419182344885902, 0.0, 0.8, 0.0, 0.04328824141519251
'2016-08-30', 10.16, 10.27, 9.61, 9.76, 1539600.0, 9.76, 0.23000000000000043, -0.2400000000000002, 0.6797732465070001, 0.0, 0.5, 0.0, 0.025098425196850384
'2016-08-29', 9.93, 10.41, 9.88, 10.24, 1060800.0, 10.24, -0.4399999999999995, -1.42, 0.6481447883510804, 0.0, 0.1, 0.0, 0.025320097827650698
'2016-08-26', 10.37, 10.77, 9.95, 10.09, 2210300.0, 10.09, 0.7299999999999986, -0.870000000000001, 0.5958956843833211, 0.0, 0.0, 0.0, 0.015911282545805212
'2016-08-25', 9.64, 10.27, 9.34, 10.15, 1861600.0, 10.15, -0.7599999999999998, -1.959999999999999, 0.5728792775678543, 0.0, 0.0, 0.0, 0.023628400184416767
