Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-28', 41.150002, 41.189999, 40.209999, 40.970001, 6733700.0, 40.970001, 1.110001000000004, 0.730004000000001, 1.2668517576179077, -1.0, 0.5, -1.0, 0.0
'2016-09-27', 40.040001, 41.23, 39.490002, 41.060001, 8663400.0, 41.060001, 0.6599999999999966, 0.17999999999999972, 1.1805950645056658, 0.0, 0.8, -0.8, 0.027722302004937614
'2016-09-26', 39.380001, 40.509998, 39.380001, 40.34, 9046000.0, 40.34, -0.21999699999999933, -0.9199979999999996, 1.1489485331097973, 1.0, 1.0, -0.5, 0.02247334884526794
'2016-09-23', 39.599998, 40.494999, 39.599998, 40.07, 6217800.0, 40.07, -0.8200000000000003, -0.6400039999999976, 1.1385616770887574, 0.0, 0.8, -0.1, 0.013047172376119827
'2016-09-22', 40.419998, 40.66, 40.139999, 40.490002, 5680100.0, 40.490002, 0.5599970000000027, -0.29000100000000373, 1.1208174992693478, 0.0, 0.5, 0.0, 0.0045151165024797935
'2016-09-21', 39.860001, 40.389999, 39.700001, 40.290001, 5351800.0, 40.290001, -0.4399980000000028, -0.45000000000000284, 1.0610523791665112, 0.0, 0.1, -0.1, 0.006472659145191711
'2016-09-20', 40.299999, 40.299999, 39.669998, 39.689999, 5550400.0, 39.689999, 0.05999700000000274, 0.30999700000000274, 1.0253541252342664, 0.0, 0.0, -0.5, 0.0035153143965752165
'2016-09-19', 40.240002, 40.459999, 39.75, 40.009998, 7573400.0, 40.009998, -0.46999700000000644, 1.620002999999997, 0.9560528861251669, 0.0, 0.0, -0.8, 0.0032306161416194895
'2016-09-16', 40.709999, 40.880001, 40.325001, 40.700001, 11885100.0, 40.700001, 0.39999800000000363, 3.0599970000000027, 0.8873543096953053, -1.0, 0.0, -1.0, 0.0
'2016-09-15', 40.310001, 41.139999, 39.869999, 40.830002, 12702800.0, 40.830002, 0.3199990000000028, 1.5600009999999997, 0.7807294009815573, 0.0, 0.0, -0.8, 0.009923046144305569
'2016-09-14', 39.990002, 40.279999, 39.529999, 39.959999, 13042100.0, 39.959999, 1.370002999999997, 1.3399999999999963, 0.6972208422820865, 0.0, 0.0, -0.5, 0.00900221260304021
'2016-09-13', 38.619999, 40.330002, 38.41, 39.860001, 17856100.0, 39.860001, 0.9699969999999993, 1.2899969999999996, 0.5938065520401173, 0.0, 0.0, -0.1, 0.01803901306850546
'2016-09-12', 37.650002, 38.84, 37.540001, 38.77, 8543300.0, 38.77, -1.0999979999999994, 0.600003000000001, 0.576715745870209, 0.0, 0.0, 0.0, 0.020318704099936056
'2016-09-09', 38.75, 39.02, 37.91, 38.009998, 10591000.0, 38.009998, 0.09999799999999937, 1.740001999999997, 0.5797456887876121, 0.0, 0.0, 0.0, 0.01011612387096776
'2016-09-08', 38.650002, 39.330002, 38.500999, 39.27, 12011400.0, 39.27, 1.3200000000000003, 1.3800019999999975, 0.5517064569750522, 0.0, 0.0, 0.0, 0.008883125887893454
'2016-09-07', 37.330002, 38.580002, 37.259998, 38.560001, 10814300.0, 38.560001, 0.28000300000000067, 0.33000200000000035, 0.5227648661163316, 0.0, 0.0, 0.0, 0.01293481619116213
'2016-09-06', 37.049999, 37.650002, 37.02, 37.18, 6396900.0, 37.18, 0.04000099999999662, -0.20999900000000338, 0.5193439606967198, 0.0, 0.1, 0.0, 0.012348178470936003
'2016-09-02', 37.009998, 37.125, 36.299999, 37.07, 6716800.0, 37.07, -0.26000200000000007, -0.6000029999999938, 0.5059389558050177, 0.0, 0.5, 0.0, 0.011108112521979121
'2016-09-01', 37.27, 37.32, 36.580002, 36.830002, 10396200.0, 36.830002, 0.2700000000000031, -0.4500010000000003, 0.4952636196353564, 0.0, 0.8, 0.0, 0.009229940971290582
'2016-08-31', 37.0, 37.240002, 36.84, 37.150002, 7164400.0, 37.150002, -0.25999800000000306, -0.5, 0.6757946548414242, 1.0, 1.0, 0.0, 0.009115476658476666
'2016-08-30', 37.259998, 37.52, 36.985001, 37.0, 6832000.0, 37.0, -0.35000299999999385, -0.5500029999999967, 0.7183435351797145, 0.0, 0.8, 0.0, 0.007716052033425587
'2016-08-29', 37.610001, 37.650002, 37.27, 37.290001, 4757100.0, 37.290001, -0.11000000000000654, -0.8099970000000027, 0.7333037715260983, 0.0, 0.5, 0.0, 0.006340371663786585
'2016-08-26', 37.720001, 37.84, 37.380001, 37.650002, 4170500.0, 37.650002, 0.22000100000000344, -0.20999899999999627, 0.7598838145115491, 0.0, 0.1, 0.0, 0.005662016968511896
'2016-08-25', 37.5, 37.57, 37.25, 37.509998, 5121700.0, 37.509998, -0.31000099999999975, -0.5200000000000031, 0.8392755421068878, 0.0, 0.0, 0.0, 0.005706664888888895
'2016-08-24', 37.810001, 37.950001, 37.41, 37.52, 5897900.0, 37.52, -0.6099969999999999, -0.25999900000000054, 0.8798838965081678, 0.0, 0.0, 0.0, 0.004793701936162346
'2016-08-23', 38.419998, 38.43, 37.799999, 37.860001, 6066400.0, 37.860001, 0.48999799999999993, 0.00999800000000306, 0.8858920369265729, 0.0, 0.0, 0.0, 0.0035061412854959237
'2016-08-22', 37.93, 38.200001, 37.66, 38.110001, 10704300.0, 38.110001, -0.09000000000000341, -0.4700020000000009, 0.8863744981043976, 0.0, 0.0, 0.0, 0.004071826756891355
