Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-16', 78.32, 78.330002, 77.330002, 77.610001, 420100.0, 77.610001, 0.25, 4.559997999999993, 1.026578013490144, -1.0, 0.0, -1.0, 0.0
'2016-09-15', 78.07, 78.489998, 77.25, 78.260002, 271000.0, 78.260002, 0.6100009999999969, 2.760002, 0.9184362838138692, 0.0, 0.1, -0.8, 0.0032022543870885104
'2016-09-14', 77.459999, 78.099998, 76.68, 77.769997, 284300.0, 77.769997, 1.4099959999999925, 1.5999979999999994, 0.773695268265944, 0.0, 0.5, -0.5, 0.005551258785841173
'2016-09-13', 76.050003, 77.5, 75.879997, 77.040001, 291900.0, 77.040001, 2.2900010000000037, 0.15000100000000316, 0.6770612769934232, 0.0, 0.8, -0.1, 0.009949581023246811
'2016-09-12', 73.760002, 76.260002, 73.760002, 76.169998, 244200.0, 76.169998, -1.549995999999993, -2.069999999999993, 0.6914825943849956, 1.0, 1.0, 0.0, 0.01545552425554433
'2016-09-09', 75.309998, 75.309998, 74.0, 74.0, 172500.0, 74.0, -0.5500030000000038, 0.15999599999999248, 0.6807057007445855, 0.0, 0.8, 0.0, 0.007993631868108668
'2016-09-08', 75.860001, 77.050003, 75.440002, 75.510002, 141400.0, 75.510002, -0.04000100000000373, 1.2600029999999975, 0.7730178985879229, 0.0, 0.5, 0.0, 0.005404690586984473
'2016-09-07', 75.900002, 76.290001, 75.18, 76.169998, 142700.0, 76.169998, 0.07000000000000739, 1.1800010000000043, 0.8952379313555465, 0.0, 0.1, 0.0, 0.004554861540056335
'2016-09-06', 75.830002, 76.230003, 75.400002, 75.959999, 126500.0, 75.959999, 0.6799999999999926, 0.5999989999999968, 0.8933225868285004, 0.0, 0.0, 0.0, 0.004104572620214358
'2016-09-02', 75.150002, 76.0, 75.059998, 75.75, 152900.0, 75.75, 0.5500040000000013, 0.4100040000000007, 0.894686556214779, 0.0, 0.0, 0.0, 0.004686919369609586
'2016-09-01', 74.599998, 75.559998, 74.300003, 75.190002, 162300.0, 75.190002, -0.12000299999999697, -1.2600029999999975, 0.9420647527192094, 0.0, 0.0, 0.0, 0.0049865979889168275
'2016-08-31', 74.720001, 75.07, 73.889999, 74.830002, 246200.0, 74.830002, -0.5100020000000001, -0.9199980000000068, 1.0677328715576155, 0.0, 0.0, 0.0, 0.004379987044749051
'2016-08-30', 75.230003, 75.470001, 74.580002, 74.720001, 281200.0, 74.720001, 0.49000499999999647, -0.619995000000003, 1.3060601288371558, 0.0, 0.0, 0.0, 0.0034228331746843045
'2016-08-29', 74.739998, 76.080002, 74.5, 75.360001, 207000.0, 75.360001, -1.120002999999997, -1.260002, 1.6009402175680536, 0.0, 0.0, 0.0, 0.003684570198018586
