Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 45.599998, 45.720001, 45.52, 45.689999, 26300.0, 45.689999, 0.6199980000000025, 0.5499989999999997, 0.3818520571589941, -1.0, 0.1, -1.0, 0.0
'2016-09-21', 44.98, 45.400002, 44.810001, 45.360001, 11600.0, 45.360001, -0.11000000000000654, 0.5099989999999934, 0.3771335981981571, 0.0, 0.0, -0.8, 0.013783859493108104
'2016-09-20', 45.09, 45.099998, 44.82, 44.91, 31600.0, 44.866999, 0.04000100000000373, 0.5999980000000065, 0.37874462777417145, 0.0, 0.0, -0.5, 0.005655333776890618
'2016-09-19', 45.049999, 45.240002, 44.82, 44.880001, 34100.0, 44.837029, 0.0, 0.35999999999999943, 0.38016770080385587, 0.0, 0.0, -0.1, 0.004069545040389455
'2016-09-16', 45.049999, 45.049999, 44.740002, 44.939999, 15100.0, 44.896969, 0.5799979999999962, 1.0999979999999994, 0.38437523414425256, 0.0, 0.0, 0.0, 0.003052158780292091
'2016-09-15', 44.470001, 45.099998, 44.439999, 45.049999, 10400.0, 45.006864, -0.020000999999993496, -0.5999989999999968, 0.39915177364158966, 0.0, 0.1, 0.0, 0.005082064198739262
'2016-09-14', 44.490002, 44.709999, 44.330002, 44.459999, 16100.0, 44.417429, -0.1999970000000033, -0.9199979999999996, 0.4145867649453763, 0.0, 0.5, 0.0, 0.004158222634679445
'2016-09-13', 44.689999, 44.720001, 44.27, 44.41, 22400.0, 44.367478, 0.7399979999999999, -0.9099989999999991, 0.39834594273066126, 0.0, 0.8, 0.0, 0.002908925040317343
'2016-09-12', 43.950001, 45.040001, 43.950001, 45.040001, 30200.0, 44.996876, -1.119999, -1.5699990000000028, 0.3946081513785843, 1.0, 1.0, 0.0, 0.004692824125305478
'2016-09-09', 45.07, 45.07, 44.200001, 44.200001, 18700.0, 44.15768, -0.3399999999999963, -0.4299999999999997, 0.3309655620906491, 0.0, 0.8, 0.0, 0.0013066045410842371
'2016-09-08', 45.41, 45.5, 45.310001, 45.41, 152800.0, 45.36652, -0.18999800000000278, 0.13999999999999346, 0.3348307472954796, 0.0, 0.5, 0.0, 0.0004184056375247804
'2016-09-07', 45.599998, 45.709999, 45.52, 45.580002, 18900.0, 45.536359, 0.07999799999999624, 0.3799969999999959, 0.3331674383868608, 0.0, 0.1, 0.0, 0.0
'2016-09-06', 45.52, 45.599998, 45.380001, 45.57, 86900.0, 45.526367, 0.020000000000003126, 0.09000000000000341, 0.3403561588836701, 0.0, 0.0, 0.0, 0.00014645210896308626
'2016-09-02', 45.5, 45.59, 45.299999, 45.43, 84000.0, 45.386502, 0.22999999999999687, 0.04999899999999968, 0.3645157200711295, 0.0, 0.0, 0.0, 0.00016905832628909444
