Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-07', 24.5, 24.5, 23.700001, 23.700001, 1000.0, 23.700001, 0.10000000000000142, 0.6000000000000014, 0.5320922996374773, -1.0, 0.0, -1.0, 0.0
'2016-10-06', 24.4, 24.4, 24.4, 24.4, 0.0, 24.4, -0.08999999999999986, 0.7799990000000001, 0.5874620466229477, 0.0, 0.0, -0.8, 0.004098360655737763
'2016-10-05', 24.49, 24.5, 24.4, 24.4, 800.0, 24.4, 0.5799999999999983, 0.9799999999999969, 0.6097623025228847, 0.0, 0.0, -0.5, 0.00020416496529198784
'2016-10-04', 23.91, 24.18, 23.91, 24.18, 1100.0, 24.18, 0.010000000000001563, 0.1000009999999989, 0.6238876811843344, 0.0, 0.1, -0.1, 0.008225289279241599
'2016-10-03', 23.9, 23.98, 23.9, 23.950001, 2100.0, 23.950001, 0.2799990000000001, 0.3200000000000003, 0.6385349136893239, 0.0, 0.5, 0.0, 0.006276150627615078
'2016-09-30', 23.620001, 23.620001, 23.620001, 23.620001, 0.0, 23.620001, 0.1100009999999969, -0.37999900000000153, 0.6470997262488553, 0.0, 0.8, 0.0, 0.00745130366421239
'2016-09-29', 23.51, 23.85, 23.51, 23.620001, 1600.0, 23.620001, -0.2999989999999997, -0.6800009999999972, 0.6742094940168417, 1.0, 1.0, 0.0, 0.007018290089323681
'2016-09-28', 23.809999, 23.809999, 23.809999, 23.809999, 0.0, 23.809999, 0.22999900000000295, -0.6600000000000001, 0.698825880841274, 0.0, 0.8, 0.0, 0.004139923375409266
'2016-09-27', 23.58, 24.1, 23.58, 23.809999, 1300.0, 23.809999, -0.4200000000000017, -0.5100000000000016, 0.700095105856845, 0.0, 0.5, 0.0, 0.004877014418999162
'2016-09-26', 24.0, 24.0, 23.58, 23.700001, 4400.0, 23.700001, -0.19000099999999875, -0.12000099999999847, 0.7069313483879434, 0.0, 0.1, 0.0, 0.0023148148148148147
'2016-09-23', 24.190001, 24.190001, 24.190001, 24.190001, 200.0, 24.190001, -0.27999800000000263, 0.09000099999999733, 0.7294764717249369, 0.0, 0.0, 0.0, 0.0012815171028723862
'2016-09-22', 24.469999, 24.5, 24.290001, 24.42, 2500.0, 24.42, 0.37999900000000153, 0.3899990000000031, 0.7428580405585217, 0.0, 0.0, 0.0, 0.00011145744780633257
'2016-09-21', 24.09, 24.440001, 24.09, 24.440001, 2300.0, 24.440001, -0.030000999999998612, 0.0799999999999983, 0.7492295380516658, 0.0, 0.0, 0.0, 0.0014182925141829257
'2016-09-20', 24.120001, 24.120001, 23.92, 23.92, 2900.0, 23.92, 0.02000099999999705, 0.46000099999999833, 0.7606050004511937, 0.0, 0.0, 0.0, 0.0012118860321644442
'2016-09-19', 24.1, 24.129999, 23.98, 24.120001, 1700.0, 24.120001, 0.020000000000003126, 0.8500000000000014, 0.7793948348987647, 0.0, 0.0, 0.0, 0.0011855364552459944
'2016-09-16', 24.08, 24.1, 23.77, 23.82, 3000.0, 23.82, 0.06999999999999673, 0.8299999999999983, 0.8220250380075518, 0.0, 0.0, 0.0, 0.0011627906976744234
'2016-09-15', 24.01, 24.09, 23.950001, 24.08, 2900.0, 24.08, 0.3500000000000014, -0.33999999999999986, 0.8705599177159142, 0.0, 0.0, 0.0, 0.0012755102040816284
'2016-09-14', 23.66, 23.84, 23.389999, 23.389999, 3100.0, 23.389999, 0.41000000000000014, -0.0799999999999983, 0.9293544817059162, 0.0, 0.0, -0.1, 0.0020884093282283324
'2016-09-13', 23.25, 23.26, 23.08, 23.17, 2500.0, 23.17, 0.0, -0.8500000000000014, 0.9765949134280599, 0.0, 0.0, -0.5, 0.002986857825567503
'2016-09-12', 23.25, 23.860001, 23.25, 23.860001, 600.0, 23.860001, -1.1000000000000014, -0.75, 1.0296065210232306, 0.0, 0.0, -0.8, 0.0028296547821165816
'2016-09-09', 24.35, 24.35, 23.32, 23.32, 3300.0, 23.32, 0.610000000000003, 1.120000000000001, 1.0704683796047223, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 23.74, 24.190001, 23.530001, 23.82, 8900.0, 23.82, -0.360000000000003, 0.7399999999999984, 1.0359464558665417, 0.0, 0.0, -0.8, 0.025695029486099537
'2016-09-07', 24.1, 24.129999, 23.74, 23.790001, 11500.0, 23.790001, 0.10000000000000142, 1.370000000000001, 1.0281569452181276, 0.0, 0.0, -0.5, 0.005186721991701245
'2016-09-06', 24.0, 24.139999, 23.74, 24.049999, 2500.0, 24.049999, 0.7699999999999996, 1.0, 0.9847946769083078, 0.0, 0.0, -0.1, 0.004861111111111131
'2016-09-02', 23.23, 23.629999, 23.23, 23.42, 3200.0, 23.42, 0.23000000000000043, 0.40000000000000213, 0.9249255045679472, 0.0, 0.0, 0.0, 0.012053379250968586
'2016-09-01', 23.0, 23.120001, 22.83, 22.9, 1700.0, 22.9, 0.2699999999999996, 0.3200000000000003, 0.9222224621353237, 0.0, 0.0, 0.0, 0.011739130434782622
'2016-08-31', 22.73, 22.73, 22.73, 22.73, 100.0, 22.73, -0.2699999999999996, 0.5900010000000009, 0.914880392546992, 0.0, 0.0, 0.0, 0.011878574571051482
'2016-08-30', 23.0, 23.08, 22.9, 23.0, 1700.0, 23.0, 0.1700000000000017, 0.5300009999999986, 0.9195133961323991, 0.0, 0.1, 0.0, 0.008385093167701873
'2016-08-29', 22.83, 22.940001, 22.83, 22.940001, 1500.0, 22.940001, 0.14999999999999858, 0.41999999999999815, 0.9071823322796333, 0.0, 0.5, 0.0, 0.00832238282961018
'2016-08-26', 22.68, 22.690001, 22.360001, 22.360001, 2500.0, 22.360001, 0.5400010000000002, 0.0, 0.8977130735375949, 0.0, 0.8, 0.0, 0.008181461885165596
'2016-08-25', 22.139999, 22.25, 22.0, 22.219999, 8400.0, 22.219999, -0.33000000000000185, -0.630001, 0.889189348976736, 1.0, 1.0, 0.0, 0.009981938120232082
'2016-08-24', 22.469999, 22.469999, 22.469999, 22.469999, 1000.0, 22.469999, 0.059999000000001246, 0.08000000000000185, 0.898527387822433, 0.0, 0.8, 0.0, 0.0076061054483438926
'2016-08-23', 22.41, 22.41, 22.41, 22.41, 0.0, 22.41, -0.2699999999999996, 0.0200010000000006, 0.8966258168144013, 0.0, 0.5, 0.0, 0.00721404135058754
'2016-08-22', 22.68, 22.68, 22.41, 22.41, 1200.0, 22.41, -0.08999999999999986, -0.19000099999999875, 0.8974467180471764, 0.0, 0.1, 0.0, 0.005664088997422337
'2016-08-19', 22.77, 22.77, 22.74, 22.77, 5700.0, 22.77, 0.38000100000000003, 0.019999999999999574, 0.8800798122899506, 0.0, 0.0, -0.1, 0.004956396260744093
'2016-08-18', 22.389999, 22.389999, 22.389999, 22.389999, 0.0, 22.389999, 0.0, 0.30999900000000125, 0.8450282328750394, 0.0, 0.0, -0.5, 0.005835941901262857
'2016-08-17', 22.389999, 22.389999, 22.370001, 22.389999, 2500.0, 22.389999, -0.48000199999999893, 0.3999990000000011, 0.8336042144009486, 0.0, 0.0, -0.8, 0.005471195532433928
'2016-08-16', 22.870001, 22.870001, 22.690001, 22.690001, 1900.0, 22.690001, 0.12000099999999847, 1.1600019999999986, 0.8355980324695571, -1.0, 0.0, -1.0, 0.0
'2016-08-15', 22.75, 22.91, 22.700001, 22.85, 3100.0, 22.85, 0.6700000000000017, 0.9500010000000003, 0.7858650707767565, 0.0, 0.0, -0.8, 0.005274769230769164
'2016-08-12', 22.08, 22.360001, 22.08, 22.25, 1400.0, 22.25, 0.08999999999999986, 0.5799999999999983, 0.7028946906426656, 0.0, 0.0, -0.5, 0.01788951539855073
'2016-08-11', 21.99, 22.33, 21.99, 22.33, 4400.0, 22.33, 0.2800009999999986, 0.9899999999999984, 0.6665456819555947, 0.0, 0.0, -0.1, 0.013339411853872973
'2016-08-10', 21.709999, 21.959999, 21.709999, 21.959999, 700.0, 21.959999, -0.08999999999999986, 0.9799989999999994, 0.6214198016373331, 0.0, 0.0, 0.0, 0.013357923231594791
'2016-08-09', 21.799999, 21.870001, 21.74, 21.780001, 3200.0, 21.780001, 0.2999989999999997, 1.379998999999998, 0.600630056450258, 0.0, 0.0, 0.0, 0.00981653256039139
'2016-08-08', 21.5, 21.5, 21.219999, 21.219999, 400.0, 21.219999, 0.5, 0.9400009999999988, 0.5835180665586107, 0.0, 0.1, 0.0, 0.010620162790697663
'2016-08-05', 21.0, 21.120001, 20.950001, 21.120001, 3400.0, 21.120001, 0.2699999999999996, 0.5100000000000016, 0.5375661362105404, 0.0, 0.5, 0.0, 0.012721095238095228
'2016-08-04', 20.73, 20.790001, 20.719999, 20.780001, 1200.0, 20.780001, 0.3099999999999987, 0.21000000000000085, 0.5190243101567233, 0.0, 0.8, 0.0, 0.012904009889049675
'2016-08-03', 20.42, 20.65, 20.42, 20.65, 700.0, 20.65, -0.13999899999999954, -0.33999999999999986, 0.5108054922269785, 1.0, 1.0, 0.0, 0.013331162259222965
'2016-08-02', 20.559999, 20.559999, 20.559999, 20.559999, 600.0, 20.559999, 0.06999900000000281, -0.14000199999999907, 0.5192212333874232, 0.0, 0.8, 0.0, 0.011235418834407516
'2016-08-01', 20.49, 20.559999, 20.440001, 20.559999, 1600.0, 20.559999, -0.030000000000001137, -0.26000000000000156, 0.5192002876222199, 0.0, 0.5, 0.0, 0.010559479125072099
'2016-07-29', 20.52, 20.610001, 20.52, 20.610001, 400.0, 20.610001, -0.240000000000002, -0.4800000000000004, 0.5199659912172903, 0.0, 0.1, 0.0, 0.009543538823911625
'2016-07-28', 20.76, 20.76, 20.75, 20.75, 1700.0, 20.75, 0.059999000000001246, 0.2700000000000031, 0.5170863491615746, 0.0, 0.0, 0.0, 0.007818293315547639
'2016-07-27', 20.700001, 20.82, 20.690001, 20.82, 900.0, 20.82, -0.04999899999999968, 0.030000999999998612, 0.5015289470102855, 0.0, 0.0, 0.0, 0.007487922343578623
'2016-07-26', 20.75, 20.77, 20.75, 20.77, 800.0, 20.77, -0.25, 0.25, 0.4936823094531365, 0.0, 0.0, 0.0, 0.006811248192771079
