Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-09', 2.39, 2.45, 2.12, 2.19, 52200.0, 2.19, 0.20999999999999996, 0.28000000000000025, 0.9643225025316421, -1.0, 0.5, -1.0, 0.0
'2016-09-08', 2.18, 2.39, 2.18, 2.3, 11600.0, 2.3, 0.040000000000000036, 0.03000000000000025, 0.9907799396883694, 0.0, 0.8, -0.8, 0.09633027522935778
'2016-09-07', 2.14, 2.27, 2.08, 2.22, 16400.0, 2.22, -0.1299999999999999, 0.040000000000000036, 1.0176826071466922, 1.0, 1.0, -0.8, 0.05841121495327103
'2016-09-06', 2.27, 2.27, 2.12, 2.17, 2200.0, 2.17, 0.16000000000000014, 0.06999999999999984, 1.040430519865054, -1.0, 0.8, -1.0, 0.0
'2016-09-02', 2.11, 2.27, 2.11, 2.22, 32200.0, 2.22, -0.040000000000000036, -0.27, 1.0574424596901506, 0.0, 0.5, -0.8, 0.075829383886256
'2016-09-01', 2.15, 2.29, 2.1, 2.19, 6300.0, 2.19, 0.04999999999999982, -0.1499999999999999, 1.0726900763967195, 0.0, 0.8, -0.5, 0.027906976744186074
'2016-08-31', 2.1, 2.19, 2.1, 2.1, 17400.0, 2.1, -0.10000000000000009, -0.33999999999999986, 1.083453377964286, 1.0, 1.0, -0.1, 0.02698412698412697
'2016-08-30', 2.2, 2.26, 2.12, 2.12, 20700.0, 2.12, -0.17999999999999972, -0.22999999999999998, 1.0915461002123954, 0.0, 0.8, 0.0, 0.007954545454545436
'2016-08-29', 2.38, 2.45, 2.16, 2.2, 30700.0, 2.2, 0.08000000000000007, -0.0900000000000003, 1.0942161578042977, 0.0, 0.5, 0.0, -0.009243697478991588
'2016-08-26', 2.3, 2.35, 2.3, 2.34, 7500.0, 2.34, -0.14000000000000012, -0.20000000000000018, 1.086322491507727, 0.0, 0.1, 0.0, -0.002173913043478247
'2016-08-25', 2.44, 2.44, 2.3, 2.35, 29100.0, 2.35, 0.009999999999999787, -0.08999999999999986, 1.0772576293533502, 0.0, 0.0, 0.0, -0.009953161592505852
'2016-08-24', 2.43, 2.49, 2.43, 2.49, 9400.0, 2.49, -0.040000000000000036, 0.050000000000000266, 1.0586805729565245, 0.0, 0.0, 0.0, -0.008230452674897125
'2016-08-23', 2.47, 2.48, 2.42, 2.48, 6400.0, 2.48, -0.029999999999999805, 0.11000000000000032, 1.0352885266114626, 0.0, 0.0, 0.0, -0.008996851102114269
'2016-08-22', 2.5, 2.5, 2.46, 2.5, 12900.0, 2.5, -0.029999999999999805, -0.16000000000000014, 1.0042678372271459, 0.0, 0.0, 0.0, -0.0092
'2016-08-19', 2.53, 2.54, 2.47, 2.52, 16000.0, 2.52, 0.1499999999999999, -0.28000000000000025, 0.9647339299286386, 0.0, 0.0, 0.0, -0.009342436219906568
'2016-08-18', 2.38, 2.56, 2.37, 2.52, 50400.0, 2.52, 0.020000000000000018, -0.3400000000000003, 0.9163168423397856, 0.0, 0.0, 0.0, -0.0038515406162464945
'2016-08-17', 2.36, 2.5, 2.36, 2.37, 24000.0, 2.37, -0.30000000000000027, -0.22999999999999998, 0.8685902371083847, 0.0, 0.0, 0.0, -0.0029335071707953016
'2016-08-16', 2.66, 2.66, 2.36, 2.37, 42500.0, 2.37, -0.1499999999999999, 2.3400000000000003, 0.8133640021540173, 0.0, 0.0, 0.0, -0.01047261009667025
'2016-08-15', 2.81, 2.81, 2.7, 2.7, 10300.0, 2.7, 0.08999999999999986, 2.47, 0.7213724573493377, 0.0, 0.0, 0.0, -0.012811387900355874
'2016-08-12', 2.72, 2.91, 2.7, 2.76, 27000.0, 2.76, 0.13000000000000034, 2.41, 0.586784173837934, 0.0, 0.0, 0.0, -0.010340073529411768
'2016-08-11', 2.59, 2.88, 2.59, 2.76, 24700.0, 2.76, 2.27, 2.28, 0.41037449021865646, 0.0, 0.0, 0.0, -0.007267771973654323
