Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-04', 10.6, 10.7, 10.49, 10.49, 16000.0, 10.49, 0.10999999999999943, 0.35999999999999943, 0.1991805434496273, -1.0, 0.0, -1.0, 0.0
'2016-10-03', 10.49, 10.6, 10.36, 10.6, 56600.0, 10.6, 0.20000000000000107, 0.2900000000000009, 0.1978576929681195, 0.0, 0.0, -0.8, 0.010486177311725398
'2016-09-30', 10.29, 10.59, 10.29, 10.57, 37200.0, 10.57, 0.05999999999999872, 0.0799999999999983, 0.19746617150511844, 0.0, 0.1, -0.5, 0.01506316812439264
'2016-09-29', 10.23, 10.35, 10.23, 10.33, 17100.0, 10.33, -0.009999999999999787, -0.019999999999999574, 0.19819995515191768, 0.0, 0.5, -0.1, 0.012056044314108805
'2016-09-28', 10.24, 10.29, 10.22, 10.24, 9900.0, 10.24, 0.040000000000000924, -0.09999999999999964, 0.19552465033567729, 0.0, 0.8, 0.0, 0.008789062499999986
'2016-09-27', 10.2, 10.27, 10.2, 10.26, 5900.0, 10.26, -0.010000000000001563, -0.05000000000000071, 0.19260235374124232, 1.0, 1.0, 0.0, 0.007843137254901968
'2016-09-26', 10.21, 10.3, 10.19, 10.25, 21100.0, 10.25, -0.03999999999999915, -0.08999999999999986, 0.18914456552242426, 0.0, 0.8, 0.0, 0.006366307541625837
'2016-09-23', 10.25, 10.35, 10.25, 10.31, 5000.0, 10.31, -0.08999999999999986, -0.02999999999999936, 0.1888267871769139, 0.0, 0.5, 0.0, 0.0048780487804878
'2016-09-22', 10.34, 10.42, 10.28, 10.29, 15200.0, 10.29, 0.08999999999999986, -0.0600000000000005, 0.18605883179491609, 0.0, 0.1, 0.0, 0.0031431334622823957
'2016-09-21', 10.25, 10.39, 10.21, 10.26, 20300.0, 10.26, -0.05000000000000071, -0.47000000000000064, 0.1872858777377515, 0.0, 0.0, 0.0, 0.0037940379403794
'2016-09-20', 10.3, 10.33, 10.24, 10.26, 14200.0, 10.26, 0.02000000000000135, -0.10999999999999943, 0.18430680942385172, 0.0, 0.0, 0.0, 0.0029126213592232907
'2016-09-19', 10.28, 10.61, 10.24, 10.29, 20200.0, 10.29, -0.120000000000001, -0.33999999999999986, 0.18161773041198376, 0.0, 0.0, 0.0, 0.0028298549699327935
'2016-09-16', 10.4, 10.42, 10.17, 10.31, 18100.0, 10.31, -0.3200000000000003, -0.2400000000000002, 0.17845136281039964, 0.0, 0.0, 0.0, 0.0016025641025640967
'2016-09-15', 10.72, 10.72, 10.38, 10.49, 11100.0, 10.49, 0.3100000000000005, 0.3200000000000003, 0.17850116712970443, 0.0, 0.0, 0.0, -0.0008610792192881815
'2016-09-14', 10.41, 10.58, 10.3, 10.4, 38100.0, 10.4, -0.20999999999999908, -0.27999999999999936, 0.1738530669527831, 0.0, 0.0, 0.0, 0.0013036915054206086
'2016-09-13', 10.62, 10.62, 10.4, 10.48, 24100.0, 10.48, -0.02000000000000135, -0.08000000000000007, 0.18433544302590193, 0.0, 0.0, 0.0, -0.00012554927809164832
'2016-09-12', 10.64, 10.75, 10.5, 10.73, 23600.0, 10.73, 0.2400000000000002, 0.16000000000000014, 0.205963589015146, 0.0, 0.0, 0.0, -0.000234962406015043
'2016-09-09', 10.4, 10.9, 10.36, 10.6, 74200.0, 10.6, -0.28999999999999915, -0.379999999999999, 0.22227235545609347, 0.0, 0.0, 0.0, 0.0011312217194570096
'2016-09-08', 10.69, 10.78, 10.51, 10.51, 11300.0, 10.51, -0.009999999999999787, 0.16999999999999993, 0.3496855730509911, 0.0, 0.0, 0.0, -0.000467726847521047
'2016-09-07', 10.7, 10.88, 10.7, 10.71, 16700.0, 10.71, 0.21999999999999886, -0.16000000000000014, 0.49869785998694205, 0.0, 0.0, 0.0, -0.0004918839153959648
'2016-09-06', 10.48, 10.77, 10.4, 10.66, 19400.0, 10.66, -0.29999999999999893, -0.1899999999999995, 0.6101447005059993, 0.0, 0.0, -0.1, 0.0005725190839694619
'2016-09-02', 10.78, 10.86, 10.46, 10.54, 13300.0, 10.54, 0.2599999999999998, 0.29999999999999893, 0.6853133103430383, 0.0, 0.0, -0.5, -0.0007951232441028347
'2016-09-01', 10.52, 10.91, 10.5, 10.71, 33400.0, 10.71, -0.33999999999999986, 0.25, 0.7559042414368519, 0.0, 0.0, -0.8, 0.00034566194262011785
'2016-08-31', 10.86, 10.86, 10.44, 10.57, 24500.0, 10.57, 0.1899999999999995, 0.5800000000000001, 0.809424006452874, -1.0, 0.0, -1.0, 0.0
'2016-08-30', 10.67, 11.0, 10.65, 10.91, 44000.0, 10.91, 0.1899999999999995, 0.4900000000000002, 0.8535552445832407, 0.0, 0.0, -0.8, 0.01780693533270848
'2016-08-29', 10.48, 10.65, 10.47, 10.62, 15400.0, 10.62, 0.21000000000000085, 0.28000000000000114, 0.8856324795810557, 0.0, 0.1, -0.5, 0.018129770992366363
'2016-08-26', 10.27, 10.51, 10.27, 10.41, 28600.0, 10.41, -0.009999999999999787, -0.040000000000000924, 0.9054293027190043, 0.0, 0.5, -0.1, 0.01914962674456345
'2016-08-25', 10.28, 10.35, 10.25, 10.3, 28500.0, 10.3, 0.09999999999999964, -0.14000000000000057, 0.9186234266553408, 0.0, 0.8, 0.0, 0.014105058365758757
'2016-08-24', 10.18, 10.4, 10.18, 10.25, 34600.0, 10.25, -0.019999999999999574, -0.08000000000000007, 0.9140268048585884, 1.0, 1.0, -0.1, 0.013359528487229858
'2016-08-23', 10.2, 10.35, 10.2, 10.23, 55600.0, 10.12, -0.11000000000000121, -0.15000000000000036, 0.8951027253275956, 0.0, 0.8, -0.5, 0.0107843137254902
'2016-08-22', 10.31, 10.48, 10.17, 10.19, 25600.0, 10.08043, -0.10999999999999943, -0.08999999999999986, 0.8742415125251274, 0.0, 0.5, -0.8, 0.007620895108770943
'2016-08-19', 10.42, 10.55, 10.34, 10.34, 21900.0, 10.228817, 0.16000000000000014, -0.14000000000000057, 0.8557193205459112, -1.0, 0.1, -1.0, 0.0
'2016-08-18', 10.26, 10.71, 10.26, 10.39, 21100.0, 10.27828, -0.08999999999999986, -0.41999999999999993, 0.8398441654391738, 0.0, 0.0, -0.8, 0.015594541910331399
'2016-08-17', 10.35, 10.39, 10.18, 10.26, 41400.0, 10.149678, -0.05000000000000071, -0.23000000000000043, 0.8157996077469026, 0.0, 0.0, -0.5, 0.0033816425120773083
'2016-08-16', 10.4, 10.45, 10.3, 10.42, 17400.0, 10.307957, -0.16000000000000014, -0.25, 0.7934856996540994, 0.0, 0.0, -0.1, 0.0006410256410256273
'2016-08-15', 10.56, 10.58, 10.43, 10.46, 25900.0, 10.347527, -0.11999999999999922, 0.22000000000000064, 0.7711435231740804, 0.0, 0.0, 0.0, -0.0033143939393939525
'2016-08-12', 10.68, 10.72, 10.53, 10.58, 25000.0, 10.466237, 0.09999999999999964, 0.2599999999999998, 0.7536466162746452, 0.0, 0.1, 0.0, -0.004868913857677899
'2016-08-11', 10.58, 10.8, 10.58, 10.69, 17500.0, 10.575053, -0.07000000000000028, -0.009999999999999787, 0.7395941830190094, 0.0, 0.5, 0.0, -0.00252047889098929
'2016-08-10', 10.65, 10.7, 10.4, 10.6, 14300.0, 10.486022, 0.3100000000000005, 0.05000000000000071, 0.719918899753453, 0.0, 0.8, 0.0, -0.003085177733065063
'2016-08-09', 10.34, 10.59, 10.34, 10.58, 19800.0, 10.466237, -0.08000000000000007, -0.16000000000000014, 0.7018116239815039, 1.0, 1.0, 0.0, 0.000967117988394585
'2016-08-08', 10.42, 10.68, 10.27, 10.38, 44100.0, 10.268387, -0.16999999999999993, -0.4299999999999997, 0.6666903329132651, 0.0, 0.8, 0.0, 0.0
'2016-08-05', 10.59, 10.61, 10.39, 10.42, 36500.0, 10.307957, -0.009999999999999787, -0.4399999999999995, 0.6311861848931741, 0.0, 0.5, 0.0, -0.0016052880075542958
'2016-08-04', 10.6, 10.75, 10.5, 10.5, 11500.0, 10.387097, 0.09999999999999964, -0.40000000000000036, 0.6018766946439743, 0.0, 0.1, 0.0, -0.0015437392795883337
'2016-08-03', 10.5, 10.68, 10.5, 10.52, 11700.0, 10.406882, -0.34999999999999964, -1.5500000000000007, 0.5691451679687902, 0.0, 0.0, 0.0, -0.0006349206349206355
'2016-08-02', 10.85, 10.96, 10.5, 10.51, 34600.0, 10.39699, -0.17999999999999972, -1.7200000000000006, 0.5253481385392613, 0.0, 0.0, 0.0, -0.003048564338886918
'2016-08-01', 11.03, 11.09, 10.86, 10.9, 19200.0, 10.782795, 0.02999999999999936, -1.58, 0.5006462490288596, 0.0, 0.0, 0.0, -0.003950265509649006
'2016-07-29', 11.0, 11.43, 10.9, 10.97, 53700.0, 10.852043, -1.0500000000000007, -1.4800000000000004, 0.48790527313768167, 0.0, 0.0, -0.1, -0.0035151515151515154
'2016-07-28', 12.05, 12.1, 11.67, 11.86, 38700.0, 11.732473, -0.5199999999999996, -0.5099999999999998, 0.4834713596021544, 0.0, 0.0, -0.5, -0.008454356846473032
'2016-07-27', 12.57, 12.57, 12.0, 12.07, 24100.0, 11.940215, -0.03999999999999915, 0.07000000000000028, 0.48901045205825855, 0.0, 0.0, -0.8, -0.010061303757779963
'2016-07-26', 12.61, 12.67, 12.48, 12.48, 8000.0, 12.345806, 0.129999999999999, 0.1899999999999995, 0.4691666370633503, -1.0, 0.0, -1.0, 0.0
'2016-07-25', 12.48, 12.68, 12.48, 12.57, 12300.0, 12.434839, -0.08000000000000007, 0.16000000000000014, 0.4397696366659862, 0.0, 0.0, -0.8, 0.010416666666666586
'2016-07-22', 12.56, 12.64, 12.51, 12.57, 12900.0, 12.434839, 0.0600000000000005, 0.33999999999999986, 0.41314189114906075, 0.0, 0.0, -0.5, 0.001990445859872569
'2016-07-21', 12.5, 12.63, 12.5, 12.6, 7900.0, 12.464517, 0.08000000000000007, 0.1999999999999993, 0.378050702066976, 0.0, 0.0, -0.1, 0.002933333333333318
'2016-07-20', 12.42, 12.49, 12.34, 12.44, 10800.0, 12.306236, 0.09999999999999964, 0.5199999999999996, 0.33734189712449847, 0.0, 0.0, 0.0, 0.003824476650563597
'2016-07-19', 12.32, 12.47, 12.32, 12.42, 7700.0, 12.286452, 0.09999999999999964, 0.8900000000000006, 0.29633483314206155, 0.0, 0.0, 0.0, 0.004707792207792194
'2016-07-18', 12.22, 12.43, 12.22, 12.39, 15600.0, 12.256775, -0.08000000000000007, 0.8800000000000008, 0.2561390681294486, 0.0, 0.0, 0.0, 0.005319148936170196
'2016-07-15', 12.3, 12.43, 12.28, 12.28, 17100.0, 12.147957, 0.40000000000000036, 1.0300000000000011, 0.21742968211968378, 0.0, 0.0, 0.0, 0.003600464576074317
'2016-07-14', 11.9, 12.43, 11.85, 12.24, 45700.0, 12.108387, 0.47000000000000064, 0.6400000000000006, 0.1517750528468585, 0.0, 0.0, 0.0, 0.007457983193277301
