Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-03', 15.05, 15.33, 14.63, 14.71, 108800.0, 14.71, 0.6900000000000013, 1.7800000000000011, 0.6812365391126801, -1.0, 0.0, -1.0, 0.0
'2016-09-30', 14.36, 15.27, 14.13, 15.12, 67200.0, 15.12, 0.35999999999999943, 0.75, 0.5767330404962072, 0.0, 0.1, -0.8, 0.04805013927576611
'2016-09-29', 14.0, 14.53, 14.0, 14.17, 40300.0, 14.17, 0.7200000000000006, 0.17999999999999972, 0.5254796750483207, 0.0, 0.5, -0.5, 0.037500000000000026
'2016-09-28', 13.28, 14.13, 12.96, 13.97, 75900.0, 13.97, 0.009999999999999787, -0.75, 0.49482387439033954, 0.0, 0.8, -0.1, 0.04442771084337353
'2016-09-27', 13.27, 13.4, 12.94, 13.27, 27800.0, 13.27, -0.33999999999999986, -0.6799999999999997, 0.5106954952698219, 1.0, 1.0, 0.0, 0.03353428786737003
'2016-09-26', 13.61, 14.21, 13.37, 13.41, 30700.0, 13.41, -0.21000000000000085, 0.009999999999999787, 0.5219923371085057, 0.0, 0.8, 0.0, 0.021160911094783266
'2016-09-23', 13.82, 14.37, 13.3, 13.61, 41600.0, 13.61, -0.20999999999999908, 0.33000000000000007, 0.5241433222146612, 0.0, 0.5, 0.0, 0.014833574529667154
'2016-09-22', 14.03, 14.48, 13.85, 13.93, 46000.0, 13.93, 0.08000000000000007, 0.8300000000000001, 0.5083170489194929, 0.0, 0.1, 0.0, 0.010385907748701776
'2016-09-21', 13.95, 14.24, 13.71, 13.83, 51600.0, 13.83, 0.34999999999999964, 1.3599999999999994, 0.46331414828386147, 0.0, 0.0, 0.0, 0.009856630824372773
'2016-09-20', 13.6, 14.07, 13.39, 14.04, 68800.0, 14.04, 0.10999999999999943, 1.0600000000000005, 0.39468200983689256, 0.0, 0.0, 0.0, 0.01184640522875818
'2016-09-19', 13.49, 13.72, 13.49, 13.67, 81000.0, 13.67, 0.2900000000000009, 0.9100000000000001, 0.3536262936428167, 0.0, 0.0, 0.0, 0.011564121571534473
'2016-09-16', 13.2, 13.49, 12.72, 13.47, 102400.0, 13.47, 0.6099999999999994, 0.5699999999999985, 0.33535205381807354, 0.0, 0.0, 0.0, 0.012741046831955934
'2016-09-15', 12.59, 13.33, 12.58, 13.26, 72300.0, 13.26, 0.05000000000000071, -0.09999999999999964, 0.3335938981589576, 0.0, 0.0, 0.0, 0.016282764098490873
'2016-09-14', 12.54, 12.69, 12.5, 12.65, 76700.0, 12.65, -0.040000000000000924, 0.10999999999999943, 0.38694817338874843, 0.0, 0.0, -0.1, 0.01539688381793646
'2016-09-13', 12.58, 12.67, 12.14, 12.64, 75600.0, 12.64, -0.05000000000000071, 0.2599999999999998, 0.4207052280265708, 0.0, 0.0, -0.5, 0.014024528730411087
'2016-09-12', 12.63, 12.87, 12.56, 12.81, 93800.0, 12.81, -0.05999999999999872, 0.39000000000000057, 0.4215890574165005, 0.0, 0.0, -0.8, 0.012773818949590919
'2016-09-09', 12.69, 12.91, 12.65, 12.79, 128100.0, 12.79, 0.2599999999999998, 0.41000000000000014, 0.4298967576316693, -1.0, 0.1, -1.0, 0.0
'2016-09-08', 12.43, 12.94, 12.43, 12.87, 129400.0, 12.87, 0.10999999999999943, -0.15000000000000036, 0.43005800642342296, 0.0, 0.5, -0.8, 0.020917135961383733
'2016-09-07', 12.32, 12.45, 12.13, 12.35, 46000.0, 12.35, 0.08000000000000007, -0.33999999999999986, 0.43016650523050054, 0.0, 0.8, -0.5, 0.015016233766233735
'2016-09-06', 12.24, 12.45, 12.11, 12.27, 31800.0, 12.27, -0.03999999999999915, -0.5099999999999998, 0.43691799383103164, 1.0, 1.0, -0.1, 0.012254901960784294
'2016-09-02', 12.28, 12.35, 12.05, 12.17, 35500.0, 12.17, -0.3000000000000007, -0.4300000000000015, 0.43690337095924947, 0.0, 0.8, 0.0, 0.008346905537459287
'2016-09-01', 12.58, 12.58, 11.98, 12.12, 46800.0, 12.12, -0.08000000000000007, -0.27999999999999936, 0.4368951056413122, 0.0, 0.5, 0.0, 0.0017488076311605633
'2016-08-31', 12.66, 12.83, 12.51, 12.62, 136000.0, 12.62, -0.08999999999999986, -0.09999999999999964, 0.4357803983149719, 0.0, 0.1, 0.0, 0.0003949447077409078
'2016-08-30', 12.75, 12.89, 12.53, 12.72, 87500.0, 12.72, 0.03999999999999915, -0.14000000000000057, 0.4419758666111382, 0.0, 0.0, 0.0, -0.0006722689075630308
'2016-08-29', 12.71, 12.86, 12.36, 12.77, 63100.0, 12.77, -0.14999999999999858, 0.010000000000001563, 0.46445619336548366, 0.0, 0.0, 0.0, -0.00019669551534226345
'2016-08-26', 12.86, 13.07, 12.58, 12.79, 63200.0, 12.79, 0.09999999999999964, 0.019999999999999574, 0.502926988295076, 0.0, 0.0, 0.0, -0.001468809400380162
'2016-08-25', 12.76, 13.0, 12.63, 12.79, 53000.0, 12.79, -0.13000000000000078, -0.08999999999999986, 0.545782211346451, 0.0, 0.0, 0.0, -0.0005485893416927923
'2016-08-24', 12.89, 13.2, 12.64, 12.85, 57900.0, 12.85, 0.19000000000000128, 0.33999999999999986, 0.6068794498635347, 0.0, 0.0, 0.0, -0.0014105367092178648
'2016-08-23', 12.7, 13.13, 12.45, 12.95, 80900.0, 12.95, -0.14000000000000057, 0.21999999999999886, 0.6560817191647867, 0.0, 0.0, 0.0, -6.561679790026108e-05
'2016-08-22', 12.84, 12.88, 12.61, 12.7, 43600.0, 12.7, -0.009999999999999787, 0.75, 0.679875478794953, 0.0, 0.0, 0.0, -0.0008986340762041718
'2016-08-19', 12.85, 13.03, 12.72, 12.96, 108300.0, 12.96, 0.29999999999999893, 0.7300000000000004, 0.6941226276546689, 0.0, 0.0, 0.0, -0.0008893829905503065
'2016-08-18', 12.55, 13.04, 12.53, 12.92, 81700.0, 12.92, 0.07000000000000028, 0.6000000000000014, 0.6998626055638826, 0.0, 0.0, 0.0, 0.0007436918990703787
'2016-08-17', 12.48, 12.62, 12.38, 12.51, 103300.0, 12.51, 0.39000000000000057, 0.5600000000000005, 0.7091626517708519, 0.0, 0.0, 0.0, 0.0010516826923076877
'2016-08-16', 12.09, 12.59, 12.09, 12.5, 157300.0, 12.5, -0.02999999999999936, 0.14000000000000057, 0.7117100689341287, 0.0, 0.0, 0.0, 0.002919281856663259
'2016-08-15', 12.12, 12.37, 11.88, 12.14, 103400.0, 12.14, 0.16999999999999993, -0.3800000000000008, 0.7328010189221446, 0.0, 0.0, 0.0, 0.002612761276127614
'2016-08-12', 11.95, 12.26, 11.8, 12.0, 115800.0, 12.0, 0.02999999999999936, -0.2400000000000002, 0.7487166056363084, 0.0, 0.0, -0.1, 0.0032591940101299286
'2016-08-11', 11.92, 12.29, 11.84, 11.97, 96900.0, 11.97, -0.02999999999999936, 0.16000000000000014, 0.7403044418796003, 0.0, 0.0, -0.5, 0.003229865771812079
'2016-08-10', 11.95, 12.05, 11.66, 11.88, 81300.0, 11.88, -0.5500000000000007, 0.1999999999999993, 0.7383155754072162, 0.0, 0.0, -0.8, 0.0029487945805937448
'2016-08-09', 12.5, 12.76, 11.52, 11.91, 104000.0, 11.91, 0.3100000000000005, 1.17, 0.7499822220115177, -1.0, 0.0, -1.0, 0.0
'2016-08-08', 12.19, 12.46, 11.72, 12.18, 94200.0, 12.18, 0.4299999999999997, 0.7299999999999986, 0.7579291230422244, 0.0, 0.1, -0.8, 0.02543068088597215
'2016-08-05', 11.76, 12.3, 11.03, 12.2, 92400.0, 12.2, 0.009999999999999787, -0.3200000000000003, 0.7633199416583673, 0.0, 0.5, -0.5, 0.03146258503401361
'2016-08-04', 11.75, 11.96, 11.45, 11.81, 92900.0, 11.81, 0.41999999999999993, -0.02999999999999936, 0.7538367786788389, 0.0, 0.8, -0.1, 0.02127659574468085
'2016-08-03', 11.33, 11.8, 10.86, 11.8, 47600.0, 11.8, -0.13000000000000078, -0.5800000000000001, 0.7414152382811909, 1.0, 1.0, 0.0, 0.02581641659311562
'2016-08-02', 11.46, 11.72, 11.11, 11.31, 65400.0, 11.31, -0.6199999999999992, -0.6699999999999999, 0.7053317580322671, 0.0, 0.8, 0.0, 0.018150087260034888
'2016-08-01', 12.08, 12.08, 11.34, 11.4, 84400.0, 11.4, 0.3000000000000007, 0.23000000000000043, 0.6772736194150452, 0.0, 0.5, 0.0, 0.005794701986754965
'2016-07-29', 11.78, 12.01, 11.52, 11.95, 55800.0, 11.95, -0.13000000000000078, -0.47000000000000064, 0.6982630036184232, 0.0, 0.1, 0.0, 0.00873150618481689
'2016-07-28', 11.91, 11.96, 11.51, 11.81, 53200.0, 11.81, -0.22000000000000064, -0.35999999999999943, 0.723420040886037, 0.0, 0.0, 0.0, 0.006192275398824516
'2016-07-27', 12.13, 12.29, 11.5, 11.85, 47500.0, 11.85, 0.28000000000000114, -0.3999999999999986, 0.7270418756088872, 0.0, 0.0, 0.0, 0.0033892094897865644
'2016-07-26', 11.85, 12.31, 11.68, 12.11, 74400.0, 12.11, -0.40000000000000036, -0.9800000000000004, 0.7395373929393668, 0.0, 0.0, 0.0, 0.0054852320675105514
'2016-07-25', 12.25, 12.32, 11.74, 11.86, 57400.0, 11.86, -0.019999999999999574, -0.9399999999999995, 0.7413549906908443, 0.0, 0.0, 0.0, 0.0018552875695732839
'2016-07-22', 12.27, 12.64, 11.87, 12.31, 83300.0, 12.31, -0.2599999999999998, -1.1600000000000001, 0.7398547154678408, 0.0, 0.0, 0.0, 0.0015620755229557213
'2016-07-21', 12.53, 12.81, 12.13, 12.19, 137400.0, 12.19, -0.3000000000000007, -1.0700000000000003, 0.7411114775944452, 0.0, 0.0, 0.0, -0.00018417336853090652
'2016-07-20', 12.83, 12.91, 12.39, 12.57, 90000.0, 12.57, -0.35999999999999943, -1.0299999999999994, 0.7570069719332546, 0.0, 0.0, 0.0, -0.001837211891771518
'2016-07-19', 13.19, 13.33, 12.54, 12.77, 67600.0, 12.77, -0.2400000000000002, -0.6500000000000004, 0.7668362855844059, 0.0, 0.0, 0.0, -0.003487490523123576
'2016-07-18', 13.43, 13.7, 13.05, 13.2, 68300.0, 13.2, -0.16999999999999993, 0.0, 0.7865862247006926, 0.0, 0.0, 0.0, -0.004327997021593446
