Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 5.6, 5.6, 5.6, 5.6, 0.0, 5.6, 0.008299999999999308, 0.029899999999999594, 0.47175266576412206, 0.0, 0.5, 0.0, 0.0
'2016-09-22', 5.5917, 5.6, 5.5917, 5.6, 400.0, 5.6, 0.026699999999999946, 0.011700000000000266, 0.47603684485085346, 0.0, 0.8, 0.0, 0.00018554285816476445
'2016-09-21', 5.565, 5.565, 5.565, 5.565, 0.0, 5.565, -0.034999999999999254, -0.01499999999999968, 0.4756395893250826, 1.0, 1.0, 0.0, 0.0006988120195667217
'2016-09-20', 5.6, 5.6992, 5.565, 5.565, 500.0, 5.565, 0.029899999999999594, 9.999999999976694e-05, 0.47540674285873935, 0.0, 0.8, 0.0, 0.0
'2016-09-19', 5.5701, 5.5701, 5.5501, 5.5502, 400.0, 5.5502, -0.00990000000000002, -0.029799999999999827, 0.47490618259469586, 0.0, 0.5, -0.1, 0.0004879951559544319
'2016-09-16', 5.58, 5.58, 5.58, 5.58, 0.0, 5.58, 0.0, -0.019899999999999807, 0.47461462449959224, 0.0, 0.1, -0.5, 0.0002986857825567439
'2016-09-15', 5.58, 5.6, 5.5757, 5.58, 700.0, 5.58, -0.019899999999999807, -0.019899999999999807, 0.47423977246630095, 0.0, 0.0, -0.8, 0.00027570995312930206
'2016-09-14', 5.5999, 5.5999, 5.5999, 5.5999, 0.0, 5.5999, 0.0, 0.0, 0.4738496170375856, -1.0, 0.0, -1.0, 0.0
'2016-09-13', 5.5999, 5.5999, 5.5999, 5.5999, 0.0, 5.5999, 0.0, 0.0, 0.47327086141729297, 0.0, 0.0, -0.8, 0.0
'2016-09-12', 5.5999, 5.5999, 5.5999, 5.5999, 0.0, 5.5999, 0.0, 0.0, 0.4726679375276755, 0.0, 0.0, -0.5, 0.0
'2016-09-09', 5.5999, 5.5999, 5.5999, 5.5999, 0.0, 5.5999, 0.0, 0.21989999999999998, 0.47719900931256015, 0.0, 0.0, -0.1, 0.0
'2016-09-08', 5.5999, 5.5999, 5.5999, 5.5999, 0.0, 5.5999, 0.0, 0.29990000000000006, 0.4815431546485619, 0.0, 0.0, 0.0, 0.0
'2016-09-07', 5.5999, 5.5999, 5.5999, 5.5999, 0.0, 5.5999, 0.0, 0.29990000000000006, 0.4857053891678232, 0.0, 0.0, 0.0, 0.0
'2016-09-06', 5.5999, 5.5999, 5.5999, 5.5999, 100.0, 5.5999, 0.21989999999999998, 0.9999000000000002, 0.4896903514693976, 0.0, 0.0, 0.0, 0.0
'2016-09-02', 5.38, 5.4, 5.38, 5.4, 500.0, 5.4, 0.08000000000000007, 1.13, 0.49350233591702025, 0.0, 0.0, 0.0, 0.005839086563993627
'2016-09-01', 5.3, 5.49, 5.3, 5.3499, 700.0, 5.3499, 0.0, 1.0499999999999998, 0.4967561440653417, 0.0, 0.1, 0.0, 0.007073113207547171
'2016-08-31', 5.3, 5.3, 5.3, 5.3, 100.0, 5.3, 0.7000000000000002, 1.0, 0.498444803586337, 0.0, 0.5, 0.0, 0.0062872117400419305
'2016-08-30', 4.6, 5.2, 4.6, 5.2, 400.0, 5.2, 0.34999999999999964, -1.25, 0.4994552588125943, 0.0, 0.8, 0.0, 0.021736956521739136
'2016-08-29', 4.25, 4.25, 4.25, 4.25, 0.0, 4.25, 0.0, -1.5999999999999996, 0.4712542366446751, 1.0, 1.0, -0.1, 0.028874866310160424
'2016-08-26', 4.25, 4.25, 4.25, 4.25, 0.0, 4.25, -0.04999999999999982, -1.5999999999999996, 0.4038151392242081, 0.0, 0.8, -0.5, 0.02646862745098039
'2016-08-25', 4.3, 4.3, 4.25, 4.25, 200.0, 4.25, -1.5499999999999998, -1.5499999999999998, 0.3118448688406179, 0.0, 0.5, -0.8, 0.02325402504472272
'2016-08-24', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.0, 0.17211914478058496, -1.0, 0.1, -1.0, 0.0
'2016-08-23', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.0, 0.1763519208854839, 0.0, 0.0, -0.8, 0.0
'2016-08-22', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.0, 0.18034688796871426, 0.0, 0.0, -0.5, 0.0
'2016-08-19', 5.85, 5.85, 5.85, 5.85, 200.0, 5.85, 0.0, 0.0, 0.22830291768223676, 0.0, 0.0, -0.1, 0.0
'2016-08-18', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.0, 0.24492629276761785, 0.0, 0.0, 0.0, 0.0
'2016-08-17', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.0, 0.25895087479202594, 0.0, 0.0, 0.0, 0.0
'2016-08-16', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.34999999999999964, 0.2707807641288838, 0.0, 0.0, 0.0, 0.0
'2016-08-15', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.34999999999999964, 0.280693585407449, 0.0, 0.1, 0.0, 0.0
'2016-08-12', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.34999999999999964, 0.28888675212884973, 0.0, 0.5, 0.0, 0.0
'2016-08-11', 5.85, 5.85, 5.85, 5.85, 200.0, 5.85, 0.34999999999999964, 0.34999999999999964, 0.2955033370745958, 0.0, 0.8, 0.0, 0.0
'2016-08-10', 5.5, 5.5, 5.5, 5.5, 0.0, 5.5, 0.0, 0.0, 0.30064744949673006, 1.0, 1.0, 0.0, 0.006363636363636357
'2016-08-09', 5.5, 5.5, 5.5, 5.5, 0.0, 5.5, 0.0, 0.0, 0.30715992938894576, 0.0, 0.8, 0.0, 0.005785123966942143
'2016-08-08', 5.5, 5.5, 5.5, 5.5, 0.0, 5.5, 0.0, 0.0, 0.31331560233519584, 0.0, 0.5, 0.0, 0.005303030303030297
'2016-08-05', 5.5, 5.5, 5.5, 5.5, 0.0, 5.5, 0.0, 0.0, 0.3191351159340229, 0.0, 0.1, 0.0, 0.00489510489510489
'2016-08-04', 5.5, 5.5, 5.5, 5.5, 0.0, 5.5, 0.0, -0.34999999999999964, 0.3463139231006072, 0.0, 0.0, 0.0, 0.004545454545454541
'2016-08-03', 5.5, 5.5, 5.5, 5.5, 0.0, 5.5, 0.0, -0.34999999999999964, 0.36934250891129333, 0.0, 0.0, 0.0, 0.0042424242424242385
'2016-08-02', 5.5, 5.5, 5.5, 5.5, 0.0, 5.5, 0.0, -0.34999999999999964, 0.3889587238883952, 0.0, 0.0, 0.0, 0.003977272727272723
'2016-08-01', 5.5, 5.5, 5.5, 5.5, 200.0, 5.5, -0.34999999999999964, -0.34999999999999964, 0.40565790184998646, 0.0, 0.0, 0.0, 0.0037433155080213868
'2016-07-29', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.0, 0.41978830643816434, 0.0, 0.0, 0.0, 0.0
'2016-07-28', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.0, 0.433781819197931, 0.0, 0.0, 0.0, 0.0
'2016-07-27', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.0, 0.44671641514002536, 0.0, 0.0, 0.0, 0.0
'2016-07-26', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, 0.0, 0.45868168580060914, 0.0, 0.0, 0.0, 0.0
'2016-07-25', 5.85, 5.85, 5.85, 5.85, 200.0, 5.85, 0.0, -0.10000000000000053, 0.4697517074654084, 0.0, 0.0, 0.0, 0.0
'2016-07-22', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, -0.15000000000000036, 0.4799884257863816, 0.0, 0.0, 0.0, 0.0
'2016-07-21', 5.85, 5.85, 5.85, 5.85, 0.0, 5.85, 0.0, -0.15000000000000036, 0.48944412914607055, 0.0, 0.0, -0.1, 0.0
'2016-07-20', 5.85, 5.85, 5.85, 5.85, 200.0, 5.85, -0.10000000000000053, -0.15000000000000036, 0.4981632931747044, 0.0, 0.0, -0.5, 0.0
