Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-04', 10.05, 10.2, 9.75, 9.88, 450900.0, 9.88, 0.16000000000000014, 0.7000000000000011, 0.7953967563423929, -1.0, 0.0, -1.0, 0.0
'2016-10-03', 9.89, 10.12, 9.71, 10.06, 550300.0, 10.06, 0.14000000000000057, 0.9700000000000006, 0.8002530849674994, 0.0, 0.0, -0.8, 0.01617795753286149
'2016-09-30', 9.75, 9.96, 9.58, 9.89, 529600.0, 9.89, -0.05000000000000071, 0.17999999999999972, 0.8387851665090145, 0.0, 0.1, -0.5, 0.015384615384615422
'2016-09-29', 9.8, 9.98, 9.69, 9.73, 460400.0, 9.73, 0.45000000000000107, -1.5899999999999999, 0.8229861616225523, 0.0, 0.5, -0.1, 0.008503401360544217
'2016-09-28', 9.35, 9.83, 9.14, 9.83, 428400.0, 9.83, 0.4299999999999997, -1.7699999999999996, 0.7906863403960439, 0.0, 0.8, 0.0, 0.01871657754010698
'2016-09-27', 8.92, 9.38, 8.92, 9.3, 539200.0, 9.3, -0.6500000000000004, -2.1099999999999994, 0.7149517466235044, 1.0, 1.0, 0.0, 0.025336322869955175
'2016-09-26', 9.57, 10.0, 8.67, 8.92, 1402800.0, 8.92, -1.8200000000000003, -1.5399999999999991, 0.5648677327972941, 0.0, 0.8, 0.0, 0.008359456635318712
'2016-09-23', 11.39, 11.45, 11.2, 11.27, 198900.0, 11.27, 0.27000000000000135, 0.2400000000000002, 0.4583556358210169, 0.0, 0.5, 0.0, -0.016806722689075626
'2016-09-22', 11.12, 11.59, 11.12, 11.41, 218400.0, 11.41, 0.08999999999999986, 0.129999999999999, 0.46670964087844663, 0.0, 0.1, -0.1, -0.01202787769784171
'2016-09-21', 11.03, 11.1, 10.93, 11.05, 224000.0, 11.05, -0.08000000000000007, 0.3199999999999985, 0.4872883016130067, 0.0, 0.0, -0.5, -0.009872066082401518
'2016-09-20', 11.11, 11.21, 10.96, 10.98, 153500.0, 10.98, -0.040000000000000924, 0.3999999999999986, 0.5090103688094726, 0.0, 0.0, -0.8, -0.00954095409540953
'2016-09-19', 11.15, 11.36, 10.97, 10.99, 162400.0, 10.99, 0.16000000000000014, 0.4399999999999995, 0.5662386618928646, -1.0, 0.0, -1.0, 0.0
'2016-09-16', 10.99, 11.2, 10.97, 11.08, 321100.0, 11.08, 0.27999999999999936, 0.4299999999999997, 0.605339207019961, 0.0, 0.0, -0.8, 0.0145586897179254
'2016-09-15', 10.71, 11.0, 10.71, 10.99, 169900.0, 10.99, 0.0, -0.9899999999999984, 0.6410425536230456, 0.0, 0.1, -0.5, 0.020541549953314635
'2016-09-14', 10.71, 10.92, 10.65, 10.73, 294300.0, 10.73, 0.0, -1.1999999999999993, 0.6759392642012213, 0.0, 0.5, -0.1, 0.01369436663554309
'2016-09-13', 10.71, 10.87, 10.6, 10.75, 339400.0, 10.75, 0.15000000000000036, -0.9799999999999986, 0.7426618790988712, 0.0, 0.8, -0.1, 0.010270774976657317
'2016-09-12', 10.56, 10.78, 10.28, 10.7, 712300.0, 10.7, -1.1399999999999988, -0.9399999999999995, 0.8989465439551388, 1.0, 1.0, -0.5, 0.01117424242424242
'2016-09-09', 11.7, 11.88, 11.48, 11.49, 142600.0, 11.49, -0.21000000000000085, 0.20999999999999908, 1.0273411745320482, 0.0, 0.8, -0.8, -0.007834757834757821
'2016-09-08', 11.91, 12.0, 11.78, 11.88, 180700.0, 11.88, 0.22000000000000064, 0.6300000000000008, 1.120629832827157, -1.0, 0.5, -1.0, 0.0
'2016-09-07', 11.69, 12.0, 11.69, 11.9, 317300.0, 11.9, 0.1899999999999995, 0.29999999999999893, 1.1904948084258449, 0.0, 0.1, -0.8, 0.018819503849444023
'2016-09-06', 11.5, 11.7, 11.38, 11.69, 307900.0, 11.69, 0.009999999999999787, 0.03999999999999915, 1.2474965597814955, 0.0, 0.5, -0.5, 0.017826086956521745
'2016-09-02', 11.49, 11.59, 11.37, 11.49, 148500.0, 11.49, 0.21000000000000085, 0.10999999999999943, 1.3159373929721057, 0.0, 0.8, -0.1, 0.012184508268059181
'2016-09-01', 11.28, 11.47, 11.28, 11.41, 209600.0, 11.41, -0.11000000000000121, -0.40000000000000036, 1.3650111924653054, 1.0, 1.0, 0.0, 0.013962765957446827
'2016-08-31', 11.39, 11.72, 11.28, 11.31, 299400.0, 11.31, -0.07000000000000028, -0.20999999999999908, 1.4100252558809798, 0.0, 0.8, 0.0, 0.009130816505706752
'2016-08-30', 11.46, 11.62, 11.25, 11.38, 275900.0, 11.38, 0.08000000000000007, -0.1999999999999993, 1.4458223342521106, 0.0, 0.5, 0.0, 0.006544502617801037
'2016-08-29', 11.38, 11.5, 11.33, 11.46, 316200.0, 11.46, -0.29999999999999893, -0.129999999999999, 1.4769782966885088, 0.0, 0.1, 0.0, 0.0066532764248054144
'2016-08-26', 11.68, 11.74, 11.35, 11.41, 431900.0, 11.41, 0.08000000000000007, -0.2599999999999998, 1.5045560437846404, 0.0, 0.0, 0.0, 0.0024614726027397307
'2016-08-25', 11.6, 11.9, 11.52, 11.62, 383900.0, 11.62, -0.0600000000000005, -1.1899999999999995, 1.5064721482102923, 0.0, 0.0, 0.0, 0.0029693486590038364
'2016-08-24', 11.66, 11.74, 11.43, 11.5, 244900.0, 11.5, 0.15000000000000036, -0.4599999999999991, 1.5053296427471736, 0.0, 0.0, 0.0, 0.002144082332761578
'2016-08-23', 11.51, 11.95, 11.51, 11.67, 285700.0, 11.67, -0.4299999999999997, -0.23000000000000043, 1.490569466121366, 0.0, 0.0, 0.0, 0.003159308111523579
'2016-08-22', 11.94, 11.94, 11.34, 11.51, 439500.0, 11.51, -0.8499999999999996, 0.28999999999999915, 1.4723186928560454, 0.0, 0.0, 0.0, -0.00020938023450585818
'2016-08-19', 12.79, 12.93, 11.7, 11.97, 696200.0, 11.97, 0.6699999999999999, 1.3299999999999983, 1.43287515932904, 0.0, 0.0, 0.0, -0.005292596379382926
'2016-08-18', 12.12, 12.8, 12.0, 12.79, 751400.0, 12.79, 0.379999999999999, 0.9599999999999991, 1.3270215605717273, 0.0, 0.0, 0.0, -0.0012376237623762324
'2016-08-17', 11.74, 12.15, 11.59, 12.14, 571100.0, 12.14, 0.08999999999999986, 0.8100000000000005, 1.2579880320928691, 0.0, 0.0, 0.0, 0.0009653605905735374
'2016-08-16', 11.65, 12.0, 11.51, 11.73, 393400.0, 11.73, 0.1899999999999995, 1.0700000000000003, 1.2042866030236417, 0.0, 0.0, 0.0, 0.0013948497854077242
'2016-08-15', 11.46, 11.79, 11.4, 11.75, 399000.0, 11.75, 0.3000000000000007, 0.9600000000000009, 1.128484775656672, 0.0, 0.0, 0.0, 0.002309824453341542
'2016-08-12', 11.16, 11.49, 10.87, 11.45, 394800.0, 11.45, 0.23000000000000043, 1.1899999999999995, 1.0458696009647772, 0.0, 0.0, 0.0, 0.0037335722819593787
'2016-08-11', 10.93, 11.2, 10.91, 11.18, 336000.0, 11.18, 0.34999999999999964, 0.7999999999999989, 0.9782773976059483, 0.0, 0.0, 0.0, 0.004719025376799733
'2016-08-10', 10.58, 10.93, 10.58, 10.92, 407700.0, 10.92, 0.08000000000000007, 0.4900000000000002, 0.9186110287941368, 0.0, 0.0, 0.0, 0.006285444234404538
'2016-08-09', 10.5, 10.7, 10.41, 10.6, 472400.0, 10.6, 0.5299999999999994, 0.5399999999999991, 0.8800823193820503, 0.0, 0.0, 0.0, 0.006394557823129253
'2016-08-08', 9.97, 10.49, 9.75, 10.48, 481000.0, 10.48, -0.16000000000000014, 0.5099999999999998, 0.8099410815334384, 0.0, 0.0, 0.0, 0.008844715966080056
'2016-08-05', 10.13, 10.22, 9.65, 10.17, 331000.0, 10.17, 0.040000000000000924, 1.7800000000000011, 0.7658186614481409, 0.0, 0.0, 0.0, 0.00763981286750504
'2016-08-04', 10.09, 10.17, 9.96, 10.06, 175000.0, 10.06, 0.129999999999999, 1.7799999999999994, 0.6891218244177796, 0.0, 0.0, 0.0, 0.0075156921043937905
'2016-08-03', 9.96, 10.27, 9.78, 10.1, 518100.0, 10.1, 0.5, 1.5200000000000014, 0.595944535077627, 0.0, 0.0, 0.0, 0.007831325301204816
'2016-08-02', 9.46, 10.19, 9.27, 9.86, 1152100.0, 9.86, 1.1100000000000012, 1.0100000000000016, 0.4946644204800754, 0.0, 0.0, 0.0, 0.00996096926329484
'2016-08-01', 8.35, 8.48, 7.75, 8.46, 255100.0, 8.46, 0.03999999999999915, -0.17999999999999972, 0.4218288225756456, 0.0, 0.0, 0.0, 0.015790640940341542
'2016-07-29', 8.31, 8.46, 7.45, 8.35, 236100.0, 8.35, -0.129999999999999, 0.08999999999999986, 0.43056926143059593, 0.0, 0.0, -0.1, 0.015471892728210417
'2016-07-28', 8.44, 8.48, 8.26, 8.31, 187800.0, 8.31, -0.009999999999999787, 0.08000000000000007, 0.4369179938310314, 0.0, 0.1, -0.5, 0.014177153129596342
'2016-07-27', 8.45, 8.53, 8.33, 8.42, 201000.0, 8.42, -0.08000000000000007, 0.09999999999999964, 0.43693236191530704, 0.0, 0.5, -0.8, 0.013648915187376731
'2016-07-26', 8.53, 8.6, 8.4, 8.46, 169900.0, 8.46, 0.3099999999999987, 0.20999999999999908, 0.44984392355077496, -1.0, 0.8, -1.0, 0.012782210793026513
'2016-07-25', 8.22, 8.6, 8.11, 8.53, 237500.0, 8.53, -0.1399999999999988, 0.02000000000000135, 0.4517483321004689, 1.0, 1.0, -0.8, 0.014028284671532843
'2016-07-22', 8.36, 8.36, 7.4, 8.21, 92300.0, 8.21, 0.009999999999999787, 0.21999999999999886, 0.4559527265944232, 0.0, 0.8, -0.5, 0.012867913585616939
'2016-07-21', 8.35, 8.53, 8.25, 8.39, 386200.0, 8.39, 0.02999999999999936, 0.019999999999999574, 0.4451702545718385, 0.0, 0.5, -0.1, 0.012539626629094754
'2016-07-20', 8.32, 8.39, 8.19, 8.35, 298200.0, 8.35, 0.120000000000001, 0.05000000000000071, 0.4319389102896638, 0.0, 0.1, 0.0, 0.012328296703296703
'2016-07-19', 8.2, 8.35, 8.1, 8.3, 326700.0, 8.3, 0.05999999999999872, -0.16000000000000014, 0.4167893152821138, 0.0, 0.0, 0.0, 0.012567750677506779
'2016-07-18', 8.14, 8.27, 8.08, 8.21, 178700.0, 8.21, -0.1899999999999995, -0.27999999999999936, 0.41030666038410296, 0.0, 0.0, 0.0, 0.012517431436350354
'2016-07-15', 8.33, 8.33, 8.05, 8.15, 187300.0, 8.15, 0.0600000000000005, 0.1899999999999995, 0.40071172791532933, 0.0, 0.0, -0.1, 0.011309787072723825
'2016-07-14', 8.27, 8.49, 8.14, 8.26, 172000.0, 8.26, -0.08999999999999986, 0.3899999999999997, 0.37719078579531723, 0.0, 0.0, -0.5, 0.011285771866182993
'2016-07-13', 8.36, 8.36, 8.11, 8.15, 236900.0, 8.15, -0.0600000000000005, 0.7099999999999991, 0.35483078909374377, 0.0, 0.1, -0.8, 0.010616028708133975
'2016-07-12', 8.42, 8.51, 8.33, 8.33, 334500.0, 8.33, 0.27999999999999936, 0.9500000000000002, 0.3177518248920409, -1.0, 0.5, -1.0, 0.0
'2016-07-11', 8.14, 8.34, 7.94, 8.34, 485900.0, 8.34, 0.2600000000000007, 0.4400000000000004, 0.2678077668776618, 0.0, 0.8, -0.8, 0.034398034398034315
'2016-07-08', 7.88, 8.16, 7.87, 8.11, 371000.0, 8.11, 0.22999999999999954, 0.13999999999999968, 0.23758974912417602, 1.0, 1.0, -0.5, 0.03426395939086295
