Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 92.580002, 92.760002, 92.190002, 92.360001, 1821600.0, 92.360001, 3.130004999999997, 5.650001999999986, 1.2406732892106347, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 89.449997, 90.419998, 89.160004, 90.32, 702100.0, 90.32, 0.07999399999999923, 1.6799999999999926, 0.9720412114288972, 0.0, 0.1, -0.8, 0.03499167249832325
'2016-09-20', 89.370003, 89.389999, 88.849998, 89.040001, 690100.0, 89.040001, 1.1600040000000007, 1.240005999999994, 1.00590813558055, 0.0, 0.5, -0.5, 0.017959040462379734
'2016-09-19', 88.209999, 88.480003, 87.849998, 88.089996, 473700.0, 88.089996, 1.2799989999999895, -0.020004000000000133, 1.10343914705295, 0.0, 0.8, -0.1, 0.016513634317881193
'2016-09-16', 86.93, 87.18, 86.699997, 86.860001, 1015900.0, 86.860001, -0.8399969999999968, -0.4499969999999962, 1.1882440962212173, 1.0, 1.0, 0.0, 0.016248711607040108
'2016-09-15', 87.769997, 88.809998, 87.529999, 88.669998, 752100.0, 88.669998, -0.35999999999999943, -0.8700019999999995, 1.2677080887983032, 0.0, 0.8, 0.0, 0.010960476619362286
'2016-09-14', 88.129997, 88.760002, 88.07, 88.32, 557800.0, 88.32, -0.10000599999999338, -2.25, 1.3127084993859304, 0.0, 0.5, 0.0, 0.008415607911571792
'2016-09-13', 88.230003, 88.510002, 87.690002, 88.150002, 933600.0, 88.150002, 0.8500059999999934, -2.539994000000007, 1.3271185628204618, 0.0, 0.1, 0.0, 0.0070432778810109314
'2016-09-12', 87.379997, 88.809998, 87.279999, 88.760002, 884900.0, 88.760002, -1.260002, -2.8400039999999933, 1.3282096874298117, 0.0, 0.0, -0.1, 0.007438780582700166
'2016-09-09', 88.639999, 88.720001, 87.599998, 87.639999, 1170900.0, 87.639999, -1.739998, -0.6800009999999901, 1.3270512162284336, 0.0, 0.0, -0.5, 0.004938832536664515
'2016-09-08', 90.379997, 90.519997, 89.5, 89.540001, 1047900.0, 89.540001, -0.39000000000000057, 2.0999979999999994, 1.325633292247736, 0.0, 0.0, -0.8, 0.0024341724640685597
'2016-09-07', 90.769997, 91.0, 90.360001, 90.82, 607700.0, 90.82, 0.5499960000000073, 2.8900000000000006, 1.2468258857344667, -1.0, 0.0, -1.0, 0.0
'2016-09-06', 90.220001, 90.5, 89.900002, 90.400002, 503400.0, 90.400002, 0.9000010000000032, 1.5200040000000001, 1.1539640431735212, 0.0, 0.0, -0.8, 0.00609616486260078
'2016-09-02', 89.32, 89.809998, 89.089996, 89.639999, 528800.0, 89.639999, 1.0400009999999895, 2.6500019999999864, 1.1291848540939706, 0.0, 0.0, -0.5, 0.0081168663233319
'2016-09-01', 88.279999, 88.529999, 87.919998, 88.470001, 599600.0, 88.470001, 0.40000200000000063, 0.6999970000000104, 1.1978746690163111, 0.0, 0.1, -0.1, 0.009401895590566705
'2016-08-31', 87.879997, 88.199997, 87.599998, 87.970001, 488300.0, 87.970001, -0.8199999999999932, 0.619995000000003, 1.2577809779501539, 0.0, 0.5, 0.0, 0.008221438605647655
'2016-08-30', 88.699997, 88.989998, 88.529999, 88.739998, 718700.0, 88.739998, 2.0299989999999895, 1.0499949999999956, 1.4218287034676143, 0.0, 0.8, 0.0, 0.00466741842167144
'2016-08-29', 86.669998, 87.440002, 86.660004, 87.199997, 722000.0, 87.199997, -0.9100039999999865, -1.25, 1.9254501543979, 1.0, 1.0, 0.0, 0.007884310400776359
'2016-08-26', 87.580002, 88.550003, 86.879997, 87.269997, 863900.0, 87.269997, 0.3199999999999932, 0.31000499999998965, 2.3247514301781473, 0.0, 0.8, 0.0, 0.005203397591022811
'2016-08-25', 87.260002, 87.540001, 87.129997, 87.389999, 417300.0, 87.389999, -0.39000000000000057, -1.110000999999997, 2.662095486617806, 0.0, 0.5, 0.0, 0.00502806973348454
'2016-08-24', 87.650002, 87.709999, 87.239998, 87.360001, 383600.0, 87.360001, -0.2699960000000061, -0.16999799999999254, 2.895482342831445, 0.0, 0.1, 0.0, 0.003955118119804623
'2016-08-23', 87.919998, 88.110001, 87.610001, 87.779999, 334300.0, 87.779999, 0.6500010000000032, 0.3200000000000074, 3.1518920607934877, 0.0, 0.0, 0.0, 0.0032415821938485447
'2016-08-22', 87.269997, 87.650002, 87.129997, 87.559998, 349300.0, 87.559998, -1.1000059999999934, -0.7100059999999928, 3.3381964301506666, 0.0, 0.0, 0.0, 0.003645947394518854
'2016-08-19', 88.370003, 88.400002, 87.919998, 88.18, 507600.0, 88.18, 0.5500030000000038, 0.6100009999999969, 3.5387931350114155, 0.0, 0.0, 0.0, 0.0022632057622539695
'2016-08-18', 87.82, 88.129997, 87.68, 88.050003, 294300.0, 88.050003, 0.2200019999999938, -0.30999700000000985, 3.7705047345862206, 0.0, 0.0, 0.0, 0.0025839540668850716
'2016-08-17', 87.599998, 88.019997, 87.25, 87.860001, 421800.0, 87.860001, -0.38000499999999704, -0.44000300000000436, 4.08107636888489, 0.0, 0.0, -0.1, 0.0025848002873242112
'2016-08-16', 87.980003, 88.25, 87.730003, 87.739998, 698600.0, 87.739998, 0.22000099999999634, 0.1200019999999995, 4.39470657142123, 0.0, 0.0, -0.5, 0.002114112226161216
