Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-09', 0.86, 0.86, 0.86, 0.86, 200.0, 0.86, 0.010000000000000009, 0.020000000000000018, 0.0813524567682023, 0.0, 0.0, -0.8, 0.0
'2016-09-08', 0.85, 0.85, 0.85, 0.85, 0.0, 0.85, 0.0, 0.010000000000000009, 0.08239471396205517, 0.0, 0.0, -0.5, 0.005882352941176476
'2016-09-07', 0.85, 0.85, 0.85, 0.85, 1000.0, 0.85, 0.010000000000000009, 0.010000000000000009, 0.08505488424149041, 0.0, 0.0, -0.1, 0.003921568627450984
'2016-09-06', 0.84, 0.84, 0.84, 0.84, 0.0, 0.84, 0.0, 0.0, 0.0846358211528796, 0.0, 0.0, 0.0, 0.005952380952380958
'2016-09-02', 0.84, 0.84, 0.84, 0.84, 0.0, 0.84, 0.0, 0.0, 0.08416188105206669, 0.0, 0.0, 0.0, 0.004761904761904766
'2016-09-01', 0.84, 0.84, 0.84, 0.84, 0.0, 0.84, 0.0, 0.0, 0.08402380615040002, 0.0, 0.0, 0.0, 0.0039682539682539715
'2016-08-31', 0.84, 0.84, 0.84, 0.84, 0.0, 0.84, 0.0, 0.0, 0.0844485379124799, 0.0, 0.0, 0.0, 0.00340136054421769
'2016-08-30', 0.84, 0.84, 0.84, 0.84, 0.0, 0.84, 0.0, 0.08999999999999997, 0.08461415694525093, 0.0, 0.0, 0.0, 0.002976190476190479
'2016-08-29', 0.84, 0.84, 0.84, 0.84, 0.0, 0.84, 0.0, 0.0, 0.08452218643646177, 0.0, 0.1, 0.0, 0.002645502645502648
'2016-08-26', 0.84, 0.84, 0.84, 0.84, 0.0, 0.84, 0.0, 0.05999999999999994, 0.08417178202277109, 0.0, 0.5, 0.0, 0.002380952380952383
'2016-08-25', 0.84, 0.84, 0.84, 0.84, 1000.0, 0.84, 0.08999999999999997, 0.05999999999999994, 0.08355969256897866, 0.0, 0.8, 0.0, 0.0021645021645021662
'2016-08-24', 0.75, 0.75, 0.75, 0.75, 100.0, 0.75, -0.08999999999999997, -0.050000000000000044, 0.08290891923604415, 1.0, 1.0, 0.0, 0.012222222222222221
'2016-08-23', 0.84, 0.84, 0.84, 0.84, 2000.0, 0.84, 0.05999999999999994, 0.039999999999999925, 0.08293504821378128, 0.0, 0.8, 0.0, 0.0018315018315018332
'2016-08-22', 0.78, 0.78, 0.78, 0.78, 0.0, 0.78, 0.0, -0.020000000000000018, 0.08129780644847275, 0.0, 0.5, 0.0, 0.0073260073260073225
'2016-08-19', 0.78, 0.78, 0.78, 0.78, 3000.0, 0.78, -0.020000000000000018, -0.020000000000000018, 0.08108979933108454, 0.0, 0.1, 0.0, 0.006837606837606833
'2016-08-18', 0.8, 0.8, 0.8, 0.8, 0.0, 0.8, 0.0, -0.029999999999999916, 0.08085927418807459, 0.0, 0.0, 0.0, 0.0046874999999999955
'2016-08-17', 0.8, 0.8, 0.8, 0.8, 11000.0, 0.8, 0.0, 0.0, 0.08234075540095563, 0.0, 0.0, 0.0, 0.0044117647058823485
'2016-08-16', 0.8, 0.8, 0.8, 0.8, 0.0, 0.8, 0.0, 0.0, 0.08345590984998541, 0.0, 0.0, 0.0, 0.004166666666666662
'2016-08-15', 0.8, 0.8, 0.8, 0.8, 1600.0, 0.8, -0.029999999999999916, 0.0, 0.08421929047960977, 0.0, 0.0, 0.0, 0.003947368421052627
'2016-08-12', 0.83, 0.83, 0.83, 0.83, 500.0, 0.83, 0.029999999999999916, 0.10999999999999999, 0.08464041587799533, 0.0, 0.0, 0.0, 0.0018072289156626524
'2016-08-11', 0.8, 0.87, 0.8, 0.87, 11600.0, 0.87, 0.0, -0.07999999999999996, 0.08357365347737021, 0.0, 0.0, 0.0, 0.003571428571428568
'2016-08-10', 0.8, 0.8, 0.8, 0.8, 0.0, 0.8, 0.0, -0.07999999999999996, 0.08325396220134045, 0.0, 0.0, -0.1, 0.0034090909090909055
'2016-08-09', 0.8, 0.8, 0.8, 0.8, 4900.0, 0.8, 0.08000000000000007, -0.07999999999999996, 0.0825893455598239, 0.0, 0.0, -0.5, 0.0032608695652173877
'2016-08-08', 0.72, 0.72, 0.72, 0.72, 400.0, 0.72, -0.16000000000000003, 0.12, 0.08133879763065102, 0.0, 0.0, -0.8, 0.008101851851851851
'2016-08-05', 0.88, 0.88, 0.88, 0.88, 0.0, 0.88, 0.0, 0.31000000000000005, 0.08179174095768402, -1.0, 0.0, -1.0, 0.0
'2016-08-04', 0.88, 0.88, 0.88, 0.88, 0.0, 0.88, 0.0, 0.31000000000000005, 0.07523666363918297, 0.0, 0.1, -0.8, 0.0
'2016-08-03', 0.88, 0.88, 0.88, 0.88, 500.0, 0.88, 0.28, 0.18000000000000005, 0.06666749999479174, 0.0, 0.5, -0.5, 0.0
'2016-08-02', 0.6, 0.6, 0.6, 0.6, 100.0, 0.6, 0.030000000000000027, -0.06000000000000005, 0.05618323197854993, 0.0, 0.8, -0.1, 0.15555555555555559
'2016-08-01', 0.57, 0.57, 0.57, 0.57, 0.0, 0.57, 0.0, -0.26, 0.05429241813243048, 1.0, 1.0, 0.0, 0.1359649122807018
'2016-07-29', 0.57, 0.57, 0.57, 0.57, 0.0, 0.57, -0.13, -0.19000000000000006, 0.05012872319228656, 0.0, 0.8, 0.0, 0.10877192982456144
'2016-07-28', 0.7, 0.7, 0.57, 0.57, 4000.0, 0.57, 0.039999999999999925, -0.030000000000000027, 0.04517250884725748, 0.0, 0.5, 0.0, 0.04285714285714288
'2016-07-27', 0.66, 0.66, 0.66, 0.66, 1100.0, 0.66, -0.16999999999999993, -0.039999999999999925, 0.04517250884725747, 0.0, 0.1, 0.0, 0.04761904761904761
'2016-07-26', 0.83, 0.83, 0.81, 0.81, 10300.0, 0.81, 0.06999999999999995, 0.13, 0.0457784519907201, 0.0, 0.0, 0.0, 0.007530120481927718
'2016-07-25', 0.76, 0.76, 0.76, 0.76, 0.0, 0.76, 0.030000000000000027, 0.06000000000000005, 0.038291281282064986, 0.0, 0.0, 0.0, 0.017543859649122806
'2016-07-22', 0.73, 0.76, 0.73, 0.76, 17400.0, 0.76, 0.030000000000000027, 0.030000000000000027, 0.036386810797320486, 0.0, 0.0, 0.0, 0.020547945205479454
'2016-07-21', 0.7, 0.7, 0.7, 0.7, 0.0, 0.7, 0.0, 0.0, 0.03602622501579769, 0.0, 0.0, 0.0, 0.023376623376623384
'2016-07-20', 0.7, 0.7, 0.7, 0.7, 0.0, 0.7, 0.0, 0.010000000000000009, 0.03646764166886704, 0.0, 0.0, 0.0, 0.02142857142857144
'2016-07-19', 0.7, 0.7, 0.7, 0.7, 0.0, 0.7, 0.0, -0.040000000000000036, 0.03689173349139341, 0.0, 0.0, 0.0, 0.019780219780219786
'2016-07-18', 0.7, 0.7, 0.7, 0.7, 0.0, 0.7, 0.0, -0.040000000000000036, 0.03853425604431578, 0.0, 0.0, -0.1, 0.01836734693877552
'2016-07-15', 0.7, 0.7, 0.7, 0.7, 23000.0, 0.7, 0.010000000000000009, -0.040000000000000036, 0.040040257519429384, 0.0, 0.0, -0.5, 0.017142857142857147
'2016-07-14', 0.69, 0.69, 0.69, 0.69, 2400.0, 0.69, -0.050000000000000044, -0.050000000000000044, 0.04004025751942938, 0.0, 0.0, -0.8, 0.01721014492753624
'2016-07-13', 0.74, 0.74, 0.74, 0.74, 0.0, 0.74, 0.0, 0.09999999999999998, 0.04007770230717102, -1.0, 0.0, -1.0, 0.0
'2016-07-12', 0.74, 0.74, 0.74, 0.74, 0.0, 0.74, 0.0, 0.09999999999999998, 0.038960093543122916, 0.0, 0.1, -0.8, 0.0
'2016-07-11', 0.74, 0.74, 0.74, 0.74, 0.0, 0.74, 0.0, 0.09999999999999998, 0.037735924528226404, 0.0, 0.5, -0.5, 0.0
'2016-07-08', 0.74, 0.74, 0.74, 0.74, 3000.0, 0.74, 0.09999999999999998, 0.09999999999999998, 0.03639444402042095, 0.0, 0.8, -0.1, 0.0
'2016-07-07', 0.64, 0.64, 0.64, 0.64, 0.0, 0.64, 0.0, 0.0, 0.034922135609890104, 1.0, 1.0, 0.0, 0.03906249999999999
'2016-07-06', 0.64, 0.64, 0.64, 0.64, 0.0, 0.64, 0.0, 0.0, 0.03402776643990739, 0.0, 0.8, 0.0, 0.031249999999999993
'2016-07-05', 0.64, 0.64, 0.64, 0.64, 0.0, 0.64, 0.0, 0.0, 0.03311428023610892, 0.0, 0.5, 0.0, 0.02604166666666666
'2016-07-01', 0.64, 0.64, 0.64, 0.64, 0.0, 0.64, 0.0, -0.010000000000000009, 0.03205030767749697, 0.0, 0.1, 0.0, 0.022321428571428565
'2016-06-30', 0.64, 0.64, 0.64, 0.64, 0.0, 0.64, 0.0, -0.010000000000000009, 0.03082026750190348, 0.0, 0.0, 0.0, 0.019531249999999997
'2016-06-29', 0.64, 0.64, 0.64, 0.64, 0.0, 0.64, 0.0, 0.0, 0.02944863701807304, 0.0, 0.0, 0.0, 0.01736111111111111
'2016-06-28', 0.64, 0.64, 0.64, 0.64, 2000.0, 0.64, -0.010000000000000009, -0.05999999999999994, 0.02786674641136914, 0.0, 0.0, 0.0, 0.015624999999999997
'2016-06-27', 0.65, 0.65, 0.65, 0.65, 0.0, 0.65, 0.0, -0.04999999999999993, 0.026042699979499467, 0.0, 0.0, 0.0, 0.012587412587412583
'2016-06-24', 0.65, 0.65, 0.65, 0.65, 5700.0, 0.65, 0.010000000000000009, -0.04999999999999993, 0.02583064502141249, 0.0, 0.0, 0.0, 0.011538461538461534
