Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-08', 12.29, 12.35, 12.21, 12.33, 393900.0, 12.33, 0.27999999999999936, 0.4399999999999995, 0.34258559352209894, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 12.01, 12.43, 12.01, 12.35, 436000.0, 12.35, -0.13000000000000078, 0.08000000000000007, 0.3171233548987242, 0.0, 0.0, -0.8, 0.023313905079100698
'2016-09-06', 12.14, 12.14, 11.84, 12.03, 371500.0, 12.03, 0.3000000000000007, 0.39000000000000057, 0.3063919058983118, 0.0, 0.0, -0.5, 0.006177924217462874
'2016-09-02', 11.84, 12.14, 11.72, 12.12, 420500.0, 12.12, -0.009999999999999787, 0.28999999999999915, 0.28627589645111384, 0.0, 0.0, -0.1, 0.0126689189189189
'2016-09-01', 11.85, 11.88, 11.65, 11.75, 575400.0, 11.75, -0.08000000000000007, 0.4599999999999991, 0.2825353468545523, 0.0, 0.0, 0.0, 0.009282700421940918
'2016-08-31', 11.93, 11.93, 11.67, 11.88, 841900.0, 11.88, 0.17999999999999972, 0.6999999999999993, 0.276220724944543, 0.0, 0.0, 0.0, 0.0060352053646269815
'2016-08-30', 11.75, 12.01, 11.75, 11.94, 436100.0, 11.94, 0.1999999999999993, -0.03999999999999915, 0.26652579612487787, 0.0, 0.1, 0.0, 0.007659574468085095
'2016-08-29', 11.55, 11.81, 11.55, 11.76, 241300.0, 11.76, 0.16000000000000014, -0.08000000000000007, 0.2628098171682329, 0.0, 0.5, 0.0, 0.009152752009894847
'2016-08-26', 11.39, 11.59, 11.28, 11.51, 387900.0, 11.51, 0.16000000000000014, -0.10999999999999943, 0.26294676267259876, 0.0, 0.8, 0.0, 0.009877085162423162
'2016-08-25', 11.23, 11.43, 11.18, 11.37, 393400.0, 11.37, -0.5599999999999987, -0.2400000000000002, 0.2624110431280581, 1.0, 1.0, 0.0, 0.010487780746017599
'2016-08-24', 11.79, 11.88, 11.28, 11.31, 515600.0, 11.31, 0.15999999999999837, 0.5199999999999996, 0.2578046202499525, 0.0, 0.8, 0.0, 0.004240882103477524
'2016-08-23', 11.63, 11.84, 11.56, 11.79, 303700.0, 11.79, 0.13000000000000078, 0.3200000000000003, 0.25265369359834994, 0.0, 0.5, 0.0, 0.0051590713671539
'2016-08-22', 11.5, 11.58, 11.29, 11.55, 566500.0, 11.55, 0.02999999999999936, -0.17999999999999972, 0.25556125597507057, 0.0, 0.1, 0.0, 0.005724637681159414
'2016-08-19', 11.47, 11.53, 11.28, 11.51, 542800.0, 11.51, 0.20000000000000107, -0.2699999999999996, 0.2677312084909042, 0.0, 0.0, 0.0, 0.005499295821876456
'2016-08-18', 11.27, 11.62, 11.25, 11.53, 654700.0, 11.53, -0.040000000000000924, -0.23000000000000043, 0.3055261399982368, 0.0, 0.0, 0.0, 0.006464697680314359
'2016-08-17', 11.31, 11.38, 10.86, 11.27, 1085900.0, 11.27, -0.3699999999999992, -0.3699999999999992, 0.3564790783949786, 0.0, 0.0, 0.0, 0.005776598880047148
'2016-08-16', 11.68, 11.81, 11.28, 11.34, 788500.0, 11.34, -0.0600000000000005, -0.120000000000001, 0.4121678460692116, 0.0, 0.0, 0.0, 0.003264126712328764
'2016-08-15', 11.74, 11.92, 11.72, 11.73, 688800.0, 11.73, 0.2400000000000002, -0.09999999999999964, 0.42180840832460104, 0.0, 0.0, 0.0, 0.0027557871530213395
'2016-08-12', 11.5, 11.73, 11.44, 11.68, 470100.0, 11.68, -0.17999999999999972, -0.6899999999999995, 0.42383172761525695, 0.0, 0.0, 0.0, 0.003816425120772943
'2016-08-11', 11.68, 11.73, 11.4, 11.49, 498400.0, 11.49, -0.120000000000001, 0.5399999999999991, 0.424417116630431, 0.0, 0.0, -0.1, 0.002748738284066328
'2016-08-10', 11.8, 11.82, 11.5, 11.64, 621000.0, 11.64, -0.03999999999999915, 0.7100000000000009, 0.4237588412712537, 0.0, 0.0, -0.5, 0.0020762711864406713
'2016-08-09', 11.84, 11.88, 11.69, 11.79, 637400.0, 11.79, -0.34999999999999964, 1.0199999999999996, 0.42757403517467657, 0.0, 0.0, -0.8, 0.001809845559845557
