Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-05', 12.22, 12.5, 11.7, 11.98, 976400.0, 11.98, 0.22000000000000064, 0.370000000000001, 0.5466707316922033, -1.0, 0.0, -1.0, 0.0
'2016-10-04', 12.0, 12.18, 11.33, 11.37, 349800.0, 11.37, -0.09999999999999964, 1.3200000000000003, 0.5408384437354858, 0.0, 0.0, -0.8, 0.018333333333333385
'2016-10-03', 12.1, 12.25, 11.38, 12.02, 410300.0, 12.02, 0.28999999999999915, 1.5399999999999991, 0.6707890047465662, 0.0, 0.0, -0.5, 0.004958677685950454
'2016-09-30', 11.81, 12.36, 11.77, 11.88, 843800.0, 11.88, -0.03999999999999915, 0.8100000000000005, 0.7091892084157325, 0.0, 0.1, -0.1, 0.01157211402766018
'2016-09-29', 11.85, 12.7, 11.54, 11.74, 1214600.0, 11.74, 1.17, 0.6999999999999993, 0.7826380602381495, 0.0, 0.5, 0.0, 0.007805907172995802
'2016-09-28', 10.68, 11.85, 10.41, 11.81, 1106800.0, 11.81, 0.11999999999999922, -0.7599999999999998, 0.8434045424481792, 0.0, 0.8, 0.0, 0.028838951310861442
'2016-09-27', 10.56, 10.7, 10.3, 10.63, 460900.0, 10.63, -0.4399999999999995, -0.5899999999999999, 0.8752145768641857, 1.0, 1.0, 0.0, 0.02619949494949495
'2016-09-26', 11.0, 11.18, 10.53, 10.82, 455900.0, 10.82, -0.15000000000000036, -0.4800000000000004, 0.9091622517460788, 0.0, 0.8, 0.0, 0.01584415584415585
'2016-09-23', 11.15, 11.22, 10.43, 10.67, 452400.0, 10.67, -0.28999999999999915, -0.6699999999999999, 0.9307115557464624, 0.0, 0.5, 0.0, 0.011995515695067268
'2016-09-22', 11.44, 11.94, 11.17, 11.21, 447300.0, 11.21, 0.28999999999999915, -0.2599999999999998, 0.9591689110891783, 0.0, 0.1, 0.0, 0.007575757575757587
'2016-09-21', 11.15, 11.17, 10.8, 11.06, 391200.0, 11.06, -0.33000000000000007, -0.6600000000000001, 0.9810754303314299, 0.0, 0.0, 0.0, 0.009596412556053814
'2016-09-20', 11.48, 11.62, 10.55, 10.57, 627800.0, 10.57, -0.33999999999999986, -0.25, 0.9831788014168917, 0.0, 0.0, 0.0, 0.005859993664871715
'2016-09-19', 11.82, 11.96, 11.45, 11.54, 451300.0, 11.54, 0.120000000000001, 0.040000000000000924, 0.9888770848234318, 0.0, 0.0, 0.0, 0.0028200789622109443
'2016-09-16', 11.7, 11.88, 11.25, 11.32, 438500.0, 11.32, -0.11000000000000121, -0.14000000000000057, 0.9906675639296072, 0.0, 0.0, 0.0, 0.003418803418803428
'2016-09-15', 11.81, 12.3, 11.71, 11.98, 460500.0, 11.98, 0.08000000000000007, -0.8200000000000003, 1.0444499349737482, 0.0, 0.0, 0.0, 0.0024797387202128954
'2016-09-14', 11.73, 12.44, 11.25, 11.45, 415500.0, 11.45, -0.049999999999998934, -0.5599999999999987, 1.1258742775678325, 0.0, 0.0, -0.1, 0.0027848820687695376
'2016-09-13', 11.78, 12.35, 11.69, 11.77, 765000.0, 11.77, -0.0600000000000005, 0.17999999999999972, 1.1193107502188815, 0.0, 0.0, -0.5, 0.002334465195246187
'2016-09-12', 11.84, 12.75, 11.7, 12.65, 465400.0, 12.65, -0.7900000000000009, 0.6999999999999993, 1.126149585485378, 0.0, 0.0, -0.8, 0.0018879173290938034
