Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 11.97, 12.0, 11.9, 11.95, 17900.0, 11.95, 0.0600000000000005, 0.3000000000000007, 0.12640499286904078, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 11.91, 11.99, 11.9, 11.95, 22900.0, 11.95, 0.019999999999999574, 0.39000000000000057, 0.11640971704382003, 0.0, 0.0, -0.8, 0.005037783375314903
'2016-09-20', 11.89, 11.91, 11.73, 11.84, 23500.0, 11.84, 0.11000000000000121, 0.2900000000000009, 0.1094435420154561, 0.0, 0.1, -0.5, 0.003364171572750213
'2016-09-19', 11.78, 11.89, 11.77, 11.85, 44000.0, 11.85, 0.10999999999999943, 0.17999999999999972, 0.10319399207318229, 0.0, 0.5, -0.1, 0.005376344086021542
'2016-09-16', 11.67, 11.69, 11.52, 11.65, 201900.0, 11.65, 0.15000000000000036, 0.0, 0.1016639343895148, 0.0, 0.8, 0.0, 0.006426735218509012
'2016-09-15', 11.52, 11.74, 11.46, 11.58, 25600.0, 11.58, -0.08000000000000007, -0.2900000000000009, 0.1024998644985555, 1.0, 1.0, 0.0, 0.007812500000000019
'2016-09-14', 11.6, 11.89, 11.59, 11.67, 11300.0, 11.67, 0.0, -0.17999999999999972, 0.09833954782622643, 0.0, 0.8, -0.1, 0.005316091954023003
'2016-09-13', 11.6, 11.72, 11.45, 11.62, 19000.0, 11.62, -0.07000000000000028, -0.030000000000001137, 0.0971939641473002, 0.0, 0.5, -0.5, 0.004556650246305431
'2016-09-12', 11.67, 11.67, 11.42, 11.55, 37500.0, 11.55, -0.14000000000000057, -0.009999999999999787, 0.09593053042002152, 0.0, 0.1, -0.8, 0.003213367609254506
'2016-09-09', 11.81, 11.81, 11.5, 11.64, 21600.0, 11.64, 0.030000000000001137, 0.22000000000000064, 0.09593053042002152, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 11.78, 11.88, 11.68, 11.88, 18300.0, 11.88, 0.14999999999999858, 0.10999999999999943, 0.09635639862279809, 0.0, 0.1, -0.8, 0.00254668930390502
'2016-09-07', 11.63, 11.89, 11.58, 11.82, 23500.0, 11.82, -0.049999999999998934, -0.17999999999999972, 0.09635639862279805, 0.0, 0.5, -0.5, 0.007738607050730856
'2016-09-06', 11.68, 11.84, 11.6, 11.75, 16200.0, 11.75, 0.08999999999999986, -0.0600000000000005, 0.09569918146637067, 0.0, 0.8, -0.1, 0.003710045662100479
'2016-09-02', 11.59, 11.84, 11.5, 11.68, 15600.0, 11.68, -0.08000000000000007, -0.05000000000000071, 0.09600694419328917, 1.0, 1.0, 0.0, 0.0047454702329594615
'2016-09-01', 11.67, 11.75, 11.44, 11.58, 14500.0, 11.58, -0.14000000000000057, -0.16000000000000014, 0.1236913721952973, 0.0, 0.8, 0.0, 0.002399314481576702
'2016-08-31', 11.81, 11.88, 11.47, 11.63, 40800.0, 11.63, 0.07000000000000028, 0.13000000000000078, 0.1389660230256143, 0.0, 0.5, 0.0, 0.0
'2016-08-30', 11.74, 11.87, 11.57, 11.75, 14700.0, 11.75, 0.09999999999999964, 0.0600000000000005, 0.14656814873028262, 0.0, 0.1, 0.0, 0.000851788756388419
'2016-08-29', 11.64, 11.79, 11.61, 11.68, 10000.0, 11.68, -0.1899999999999995, -0.20999999999999908, 0.15758454520951254, 0.0, 0.0, 0.0, 0.0018256013745704459
'2016-08-26', 11.83, 11.88, 11.68, 11.76, 9000.0, 11.76, 0.15000000000000036, 0.009999999999999787, 0.16611542172036095, 0.0, 0.0, -0.1, -0.00018784634169249152
'2016-08-25', 11.68, 11.81, 11.68, 11.77, 9300.0, 11.77, 0.0, -0.14000000000000057, 0.16224946498798976, 0.0, 0.0, -0.5, 0.0011130136986301437
'2016-08-24', 11.68, 11.87, 11.64, 11.79, 28500.0, 11.79, -0.16999999999999993, -0.009999999999999787, 0.17882455710059028, 0.0, 0.0, -0.8, 0.0010118306351183126
'2016-08-23', 11.85, 11.89, 11.65, 11.74, 17000.0, 11.74, 0.02999999999999936, 0.11999999999999922, 0.17930390093048437, -1.0, 0.0, -1.0, 0.0
'2016-08-22', 11.82, 11.82, 11.6, 11.78, 14100.0, 11.78, 0.0, 0.2699999999999996, 0.18023102458295653, 0.0, 0.0, -0.8, 0.0025380710659897937
'2016-08-19', 11.82, 11.82, 11.66, 11.7, 22400.0, 11.7, 0.13000000000000078, 0.3000000000000007, 0.17604166173570027, 0.0, 0.0, -0.5, 0.0012690355329948969
'2016-08-18', 11.69, 11.83, 11.65, 11.78, 16200.0, 11.78, -0.040000000000000924, 0.10999999999999943, 0.17261678816255274, 0.0, 0.0, -0.1, 0.004562303963501572
'2016-08-17', 11.73, 11.83, 11.51, 11.65, 20100.0, 11.65, 0.17999999999999972, 0.3000000000000007, 0.17182710948961344, 0.0, 0.0, 0.0, 0.0025575447570332314
'2016-08-16', 11.55, 11.75, 11.44, 11.68, 18700.0, 11.68, 0.030000000000001137, -0.14999999999999858, 0.17369481537711173, 0.0, 0.1, 0.0, 0.005194805194805177
'2016-08-15', 11.52, 11.61, 11.47, 11.55, 21000.0, 11.55, -0.0600000000000005, -0.15000000000000036, 0.17548947420160446, 0.0, 0.5, 0.0, 0.004774305555555556
'2016-08-12', 11.58, 11.7, 11.54, 11.6, 16000.0, 11.6, 0.15000000000000036, -0.05000000000000071, 0.17548947420160446, 0.0, 0.8, 0.0, 0.003330866025166538
'2016-08-11', 11.43, 11.77, 11.43, 11.59, 25900.0, 11.59, -0.2699999999999996, -0.28000000000000114, 0.17703263980282166, 1.0, 1.0, 0.0, 0.004593175853018372
'2016-08-10', 11.7, 11.71, 11.48, 11.6, 15500.0, 11.570001, 0.02999999999999936, -0.05000000000000071, 0.17414553300807548, 0.0, 0.8, 0.0, 0.0014245014245014278
'2016-08-09', 11.67, 11.76, 11.63, 11.7, 16100.0, 11.669741, 0.03999999999999915, -0.05000000000000071, 0.19118373942943545, 0.0, 0.5, 0.0, 0.0015424164524421569
'2016-08-08', 11.63, 11.78, 11.56, 11.75, 15200.0, 11.719612, -0.08000000000000007, -0.08999999999999986, 0.21733128833393722, 0.0, 0.1, 0.0, 0.0017196904557179617
'2016-08-05', 11.71, 11.8, 11.6, 11.78, 19900.0, 11.749534, -0.03999999999999915, 0.05000000000000071, 0.2270144390904587, 0.0, 0.0, 0.0, 0.0009962994591517136
'2016-08-04', 11.75, 11.78, 11.51, 11.67, 7500.0, 11.639819, 0.02999999999999936, 0.08000000000000007, 0.2361600210779877, 0.0, 0.0, 0.0, 0.0006546644844517162
'2016-08-03', 11.72, 11.8, 11.58, 11.77, 15700.0, 11.739561, 0.0, -0.09999999999999964, 0.2506223365056587, 0.0, 0.0, 0.0, 0.0007922964407605984
'2016-08-02', 11.72, 11.84, 11.53, 11.71, 11600.0, 11.679716, 0.0600000000000005, -0.05999999999999872, 0.25529503629243483, 0.0, 0.0, -0.1, 0.0007394766780432253
'2016-08-01', 11.66, 11.74, 11.57, 11.69, 9400.0, 11.659767, -0.009999999999999787, -0.05000000000000071, 0.25646225626569097, 0.0, 0.0, -0.5, 0.001018439108061747
'2016-07-29', 11.67, 11.87, 11.46, 11.76, 49200.0, 11.729587, -0.15000000000000036, 0.019999999999999574, 0.2596116758202956, 0.0, 0.0, -0.8, 0.00090730379555421
