Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-06', 19.75, 19.84, 19.1, 19.639999, 11500.0, 19.540808, 0.17999999999999972, 0.4800000000000004, 0.2669905496459233, -1.0, 0.1, -1.0, 0.0
'2016-09-02', 19.57, 19.889999, 19.57, 19.780001, 10800.0, 19.680102, 0.23000000000000043, 0.33999999999999986, 0.26875858382200557, 0.0, 0.5, -0.8, 0.009197751660705146
'2016-09-01', 19.34, 19.58, 19.040001, 19.57, 5800.0, 19.471162, 0.2199990000000014, -0.14999999999999858, 0.28272161321344014, 0.0, 0.8, -0.5, 0.010599793174767325
'2016-08-31', 19.120001, 19.58, 18.5, 19.43, 16700.0, 19.331869, -0.1499990000000011, -0.2199990000000014, 0.28966039816814615, 1.0, 1.0, -0.1, 0.010983245590137114
'2016-08-30', 19.27, 19.450001, 19.209999, 19.33, 10500.0, 19.232374, 0.03999999999999915, -0.46000000000000085, 0.29222225959059367, 0.0, 0.8, 0.0, 0.006227296315516352
'2016-08-29', 19.23, 19.25, 19.049999, 19.25, 2500.0, 19.152778, -0.259999999999998, -0.2699999999999996, 0.3129232507611075, 0.0, 0.5, 0.0, 0.005408216328653142
'2016-08-26', 19.49, 19.5, 18.49, 19.08, 5800.0, 18.983637, 0.14999999999999858, -0.30000100000000174, 0.3827478006907363, 0.0, 0.1, 0.0, 0.0022233624080725293
'2016-08-25', 19.34, 19.5, 19.219999, 19.49, 7600.0, 19.391566, -0.39000000000000057, -0.1700000000000017, 0.4142375782087644, 0.0, 0.0, 0.0, 0.0030285123356478074
'2016-08-24', 19.73, 19.889999, 17.379999, 19.639999, 23800.0, 19.540808, 0.23000000000000043, -0.050000999999998186, 0.4646483710413428, 0.0, 0.0, 0.0, 0.00012671059300557256
'2016-08-23', 19.5, 20.0, 18.6, 19.76, 22000.0, 19.660203, -0.2900010000000002, -0.4200000000000017, 0.4707473967122636, 0.0, 0.0, 0.0, 0.0014245014245014246
'2016-08-22', 19.790001, 19.85, 19.379999, 19.610001, 15700.0, 19.510961, 0.2800009999999986, -0.2999989999999997, 0.5515556924637611, 0.0, 0.0, 0.0, -0.00020212732682530017
'2016-08-19', 19.51, 19.92, 19.48, 19.9, 24000.0, 19.799495, -0.27000099999999705, -0.889999999999997, 0.6094735458302756, 0.0, 0.0, 0.0, 0.0011183076277899372
'2016-08-18', 19.780001, 19.780001, 19.34, 19.49, 9600.0, 19.391566, -0.1399990000000031, -0.01999800000000107, 0.681101566810247, 0.0, 0.0, 0.0, -0.00012639449984523348
'2016-08-17', 19.92, 20.290001, 19.32, 19.620001, 15800.0, 19.52091, -0.16999999999999815, -0.0799999999999983, 0.7428146841576521, 0.0, 0.0, 0.0, -0.0006564720420142172
'2016-08-16', 20.09, 20.09, 19.66, 19.879999, 17100.0, 19.779596, -0.3099999999999987, 0.23999999999999844, 0.8097006881834218, 0.0, 0.0, 0.0, -0.0012088459077010591
'2016-08-15', 20.4, 20.469999, 20.01, 20.25, 25600.0, 20.147728, 0.6000009999999989, 0.6499999999999986, 0.8761260536400893, 0.0, 0.0, 0.0, -0.002124183006535943
'2016-08-12', 19.799999, 20.0, 19.76, 19.940001, 10200.0, 19.839294, -0.20000100000000032, -0.19000099999999875, 0.8922692038469384, 0.0, 0.0, 0.0, -0.00015782513423359164
'2016-08-11', 20.0, 20.0, 19.809999, 19.9, 5800.0, 19.799495, 0.14999999999999858, 0.37999900000000153, 0.933957214996874, 0.0, 0.0, 0.0, -0.0007352941176470588
'2016-08-10', 19.85, 20.1, 19.85, 19.91, 5100.0, 19.809445, 0.10000000000000142, 0.120000000000001, 1.0079038790150603, 0.0, 0.0, 0.0, -0.00027987685418416294
'2016-08-09', 19.75, 20.209999, 19.75, 20.209999, 20200.0, 20.107929, -0.23999999999999844, -0.010000000000001563, 1.0825903306423315, 0.0, 0.0, 0.0, 0.0
'2016-08-08', 19.99, 19.99, 19.719999, 19.790001, 7000.0, 19.690052, 0.36999899999999997, 0.22999999999999687, 1.1459757186686346, 0.0, 0.0, 0.0, -0.0006003001500750337
