Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 27.299999, 27.360001, 27.139999, 27.290001, 204200.0, 27.290001, 0.26999800000000107, 0.869999, 1.3606167244633183, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 27.030001, 27.43, 26.92, 27.290001, 383500.0, 27.290001, 1.1699999999999982, 0.6600000000000001, 1.3686317515437576, 0.0, 0.0, -0.8, 0.009988826859458906
'2016-09-21', 25.860001, 26.83, 25.379999, 26.780001, 196400.0, 26.780001, -0.18999799999999922, -0.4599989999999998, 1.3589679673194528, 0.0, 0.0, -0.5, 0.027842187631779272
'2016-09-20', 26.049999, 26.219999, 25.75, 25.75, 126800.0, 25.75, -0.38000100000000003, 0.36999899999999997, 1.2997689455866532, 0.0, 0.0, -0.1, 0.015994882251882878
'2016-09-19', 26.43, 26.66, 25.92, 26.08, 145500.0, 26.08, 0.059999000000001246, 0.2699999999999996, 1.2460076974081256, 0.0, 0.0, 0.0, 0.008229275444570564
'2016-09-16', 26.370001, 26.68, 26.26, 26.379999, 90300.0, 26.379999, 0.050000999999998186, 0.8299999999999983, 1.2086288054376608, 0.0, 0.0, 0.0, 0.007053454415872046
'2016-09-15', 26.32, 26.75, 26.200001, 26.620001, 114100.0, 26.620001, 0.6400000000000006, -0.4499999999999993, 1.165388731234871, 0.0, 0.0, 0.0, 0.006205667426545082
'2016-09-14', 25.68, 26.450001, 25.65, 26.25, 229100.0, 26.25, -0.4800000000000004, -1.990000000000002, 1.112738031783826, 0.0, 0.0, 0.0, 0.009012010458388963
'2016-09-13', 26.16, 26.43, 25.26, 25.67, 199200.0, 25.67, 0.619999, -1.7600000000000016, 1.029375600902668, 0.0, 0.0, 0.0, 0.005447242928134554
'2016-09-12', 25.540001, 26.469999, 25.469999, 26.299999, 235400.0, 26.299999, -1.2299989999999994, -2.459999, 1.2141227775368226, 0.0, 0.0, 0.0, 0.007656825594225047
'2016-09-09', 26.77, 26.889999, 25.66, 25.76, 255800.0, 25.76, -0.9000000000000021, -1.1899990000000003, 1.3669959360097097, 0.0, 0.0, 0.0, 0.001979824430332462
'2016-09-08', 27.67, 27.74, 26.84, 26.940001, 189600.0, 26.940001, -0.25, -0.5799999999999983, 1.5325432492720434, 0.0, 0.0, 0.0, -0.0012156290041725598
'2016-09-07', 27.92, 27.92, 27.299999, 27.77, 151000.0, 27.77, -0.0799999999999983, -0.8899989999999995, 1.700993274478957, 0.0, 0.0, 0.0, -0.0018505282951289457
