Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-06', 6.05, 6.09, 5.77, 5.94, 31100.0, 5.841346, 0.22999999999999954, 0.25, 0.1784700410588723, -1.0, 0.0, -1.0, 0.0
'2016-09-02', 5.82, 6.05, 5.76, 6.05, 75600.0, 5.949519, -0.040000000000000036, 0.2400000000000002, 0.1878782111428098, 0.0, 0.0, -0.8, 0.039518900343642534
'2016-09-01', 5.86, 5.86, 5.7, 5.75, 19500.0, 5.654502, 0.0600000000000005, 0.2600000000000007, 0.1928684064905972, 0.0, 0.1, -0.5, 0.016211604095563097
'2016-08-31', 5.8, 5.88, 5.79, 5.85, 15100.0, 5.752841, 0.0, 0.20000000000000018, 0.20150654800499387, 0.0, 0.5, -0.1, 0.014367816091954025
'2016-08-30', 5.8, 5.84, 5.69, 5.84, 27800.0, 5.743007, 0.21999999999999975, 0.05999999999999961, 0.20230587402907182, 0.0, 0.8, 0.0, 0.010775862068965518
'2016-08-29', 5.58, 5.73, 5.55, 5.68, 33500.0, 5.585664, -0.019999999999999574, -0.17999999999999972, 0.20165454509024977, 1.0, 1.0, 0.0, 0.01684587813620071
'2016-08-26', 5.6, 5.66, 5.56, 5.62, 31200.0, 5.526661, 0.0, -0.22000000000000064, 0.19036689721575958, 0.0, 0.8, 0.0, 0.01339285714285715
'2016-08-25', 5.6, 5.65, 5.58, 5.61, 26600.0, 5.516827, -0.14000000000000057, -0.3200000000000003, 0.1762119935380866, 0.0, 0.5, 0.0, 0.0114795918367347
'2016-08-24', 5.74, 5.74, 5.6, 5.63, 28700.0, 5.536495, -0.019999999999999574, -0.08999999999999986, 0.16304873163839356, 0.0, 0.1, 0.0, 0.006750871080139364
'2016-08-23', 5.76, 5.92, 5.76, 5.77, 13900.0, 5.674169, -0.0600000000000005, -0.10000000000000053, 0.15357083056361973, 0.0, 0.0, 0.0, 0.005594135802469137
'2016-08-22', 5.82, 5.85, 5.7, 5.76, 21700.0, 5.664336, -0.09999999999999964, -0.16000000000000014, 0.15018655066283396, 0.0, 0.0, 0.0, 0.003951890034364253
'2016-08-19', 5.92, 5.92, 5.74, 5.86, 63900.0, 5.762675, 0.08999999999999986, 0.03000000000000025, 0.15484903042067205, 0.0, 0.0, 0.0, 0.0019963144963144946
'2016-08-18', 5.83, 5.85, 5.8, 5.83, 9200.0, 5.733173, -0.03000000000000025, -0.040000000000000036, 0.17306517718927616, 0.0, 0.0, 0.0, 0.0031446540880503107
'2016-08-17', 5.86, 5.86, 5.67, 5.79, 35700.0, 5.693837, -0.1200000000000001, 0.03000000000000025, 0.19307482717560284, 0.0, 0.0, 0.0, 0.0024940929377789377
'2016-08-16', 5.98, 5.99, 5.86, 5.88, 27600.0, 5.782343, 0.09000000000000075, 0.11000000000000032, 0.20921440358318233, 0.0, 0.0, 0.0, 0.0008361204013377855
'2016-08-15', 5.89, 6.09, 5.81, 6.03, 78900.0, 5.929851, 0.019999999999999574, -0.23000000000000043, 0.21810522435028676, 0.0, 0.0, 0.0, 0.0018109790605546142
'2016-08-12', 5.87, 5.9, 5.79, 5.83, 38600.0, 5.733173, 0.040000000000000036, -0.08000000000000007, 0.224904918181489, 0.0, 0.0, 0.0, 0.0019165247018739322
'2016-08-11', 5.83, 5.9, 5.8, 5.83, 27500.0, 5.733173, -0.040000000000000036, -0.16000000000000014, 0.2404126082846369, 0.0, 0.0, 0.0, 0.002219755826859043
'2016-08-10', 5.87, 5.98, 5.75, 5.83, 55500.0, 5.733173, -0.25, -0.22999999999999954, 0.2576224627887354, 0.0, 0.0, 0.0, 0.0017035775127768288
'2016-08-09', 6.12, 6.12, 5.69, 5.9, 129700.0, 5.80201, 0.16999999999999993, 0.08000000000000007, 0.27759202678271105, 0.0, 0.0, 0.0, -0.0006019951840385301
'2016-08-08', 5.95, 6.07, 5.95, 6.03, 36000.0, 5.929851, -0.040000000000000036, -0.20999999999999996, 0.3024668944235423, 0.0, 0.0, 0.0, 0.0008403361344537785
'2016-08-05', 5.99, 6.0, 5.91, 5.99, 25000.0, 5.890515, -0.10999999999999943, -0.13999999999999968, 0.3214392978809876, 0.0, 0.0, 0.0, 0.00047698545194371257
'2016-08-04', 6.1, 6.1, 5.94, 6.0, 40000.0, 5.900349, 0.05999999999999961, -0.15000000000000036, 0.3307842532863713, 0.0, 0.0, 0.0, -0.00037257824143069915
'2016-08-03', 6.04, 6.13, 5.97, 6.05, 31900.0, 5.949519, -0.1200000000000001, -0.009999999999999787, 0.3328736830824704, 0.0, 0.0, 0.0, 7.198387561186141e-05
'2016-08-02', 6.16, 6.2, 6.02, 6.08, 20100.0, 5.979021, 0.03000000000000025, 0.07000000000000028, 0.34505732213004203, 0.0, 0.0, 0.0, -0.0007440476190476212
'2016-08-01', 6.13, 6.21, 6.02, 6.12, 33800.0, 6.018356, -0.1200000000000001, -0.15000000000000036, 0.35827922072037616, 0.0, 0.0, 0.0, -0.0005220228384991848
'2016-07-29', 6.25, 6.25, 6.0, 6.08, 23700.0, 5.979021, 0.20000000000000018, -0.019999999999999574, 0.37143505488846906, 0.0, 0.0, 0.0, -0.001230769230769232
'2016-07-28', 6.05, 6.29, 5.99, 6.19, 21600.0, 6.087194, -0.040000000000000036, -0.15000000000000036, 0.377338780879405, 0.0, 0.0, 0.0, 0.0
'2016-07-27', 6.09, 6.27, 6.0, 6.05, 26700.0, 5.949519, -0.1900000000000004, -0.1900000000000004, 0.39134582603568874, 0.0, 0.0, 0.0, -0.00023457658925639244
'2016-07-26', 6.28, 6.35, 6.07, 6.13, 45100.0, 6.028191, 0.010000000000000675, 0.1299999999999999, 0.40305072743872933, 0.0, 0.0, 0.0, -0.0012629035800571075
'2016-07-25', 6.27, 6.35, 6.15, 6.23, 59000.0, 6.12653, 0.0699999999999994, 0.14999999999999947, 0.39886004228718286, 0.0, 0.0, 0.0, -0.0011695906432748525
'2016-07-22', 6.2, 6.29, 6.14, 6.23, 28500.0, 6.12653, -0.08000000000000007, 0.03000000000000025, 0.3878138155810795, 0.0, 0.0, 0.0, -0.000780437044745059
'2016-07-21', 6.28, 6.28, 6.13, 6.14, 31200.0, 6.038024, 0.1299999999999999, 0.1800000000000006, 0.37293505541254174, 0.0, 0.0, 0.0, -0.0011445063694267537
'2016-07-20', 6.15, 6.25, 6.13, 6.23, 57500.0, 6.12653, 0.03000000000000025, -0.08999999999999986, 0.3527071495353239, 0.0, 0.0, 0.0, -0.0004927322000492758
'2016-07-19', 6.12, 6.15, 6.06, 6.13, 25400.0, 6.028191, -0.04999999999999982, 0.0600000000000005, 0.3357891203319925, 0.0, 0.0, -0.1, -0.00033640907343329625
'2016-07-18', 6.17, 6.19, 6.05, 6.12, 24900.0, 6.018356, 0.07000000000000028, 0.34999999999999964, 0.32071101564423304, 0.0, 0.0, -0.5, -0.0005556841861542029
'2016-07-15', 6.1, 6.22, 6.04, 6.12, 51100.0, 6.018356, -0.14000000000000057, 0.35999999999999943, 0.2993207124288074, 0.0, 0.0, -0.8, -0.00022768670309653835
'2016-07-14', 6.24, 6.25, 5.99, 6.07, 84400.0, 5.969187, 0.1800000000000006, 0.6400000000000006, 0.28029845205106324, -1.0, 0.0, -1.0, 0.0
