Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-05', 8.31, 8.39, 8.0, 8.09, 94900.0, 8.09, 0.02000000000000135, 0.28000000000000114, 0.3821581987723001, -1.0, 0.0, -1.0, 0.0
'2016-10-04', 8.29, 8.49, 8.22, 8.28, 110000.0, 8.28, 0.33999999999999897, 0.3099999999999987, 0.3834956178222756, 0.0, 0.0, -0.8, 0.0024125452352233233
'2016-10-03', 7.95, 8.29, 7.85, 8.27, 163700.0, 8.27, -0.1299999999999999, 0.0600000000000005, 0.37281452046113583, 0.0, 0.0, -0.5, 0.022641509433962283
'2016-09-30', 8.08, 8.13, 7.96, 8.0, 221500.0, 8.0, 0.05000000000000071, 0.1900000000000004, 0.37646321939275235, 0.0, 0.0, -0.1, 0.009488448844884504
'2016-09-29', 8.03, 8.1, 7.93, 8.08, 113300.0, 8.08, 0.049999999999998934, 0.049999999999998934, 0.37068704979927325, 0.0, 0.0, 0.0, 0.008717310087173137
'2016-09-28', 7.98, 8.12, 7.88, 8.03, 236200.0, 8.03, 0.09000000000000075, 0.20000000000000018, 0.3577522420148708, 0.0, 0.0, 0.0, 0.008270676691729324
'2016-09-27', 7.89, 8.03, 7.81, 7.95, 156300.0, 7.95, 0.0, 0.35999999999999943, 0.3443480151758618, 0.0, 0.0, 0.0, 0.008871989860583034
'2016-09-26', 7.89, 7.95, 7.78, 7.91, 76100.0, 7.91, -0.09000000000000075, 0.29000000000000004, 0.3385001230920505, 0.0, 0.1, 0.0, 0.007604562737642601
'2016-09-23', 7.98, 8.1, 7.89, 7.98, 127100.0, 7.98, 0.20000000000000018, 0.39000000000000057, 0.33456372918905736, 0.0, 0.5, 0.0, 0.005169172932330828
'2016-09-22', 7.78, 8.04, 7.71, 8.03, 145200.0, 8.03, 0.25, 0.08999999999999986, 0.31728991299581033, 0.0, 0.8, 0.0, 0.007569265924021712
'2016-09-21', 7.53, 7.77, 7.5, 7.77, 80700.0, 7.77, -0.0699999999999994, -0.14999999999999947, 0.30750176151256975, 1.0, 1.0, 0.0, 0.010358565737051796
'2016-09-20', 7.6, 7.66, 7.48, 7.53, 89900.0, 7.53, 0.009999999999999787, -0.16999999999999993, 0.30468271292535704, 0.0, 0.8, 0.0, 0.008492822966507187
'2016-09-19', 7.59, 7.77, 7.51, 7.54, 177200.0, 7.54, -0.10000000000000053, -0.16000000000000014, 0.3004322811476083, 0.0, 0.5, 0.0, 0.007905138339920955
'2016-09-16', 7.69, 7.7, 7.47, 7.49, 543200.0, 7.49, 0.010000000000000675, 0.11000000000000032, 0.29657976255226104, 0.0, 0.1, 0.0, 0.0062018605581674515
'2016-09-15', 7.68, 7.75, 7.53, 7.7, 124300.0, 7.7, -0.08999999999999986, 0.1200000000000001, 0.2868970004877863, 0.0, 0.0, 0.0, 0.005859375000000008
'2016-09-14', 7.77, 7.84, 7.58, 7.7, 158800.0, 7.7, 0.019999999999999574, 0.22999999999999954, 0.2787729063831946, 0.0, 0.0, 0.0, 0.004633204633204642
'2016-09-13', 7.75, 7.81, 7.61, 7.79, 192700.0, 7.79, 0.16999999999999993, 0.13999999999999968, 0.26666749999869793, 0.0, 0.0, 0.0, 0.004516129032258068
'2016-09-12', 7.58, 7.86, 7.53, 7.86, 204700.0, 7.86, 0.020000000000000462, -0.019999999999999574, 0.2976007765820215, 0.0, 0.0, 0.0, 0.005665062858916657
'2016-09-09', 7.56, 7.73, 7.55, 7.65, 230800.0, 7.65, 0.019999999999999574, -0.13000000000000078, 0.3268688150041577, 0.0, 0.0, 0.0, 0.005511463844797186
'2016-09-08', 7.54, 7.7, 7.53, 7.68, 136900.0, 7.68, -0.07000000000000028, 0.27000000000000046, 0.36367338826663326, 0.0, 0.0, -0.1, 0.005374842942901022
'2016-09-07', 7.61, 7.73, 7.48, 7.62, 319600.0, 7.62, 0.010000000000000675, 0.39000000000000057, 0.3872547252419553, 0.0, 0.0, -0.5, 0.004599211563731932
'2016-09-06', 7.6, 7.65, 7.49, 7.63, 236200.0, 7.63, -0.09000000000000075, 0.34999999999999964, 0.40379532769296217, 0.0, 0.0, -0.8, 0.004448621553884717
'2016-09-02', 7.69, 7.69, 7.46, 7.6, 149500.0, 7.6, 0.4200000000000008, 0.6900000000000004, 0.4288725529416247, -1.0, 0.0, -1.0, 0.0
'2016-09-01', 7.27, 7.64, 7.25, 7.63, 274600.0, 7.63, 0.04999999999999982, 0.3799999999999999, 0.4401495957815555, 0.0, 0.0, -0.8, 0.05777166437414042
'2016-08-31', 7.22, 7.32, 7.07, 7.29, 149600.0, 7.29, -0.03000000000000025, 0.3199999999999994, 0.45658831444627324, 0.0, 0.0, -0.5, 0.03254847645429367
'2016-08-30', 7.25, 7.47, 7.18, 7.24, 148700.0, 7.24, 0.25, 0.41000000000000014, 0.4687453703475078, 0.0, 0.0, -0.1, 0.02022988505747128
'2016-08-29', 7.0, 7.42, 6.97, 7.28, 202300.0, 7.28, 0.11000000000000032, 0.1299999999999999, 0.47844145119567366, 0.0, 0.1, 0.0, 0.024642857142857157
'2016-08-26', 6.89, 7.06, 6.88, 6.98, 127100.0, 6.98, -0.010000000000000675, -0.1200000000000001, 0.4852651050943414, 0.0, 0.5, 0.0, 0.02322206095791004
