Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-19', 11.65, 11.65, 10.96, 11.1, 26000.0, 11.1, 0.8499999999999996, 1.0500000000000007, 0.8419559898764832, -1.0, 0.0, -1.0, 0.0
'2016-09-16', 10.8, 10.8, 10.46, 10.46, 4400.0, 10.46, -0.29999999999999893, 0.0, 0.9107093694233939, 0.0, 0.1, -0.8, 0.07870370370370366
'2016-09-15', 11.1, 11.1, 10.89, 10.89, 900.0, 10.89, 0.4299999999999997, 0.019999999999999574, 0.9759050500262136, 0.0, 0.5, -0.5, 0.024774774774774806
'2016-09-14', 10.67, 11.01, 10.67, 11.01, 3200.0, 11.01, 0.07000000000000028, -0.75, 1.0414947058061421, 0.0, 0.8, -0.1, 0.030615432677288362
'2016-09-13', 10.6, 11.4, 10.38, 11.0, 12500.0, 11.0, -0.20000000000000107, -0.5500000000000007, 1.0967208193316818, 1.0, 1.0, 0.0, 0.024764150943396245
'2016-09-12', 10.8, 10.87, 10.63, 10.63, 22000.0, 10.63, -0.27999999999999936, -0.9399999999999995, 1.1462254965271403, 0.0, 0.8, 0.0, 0.015740740740740736
'2016-09-09', 11.08, 11.27, 11.0, 11.2, 3600.0, 11.2, -0.33999999999999986, -0.3699999999999992, 1.184449051481555, 0.0, 0.5, 0.0, 0.00857400722021661
'2016-09-08', 11.42, 12.07, 11.0, 11.0, 22700.0, 11.0, 0.2699999999999996, -0.23000000000000043, 1.2187417919951526, 0.0, 0.1, 0.0, 0.0028771578684013066
'2016-09-07', 11.15, 11.53, 11.15, 11.5, 17900.0, 11.5, -0.5899999999999999, 0.05000000000000071, 1.2341639095175145, 0.0, 0.0, 0.0, 0.005605381165919282
'2016-09-06', 11.74, 11.74, 11.5, 11.64, 10600.0, 11.64, 0.2900000000000009, -0.25, 1.2556286163600374, 0.0, 0.0, 0.0, -0.0008517887563884144
'2016-09-02', 11.45, 11.87, 11.2, 11.57, 12800.0, 11.57, -0.20000000000000107, -0.620000000000001, 1.2670446804364173, 0.0, 0.0, 0.0, 0.0017467248908297037
'2016-09-01', 11.65, 11.65, 11.25, 11.37, 4400.0, 11.37, 0.5500000000000007, -0.6999999999999993, 1.2808903153666205, 0.0, 0.0, 0.0, 0.0
'2016-08-31', 11.1, 11.5, 11.01, 11.5, 3900.0, 11.5, -0.8900000000000006, -0.9000000000000004, 1.2816196783757654, 0.0, 0.0, 0.0, 0.004129129129129135
