Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-11', 10.04, 10.04, 9.22, 9.68, 14700.0, 9.68, 0.02999999999999936, 1.209999999999999, 0.86598280711699, -1.0, 0.1, -1.0, 0.0
'2016-10-10', 10.01, 10.44, 9.9, 10.0, 12500.0, 10.0, 0.6500000000000004, 1.17, 0.8624603694598894, 0.0, 0.5, -0.8, 0.0029970029970029332
'2016-10-07', 9.36, 10.06, 9.02, 10.06, 33400.0, 10.06, 0.6099999999999994, 0.03999999999999915, 0.8514602489579626, 0.0, 0.8, -0.5, 0.036324786324786314
'2016-10-06', 8.75, 9.46, 8.68, 9.37, 58800.0, 9.37, -0.08000000000000007, -0.35999999999999943, 0.8619361280796211, 1.0, 1.0, -0.1, 0.04914285714285711
'2016-10-05', 8.83, 8.98, 8.57, 8.98, 21700.0, 8.98, -0.009999999999999787, -0.3699999999999992, 0.8953209232200237, 0.0, 0.8, 0.0, 0.03425821064552659
'2016-10-04', 8.84, 9.04, 8.75, 8.8, 15900.0, 8.8, -0.4800000000000004, -0.3100000000000005, 0.9086524821587918, 0.0, 0.5, 0.0, 0.02714932126696831
'2016-10-03', 9.32, 9.54, 8.86, 8.95, 93000.0, 8.95, 0.21000000000000085, 0.1899999999999995, 0.9265405189916592, 0.0, 0.1, 0.0, 0.012875536480686674
'2016-09-30', 9.11, 9.54, 8.56, 9.51, 85900.0, 9.51, -0.08999999999999986, -0.5700000000000003, 0.9239514176742315, 0.0, 0.0, 0.0, 0.014583660028226435
'2016-09-29', 9.2, 9.28, 9.08, 9.12, 2200.0, 9.12, 0.049999999999998934, 0.129999999999999, 0.9227664324675496, 0.0, 0.0, 0.0, 0.011413043478260868
'2016-09-28', 9.15, 9.29, 9.1, 9.26, 12800.0, 9.26, 0.019999999999999574, -0.10999999999999943, 0.9187044622123531, 0.0, 0.0, 0.0, 0.01080752884031571
'2016-09-27', 9.13, 9.35, 9.1, 9.2, 12900.0, 9.2, -0.5499999999999989, 0.1800000000000015, 0.9109882301959535, 0.0, 0.0, -0.1, 0.009967141292442479
'2016-09-26', 9.68, 9.68, 9.08, 9.17, 23500.0, 9.17, 0.6099999999999994, 0.4499999999999993, 0.9018443447858517, 0.0, 0.0, -0.5, 0.003380916604057095
'2016-09-23', 9.07, 9.07, 8.8, 8.88, 6900.0, 8.88, -0.1899999999999995, 0.16000000000000014, 0.8542992580016806, 0.0, 0.0, -0.8, 0.008912164645350964
'2016-09-22', 9.26, 9.38, 8.97, 8.97, 15900.0, 8.97, 0.3100000000000005, 0.5, 0.8433148878088185, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 8.95, 9.27, 8.95, 9.26, 13400.0, 9.26, -0.28000000000000114, 0.6999999999999993, 0.8034799312988472, 0.0, 0.0, -0.8, 0.03463687150837995
'2016-09-20', 9.23, 9.37, 8.95, 9.15, 17400.0, 9.15, 0.3200000000000003, 0.6799999999999997, 0.7795543598749224, 0.0, 0.1, -0.5, 0.0016251354279522947
'2016-09-19', 8.91, 9.3, 8.26, 9.2, 21300.0, 9.2, 0.15000000000000036, -0.14000000000000057, 0.7201499843782543, 0.0, 0.5, -0.1, 0.013093901982790859
'2016-09-16', 8.76, 9.0, 8.7, 8.93, 38700.0, 8.93, 0.5099999999999998, 0.3200000000000003, 0.6691337683901478, 0.0, 0.8, -0.1, 0.014269406392694065
'2016-09-15', 8.25, 8.8, 8.25, 8.73, 49800.0, 8.73, -0.3000000000000007, -0.6099999999999994, 0.6197491427989231, 1.0, 1.0, -0.5, 0.02448484848484848
'2016-09-14', 8.55, 8.75, 8.5, 8.7, 24600.0, 8.7, -0.5, 0.8000000000000007, 0.5968416875520677, 0.0, 0.8, -0.8, 0.013840155945419085
