Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 25.6, 25.639999, 25.253, 25.468, 3000.0, 25.468, 0.040001000000000175, 0.08000000000000185, 0.10716852560538576, -1.0, 0.1, -1.0, 0.0
'2016-09-22', 25.559999, 25.559999, 25.379999, 25.469999, 4800.0, 25.469999, 0.059999000000001246, 0.01999800000000107, 0.1016596902108478, 0.0, 0.5, -0.8, 0.0015649844117756097
'2016-09-21', 25.5, 25.540001, 25.43, 25.538, 3300.0, 25.538, 0.07900000000000063, 0.25, 0.09773222573490722, 0.0, 0.8, -0.3, 0.001960784313725518
'2016-09-20', 25.421, 25.5, 25.379999, 25.438, 6300.0, 25.438, -0.0990000000000002, -0.06899999999999906, 0.1156908219368857, 1.0, 1.0, -0.3, 0.0023471408153364283
'2016-09-19', 25.52, 25.52, 25.402, 25.469999, 3000.0, 25.469999, -0.0200010000000006, 0.019999999999999574, 0.11675696404825509, 0.0, 0.8, -0.8, 0.0007836990595611466
'2016-09-16', 25.540001, 25.559999, 25.41, 25.450001, 5400.0, 25.450001, 0.2900010000000002, 0.21799999999999997, 0.12734497442605763, -1.0, 0.8, -1.0, 0.000469843364532376
'2016-09-15', 25.25, 25.639999, 25.25, 25.57, 3600.0, 25.57, -0.23999999999999844, -0.25, 0.13198925537248157, 1.0, 1.0, -0.8, 0.00231023102310232
'2016-09-14', 25.49, 25.49, 25.049999, 25.200001, 5300.0, 25.200001, -0.010000000000001563, 0.1800009999999972, 0.16581969183558634, 0.0, 0.8, -0.8, 0.0006164882587009079
'2016-09-13', 25.5, 25.5, 25.209999, 25.375999, 5200.0, 25.375999, 0.1779989999999998, 0.2999989999999997, 0.1708011099184629, -1.0, 0.5, -1.0, 0.0
'2016-09-12', 25.322001, 25.65, 25.322001, 25.559999, 5300.0, 25.559999, -0.1779989999999998, 0.09200099999999978, 0.17286448717754793, 0.0, 0.1, -0.8, 0.007029420779187229
