Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 44.689999, 44.759998, 44.509998, 44.599998, 1164500.0, 44.179889, 0.8299980000000033, 1.25, 0.6223912542242934, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 43.860001, 44.189999, 43.630001, 44.150002, 1224400.0, 43.734131, 0.3200000000000003, 0.7099989999999963, 0.6219948226663379, 0.0, 0.0, -0.8, 0.018923802578116752
'2016-09-20', 43.540001, 43.68, 43.389999, 43.610001, 843400.0, 43.199216, 0.010002000000000066, 0.04999899999999968, 0.6380575853334705, 0.0, 0.1, -0.5, 0.013206223858377997
'2016-09-19', 43.529999, 43.82, 43.209999, 43.34, 906300.0, 42.931759, 0.0899999999999963, -0.38000100000000003, 0.6512904160898285, 0.0, 0.5, -0.1, 0.00888276304960788
'2016-09-16', 43.439999, 43.549999, 43.09, 43.279999, 1105400.0, 42.872323, 0.2899969999999996, -0.6900019999999998, 0.6754080911907704, 0.0, 0.8, 0.0, 0.007193830736506233
'2016-09-15', 43.150002, 43.799999, 43.150002, 43.740002, 1145300.0, 43.327993, -0.3399999999999963, -1.5, 0.6956333778661831, 1.0, 1.0, 0.0, 0.007137876841813354
'2016-09-14', 43.490002, 43.650002, 43.139999, 43.169998, 1342600.0, 42.763358, -0.41999799999999965, -1.6899980000000028, 0.7087770462810966, 0.0, 0.8, 0.0, 0.004598746626868414
'2016-09-13', 43.91, 43.98, 43.299999, 43.5, 1597800.0, 43.090252, -0.22000100000000344, -1.759998000000003, 0.7091296706067675, 0.0, 0.5, 0.0, 0.002537654943553384
'2016-09-12', 44.130001, 44.470001, 44.029999, 44.400002, 1613400.0, 43.981776, -0.5200010000000006, -1.8499989999999968, 0.7188033980330892, 0.0, 0.1, 0.0, 0.0015862168233352187
'2016-09-09', 44.650002, 45.66, 44.240002, 44.470001, 1363500.0, 44.051116, -0.5299979999999991, -0.5899999999999963, 0.7326182157178952, 0.0, 0.0, 0.0, 9.953215928436171e-05
'2016-09-08', 45.18, 45.32, 44.939999, 45.029999, 841300.0, 44.605839, -0.48999799999999993, 0.6899980000000028, 0.7437051086743582, 0.0, 0.0, 0.0, -0.0010845528995130577
'2016-09-07', 45.669998, 45.740002, 45.139999, 45.32, 1304100.0, 44.893108, -0.3100019999999972, 0.8999979999999965, 0.7274127489500067, 0.0, 0.0, 0.0, -0.001950751523611149
'2016-09-06', 45.98, 45.98, 45.240002, 45.66, 1235800.0, 45.229905, 0.7399979999999999, 1.4300009999999972, 0.6813367572658268, 0.0, 0.0, 0.0, -0.002337974844135125
'2016-09-02', 45.240002, 45.459999, 45.080002, 45.27, 1767300.0, 44.84358, 0.75, 1.1500019999999935, 0.5880815096201513, 0.0, 0.0, 0.0, -0.0009351883555823632
'2016-09-01', 44.490002, 44.970001, 44.439999, 44.849998, 1881900.0, 44.427534, -0.2799980000000062, 0.05000299999999669, 0.5374084061507347, 0.0, 0.0, 0.0, 0.00032109461357183663
'2016-08-31', 44.77, 44.860001, 44.299999, 44.599998, 1681200.0, 44.179889, 0.22000100000000344, 0.15000100000000316, 0.5271505655262934, 0.0, 0.0, 0.0, -0.00011912888094706703
'2016-08-30', 44.549999, 44.900002, 44.52, 44.84, 1371000.0, 44.41763, 0.45999899999999627, 0.1599999999999966, 0.5009839810714971, 0.0, 0.0, -0.1, 0.00019640853415058517
'2016-08-29', 44.09, 44.650002, 44.040001, 44.630001, 1728800.0, 44.209609, -0.34999899999999684, -0.11999899999999997, 0.48462886865589283, 0.0, 0.0, -0.5, 0.0008005003135298077
