Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 27.4, 27.530001, 27.190001, 27.24, 320100.0, 27.24, 0.0799999999999983, -0.040001000000000175, 0.81155687920077, -1.0, 0.5, -1.0, 0.0
'2016-09-22', 27.32, 27.65, 27.219999, 27.59, 423800.0, 27.59, 0.4599989999999998, 0.3000000000000007, 0.9016965614885856, 0.0, 0.8, -0.8, 0.002928257686676365
'2016-09-21', 26.860001, 27.23, 26.74, 27.139999, 373900.0, 27.139999, -0.30999900000000125, 0.16000000000000014, 0.9838079781250921, 1.0, 1.0, -0.5, 0.01005210312538704
'2016-09-20', 27.17, 27.18, 26.700001, 26.700001, 337200.0, 26.700001, -0.27000099999999705, 0.5, 1.0399563194674968, 0.0, 0.8, -0.8, 0.0028217396638448885
'2016-09-19', 27.440001, 27.549999, 26.950001, 26.99, 402400.0, 26.99, 0.4200009999999992, 0.12000099999999847, 1.1509214175319336, -1.0, 0.3, -1.0, 0.0
'2016-09-16', 27.02, 27.309999, 26.809999, 27.280001, 1174500.0, 27.280001, 0.31999899999999926, 0.19000000000000128, 1.2904514852649744, 0.0, 0.3, -0.8, 0.015544078460399674
'2016-09-15', 26.700001, 27.26, 26.68, 27.120001, 467800.0, 27.120001, 0.030000999999998612, -1.3299999999999983, 1.3134271679847274, 0.0, 0.8, -0.5, 0.01385767738360756
'2016-09-14', 26.67, 26.879999, 26.459999, 26.73, 503900.0, 26.73, -0.6499999999999986, -1.6699999999999982, 1.2939719791918713, 1.0, 1.0, -0.1, 0.009623809523809486
'2016-09-13', 27.32, 27.32, 26.459999, 26.780001, 683700.0, 26.632001, 0.490000000000002, -0.4799989999999994, 1.2928726914555457, 0.0, 0.8, -0.5, 0.0010981057833089171
'2016-09-12', 26.83, 27.610001, 26.74, 27.59, 491200.0, 27.437524, -1.2000010000000003, -1.3300000000000018, 1.329114408569504, 0.0, 0.5, -0.8, 0.004547156168468137
'2016-09-09', 28.030001, 28.049999, 27.040001, 27.040001, 563900.0, 26.890565, -0.30999900000000125, 0.030000999999998612, 1.3214117243818315, -1.0, 0.1, -1.0, 0.0
'2016-09-08', 28.34, 28.41, 28.110001, 28.299999, 410500.0, 28.1436, 0.5400010000000002, 0.4500010000000003, 1.3400949062661316, 0.0, 0.0, -0.8, -0.010938567395906889
'2016-09-07', 27.799999, 28.4, 27.719999, 28.389999, 558600.0, 28.233103, -0.36000100000000046, -0.1700000000000017, 1.3835513083849817, 0.0, 0.1, -0.5, 0.004136726767508138
'2016-09-06', 28.16, 28.17, 27.73, 27.76, 408900.0, 27.606585, 0.16000000000000014, 0.03999900000000167, 1.3894480499346238, 0.0, 0.5, -0.1, -0.0015388139204545635
'2016-09-02', 28.0, 28.23, 27.959999, 28.139999, 347400.0, 27.984484, 0.11000100000000046, 0.019999999999999574, 1.411686190120963, 0.0, 0.8, 0.0, 0.00026786607142855904
'2016-09-01', 27.889999, 27.889999, 27.48, 27.780001, 606800.0, 27.626475, -0.08000000000000185, -0.43000100000000074, 1.394147507475622, 1.0, 1.0, 0.0, 0.0010039584440286217
'2016-08-31', 27.969999, 28.040001, 27.610001, 27.870001, 418300.0, 27.715978, -0.15000199999999708, -0.010000999999999038, 1.3672737030230047, 0.0, 0.8, -0.1, 0.00035753785094282163
'2016-08-30', 28.120001, 28.17, 27.84, 28.0, 277000.0, 27.845258, 0.14000099999999804, -0.1399990000000031, 1.3315111831300677, 0.0, 0.5, -0.5, -0.00045722412517491866
'2016-08-29', 27.98, 28.24, 27.870001, 28.129999, 385400.0, 27.974539, -0.33999999999999986, -0.5300000000000011, 1.297199743653123, 0.0, 0.1, -0.8, 0.00022337830593280105
'2016-08-26', 28.32, 28.48, 27.719999, 27.860001, 383700.0, 27.706033, 0.33999999999999986, -0.0799999999999983, 1.253872034849718, -1.0, 0.0, -1.0, 0.0
'2016-08-25', 27.98, 28.379999, 27.940001, 28.32, 381100.0, 28.16349, -0.28000000000000114, -0.8100009999999997, 1.2186239894242994, 0.0, 0.0, -0.8, 0.012151536812008572
'2016-08-24', 28.26, 28.42, 27.940001, 28.0, 321800.0, 27.845258, -0.25, -0.509999999999998, 1.1451430060333507, 0.0, 0.0, -0.5, 0.00106157112526537
'2016-08-23', 28.51, 28.690001, 28.32, 28.32, 270200.0, 28.16349, 0.11000000000000298, -0.3099999999999987, 1.06739518781857, 0.0, 0.0, -0.1, -0.0022214427686192127
'2016-08-22', 28.4, 28.43, 28.15, 28.370001, 327500.0, 28.213215, -0.3900010000000016, -0.9200000000000017, 0.9955824903377566, 0.0, 0.0, 0.0, -0.0007042253521126611
'2016-08-19', 28.790001, 28.790001, 28.280001, 28.51, 412100.0, 28.35244, 0.0200010000000006, -0.7899989999999981, 0.9235615331003734, 0.0, 0.0, 0.0, -0.003265029410731871
'2016-08-18', 28.77, 28.99, 28.620001, 28.99, 332600.0, 28.829787, -0.05000000000000071, -1.0900010000000009, 0.8943379512866263, 0.0, 0.0, 0.0, -0.0026068821689259605
'2016-08-17', 28.82, 28.879999, 28.389999, 28.719999, 575700.0, 28.561279, -0.5, -1.4600009999999983, 0.8634796772751027, 0.0, 0.0, 0.0, -0.0024784375929414095
'2016-08-16', 29.32, 29.440001, 28.790001, 28.809999, 440900.0, 28.650781, -0.259999999999998, -1.1200009999999985, 0.8327140049797283, 0.0, 0.0, 0.0, -0.004263301500682128
'2016-08-15', 29.58, 29.83, 29.370001, 29.450001, 460200.0, 29.287246, -0.28000100000000216, -0.979999000000003, 0.8160921941385355, 0.0, 0.0, 0.0, -0.004732927653820142
'2016-08-12', 29.860001, 29.91, 29.41, 29.469999, 464900.0, 29.307134, -0.41999999999999815, -1.4799989999999994, 0.8123213807357994, 0.0, 0.0, 0.0, -0.005157404381868575
'2016-08-11', 30.280001, 30.280001, 29.780001, 29.91, 580700.0, 29.744703, -0.16000000000000014, -1.619999, 0.8572423288276224, 0.0, 0.0, 0.0, -0.005884475006817501
'2016-08-10', 30.440001, 30.440001, 30.030001, 30.129999, 320500.0, 29.963486, -0.11999800000000249, -0.33999999999999986, 0.9296309056707666, 0.0, 0.0, 0.0, -0.005803769520244098
'2016-08-09', 30.559999, 30.65, 30.290001, 30.389999, 402100.0, 30.22205, -0.7800009999999986, 0.08999999999999986, 1.0653427060499383, 0.0, 0.0, 0.0, -0.005638338384258961
'2016-08-08', 31.34, 31.41, 30.440001, 30.49, 670200.0, 30.321497, -0.5599999999999987, 0.17999999999999972, 1.1744901725715353, 0.0, 0.1, 0.0, -0.006883034004922964
'2016-08-05', 31.9, 32.0, 30.889999, 31.34, 438000.0, 31.1668, 1.119999, 0.3999999999999986, 1.2412054727026929, 0.0, 0.5, 0.0, -0.007481713688610237
'2016-08-04', 30.780001, 30.959999, 30.57, 30.9, 385100.0, 30.729231, 0.3100019999999972, -0.6899980000000028, 1.2394704956016962, 0.0, 0.8, 0.0, -0.004995128573907451
'2016-08-03', 30.469999, 30.83, 30.389999, 30.809999, 475100.0, 30.639729, -0.6900009999999988, -0.6699999999999982, 1.26040273603337, 1.0, 1.0, 0.0, -0.004150657484818584
'2016-08-02', 31.16, 31.23, 30.450001, 30.51, 503300.0, 30.341387, -0.33999999999999986, -0.4799989999999994, 1.3028651997298382, 0.0, 0.8, 0.0, -0.005063471687348452
'2016-08-01', 31.5, 31.690001, 31.07, 31.120001, 479400.0, 30.948017, 0.030000999999998612, 0.030000999999998612, 1.3331557910130067, 0.0, 0.5, 0.0, -0.005313283208020049
'2016-07-29', 31.469999, 31.799999, 31.299999, 31.49, 641800.0, 31.315971, 0.33000000000000185, -0.27000099999999705, 1.3647602923836373, 0.0, 0.1, 0.0, -0.005004765014450748
'2016-07-28', 31.139999, 31.52, 31.01, 31.469999, 545900.0, 31.296081, -0.5, 0.00999999999999801, 1.4042266156304066, 0.0, 0.0, 0.0, -0.004312320840686817
'2016-07-27', 31.639999, 31.68, 31.23, 31.26, 497800.0, 31.087242, 0.16999999999999815, 0.36999899999999997, 1.4291192346649193, 0.0, 0.0, 0.0, -0.0047695654305976885
'2016-07-26', 31.469999, 31.77, 31.42, 31.51, 405300.0, 31.335861, -0.27000099999999705, 0.30999900000000125, 1.438557757617109, 0.0, 0.0, 0.0, -0.00435196957778326
'2016-07-25', 31.74, 31.92, 31.51, 31.57, 479000.0, 31.395529, 0.6100009999999969, 0.46999999999999886, 1.4314498048949176, 0.0, 0.0, 0.0, -0.004489603024574667
'2016-07-22', 31.129999, 31.83, 31.059999, 31.75, 326900.0, 31.574534, -0.14000099999999804, -0.44000099999999875, 1.3795347677952718, 0.0, 0.0, 0.0, -0.003610663784473621
'2016-07-21', 31.27, 31.57, 30.860001, 31.040001, 533800.0, 30.868459, 0.10999999999999943, -0.3099999999999987, 1.3420846712651326, 0.0, 0.0, 0.0, -0.003628447024673439
'2016-07-20', 31.16, 31.32, 30.75, 31.25, 380900.0, 31.077297, -0.10999999999999943, -0.2800009999999986, 1.2889273146045763, 0.0, 0.0, -0.1, -0.0033756477915656345
'2016-07-19', 31.27, 31.440001, 31.059999, 31.139999, 435800.0, 30.967905, -0.3000000000000007, 0.31000099999999975, 1.235147613571569, 0.0, 0.0, -0.5, -0.003369272237196765
'2016-07-18', 31.57, 31.57, 30.91, 31.34, 362400.0, 31.1668, -0.00999999999999801, 1.240000000000002, 1.1693522170465032, 0.0, 0.0, -0.8, -0.0035498563673500598
'2016-07-15', 31.58, 31.77, 31.530001, 31.719999, 398400.0, 31.544699, 0.13999899999999954, 1.9400009999999988, 1.069305403490426, -1.0, 0.1, -1.0, 0.0
'2016-07-14', 31.440001, 31.620001, 31.35, 31.540001, 517400.0, 31.365696, 0.48000199999999893, 2.180000999999997, 0.9548355885936451, 0.0, 0.5, -0.8, 0.004452894260404112
'2016-07-13', 30.959999, 31.299999, 30.690001, 31.25, 531900.0, 31.077297, 0.6299990000000015, 1.7199990000000014, 0.8185975482497692, 0.0, 0.8, -0.5, 0.01001293636992686
'2016-07-12', 30.33, 30.969999, 30.290001, 30.85, 468100.0, 30.679508, 0.6900009999999988, 1.0499989999999997, 0.7041444025517587, 1.0, 1.0, -0.1, 0.013737773381690296
'2016-07-11', 29.639999, 30.08, 29.469999, 30.08, 563700.0, 29.913763, 0.379998999999998, 0.0, 0.6293645949160938, 0.0, 0.8, 0.0, 0.016363031928577316
'2016-07-08', 29.26, 29.6, 29.18, 29.6, 477700.0, 29.436416, 0.020000000000003126, -0.3999999999999986, 0.6013317692149919, 0.0, 0.5, 0.0, 0.01585782638414215
'2016-07-07', 29.24, 29.389999, 28.92, 29.110001, 305500.0, 28.949125, -0.040001000000000175, 0.22999999999999687, 0.5960562739657463, 0.0, 0.1, -0.1, 0.013337893296853625
'2016-07-06', 29.280001, 29.33, 28.940001, 29.23, 1034300.0, 29.06846, -0.35999800000000093, 0.5799999999999983, 0.5962489039547682, 0.0, 0.0, -0.5, 0.011221696533216842
'2016-07-05', 29.639999, 29.93, 29.26, 29.299999, 660900.0, 29.138073, -0.0200010000000006, 1.8499979999999994, 0.5953955098928491, 0.0, 0.0, -0.8, 0.008181515964288658
'2016-07-01', 29.66, 29.91, 29.4, 29.83, 481300.0, 29.665145, 0.6499999999999986, 1.8099999999999987, 0.5673560189750635, -1.0, 0.1, -1.0, 0.0
'2016-06-30', 29.01, 29.68, 28.809999, 29.66, 673500.0, 29.496084, 0.30999900000000125, 0.9200000000000017, 0.5423496945089017, 0.0, 0.5, -0.8, 0.02240606687349185
'2016-06-29', 28.700001, 29.049999, 28.610001, 28.91, 565200.0, 28.750229, 0.9100000000000001, -0.1499990000000011, 0.5309676098099227, 0.0, 0.8, -0.5, 0.016724720671612518
'2016-06-28', 27.790001, 28.41, 27.65, 28.370001, 547000.0, 28.213215, -0.059999000000001246, -1.1299990000000015, 0.5250015149190208, 1.0, 1.0, -0.1, 0.022430117940621882
'2016-06-27', 27.85, 28.030001, 27.34, 27.57, 447900.0, 27.417635, -0.23999999999999844, -0.5299990000000001, 0.5250015149190208, 0.0, 0.8, -0.1, 0.01624775583482943
'2016-06-24', 28.09, 28.559999, 27.92, 28.09, 624100.0, 27.934761, -0.7600000000000016, -0.1700000000000017, 0.522616107482952, 0.0, 0.5, -0.5, 0.011178355286578857
'2016-06-23', 28.85, 29.25, 28.75, 29.24, 335900.0, 29.078405, -0.07000000000000028, 1.0200000000000031, 0.5229768808152986, 0.0, 0.1, -0.8, 0.0046793760831889
'2016-06-22', 28.92, 29.049999, 28.42, 28.469999, 342500.0, 28.31266, 0.5400010000000002, 1.4400000000000013, 0.5058546503367335, -1.0, 0.0, -1.0, 0.0
'2016-06-21', 28.379999, 28.959999, 28.209999, 28.9, 457700.0, 28.740284, 0.11999899999999997, 0.619999, 0.48965697530753993, 0.0, 0.0, -0.8, 0.019027520050300218
'2016-06-20', 28.26, 28.629999, 28.040001, 28.26, 487600.0, 28.103822, 0.43000000000000327, 0.8199990000000028, 0.54606681880575, 0.0, 0.0, -0.5, 0.011677282377919323
'2016-06-17', 27.83, 27.99, 27.58, 27.950001, 777600.0, 27.795536, 0.34999999999999787, 0.12999899999999798, 0.545772106999258, 0.0, 0.1, -0.1, 0.013055455743202821
'2016-06-16', 27.48, 27.950001, 27.32, 27.940001, 576000.0, 27.785591, -0.28000000000000114, -0.8199989999999993, 0.6311497272619934, 0.0, 0.5, 0.0, 0.013100436681222719
'2016-06-15', 27.76, 27.950001, 27.58, 27.700001, 332800.0, 27.546917, 0.3199990000000028, -0.9400009999999988, 0.6693902535563406, 0.0, 0.8, 0.0, 0.00835734870317003
'2016-06-14', 27.440001, 27.860001, 27.440001, 27.700001, 473900.0, 27.546917, -0.26000000000000156, -1.519998000000001, 0.7452234418098297, 1.0, 1.0, 0.0, 0.008989303608261548
'2016-06-13', 27.700001, 27.879999, 27.42, 27.58, 443800.0, 27.280397, -0.5999979999999994, -1.2199990000000014, 0.7735974630549639, 0.0, 0.8, 0.0, 0.006291897658363681
'2016-06-10', 28.299999, 28.42, 27.809999, 27.809999, 353300.0, 27.507898, -0.40000200000000063, -0.3200019999999988, 0.8082850672329078, 0.0, 0.5, 0.0, 0.0027385204147887163
'2016-06-09', 28.700001, 28.959999, 28.190001, 28.549999, 504300.0, 28.239859, -0.2599979999999995, 0.08000000000000185, 0.8595682216092945, 0.0, 0.1, 0.0, 0.0008517189017984176
'2016-06-08', 28.959999, 29.110001, 28.84, 28.9, 305300.0, 28.586057, 0.03999899999999812, 0.8200000000000003, 0.9056321076466581, 0.0, 0.0, 0.0, -0.00013811809869191682
'2016-06-07', 28.92, 29.1, 28.75, 28.950001, 255700.0, 28.635515, 0.29999900000000324, 0.28000100000000216, 0.9427750380542944, 0.0, 0.0, 0.0, 0.0
'2016-06-06', 28.620001, 29.17, 28.51, 28.82, 368500.0, 28.506926, 0.0, -0.25, 0.9730356366435435, 0.0, 0.0, 0.0, 0.0008735120822206449
'2016-06-03', 28.620001, 28.780001, 28.33, 28.49, 402100.0, 28.180511, 0.48000199999999893, 0.07000199999999879, 0.9956135932068757, 0.0, 0.0, -0.1, 0.0008063188451267491
'2016-06-02', 28.139999, 28.620001, 27.98, 28.620001, 370300.0, 28.3091, -0.5, 0.0, 1.026404062411028, 0.0, 0.0, -0.5, 0.0019798990448740704
'2016-06-01', 28.639999, 28.98, 28.23, 28.24, 385200.0, 27.933227, -0.23000199999999893, 0.7699980000000011, 1.0693406311058542, 0.0, 0.0, -0.8, 0.0006517714380274062
'2016-05-31', 28.870001, 29.190001, 28.66, 28.790001, 507700.0, 28.477253, 0.3200019999999988, 1.220001, 1.1035621764089818, -1.0, 0.0, -1.0, 0.0
'2016-05-27', 28.549999, 28.84, 28.309999, 28.700001, 446500.0, 28.388231, 0.41000000000000014, 1.029999, 1.121229691603746, 0.0, 0.0, -0.8, 0.011208476749859038
'2016-05-26', 28.139999, 28.610001, 27.83, 28.51, 499000.0, 28.200294, 0.26999800000000107, 0.6799999999999997, 1.1301400120931013, 0.0, 0.0, -0.5, 0.012970895983329619
'2016-05-25', 27.870001, 28.280001, 27.34, 28.02, 1169600.0, 27.715617, 0.2200009999999999, 0.7000009999999968, 1.1273758889860515, 0.0, 0.0, -0.1, 0.011960291401974955
'2016-05-24', 27.65, 27.780001, 27.25, 27.67, 375200.0, 27.369419, 0.129999999999999, 0.02999900000000011, 1.1141586304773041, 0.0, 0.1, 0.0, 0.011030750452079565
'2016-05-23', 27.52, 27.85, 27.290001, 27.48, 481500.0, 27.181483, 0.06000099999999975, -0.2799990000000001, 1.0905038606892563, 0.0, 0.5, 0.0, 0.00981105377906976
