Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-06', 15.35, 15.39, 14.98, 15.16, 109700.0, 15.16, 0.8499999999999996, 1.0199999999999996, 0.529992033483104, -1.0, 0.0, -1.0, 0.0
'2016-10-05', 14.5, 15.51, 14.49, 15.33, 464400.0, 15.33, 0.17999999999999972, 0.009999999999999787, 0.5009550878072806, 0.0, 0.0, -0.8, 0.05862068965517239
'2016-10-04', 14.32, 14.48, 14.27, 14.33, 68000.0, 14.33, -0.07000000000000028, -0.17999999999999972, 0.5229896960956519, 0.0, 0.0, -0.5, 0.03596368715083797
'2016-10-03', 14.39, 14.65, 14.17, 14.25, 120200.0, 14.25, 0.0600000000000005, 0.16999999999999993, 0.5349459993515443, 0.0, 0.0, -0.1, 0.022237665045170236
'2016-09-30', 14.33, 14.58, 14.21, 14.48, 136900.0, 14.48, -0.16000000000000014, -0.3100000000000005, 0.5685885057657155, 0.0, 0.1, 0.0, 0.017794836008374032
'2016-09-29', 14.49, 14.56, 14.39, 14.42, 114200.0, 14.42, -0.009999999999999787, -0.6699999999999999, 0.5921018118158023, 0.0, 0.5, 0.0, 0.01187025534851621
'2016-09-28', 14.5, 14.61, 14.39, 14.43, 57400.0, 14.43, 0.27999999999999936, -0.08000000000000007, 0.7007885241323204, 0.0, 0.8, 0.0, 0.009770114942528732
'2016-09-27', 14.22, 14.6, 14.22, 14.51, 108100.0, 14.51, -0.41999999999999993, -0.16999999999999993, 0.7663199215877287, 1.0, 1.0, 0.0, 0.011352220212979696
'2016-09-26', 14.64, 14.7, 14.21, 14.29, 164800.0, 14.29, -0.5199999999999996, -0.10999999999999943, 0.8727097646602412, 0.0, 0.8, 0.0, 0.006062158469945347
'2016-09-23', 15.16, 15.18, 14.64, 14.7, 209900.0, 14.7, 0.5800000000000001, 0.41999999999999993, 0.9408205047841072, 0.0, 0.5, 0.0, 0.0013925535033714417
'2016-09-22', 14.58, 15.19, 14.58, 15.14, 383500.0, 15.14, 0.1899999999999995, -0.08000000000000007, 0.9708741193149376, 0.0, 0.1, 0.0, 0.005281207133058982
'2016-09-21', 14.39, 14.634, 14.31, 14.51, 204600.0, 14.51, -0.35999999999999943, 0.040000000000000924, 1.0113274554872038, 0.0, 0.0, 0.0, 0.006064817739591882
'2016-09-20', 14.75, 14.96, 14.31, 14.35, 218000.0, 14.35, 0.009999999999999787, 0.6899999999999995, 1.0474029257591793, 0.0, 0.0, 0.0, 0.0033898305084745744
'2016-09-19', 14.74, 14.845, 14.3, 14.71, 271500.0, 14.71, 0.08000000000000007, 0.7400000000000002, 1.057741251703627, 0.0, 0.0, 0.0, 0.003183383780398703
'2016-09-16', 14.66, 15.18, 14.6, 14.63, 642700.0, 14.63, 0.3100000000000005, 0.870000000000001, 1.0558564717275207, 0.0, 0.0, 0.0, 0.0033619177548236184
'2016-09-15', 14.35, 14.65, 14.34, 14.59, 226000.0, 14.59, 0.28999999999999915, -0.009999999999999787, 1.0571072162589121, 0.0, 0.0, 0.0, 0.004645760743321719
'2016-09-14', 14.06, 14.44, 14.05, 14.31, 257700.0, 14.31, 0.0600000000000005, -0.2400000000000002, 1.0614484862153644, 0.0, 0.0, -0.1, 0.005734352773826454
'2016-09-13', 14.0, 14.5, 13.96, 14.0, 439000.0, 14.0, 0.21000000000000085, 0.0600000000000005, 1.0569671497050206, 0.0, 0.0, -0.5, 0.005672268907563024
'2016-09-12', 13.79, 14.31, 13.71, 14.08, 302400.0, 14.08, -0.5700000000000003, 0.20999999999999908, 1.0579876600834666, 0.0, 0.0, -0.8, 0.006284747401498673
'2016-09-09', 14.36, 14.49, 13.84, 14.07, 394000.0, 14.07, 0.05999999999999872, 1.2599999999999998, 1.0605839586441674, -1.0, 0.0, -1.0, 0.0
'2016-09-08', 14.3, 14.65, 14.28, 14.59, 276400.0, 14.59, 0.3600000000000012, 1.1400000000000006, 1.0256103331946083, 0.0, 0.1, -0.8, 0.0041958041958041065
'2016-09-07', 13.94, 14.58, 13.91, 14.37, 460100.0, 14.37, 0.35999999999999943, 0.4900000000000002, 1.0047445225307552, 0.0, 0.5, -0.5, 0.015064562410329984
'2016-09-06', 13.58, 13.98, 13.56, 13.94, 343000.0, 13.94, 0.4800000000000004, -0.11999999999999922, 0.9997624717901746, 0.0, 0.8, -0.1, 0.019145802650957274
'2016-09-02', 13.1, 13.54, 13.1, 13.51, 560900.0, 13.51, -0.0600000000000005, -0.5899999999999999, 1.0085432839276434, 1.0, 1.0, 0.0, 0.024045801526717554
'2016-09-01', 13.16, 13.25, 12.98, 13.09, 223800.0, 13.09, -0.28999999999999915, -0.40000000000000036, 1.0281307742154635, 0.0, 0.8, 0.0, 0.01823708206686929
'2016-08-31', 13.45, 13.5, 12.54, 13.1, 850200.0, 13.1, -0.25, -0.3500000000000014, 1.048686427022979, 0.0, 0.5, 0.0, 0.011276332094175964
'2016-08-30', 13.7, 13.82, 13.43, 13.54, 187200.0, 13.54, 0.009999999999999787, 0.25, 1.0478762119427825, 0.0, 0.1, -0.1, 0.006882168925964548
'2016-08-29', 13.69, 13.815, 13.57, 13.68, 281500.0, 13.68, 0.129999999999999, 0.4900000000000002, 1.0236653098873023, 0.0, 0.0, -0.5, 0.006117604090577063
'2016-08-26', 13.56, 13.99, 13.56, 13.66, 270700.0, 13.66, -0.2400000000000002, 0.15000000000000036, 0.9910623368666349, 0.0, 0.0, -0.8, 0.006555227794165838
'2016-08-25', 13.8, 13.852, 13.57, 13.61, 360000.0, 13.61, 0.3500000000000014, 0.8800000000000008, 0.9563172416445634, -1.0, 0.0, -1.0, 0.0
'2016-08-24', 13.45, 13.9, 13.38, 13.85, 404700.0, 13.85, 0.25, 0.4299999999999997, 0.8838690828146187, 0.0, 0.1, -0.8, 0.026022304832713863
'2016-08-23', 13.2, 13.42, 13.13, 13.41, 164300.0, 13.41, -0.21000000000000085, 1.4100000000000001, 0.8208113195017609, 0.0, 0.5, -0.5, 0.022727272727272783
'2016-08-22', 13.41, 13.5, 13.07, 13.1, 258000.0, 13.1, 0.4900000000000002, 1.4000000000000004, 0.7637521412954161, 0.0, 0.8, -0.1, 0.009694258016405681
'2016-08-19', 12.92, 13.5, 12.92, 13.48, 763300.0, 13.48, -0.09999999999999964, 1.5099999999999998, 0.6663402534241295, 1.0, 1.0, 0.0, 0.0170278637770898
'2016-08-18', 13.02, 13.26, 12.43, 13.1, 1000000.0, 13.1, 1.2300000000000004, 1.5399999999999991, 0.5946690022375658, 0.0, 0.8, 0.0, 0.011981566820276516
'2016-08-17', 11.79, 13.673, 11.79, 13.3, 867300.0, 13.3, -0.22000000000000064, 0.34999999999999964, 0.49676688027014587, 0.0, 0.5, 0.0, 0.02841391009329943
'2016-08-16', 12.01, 12.25, 11.37, 11.79, 1439100.0, 11.79, 0.5999999999999996, 0.5299999999999994, 0.497812548388782, 0.0, 0.1, 0.0, 0.021291780658974677
'2016-08-15', 11.41, 11.6, 11.4, 11.59, 406500.0, 11.59, -0.07000000000000028, -0.07000000000000028, 0.4756199463156832, 0.0, 0.0, 0.0, 0.0261831726555653
'2016-08-12', 11.48, 11.54, 11.38, 11.4, 132800.0, 11.4, 0.040000000000000924, 0.0, 0.4805344247120422, 0.0, 0.0, 0.0, 0.02245451025938831
'2016-08-11', 11.44, 11.48, 11.36, 11.46, 283400.0, 11.46, -0.040000000000000924, -0.07000000000000028, 0.48262534353494346, 0.0, 0.0, 0.0, 0.02062937062937064
'2016-08-10', 11.48, 11.5, 11.33, 11.36, 33700.0, 11.36, 0.0, 0.16999999999999993, 0.4877341033345481, 0.0, 0.0, -0.1, 0.018371872030408617
'2016-08-09', 11.48, 11.6, 10.55, 11.39, 732900.0, 11.39, 0.0, 0.14000000000000057, 0.4865177854462831, 0.0, 0.1, -0.5, 0.016840882694541235
'2016-08-08', 11.48, 11.5, 11.275, 11.44, 435600.0, 11.44, -0.02999999999999936, -0.17999999999999972, 0.4846035034495268, 0.0, 0.5, -0.8, 0.015545430179576523
'2016-08-05', 11.51, 11.55, 11.44, 11.5, 275000.0, 11.5, 0.1999999999999993, 0.09999999999999964, 0.47795118300233685, -1.0, 0.8, -1.0, 0.01421124488022838
'2016-08-04', 11.31, 11.615, 11.245, 11.5, 77300.0, 11.5, -0.02999999999999936, -0.09999999999999964, 0.4587369132253862, 1.0, 1.0, -0.8, 0.014677276746242264
'2016-08-03', 11.34, 11.365, 11.18, 11.24, 40400.0, 11.24, -0.3200000000000003, -0.16000000000000014, 0.4482981398826256, 0.0, 0.8, -0.8, 0.013558201058201063
'2016-08-02', 11.66, 11.75, 11.27, 11.29, 76000.0, 11.29, 0.25, 0.6899999999999995, 0.4318679067595656, -1.0, 0.5, -1.0, 0.0
'2016-08-01', 11.41, 11.76, 11.29, 11.72, 160400.0, 11.72, 0.0, 0.5800000000000001, 0.39462795418244534, 0.0, 0.1, -0.8, 0.021910604732690624
'2016-07-29', 11.41, 11.42, 11.29, 11.34, 105000.0, 11.34, -0.08999999999999986, 0.6999999999999993, 0.36711200228570867, 0.0, 0.5, -0.5, 0.010955302366345312
'2016-07-28', 11.5, 11.5, 11.27, 11.37, 106600.0, 11.37, 0.5299999999999994, 0.8000000000000007, 0.32920037802057406, 0.0, 0.8, -0.1, 0.004637681159420294
'2016-07-27', 10.97, 11.55, 10.85, 11.51, 441700.0, 11.51, 0.14000000000000057, 0.4800000000000004, 0.2613392856464986, 1.0, 1.0, 0.0, 0.015724703737465803
'2016-07-26', 10.83, 10.97, 10.83, 10.95, 105900.0, 10.95, 0.11999999999999922, 0.3200000000000003, 0.2417641182824466, 0.0, 0.8, 0.0, 0.015327793167128349
'2016-07-25', 10.71, 10.95, 10.7, 10.89, 199600.0, 10.89, 0.010000000000001563, 0.20000000000000107, 0.2231514184484506, 0.0, 0.5, 0.0, 0.014783691254279478
'2016-07-22', 10.7, 10.76, 10.59, 10.73, 211500.0, 10.73, 0.20999999999999908, 0.2599999999999998, 0.21111581866096352, 0.0, 0.1, 0.0, 0.012817089452603484
'2016-07-21', 10.49, 10.77, 10.47, 10.73, 169900.0, 10.73, -0.019999999999999574, 0.09999999999999964, 0.20641947582532016, 0.0, 0.0, 0.0, 0.013941849380362248
'2016-07-20', 10.51, 10.55, 10.41, 10.49, 161200.0, 10.49, 0.0, 0.0, 0.21134095674998712, 0.0, 0.0, 0.0, 0.012157733375621104
'2016-07-19', 10.51, 10.58, 10.46, 10.47, 51800.0, 10.47, 0.07000000000000028, -0.040000000000000924, 0.21749303947993867, 0.0, 0.0, 0.0, 0.010941960038058996
'2016-07-18', 10.44, 10.58, 10.4, 10.5, 12600.0, 10.5, 0.049999999999998934, -0.07000000000000028, 0.22189086406509725, 0.0, 0.0, 0.0, 0.010623476140717526
'2016-07-15', 10.39, 10.47, 10.39, 10.44, 89500.0, 10.44, -0.11999999999999922, -0.1999999999999993, 0.2265551196115906, 0.0, 0.0, 0.0, 0.01018607635547
'2016-07-14', 10.51, 10.51, 10.4, 10.41, 117500.0, 10.41, -0.040000000000000924, -0.08000000000000007, 0.2271487520449, 0.0, 0.0, -0.1, 0.008416892336968457
'2016-07-13', 10.55, 10.6, 10.41, 10.51, 88200.0, 10.51, 0.040000000000000924, 0.1800000000000015, 0.2299374311029462, 0.0, 0.0, -0.5, 0.007515233581584288
'2016-07-12', 10.51, 10.67, 10.35, 10.5, 90000.0, 10.5, -0.08000000000000007, 0.27999999999999936, 0.22697625915990005, 0.0, 0.1, -0.8, 0.007294640025372663
'2016-07-11', 10.59, 10.62, 10.35, 10.51, 136200.0, 10.51, 0.0, 0.28999999999999915, 0.22641260271165686, -1.0, 0.5, -1.0, 0.0
'2016-07-08', 10.59, 10.68, 9.87, 10.59, 282400.0, 10.59, 0.22000000000000064, 0.28999999999999915, 0.22342386224891495, 0.0, 0.8, -0.8, 0.0
'2016-07-07', 10.37, 10.5, 10.36, 10.47, 108300.0, 10.47, 0.1399999999999988, 0.1399999999999988, 0.2200376230455952, 1.0, 1.0, -0.5, 0.010607521697203503
'2016-07-06', 10.23, 10.52, 10.15, 10.41, 142300.0, 10.41, -0.07000000000000028, 0.11000000000000121, 0.22166766917066516, 0.0, 0.8, -0.1, 0.011730205278592356
'2016-07-05', 10.3, 10.38, 10.22, 10.29, 130700.0, 10.29, 0.0, 0.16999999999999993, 0.22162932016219214, 0.0, 0.5, 0.0, 0.0070388349514562895
'2016-07-01', 10.3, 10.465, 10.18, 10.3, 186600.0, 10.3, 0.07000000000000028, 0.25, 0.22159622941035978, 0.0, 0.1, 0.0, 0.005631067961165032
'2016-06-30', 10.23, 10.45, 10.18, 10.33, 105800.0, 10.33, 0.11000000000000121, 0.17999999999999972, 0.22314643921275829, 0.0, 0.0, 0.0, 0.005865102639296178
'2016-06-29', 10.12, 10.5, 10.12, 10.28, 152200.0, 10.28, -0.010000000000001563, -0.09000000000000163, 0.22353125558235054, 0.0, 0.0, 0.0, 0.006634669678147949
'2016-06-28', 10.13, 10.39, 10.12, 10.13, 174300.0, 10.13, 0.08000000000000007, -0.02999999999999936, 0.222166354088302, 0.0, 0.0, -0.1, 0.005676209279368201
'2016-06-27', 10.05, 10.3, 9.97, 10.04, 173000.0, 10.04, 0.0, -0.129999999999999, 0.22153003307803537, 0.0, 0.0, -0.5, 0.005970149253731334
'2016-06-24', 10.05, 10.24, 10.03, 10.1, 91900.0, 10.1, -0.16000000000000014, 0.13000000000000078, 0.24275822448591822, 0.0, 0.0, -0.8, 0.005373134328358201
'2016-06-23', 10.21, 10.36, 10.08, 10.3, 82900.0, 10.3, 0.05000000000000071, 0.2400000000000002, 0.24357545032289257, -1.0, 0.1, -1.0, 0.0
'2016-06-22', 10.16, 10.22, 10.06, 10.15, 73500.0, 10.15, -0.019999999999999574, 0.16000000000000014, 0.2538100777265463, 0.0, 0.5, -0.8, 0.004921259842519755
'2016-06-21', 10.18, 10.19, 10.05, 10.16, 37900.0, 10.16, 0.2599999999999998, 0.03999999999999915, 0.26951808844676806, 0.0, 0.8, -0.5, 0.0014734774066798202
'2016-06-20', 9.92, 10.47, 9.91, 10.23, 371000.0, 10.23, -0.05000000000000071, -0.09999999999999964, 0.28023184845568283, 1.0, 1.0, -0.1, 0.00974462365591401
'2016-06-17', 9.97, 10.14, 9.76, 9.97, 100100.0, 9.97, -0.02999999999999936, -0.2599999999999998, 0.2910738737846458, 0.0, 0.8, 0.0, 0.006018054162487467
'2016-06-16', 10.0, 10.12, 9.9, 10.05, 91600.0, 10.05, -0.14000000000000057, -0.41000000000000014, 0.32742513987508987, 0.0, 0.5, 0.0, 0.004200000000000017
'2016-06-15', 10.14, 10.16, 10.0, 10.0, 88000.0, 10.0, 0.120000000000001, -0.47999999999999865, 0.33906472669519727, 0.0, 0.1, 0.0, 0.0011505588428665397
