Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-03', 4.307, 4.307, 4.06, 4.06, 2300.0, 4.06, 0.1070000000000002, 0.27700000000000014, 0.15156783959666395, -1.0, 0.1, -1.0, 0.0
'2016-09-30', 4.2, 4.35, 4.2, 4.35, 2500.0, 4.35, 0.15000000000000036, 0.1800000000000006, 0.15024593172528852, 0.0, 0.5, -0.8, 0.025476190476190524
'2016-09-29', 4.05, 4.05, 4.05, 4.05, 0.0, 4.05, 0.03000000000000025, 0.03000000000000025, 0.1505647000092948, 0.0, 0.8, -0.5, 0.03172839506172847
'2016-09-28', 4.02, 4.07, 4.02, 4.05, 1400.0, 4.05, -0.010000000000000675, -0.08000000000000007, 0.14942926977893828, 1.0, 1.0, -0.1, 0.023797678275290286
'2016-09-27', 4.03, 4.03, 4.03, 4.03, 200.0, 4.03, 0.010000000000000675, -0.0699999999999994, 0.146183659217514, 0.0, 0.8, 0.0, 0.017183622828784127
'2016-09-26', 4.02, 4.02, 4.02, 4.02, 0.0, 4.02, 0.0, -0.08000000000000007, 0.164011774645061, 0.0, 0.5, 0.0, 0.01427860696517417
'2016-09-23', 4.02, 4.02, 4.02, 4.02, 0.0, 4.02, -0.08000000000000007, -0.07000000000000028, 0.2100541094310914, 0.0, 0.1, 0.0, 0.011898839137645143
'2016-09-22', 4.1, 4.35, 4.02, 4.02, 4700.0, 4.02, 0.0, -0.22000000000000064, 0.24245108555931216, 0.0, 0.0, 0.0, 0.007212543554006996
'2016-09-21', 4.1, 4.13, 4.1, 4.13, 2200.0, 4.13, 0.0, -0.10000000000000053, 0.2439505323261711, 0.0, 0.0, 0.0, 0.0063109756097561205
'2016-09-20', 4.1, 4.1, 4.1, 4.1, 300.0, 4.1, 0.009999999999999787, -0.12700000000000067, 0.25969904804514704, 0.0, 0.0, 0.0, 0.005609756097560996
'2016-09-19', 4.09, 4.15, 4.09, 4.11, 4500.0, 4.11, -0.23000000000000043, -0.16000000000000014, 0.2690645027993598, 0.0, 0.0, 0.0, 0.005305623471882653
'2016-09-16', 4.32, 4.32, 4.32, 4.32, 500.0, 4.32, 0.1200000000000001, -0.04999999999999982, 0.28202906863576244, 0.0, 0.0, 0.0, -0.00027356902356902145
'2016-09-15', 4.2, 4.28, 4.09, 4.12, 35300.0, 4.12, -0.027000000000000135, -0.20000000000000018, 0.2854896300899367, 0.0, 0.0, 0.0, 0.002123015873015877
'2016-09-14', 4.227, 4.24, 4.2, 4.2, 2100.0, 4.2, -0.022999999999999687, 0.017000000000000348, 0.294491305285723, 0.0, 0.0, 0.0, 0.0014558424778438983
'2016-09-13', 4.25, 4.25, 4.19, 4.19, 2100.0, 4.19, -0.1200000000000001, -0.3540000000000001, 0.3054976795692927, 0.0, 0.0, 0.0, 0.0009579831932773174
'2016-09-12', 4.37, 4.46, 4.25, 4.25, 1200.0, 4.25, -0.03000000000000025, -0.08000000000000007, 0.3254247634502738, 0.0, 0.0, -0.1, -0.0009610983981693322
'2016-09-09', 4.4, 4.451, 4.38, 4.41, 1500.0, 4.41, 0.1900000000000004, 0.03000000000000025, 0.33824118449545565, 0.0, 0.0, -0.5, -0.0013210227272727267
'2016-09-08', 4.21, 4.5, 4.21, 4.35, 2300.0, 4.35, -0.39400000000000013, -0.27000000000000046, 0.3420624439419732, 0.0, 0.0, -0.8, 0.0013553164733827083
'2016-09-07', 4.604, 5.0, 4.38, 4.41, 16100.0, 4.41, 0.15399999999999991, 0.35000000000000053, 0.3538085860399031, -1.0, 0.0, -1.0, 0.0
'2016-09-06', 4.45, 4.5, 4.35, 4.35, 3000.0, 4.35, 0.08000000000000007, 0.33000000000000007, 0.34028526594935343, 0.0, 0.0, -0.8, 0.034606741573033686
'2016-09-02', 4.37, 4.51, 4.37, 4.41, 9700.0, 4.41, -0.11000000000000032, 0.27000000000000046, 0.3495301226885411, 0.0, 0.0, -0.5, 0.02677345537757437
'2016-09-01', 4.48, 4.48, 4.25, 4.35, 3400.0, 4.35, 0.22600000000000087, 0.2600000000000007, 0.34913979371529036, 0.0, 0.0, -0.1, 0.00922619047619045
'2016-08-31', 4.254, 4.3, 4.15, 4.25, 4300.0, 4.25, 0.13399999999999945, 0.1869999999999994, 0.3451329148152764, 0.0, 0.0, 0.0, 0.02056887635166905
'2016-08-30', 4.12, 4.188, 4.05, 4.15, 9100.0, 4.15, 0.020000000000000462, 0.020000000000000462, 0.35094680825193747, 0.0, 0.1, 0.0, 0.02349514563106796
'2016-08-29', 4.1, 4.28, 4.1, 4.15, 4100.0, 4.15, -0.1200000000000001, 0.0, 0.349434489171035, 0.0, 0.5, 0.0, 0.020487804878048802
'2016-08-26', 4.22, 4.31, 4.15, 4.31, 2000.0, 4.31, 0.15299999999999958, 0.1200000000000001, 0.3524030457681469, 0.0, 0.8, 0.0, 0.012999322951929598
'2016-08-25', 4.067, 4.31, 4.067, 4.1, 4400.0, 4.1, -0.032999999999999474, -0.12300000000000022, 0.3544031539864671, 1.0, 1.0, 0.0, 0.016504794688959917
'2016-08-24', 4.1, 4.44, 4.09, 4.2, 11500.0, 4.2, 0.0, -0.15000000000000036, 0.36087176700626244, 0.0, 0.8, 0.0, 0.013658536585365866
'2016-08-23', 4.1, 4.1, 4.1, 4.1, 200.0, 4.1, 0.0, 0.009999999999999787, 0.35968811953320523, 0.0, 0.5, 0.0, 0.01229268292682928
