Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 1.68, 1.85, 1.48, 1.68, 5195900.0, 1.68, 0.30999999999999983, 0.3999999999999999, 0.13571866325437912, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 1.37, 1.79, 1.31, 1.65, 5460900.0, 1.65, -0.009999999999999787, 0.1200000000000001, 0.09558242516278816, 0.0, 0.0, -0.8, 0.22627737226277359
'2016-09-21', 1.38, 1.38, 1.25, 1.34, 796800.0, 1.34, 0.019999999999999796, 0.33999999999999986, 0.08574121270168478, 0.0, 0.0, -0.5, 0.10869565217391307
'2016-09-20', 1.36, 1.44, 1.24, 1.36, 1265300.0, 1.36, 0.08000000000000007, 0.3600000000000001, 0.07545418035691151, 0.0, 0.0, -0.1, 0.07843137254901957
'2016-09-19', 1.28, 1.47, 1.28, 1.34, 3653800.0, 1.34, 0.030000000000000027, 0.26, 0.06338681952021955, 0.0, 0.1, 0.0, 0.07812499999999999
'2016-09-16', 1.25, 1.3, 1.21, 1.25, 1464500.0, 1.25, 0.20999999999999996, 0.19999999999999996, 0.056890733477039566, 0.0, 0.5, 0.0, 0.06879999999999999
'2016-09-15', 1.04, 1.4, 1.02, 1.28, 8769900.0, 1.28, 0.040000000000000036, -0.010000000000000009, 0.051606416483051976, 0.0, 0.8, 0.0, 0.10256410256410255
'2016-09-14', 1.0, 1.04, 1.0, 1.02, 190200.0, 1.02, -0.020000000000000018, -0.1299999999999999, 0.05039400317057131, 1.0, 1.0, 0.0, 0.09714285714285713
'2016-09-13', 1.02, 1.05, 0.98, 1.0, 357900.0, 1.0, -0.030000000000000027, -0.040000000000000036, 0.0460434577328853, 0.0, 0.8, 0.0, 0.08088235294117646
'2016-09-12', 1.05, 1.07, 1.02, 1.04, 269300.0, 1.04, 0.0, -0.020000000000000018, 0.04240151988890121, 0.0, 0.5, 0.0, 0.06666666666666665
'2016-09-09', 1.05, 1.11, 1.05, 1.06, 156700.0, 1.06, -0.07999999999999985, -0.040000000000000036, 0.041209491894734857, 0.0, 0.1, 0.0, 0.05999999999999999
'2016-09-08', 1.13, 1.19, 1.06, 1.07, 1267800.0, 1.07, 0.06999999999999984, 0.04999999999999982, 0.04060788100849385, 0.0, 0.0, 0.0, 0.044247787610619475
'2016-09-07', 1.06, 1.066, 1.03, 1.03, 243700.0, 1.03, -0.010000000000000009, -0.07999999999999985, 0.04060788100849385, 0.0, 0.0, 0.0, 0.04874213836477986
'2016-09-06', 1.07, 1.108, 1.05, 1.05, 376900.0, 1.05, -0.020000000000000018, -0.07999999999999985, 0.09909871621547653, 0.0, 0.0, 0.0, 0.04385334291876347
'2016-09-02', 1.09, 1.13, 1.05, 1.07, 415600.0, 1.07, 0.010000000000000009, -0.04999999999999982, 0.7511854335352595, 0.0, 0.0, 0.0, 0.038663171690694616
'2016-09-01', 1.08, 1.11, 1.06, 1.08, 255700.0, 1.08, -0.05999999999999983, -0.04999999999999982, 1.0565026686615084, 0.0, 0.0, 0.0, 0.03703703703703702
'2016-08-31', 1.14, 1.14, 1.05, 1.1, 460100.0, 1.1, -0.010000000000000009, 0.0, 1.2660314196557507, 0.0, 0.0, 0.0, 0.029605263157894742
'2016-08-30', 1.15, 1.25, 1.12, 1.15, 768300.0, 1.15, 0.010000000000000009, 0.0, 1.4173339996862655, 0.0, 0.0, 0.0, 0.027109974424552433
'2016-08-29', 1.14, 1.14, 1.1, 1.12, 211400.0, 1.12, 0.010000000000000009, 0.039999999999999813, 1.5475419936861885, 0.0, 0.0, -0.1, 0.026315789473684213
'2016-08-26', 1.13, 1.15, 1.1, 1.12, 384900.0, 1.12, -0.010000000000000009, 0.019999999999999796, 1.660890290041927, 0.0, 0.1, -0.5, 0.0256171401956218
'2016-08-25', 1.14, 1.19, 1.11, 1.13, 389300.0, 1.13, -0.010000000000000009, -0.010000000000000009, 1.7552221765032736, 0.0, 0.5, -0.8, 0.023684210526315794
'2016-08-24', 1.15, 1.198, 1.13, 1.16, 505600.0, 1.16, 0.04999999999999982, 0.04999999999999982, 1.8411724525421294, -1.0, 0.8, -1.0, 0.021946169772256732
'2016-08-23', 1.1, 1.2, 1.1, 1.14, 1294500.0, 1.14, -0.010000000000000009, -0.029999999999999805, 1.9174073134197531, 1.0, 1.0, -0.8, 0.02396694214876032
'2016-08-22', 1.11, 1.46, 1.07, 1.36, 6679000.0, 1.36, -0.039999999999999813, -0.04999999999999982, 1.9786554708241204, 0.0, 0.8, -0.5, 0.022326674500587538
'2016-08-19', 1.15, 1.15, 1.1, 1.11, 187900.0, 1.11, 0.04999999999999982, 0.0, 2.0263738069654265, 0.0, 0.5, -0.1, 0.01920289855072464
'2016-08-18', 1.1, 1.13, 1.1, 1.13, 209700.0, 1.13, -0.029999999999999805, -0.05999999999999983, 2.066890236563132, 0.0, 0.1, 0.0, 0.021090909090909084
'2016-08-17', 1.13, 1.132, 1.1, 1.1, 292700.0, 1.1, -0.030000000000000027, 0.009999999999999787, 2.0957594022745605, 0.0, 0.0, 0.0, 0.018720217835262086
'2016-08-16', 1.16, 1.17, 1.11, 1.13, 400500.0, 1.13, 0.010000000000000009, 0.010000000000000009, 2.1067567293512237, 0.0, 0.0, 0.0, 0.016602809706257986
'2016-08-15', 1.15, 1.17, 1.12, 1.15, 342600.0, 1.15, -0.010000000000000009, -0.09000000000000008, 2.119817792222299, 0.0, 0.0, 0.0, 0.01645962732919255
'2016-08-12', 1.16, 1.18, 1.12, 1.14, 297200.0, 1.14, 0.039999999999999813, -0.030000000000000027, 2.1182445890144246, 0.0, 0.0, 0.0, 0.015457788347205707
'2016-08-11', 1.12, 1.2, 1.12, 1.15, 400400.0, 1.15, -0.029999999999999805, -0.039999999999999813, 2.104245371465346, 0.0, 0.0, 0.0, 0.01666666666666666
'2016-08-10', 1.15, 1.23, 1.12, 1.12, 738800.0, 1.12, -0.09000000000000008, 0.020000000000000018, 2.072803449169479, 0.0, 0.0, 0.0, 0.014866760168302946
'2016-08-09', 1.24, 1.24, 1.14, 1.16, 614100.0, 1.16, 0.050000000000000044, 0.16999999999999993, 2.0319904650366842, 0.0, 0.0, 0.0, 0.011088709677419354
'2016-08-08', 1.19, 1.23, 1.16, 1.22, 512900.0, 1.22, 0.030000000000000027, 0.10999999999999988, 1.9907752607687508, 0.0, 0.0, 0.0, 0.012477718360071303
'2016-08-05', 1.16, 1.24, 1.15, 1.17, 869800.0, 1.17, 0.030000000000000027, 0.010000000000000009, 1.9385639372713217, 0.0, 0.0, 0.0, 0.013184584178498987
'2016-08-04', 1.13, 1.25, 1.13, 1.17, 1307000.0, 1.17, 0.05999999999999983, -0.050000000000000044, 1.8738372765234683, 0.0, 0.0, 0.0, 0.013906447534766121
'2016-08-03', 1.07, 1.17, 1.04, 1.14, 996000.0, 1.14, -0.010000000000000009, 0.010000000000000009, 1.798578922062885, 0.0, 0.0, -0.1, 0.015835929387331252
'2016-08-02', 1.08, 1.14, 1.03, 1.08, 1125700.0, 1.08, -0.06999999999999984, -0.04999999999999982, 1.7091331542302048, 0.0, 0.1, -0.5, 0.015015015015015011
'2016-08-01', 1.15, 1.2, 1.1, 1.13, 1161400.0, 1.13, -0.030000000000000027, -0.49, 1.6000543480352991, 0.0, 0.5, -0.8, 0.012128146453089246
'2016-07-29', 1.18, 1.33, 1.13, 1.26, 4114800.0, 1.26, 0.11999999999999988, -4.12, 1.4802509265511559, -1.0, 0.8, -1.0, -0.0014124293785310747
'2016-07-28', 1.06, 1.33, 1.01, 1.24, 8810100.0, 1.24, -0.06999999999999984, -4.380000000000001, 1.3235522593888513, 1.0, 1.0, -0.8, 0.004468718967229387
'2016-07-27', 1.13, 1.17, 1.05, 1.08, 2914600.0, 1.08, -0.51, -4.22, 1.1039658433725807, 0.0, 0.8, -0.5, 0.0008849557522123902
'2016-07-26', 1.64, 1.65, 1.08, 1.1, 9271800.0, 1.1, -3.66, -3.5300000000000002, 0.8246760475079493, 0.0, 0.5, -0.1, -0.014227642276422765
'2016-07-25', 5.3, 5.38, 5.05, 5.2, 88200.0, 5.2, -0.14000000000000057, 0.05999999999999961, 0.43064773565203174, 0.0, 0.1, 0.0, -0.0355917667238422
'2016-07-22', 5.44, 5.49, 5.14, 5.29, 56700.0, 5.29, 0.09000000000000075, 0.13000000000000078, 0.45301303022711775, 0.0, 0.0, 0.0, -0.034287084398976986
'2016-07-21', 5.35, 5.56, 5.2, 5.47, 85800.0, 5.47, 0.17999999999999972, 0.04999999999999982, 0.49594435731799136, 0.0, 0.0, 0.0, -0.03271028037383178
'2016-07-20', 5.17, 5.4, 5.06, 5.33, 38700.0, 5.33, -0.07000000000000028, -0.25, 0.5152308274507219, 0.0, 0.0, 0.0, -0.031102514506769822
'2016-07-19', 5.24, 5.24, 5.03, 5.07, 50800.0, 5.07, -0.0699999999999994, -0.2649999999999997, 0.5257434154498645, 0.0, 0.0, 0.0, -0.030020551967116848
'2016-07-18', 5.31, 5.48, 5.21, 5.24, 44500.0, 5.24, 0.009999999999999787, -0.1900000000000004, 0.5577450632283136, 0.0, 0.0, 0.0, -0.029015833158959344
'2016-07-15', 5.3, 5.39, 5.17, 5.39, 26200.0, 5.39, -0.1200000000000001, -0.16999999999999993, 0.5948262117814095, 0.0, 0.0, 0.0, -0.027964959568733155
'2016-07-14', 5.42, 5.42, 5.15, 5.24, 33500.0, 5.24, -0.08499999999999996, -0.1200000000000001, 0.6076398787293524, 0.0, 0.0, 0.0, -0.027166306145820076
'2016-07-13', 5.505, 5.86, 5.31, 5.37, 50400.0, 5.37, 0.004999999999999893, -0.054999999999999716, 0.6355567113431605, 0.0, 0.0, 0.0, -0.026369966696942176
'2016-07-12', 5.5, 5.86, 5.42, 5.79, 66200.0, 5.79, 0.03000000000000025, 0.16000000000000014, 0.6685183659074413, 0.0, 0.0, 0.0, -0.025513196480938416
'2016-07-11', 5.47, 5.56, 5.3, 5.5, 47100.0, 5.5, -0.07000000000000028, -0.16999999999999993, 0.6960048890313598, 0.0, 0.0, 0.0, -0.0246800731261426
'2016-07-08', 5.54, 5.54, 5.39, 5.47, 50200.0, 5.47, -0.019999999999999574, 0.009999999999999787, 0.709280327750131, 0.0, 0.0, -0.1, -0.02401269007767203
'2016-07-07', 5.56, 5.634, 5.43, 5.52, 18900.0, 5.52, 0.21999999999999975, 0.11999999999999922, 0.7177581804170229, 0.0, 0.0, -0.5, -0.023328396106644098
'2016-07-06', 5.34, 5.55, 5.33, 5.55, 14600.0, 5.55, -0.2999999999999998, 0.1299999999999999, 0.7242172210969119, 0.0, 0.0, -0.8, -0.022418405564472978
'2016-07-05', 5.64, 5.7, 5.35, 5.4, 24800.0, 5.4, 0.10999999999999943, 0.47999999999999954, 0.7084157010933309, -1.0, 0.0, -1.0, 0.0
'2016-07-01', 5.53, 5.85, 5.4, 5.71, 40900.0, 5.71, 0.08999999999999986, 0.1299999999999999, 0.7024951759423136, 0.0, 0.1, -0.8, 0.01989150090415903
'2016-06-30', 5.44, 5.61, 5.265, 5.51, 60700.0, 5.51, 0.23000000000000043, -0.05999999999999961, 0.6865958903654076, 0.0, 0.5, -0.5, 0.018382352941176405
'2016-06-29', 5.21, 5.56, 5.21, 5.46, 75000.0, 5.46, 0.04999999999999982, -0.3600000000000003, 0.6611459117824647, 0.0, 0.8, -0.1, 0.027511196417146496
'2016-06-28', 5.16, 5.5, 5.13, 5.17, 82300.0, 5.17, -0.2400000000000002, -0.6499999999999995, 0.6184593088204483, 1.0, 1.0, 0.0, 0.023255813953488347
'2016-06-27', 5.4, 5.49, 5.03, 5.09, 69600.0, 5.09, -0.09999999999999964, -0.6899999999999995, 0.5595618573689796, 0.0, 0.8, 0.0, 0.008888888888888865
'2016-06-24', 5.5, 5.78, 5.4, 5.44, 225200.0, 5.44, -0.07000000000000028, -0.6600000000000001, 0.507606721127029, 0.0, 0.5, 0.0, 0.0042424242424242324
'2016-06-23', 5.57, 5.92, 5.4, 5.87, 43700.0, 5.87, -0.23999999999999932, -0.9299999999999997, 0.45891239178445964, 0.0, 0.1, 0.0, 0.0017953321364452268
'2016-06-22', 5.81, 6.06, 5.55, 5.56, 87500.0, 5.56, -0.28000000000000025, -0.5200000000000005, 0.40779995776796696, 0.0, 0.0, 0.0, -0.0036574870912220296
'2016-06-21', 6.09, 6.17, 5.78, 5.83, 55200.0, 5.83, -0.07000000000000028, -0.21999999999999975, 0.3641851253903097, 0.0, 0.0, 0.0, -0.00821018062397373
'2016-06-20', 6.16, 6.775, 6.0, 6.12, 51300.0, 6.12, -0.33999999999999986, -0.6399999999999997, 0.3427304172215955, 0.0, 0.0, 0.0, -0.00844155844155845
'2016-06-17', 6.5, 6.5, 5.9, 6.1, 143000.0, 6.1, 0.16999999999999993, 0.20000000000000018, 0.32611948219428205, 0.0, 0.0, 0.0, -0.012027972027972032
'2016-06-16', 6.33, 6.65, 6.07, 6.5, 51200.0, 6.5, 0.020000000000000462, -0.17999999999999972, 0.3194650476447567, 0.0, 0.0, 0.0, -0.009083728278041079
'2016-06-15', 6.31, 6.53, 6.18, 6.29, 24400.0, 6.29, -0.4900000000000002, -0.5300000000000002, 0.30341047553877676, 0.0, 0.0, 0.0, -0.008167743508472509
'2016-06-14', 6.8, 6.91, 6.21, 6.32, 38200.0, 6.32, 0.5, 0.1899999999999995, 0.28470945228815675, 0.0, 0.0, 0.0, -0.012184873949579834
'2016-06-13', 6.3, 6.97, 6.3, 6.82, 79100.0, 6.82, -0.20999999999999996, -0.33999999999999986, 0.28779723765178844, 0.0, 0.0, 0.0, -0.006984126984126986
'2016-06-10', 6.51, 6.51, 6.28, 6.32, 34300.0, 6.32, -0.33000000000000007, -0.5250000000000004, 0.2703962627125029, 0.0, 0.0, 0.0, -0.008352534562211984
'2016-06-09', 6.84, 6.86, 6.45, 6.58, 48000.0, 6.58, 0.22999999999999954, -0.35000000000000053, 0.2549198675836955, 0.0, 0.0, 0.0, -0.010319917440660476
'2016-06-08', 6.61, 7.05, 6.385, 6.82, 39300.0, 6.82, -0.02999999999999936, -0.3099999999999996, 0.255615868486724, 0.0, 0.0, 0.0, -0.00815263069423433
'2016-06-07', 6.64, 6.886, 6.441, 6.6, 44700.0, 6.6, -0.39500000000000046, -0.5700000000000003, 0.2834492409977881, 0.0, 0.0, 0.0, -0.007926442612555486
'2016-06-06', 7.035, 7.04, 6.66, 6.72, 104400.0, 6.72, -0.15500000000000025, -0.3250000000000002, 0.27715724578096246, 0.0, 0.0, 0.0, -0.009914712153518128
'2016-06-03', 7.19, 7.29, 6.82, 6.93, 50600.0, 6.93, 0.27000000000000046, -0.1999999999999993, 0.2778368826008046, 0.0, 0.0, 0.0, -0.010265580502020005
'2016-06-02', 6.92, 7.38, 6.92, 7.19, 42700.0, 7.19, -0.29000000000000004, -0.33999999999999986, 0.2774975475367103, 0.0, 0.0, 0.0, -0.008407777193904363
