Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-13', 0.31, 0.32, 0.25, 0.28, 5260300.0, 0.28, 0.010000000000000009, 0.07999999999999999, 0.030164364553043197, -1.0, 0.1, -1.0, 0.0
'2016-09-12', 0.3, 0.38, 0.28, 0.3, 9837600.0, 0.3, 0.03999999999999998, 0.06, 0.029776948578836393, 0.0, 0.5, -0.8, 0.03333333333333337
'2016-09-09', 0.26, 0.44, 0.25, 0.31, 42344100.0, 0.31, 0.03, 0.020000000000000018, 0.02874408151641347, 0.0, 0.8, -0.5, 0.09615384615384613
'2016-09-08', 0.23, 0.28, 0.23, 0.25, 3739900.0, 0.25, 0.0, 0.0, 0.028807792155749964, 1.0, 1.0, -0.1, 0.11594202898550722
'2016-09-07', 0.23, 0.24, 0.23, 0.23, 1072100.0, 0.23, -0.009999999999999981, -0.009999999999999981, 0.029403325586667157, 0.0, 0.8, 0.0, 0.08695652173913042
'2016-09-06', 0.24, 0.24, 0.23, 0.23, 634900.0, 0.23, 0.0, -0.010000000000000009, 0.02997220935021864, 0.0, 0.5, 0.0, 0.05833333333333334
'2016-09-02', 0.24, 0.24, 0.22, 0.23, 428900.0, 0.23, 0.009999999999999981, 0.0, 0.03008137112714261, 0.0, 0.1, 0.0, 0.04861111111111112
'2016-09-01', 0.23, 0.25, 0.22, 0.22, 587900.0, 0.22, -0.009999999999999981, -0.009999999999999981, 0.03018645759644915, 0.0, 0.0, 0.0, 0.04968944099378881
'2016-08-31', 0.24, 0.24, 0.22, 0.23, 890400.0, 0.23, -0.010000000000000009, -0.010000000000000009, 0.03071192312803323, 0.0, 0.0, 0.0, 0.036458333333333336
'2016-08-30', 0.25, 0.25, 0.24, 0.24, 440200.0, 0.24, 0.010000000000000009, -0.020000000000000018, 0.030804040139061132, 0.0, 0.0, 0.0, 0.026666666666666665
'2016-08-29', 0.24, 0.25, 0.24, 0.25, 1072100.0, 0.25, 0.0, -0.010000000000000009, 0.030868898407440604, 0.0, 0.0, 0.0, 0.02916666666666667
'2016-08-26', 0.24, 0.26, 0.24, 0.25, 683100.0, 0.25, -0.010000000000000009, -0.040000000000000036, 0.030949780110509494, 0.0, 0.0, 0.0, 0.02651515151515152
'2016-08-25', 0.25, 0.26, 0.24, 0.24, 695800.0, 0.24, -0.020000000000000018, -0.04999999999999999, 0.030949780110509494, 0.0, 0.0, 0.0, 0.02
'2016-08-24', 0.27, 0.27, 0.25, 0.26, 529200.0, 0.26, 0.020000000000000018, -0.010000000000000009, 0.030949780110509494, 0.0, 0.0, -0.1, 0.01139601139601139
'2016-08-23', 0.25, 0.27, 0.24, 0.26, 1169700.0, 0.26, -0.030000000000000027, -0.030000000000000027, 0.030702877172451883, 0.0, 0.0, -0.5, 0.017142857142857144
'2016-08-22', 0.28, 0.28, 0.24, 0.25, 1801100.0, 0.25, -0.019999999999999962, -0.009999999999999953, 0.030913858812297548, 0.0, 0.0, -0.8, 0.007142857142857136
'2016-08-19', 0.3, 0.3, 0.27, 0.27, 1386900.0, 0.27, 0.019999999999999962, 0.02999999999999997, 0.03005365572142967, -1.0, 0.0, -1.0, 0.0
'2016-08-18', 0.28, 0.32, 0.27, 0.29, 3227700.0, 0.29, 0.0, 0.0, 0.027976180344476388, 0.0, 0.0, -0.8, 0.07142857142857129
'2016-08-17', 0.28, 0.28, 0.26, 0.27, 801500.0, 0.27, -0.009999999999999953, 0.020000000000000018, 0.02719477073916152, 0.0, 0.0, -0.5, 0.03571428571428564
'2016-08-16', 0.29, 0.29, 0.27, 0.28, 1327200.0, 0.28, 0.019999999999999962, 0.019999999999999962, 0.026036299446904682, 0.0, 0.0, -0.1, 0.01149425287356323
'2016-08-15', 0.27, 0.3, 0.27, 0.28, 1862300.0, 0.28, -0.010000000000000009, 0.0, 0.02417758374105146, 0.0, 0.0, 0.0, 0.02777777777777775
'2016-08-12', 0.28, 0.28, 0.26, 0.27, 957000.0, 0.27, 0.020000000000000018, 0.040000000000000036, 0.02539685019840059, 0.0, 0.0, 0.0, 0.014285714285714258
'2016-08-11', 0.26, 0.28, 0.25, 0.26, 2217100.0, 0.26, -0.010000000000000009, 0.03, 0.02539685019840059, 0.0, 0.0, 0.0, 0.025641025641025626
'2016-08-10', 0.27, 0.28, 0.26, 0.26, 1595400.0, 0.26, 0.0, 0.07, 0.033673266679799405, 0.0, 0.0, 0.0, 0.015873015873015858
'2016-08-09', 0.27, 0.32, 0.25, 0.26, 5454200.0, 0.26, 0.030000000000000027, 0.09000000000000002, 0.03563550040183088, 0.0, 0.0, 0.0, 0.013888888888888874
'2016-08-08', 0.24, 0.31, 0.24, 0.31, 8474900.0, 0.31, 0.009999999999999981, 0.03999999999999998, 0.040470839982497134, 0.0, 0.1, 0.0, 0.027777777777777776
'2016-08-05', 0.23, 0.24, 0.22, 0.23, 1605200.0, 0.23, 0.03, 0.03, 0.042797975029978536, 0.0, 0.5, 0.0, 0.03043478260869564
'2016-08-04', 0.2, 0.23, 0.2, 0.22, 1774800.0, 0.22, 0.020000000000000018, -0.01999999999999999, 0.045951665427441855, 0.0, 0.8, 0.0, 0.04545454545454544
'2016-08-03', 0.18, 0.22, 0.17, 0.21, 2886400.0, 0.21, -0.020000000000000018, -0.05000000000000002, 0.04784233364802441, 1.0, 1.0, 0.0, 0.05555555555555555
'2016-08-02', 0.2, 0.2, 0.17, 0.18, 2326700.0, 0.18, 0.0, -0.009999999999999981, 0.048286183899284844, 0.0, 0.8, -0.1, 0.03846153846153845
'2016-08-01', 0.2, 0.21, 0.2, 0.21, 425600.0, 0.21, -0.01999999999999999, -0.009999999999999981, 0.053274968064018796, 0.0, 0.5, -0.5, 0.035714285714285705
'2016-07-29', 0.22, 0.22, 0.21, 0.21, 439400.0, 0.21, -0.010000000000000009, -0.010000000000000009, 0.05633727796840108, 0.0, 0.1, -0.8, 0.02424242424242424
'2016-07-28', 0.23, 0.23, 0.21, 0.22, 635900.0, 0.22, 0.020000000000000018, 0.0, 0.05815687596683837, -1.0, 0.0, -1.0, 0.0
'2016-07-27', 0.21, 0.24, 0.2, 0.24, 1446200.0, 0.24, 0.0, 0.0, 0.06090429650963332, 0.0, 0.0, -0.8, 0.09523809523809533
'2016-07-26', 0.21, 0.22, 0.2, 0.21, 926200.0, 0.21, -0.020000000000000018, -0.020000000000000018, 0.061842991159512625, 0.0, 0.0, -0.5, 0.047619047619047665
'2016-07-25', 0.23, 0.23, 0.21, 0.21, 1360800.0, 0.21, 0.0, 0.0, 0.062253960159620016, 0.0, 0.0, -0.1, 0.0
'2016-07-22', 0.23, 0.25, 0.21, 0.22, 1373400.0, 0.22, 0.020000000000000018, 0.0, 0.07321885003194192, 0.0, 0.0, 0.0, 0.0
'2016-07-21', 0.21, 0.23, 0.21, 0.22, 1355100.0, 0.22, -0.020000000000000018, -0.03, 0.07239475119095307, 0.0, 0.0, 0.0, 0.019047619047619063
'2016-07-20', 0.23, 0.23, 0.22, 0.22, 1361200.0, 0.22, 0.0, -0.01999999999999999, 0.07158600111443267, 0.0, 0.0, 0.0, 0.0
'2016-07-19', 0.23, 0.23, 0.22, 0.23, 1377900.0, 0.23, 0.0, -0.03, 0.07158600111443268, 0.0, 0.0, 0.0, 0.0
'2016-07-18', 0.23, 0.25, 0.23, 0.23, 1837400.0, 0.23, -0.009999999999999981, 0.010000000000000009, 0.07239475119095307, 0.0, 0.0, 0.0, 0.0
'2016-07-15', 0.24, 0.25, 0.23, 0.23, 1235500.0, 0.23, -0.010000000000000009, 0.0, 0.07318849332754129, 0.0, 0.1, 0.0, -0.004629629629629621
'2016-07-14', 0.25, 0.26, 0.24, 0.24, 1096300.0, 0.24, -0.010000000000000009, 0.0, 0.07574885404340377, 0.0, 0.5, 0.0, -0.007999999999999997
'2016-07-13', 0.26, 0.27, 0.23, 0.25, 2203400.0, 0.25, 0.04000000000000001, 0.0, 0.07952917005029594, 0.0, 0.8, 0.0, -0.010489510489510488
'2016-07-12', 0.22, 0.27, 0.22, 0.26, 6888000.0, 0.26, -0.01999999999999999, -0.010000000000000009, 0.08127867015535024, 1.0, 1.0, 0.0, 0.003787878787878791
'2016-07-11', 0.24, 0.25, 0.23, 0.23, 3882400.0, 0.23, -0.010000000000000009, -0.010000000000000009, 0.08127867015535024, 0.0, 0.8, 0.0, -0.003205128205128199
'2016-07-08', 0.25, 0.26, 0.22, 0.22, 3352800.0, 0.22, -0.010000000000000009, -0.03999999999999998, 0.08127867015535024, 0.0, 0.5, 0.0, -0.005714285714285712
'2016-07-07', 0.26, 0.28, 0.24, 0.24, 3031200.0, 0.24, 0.03, -0.020000000000000018, 0.08150051124584025, 0.0, 0.1, 0.0, -0.007692307692307691
'2016-07-06', 0.23, 0.3, 0.21, 0.25, 4967700.0, 0.25, -0.01999999999999999, -0.12999999999999998, 0.08215432632146243, 0.0, 0.0, 0.0, 0.0
'2016-07-05', 0.25, 0.26, 0.23, 0.24, 2436000.0, 0.24, -0.03999999999999998, -0.06, 0.08136065115002188, 0.0, 0.0, 0.0, -0.004705882352941174
'2016-07-01', 0.29, 0.31, 0.24, 0.25, 5452100.0, 0.25, 0.009999999999999953, -0.06, 0.08093138383154515, 0.0, 0.0, 0.0, -0.011494252873563213
'2016-06-30', 0.28, 0.35, 0.23, 0.29, 9416300.0, 0.29, -0.07999999999999996, -0.03999999999999998, 0.08090872772589013, 0.0, 0.0, 0.0, -0.009398496240601507
'2016-06-29', 0.36, 0.41, 0.35, 0.37, 5277800.0, 0.37, 0.04999999999999999, 0.019999999999999962, 0.08111445959602737, 0.0, 0.0, 0.0, -0.018055555555555554
'2016-06-28', 0.31, 0.38, 0.31, 0.34, 2220700.0, 0.34, -0.03999999999999998, -0.030000000000000027, 0.08089842739853201, 0.0, 0.0, 0.0, -0.012288786482334868
'2016-06-27', 0.35, 0.36, 0.3, 0.31, 3120100.0, 0.31, 0.02999999999999997, 0.009999999999999953, 0.08117197107923947, 0.0, 0.0, 0.0, -0.015584415584415581
'2016-06-24', 0.32, 0.38, 0.32, 0.36, 6886200.0, 0.36, -0.020000000000000018, -0.08000000000000002, 0.08192204967053879, 0.0, 0.0, 0.0, -0.012228260869565216
'2016-06-23', 0.34, 0.43, 0.34, 0.4, 6297100.0, 0.4, 0.0, -0.04999999999999999, 0.0836719785830358, 0.0, 0.0, 0.0, -0.013480392156862746
'2016-06-22', 0.34, 0.38, 0.34, 0.36, 2299400.0, 0.36, 0.0, -0.02999999999999997, 0.0855154307063286, 0.0, 0.0, 0.0, -0.012941176470588237
'2016-06-21', 0.34, 0.38, 0.33, 0.37, 2080400.0, 0.37, -0.06, -0.04999999999999999, 0.08807887878991699, 0.0, 0.0, 0.0, -0.012443438914027152
'2016-06-20', 0.4, 0.41, 0.36, 0.37, 3478800.0, 0.37, 0.010000000000000009, 0.020000000000000018, 0.09047037575299934, 0.0, 0.0, 0.0, -0.01574074074074074
'2016-06-17', 0.39, 0.41, 0.36, 0.38, 3883300.0, 0.38, 0.020000000000000018, 0.010000000000000009, 0.09047037575299934, 0.0, 0.0, 0.0, -0.014652014652014652
'2016-06-16', 0.37, 0.39, 0.33, 0.36, 3851000.0, 0.36, -0.020000000000000018, -0.15000000000000002, 0.09108969938106797, 0.0, 0.0, 0.0, -0.013047530288909598
'2016-06-15', 0.39, 0.42, 0.39, 0.39, 3702400.0, 0.39, 0.010000000000000009, 0.040000000000000036, 0.09155447680054878, 0.0, 0.0, -0.1, -0.013675213675213673
'2016-06-14', 0.38, 0.47, 0.38, 0.42, 6236200.0, 0.42, 0.0, 0.15, 0.09289420505786856, 0.0, 0.0, -0.5, -0.012733446519524618
'2016-06-13', 0.38, 0.53, 0.32, 0.43, 9737900.0, 0.43, -0.14, 0.15, 0.09574038971208662, 0.0, 0.0, -0.8, -0.012335526315789474
'2016-06-10', 0.52, 0.59, 0.34, 0.38, 17794900.0, 0.38, 0.17000000000000004, 0.31000000000000005, 0.09843215373488932, -1.0, 0.0, -1.0, 0.0
'2016-06-09', 0.35, 0.63, 0.35, 0.62, 22816400.0, 0.62, 0.11999999999999997, 0.13999999999999999, 0.09778036612735709, 0.0, 0.0, -0.8, 0.4857142857142859
'2016-06-08', 0.23, 0.34, 0.22, 0.32, 13729100.0, 0.32, 0.0, 0.05000000000000002, 0.10074169389527302, 0.0, 0.0, -0.5, 0.6304347826086957
'2016-06-07', 0.23, 0.23, 0.2, 0.22, 2530200.0, 0.22, 0.020000000000000018, 0.07, 0.10144292319657724, 0.0, 0.0, -0.1, 0.4202898550724638
'2016-06-06', 0.21, 0.23, 0.2, 0.22, 4383800.0, 0.22, 0.0, 0.009999999999999981, 0.10198311407069091, 0.0, 0.1, 0.0, 0.3690476190476191
'2016-06-03', 0.21, 0.24, 0.17, 0.19, 7072100.0, 0.19, 0.03, -0.010000000000000009, 0.10043018581194711, 0.0, 0.5, 0.0, 0.2952380952380953
'2016-06-02', 0.18, 0.24, 0.17, 0.19, 7670900.0, 0.19, 0.01999999999999999, -0.06, 0.09855398971573341, 0.0, 0.8, 0.0, 0.3148148148148148
'2016-06-01', 0.16, 0.17, 0.13, 0.17, 4878700.0, 0.17, -0.04000000000000001, -0.07999999999999999, 0.09521671188516342, 1.0, 1.0, 0.0, 0.3214285714285714
'2016-05-31', 0.2, 0.2, 0.15, 0.16, 4654600.0, 0.16, -0.01999999999999999, -0.03, 0.08787617550976046, 0.0, 0.8, 0.0, 0.19999999999999998
'2016-05-27', 0.22, 0.22, 0.2, 0.2, 2397000.0, 0.2, -0.01999999999999999, -0.05000000000000002, 0.08155502573246005, 0.0, 0.5, 0.0, 0.15151515151515155
'2016-05-26', 0.24, 0.25, 0.21, 0.21, 2222900.0, 0.21, 0.0, -0.040000000000000036, 0.0779629541655665, 0.0, 0.1, 0.0, 0.11666666666666668
'2016-05-25', 0.24, 0.25, 0.22, 0.23, 1414500.0, 0.23, 0.009999999999999981, -0.06, 0.07910681948409308, 0.0, 0.0, 0.0, 0.10606060606060608
