Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-05', 98.199997, 98.989998, 94.510002, 94.870003, 269100.0, 94.870003, 0.8399959999999993, 2.369995000000003, 3.892372044037599, -1.0, 0.0, -1.0, 0.0
'2016-10-04', 97.360001, 98.129997, 96.410004, 97.620003, 182600.0, 97.620003, 1.3300019999999932, 3.620002999999997, 4.00695669952823, 0.0, 0.0, -0.8, 0.008627732039567248
'2016-10-03', 96.029999, 99.040001, 95.940002, 97.160004, 239300.0, 97.160004, -0.8000029999999896, 3.9700010000000105, 4.110640950658121, 0.0, 0.0, -0.5, 0.011298542239909804
'2016-09-30', 96.830002, 98.870003, 93.93, 96.910004, 382800.0, 96.910004, 1.0, 5.179999999999993, 4.21690668581773, 0.0, 0.0, -0.1, 0.0047161519215914195
'2016-09-29', 95.830002, 97.82, 94.93, 96.120003, 353100.0, 96.120003, 2.0900039999999933, 2.240005999999994, 4.362553592068749, 0.0, 0.0, 0.0, 0.0061828105774223065
'2016-09-28', 93.739998, 96.669998, 93.470001, 96.160004, 385500.0, 96.160004, 1.6800000000000068, 3.799995999999993, 4.588579762430142, 0.0, 0.0, 0.0, 0.009515679742173658
'2016-09-27', 92.059998, 93.760002, 90.940002, 93.190002, 253200.0, 93.190002, 0.4099959999999925, 2.41999899999999, 4.987387061084416, 0.0, 0.0, 0.0, 0.011115937311520116
'2016-09-26', 91.650002, 93.110001, 90.709999, 91.830002, 324900.0, 91.830002, -1.9399939999999987, -1.8300009999999958, 5.262888108647087, 0.0, 0.1, 0.0, 0.010209640491099724
'2016-09-23', 93.589996, 94.0, 91.379997, 92.139999, 307400.0, 92.139999, 3.6499939999999924, -2.7100070000000045, 5.411537196850294, 0.0, 0.5, 0.0, 0.0061571765106176474
'2016-09-22', 89.940002, 95.0, 89.940002, 93.989998, 370900.0, 93.989998, 0.3000030000000038, -5.339996999999997, 5.6830644512333155, 0.0, 0.8, 0.0, 0.010204327349494844
'2016-09-21', 89.639999, 90.07, 87.550003, 89.32, 367000.0, 89.32, -3.8400039999999933, -6.91999899999999, 5.597636698846397, 1.0, 1.0, 0.0, 0.00954930621987177
'2016-09-20', 93.480003, 93.830002, 88.800003, 88.93, 359900.0, 88.93, -2.8200000000000074, -5.119995000000003, 5.268849178818752, 0.0, 0.8, 0.0, 0.004590183460267579
'2016-09-19', 96.300003, 96.599998, 91.110001, 92.57, 502200.0, 92.57, 1.0200040000000001, -5.9199979999999925, 5.261896962060243, 0.0, 0.5, 0.0, 0.001644162288689988
