Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-28', 3.97, 3.975, 3.75, 3.88, 266600.0, 3.88, 0.14000000000000012, 0.20000000000000018, 0.11042141499224177, -1.0, 0.0, -1.0, 0.0
'2016-09-27', 3.83, 3.98, 3.83, 3.96, 292900.0, 3.96, 0.020000000000000018, 0.08000000000000007, 0.11336519160071426, 0.0, 0.0, -0.8, 0.036553524804177576
'2016-09-26', 3.81, 3.92, 3.78, 3.85, 384600.0, 3.85, -0.029999999999999805, 0.050000000000000266, 0.11840420412956433, 0.0, 0.0, -0.5, 0.020997375328084007
'2016-09-23', 3.84, 4.01, 3.79, 3.83, 416500.0, 3.83, 0.06999999999999984, 0.13999999999999968, 0.11995415791042838, 0.0, 0.0, -0.1, 0.011284722222222252
'2016-09-22', 3.77, 3.88, 3.75, 3.87, 274800.0, 3.87, 0.020000000000000018, 0.08999999999999986, 0.11985361441729186, 0.0, 0.0, 0.0, 0.013262599469496032
'2016-09-21', 3.75, 3.8, 3.63, 3.76, 179900.0, 3.76, -0.009999999999999787, 0.04999999999999982, 0.11833098589220917, 0.0, 0.1, 0.0, 0.011733333333333344
'2016-09-20', 3.76, 3.8, 3.66, 3.73, 179400.0, 3.73, 0.05999999999999961, -0.020000000000000018, 0.11571468743806411, 0.0, 0.5, 0.0, 0.009308510638297891
'2016-09-19', 3.7, 3.78, 3.66, 3.73, 316600.0, 3.73, 0.020000000000000018, -0.21999999999999975, 0.11358794928258106, 0.0, 0.8, 0.0, 0.010424710424710425
'2016-09-16', 3.68, 3.73, 3.62, 3.66, 503300.0, 3.66, -0.020000000000000018, -0.09999999999999964, 0.11436588457908042, 1.0, 1.0, 0.0, 0.00985054347826087
'2016-09-15', 3.7, 3.79, 3.662, 3.69, 257700.0, 3.69, -0.07999999999999963, -0.21999999999999975, 0.11146748404803976, 0.0, 0.8, 0.0, 0.008108108108108107
'2016-09-14', 3.78, 3.89, 3.65, 3.7, 445500.0, 3.7, -0.14000000000000012, -0.050000000000000266, 0.1042667519181237, 0.0, 0.5, 0.0, 0.005026455026455037
'2016-09-13', 3.92, 3.92, 3.69, 3.74, 321300.0, 3.74, 0.14000000000000012, 0.16000000000000014, 0.10901783748033568, 0.0, 0.1, 0.0, 0.0011595547309833087
'2016-09-12', 3.78, 3.95, 3.78, 3.91, 353100.0, 3.91, -0.14000000000000012, 0.029999999999999805, 0.10983877073035528, 0.0, 0.0, 0.0, 0.004188712522045864
'2016-09-09', 3.92, 4.0, 3.76, 3.79, 453700.0, 3.79, 0.08999999999999986, 0.1299999999999999, 0.10810951237826695, 0.0, 0.0, 0.0, 0.0009811616954474149
'2016-09-08', 3.83, 4.01, 3.77, 3.9, 446800.0, 3.9, 0.07000000000000028, 0.020000000000000018, 0.11647412683605837, 0.0, 0.0, 0.0, 0.0026109660574412555
'2016-09-07', 3.76, 3.85, 3.75, 3.83, 165800.0, 3.83, 0.009999999999999787, -0.1200000000000001, 0.1190989317985495, 0.0, 0.0, 0.0, 0.0037234042553191565
'2016-09-06', 3.75, 3.84, 3.72, 3.77, 288700.0, 3.77, -0.040000000000000036, -0.2200000000000002, 0.11765344590505339, 0.0, 0.0, 0.0, 0.00366666666666667
'2016-09-02', 3.79, 3.81, 3.671, 3.72, 222500.0, 3.72, -0.020000000000000018, -0.16000000000000014, 0.10896482612904644, 0.0, 0.0, 0.0, 0.0027937296290547905
'2016-09-01', 3.81, 3.89, 3.69, 3.78, 264500.0, 3.78, -0.06999999999999984, -0.08000000000000007, 0.10118410063948888, 0.0, 0.0, 0.0, 0.0023330417031204452
'2016-08-31', 3.88, 3.89, 3.76, 3.8, 307700.0, 3.8, -0.0900000000000003, -0.050000000000000266, 0.09855906294648341, 0.0, 0.0, 0.0, 0.0012208355941399933
'2016-08-30', 3.97, 3.99, 3.85, 3.88, 225400.0, 3.88, 0.020000000000000018, -0.12999999999999945, 0.09562019777338998, 0.0, 0.0, 0.0, 0.0
'2016-08-29', 3.95, 4.0, 3.855, 3.94, 251200.0, 3.94, 0.06000000000000005, -0.05999999999999961, 0.10879338215167314, 0.0, 0.0, 0.0, 0.00024110910186859574
'2016-08-26', 3.89, 4.05, 3.88, 3.95, 282000.0, 3.95, -0.040000000000000036, -0.11999999999999966, 0.12194215386357941, 0.0, 0.0, 0.0, 0.0009347978499649459
'2016-08-25', 3.93, 4.07, 3.83, 3.89, 371800.0, 3.89, -0.16999999999999948, -0.06000000000000005, 0.11967548714010826, 0.0, 0.0, 0.0, 0.00044252682818895936
'2016-08-24', 4.1, 4.28, 3.91, 3.92, 710700.0, 3.92, 0.08999999999999986, 0.11999999999999966, 0.12184917817622826, 0.0, 0.0, 0.0, -0.0013211382113821083
