Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-08', 6.34, 6.34, 6.33, 6.33, 1200.0, 6.267327, 0.03000000000000025, 0.07000000000000028, 0.1741930602010947, -1.0, 0.5, -1.0, 0.0
'2016-09-07', 6.31, 6.34, 6.25, 6.25, 5800.0, 6.188119, 0.07999999999999918, -0.010000000000000675, 0.1740322447772889, 0.0, 0.8, -0.8, 0.004754358161648218
'2016-09-06', 6.23, 6.32, 6.23, 6.32, 5500.0, 6.257426, -0.08999999999999986, -0.07999999999999918, 0.1723977958095752, 1.0, 1.0, -0.5, 0.008828250401284063
'2016-09-02', 6.32, 6.32, 6.29, 6.29, 1300.0, 6.227723, 0.05000000000000071, 0.010000000000000675, 0.17535361099472366, 0.0, 0.8, -0.1, 0.0010548523206750828
'2016-09-01', 6.27, 6.3, 6.27, 6.3, 1000.0, 6.237624, -0.05000000000000071, -0.05000000000000071, 0.17480179251559932, 0.0, 0.5, 0.0, 0.0027910685805422764
'2016-08-31', 6.32, 6.32, 6.25, 6.28, 1200.0, 6.217822, 0.010000000000000675, 0.010000000000000675, 0.17431261827214017, 0.0, 0.1, -0.1, 0.0006329113924050498
'2016-08-30', 6.31, 6.31, 6.3, 6.3, 9600.0, 6.237624, 0.0, -0.010000000000000675, 0.17248639237793661, 0.0, 0.0, -0.5, 0.0007923930269413695
'2016-08-29', 6.31, 6.31, 6.3, 6.3, 5900.0, 6.237624, -0.010000000000000675, 0.040000000000000036, 0.17346149108343578, 0.0, 0.0, -0.8, 0.0006791940230926025
'2016-08-26', 6.32, 6.32, 6.26, 6.26, 7100.0, 6.19802, 0.010000000000000675, 0.010000000000000675, 0.16856123186809255, -1.0, 0.0, -1.0, 0.0
'2016-08-25', 6.31, 6.32, 6.31, 6.32, 9100.0, 6.257426, -0.010000000000000675, 0.0699999999999994, 0.16246196135984836, 0.0, 0.0, -0.8, 0.001584786053882833
'2016-08-24', 6.32, 6.35, 6.32, 6.33, 5100.0, 6.267327, 0.05000000000000071, 0.0600000000000005, 0.15651198037211075, 0.0, 0.0, -0.5, 0.0
'2016-08-23', 6.27, 6.3, 6.25, 6.3, 2300.0, 6.237624, -0.040000000000000036, 0.16999999999999993, 0.15428725013932787, 0.0, 0.0, -0.1, 0.002658160552897433
