Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-11', 7.8, 7.8, 7.5, 7.55, 148900.0, 7.55, 0.03000000000000025, 0.4399999999999995, 0.2932909060225966, -1.0, 0.0, -1.0, 0.0
'2016-10-10', 7.77, 7.8, 7.67, 7.8, 133900.0, 7.8, -0.010000000000000675, 0.35999999999999943, 0.27133845204016993, 0.0, 0.0, -0.8, 0.003861003861003893
'2016-10-07', 7.78, 7.79, 7.61, 7.72, 176700.0, 7.72, 0.33000000000000007, 0.45999999999999996, 0.24860253864798376, 0.0, 0.0, -0.5, 0.001285347043701772
'2016-10-06', 7.45, 7.86, 7.4, 7.8, 267100.0, 7.8, 0.08999999999999986, 0.3799999999999999, 0.21882235311371245, 0.0, 0.0, -0.1, 0.015659955257270677
'2016-10-05', 7.36, 7.52, 7.35, 7.45, 93200.0, 7.45, -0.04999999999999982, 0.35000000000000053, 0.2209386541302561, 0.0, 0.0, 0.0, 0.014945652173913027
'2016-10-04', 7.41, 7.57, 7.29, 7.35, 67700.0, 7.35, 0.08999999999999986, 0.5300000000000002, 0.21678996491740324, 0.0, 0.0, 0.0, 0.010526315789473677
'2016-10-03', 7.32, 7.63, 7.32, 7.42, 182800.0, 7.42, 0.25, 0.5100000000000007, 0.21064029370785967, 0.0, 0.0, 0.0, 0.01092896174863387
'2016-09-30', 7.07, 7.48, 7.03, 7.41, 106300.0, 7.41, 0.0600000000000005, 0.05000000000000071, 0.21793092687567067, 0.0, 0.1, 0.0, 0.014750454637300455
'2016-09-29', 7.01, 7.1, 6.87, 7.08, 58100.0, 7.08, 0.1299999999999999, -0.04999999999999982, 0.23793112915762463, 0.0, 0.5, 0.0, 0.014087018544935806
'2016-09-28', 6.88, 7.08, 6.85, 7.04, 141900.0, 7.04, 0.07000000000000028, -0.08000000000000007, 0.2592444149189461, 0.0, 0.8, -0.1, 0.014857881136950904
'2016-09-27', 6.81, 6.94, 6.79, 6.88, 62800.0, 6.88, -0.20999999999999996, -0.11000000000000032, 0.27990097455270774, 1.0, 1.0, -0.5, 0.01453744493392071
'2016-09-26', 7.02, 7.05, 6.82, 6.84, 58100.0, 6.84, -0.040000000000000036, 0.03999999999999915, 0.29215216735271515, 0.0, 0.8, -0.8, 0.010101010101010104
'2016-09-23', 7.06, 7.14, 6.98, 7.04, 57500.0, 7.04, 0.09999999999999964, 0.11999999999999922, 0.32418444681316155, -1.0, 0.5, -1.0, 0.0
'2016-09-22', 6.96, 7.15, 6.96, 7.1, 75100.0, 7.1, 0.040000000000000036, 0.08999999999999986, 0.3539717502852452, 0.0, 0.1, -0.8, 0.014367816091953972
'2016-09-21', 6.92, 6.96, 6.87, 6.95, 53800.0, 6.95, -0.0600000000000005, 0.17999999999999972, 0.3737432273633865, 0.0, 0.0, -0.5, 0.010115606936416163
'2016-09-20', 6.98, 7.07, 6.85, 6.91, 49600.0, 6.91, 0.040000000000000036, 0.17000000000000082, 0.38977329593267707, 0.0, 0.1, -0.1, 0.0038204393505252713
