Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-07', 11.01, 11.14, 10.55, 10.7, 310400.0, 10.7, 0.07000000000000028, 2.4399999999999995, 0.6724417364269478, -1.0, 0.0, -1.0, 0.0
'2016-10-06', 10.94, 11.1, 10.86, 11.03, 520700.0, 11.03, 1.629999999999999, 2.549999999999999, 0.6302747196439201, 0.0, 0.0, -0.8, 0.006398537477148107
'2016-10-05', 9.31, 11.49, 9.31, 11.0, 2626500.0, 11.0, 0.34999999999999964, 0.5600000000000005, 0.6012250456821934, 0.0, 0.1, -0.5, 0.09129967776584313
'2016-10-04', 8.96, 9.11, 8.96, 9.01, 99100.0, 9.01, 0.39000000000000057, 0.0, 0.6184708741907109, 0.0, 0.5, -0.1, 0.0762648809523809
'2016-10-03', 8.57, 8.96, 8.57, 8.95, 190700.0, 8.95, 0.17999999999999972, -0.4499999999999993, 0.6199179157132194, 0.0, 0.8, 0.0, 0.07117852975495914
'2016-09-30', 8.39, 8.86, 8.39, 8.56, 359600.0, 8.56, -0.35999999999999943, -0.8599999999999994, 0.6008623432663721, 1.0, 1.0, 0.0, 0.06245530393325385
'2016-09-29', 8.75, 8.8, 8.37, 8.39, 193300.0, 8.39, -0.21000000000000085, -0.3000000000000007, 0.5659231396576748, 0.0, 0.8, 0.0, 0.04304761904761904
'2016-09-28', 8.96, 8.99, 8.7, 8.7, 226400.0, 8.7, -0.05999999999999872, -0.14999999999999858, 0.5527068742913271, 0.0, 0.5, 0.0, 0.032684948979591816
'2016-09-27', 9.02, 9.08, 8.93, 8.94, 105200.0, 8.94, -0.23000000000000043, 0.08000000000000007, 0.5457150253464613, 0.0, 0.1, 0.0, 0.027577605321507766
'2016-09-26', 9.25, 9.25, 9.02, 9.06, 192200.0, 9.06, 0.1999999999999993, 0.21000000000000085, 0.5346505608546785, 0.0, 0.0, 0.0, 0.02114114114114114
'2016-09-23', 9.05, 9.28, 9.04, 9.25, 155900.0, 9.25, -0.05999999999999872, -0.09999999999999964, 0.5384278554788522, 0.0, 0.0, 0.0, 0.021657458563535903
'2016-09-22', 9.11, 9.17, 9.05, 9.09, 74500.0, 9.09, 0.16999999999999993, -0.02000000000000135, 0.5340733407813326, 0.0, 0.0, 0.0, 0.018960183614409744
'2016-09-21', 8.94, 9.06, 8.88, 9.03, 137600.0, 9.03, -0.09999999999999964, -0.20000000000000107, 0.5190589775952462, 0.0, 0.0, 0.0, 0.019295302013422822
'2016-09-20', 9.04, 9.09, 8.93, 8.93, 88900.0, 8.93, -0.11000000000000121, -0.21000000000000085, 0.4985686178116978, 0.0, 0.0, 0.0, 0.016763104152484692
'2016-09-19', 9.15, 9.21, 8.93, 8.94, 151500.0, 8.94, 0.019999999999999574, -0.4499999999999993, 0.48022448454400535, 0.0, 0.0, 0.0, 0.014519906323185007
'2016-09-16', 9.13, 9.2, 8.93, 9.1, 210300.0, 9.1, -0.009999999999999787, -0.5499999999999989, 0.4575422263451636, 0.0, 0.0, 0.0, 0.013727637824023357
'2016-09-15', 9.14, 9.22, 9.11, 9.12, 79000.0, 9.12, -0.10999999999999943, -0.6399999999999988, 0.42819530850094834, 0.0, 0.0, 0.0, 0.012787199124726471
'2016-09-14', 9.25, 9.45, 9.11, 9.16, 159200.0, 9.16, -0.34999999999999964, -0.5899999999999999, 0.395229328646322, 0.0, 0.0, 0.0, 0.011192368839427662
'2016-09-13', 9.6, 9.63, 9.15, 9.22, 242800.0, 9.22, -0.08000000000000007, -0.16999999999999993, 0.36587733220605834, 0.0, 0.0, 0.0, 0.008159722222222224
'2016-09-12', 9.68, 9.72, 9.2, 9.64, 172400.0, 9.64, -0.09999999999999964, -0.120000000000001, 0.3568200604724399, 0.0, 0.0, 0.0, 0.007231404958677687
'2016-09-09', 9.78, 9.85, 9.68, 9.75, 150200.0, 9.75, -0.0600000000000005, 0.2400000000000002, 0.3525141447122687, 0.0, 0.0, 0.0, 0.006288343558282211
'2016-09-08', 9.84, 9.94, 9.74, 9.84, 122800.0, 9.84, 0.07000000000000028, 0.019999999999999574, 0.34712805834286714, 0.0, 0.0, 0.0, 0.005662020905923345
'2016-09-07', 9.77, 9.9, 9.72, 9.85, 163100.0, 9.85, -0.030000000000001137, 0.019999999999999574, 0.34653266640951613, 0.0, 0.0, -0.1, 0.005769051828417234
'2016-09-06', 9.8, 9.87, 9.67, 9.7, 231800.0, 9.7, 0.26000000000000156, 0.39000000000000057, 0.34036728528001775, 0.0, 0.0, -0.5, 0.005368234250221824
'2016-09-02', 9.54, 9.71, 9.5, 9.69, 175300.0, 9.69, -0.28000000000000114, -0.6700000000000017, 0.33486995817613885, 0.0, 0.0, -0.8, 0.0064203354297693955
'2016-09-01', 9.82, 9.85, 9.46, 9.48, 251100.0, 9.48, 0.07000000000000028, -1.4800000000000004, 0.31524311605841976, -1.0, 0.0, -1.0, 0.0
'2016-08-31', 9.75, 9.95, 9.71, 9.77, 239600.0, 9.77, 0.33999999999999986, -0.5700000000000003, 0.3151333051265767, 0.0, 0.0, -0.8, 0.007179487179487209
'2016-08-30', 9.41, 9.77, 9.41, 9.68, 348700.0, 9.68, -0.8000000000000007, -1.1099999999999994, 0.30052934779965995, 0.0, 0.0, -0.5, 0.021785334750265683
'2016-08-29', 10.21, 10.26, 9.37, 9.41, 2151100.0, 9.41, -1.0899999999999999, -0.05999999999999872, 0.25164105829975825, 0.0, 0.0, -0.1, -0.012732615083251731
