Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 12.04, 12.1, 11.95, 12.0, 145700.0, 12.0, 0.0799999999999983, 0.41999999999999993, 0.16815469068687916, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 11.96, 12.09, 11.71, 12.05, 102700.0, 12.05, -0.02999999999999936, 0.3500000000000014, 0.2197799404454879, 0.0, 0.0, -0.8, 0.006688963210702198
'2016-09-20', 11.99, 12.0, 11.89, 11.91, 62300.0, 11.91, 0.120000000000001, 0.5099999999999998, 0.24767362035998552, 0.0, 0.0, -0.5, 0.0020850708924102976
'2016-09-19', 11.87, 11.98, 11.75, 11.97, 83600.0, 11.97, 0.25, 0.15999999999999837, 0.2539737519246166, 0.0, 0.1, -0.1, 0.0047739399045212
'2016-09-16', 11.62, 11.8, 11.43, 11.8, 226000.0, 11.8, 0.009999999999999787, -0.09000000000000163, 0.25948324715779936, 0.0, 0.5, 0.0, 0.009036144578313253
'2016-09-15', 11.61, 11.69, 11.51, 11.6, 83200.0, 11.6, 0.129999999999999, -0.41999999999999993, 0.2519338537526599, 0.0, 0.8, 0.0, 0.0074074074074074025
'2016-09-14', 11.48, 11.63, 11.41, 11.57, 93300.0, 11.57, -0.23000000000000043, -0.6799999999999997, 0.24462669973292409, 1.0, 1.0, 0.0, 0.00813008130081299
'2016-09-13', 11.71, 11.8, 11.49, 11.5, 104800.0, 11.5, 0.0, -0.28999999999999915, 0.23508769049489217, 0.0, 0.8, -0.1, 0.004025863120653877
'2016-09-12', 11.71, 11.9, 11.7, 11.86, 121600.0, 11.86, -0.3199999999999985, -0.34999999999999964, 0.238085185502071, 0.0, 0.5, -0.5, 0.0035226302305721422
'2016-09-09', 12.03, 12.16, 11.7, 11.7, 142700.0, 11.7, -0.13000000000000078, 0.019999999999999574, 0.23236369959373798, 0.0, 0.1, -0.8, 9.236168837166146e-05
'2016-09-08', 12.16, 12.29, 12.08, 12.17, 81000.0, 12.17, 0.16000000000000014, 0.3800000000000008, 0.2340189925815615, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 12.0, 12.19, 11.98, 12.17, 163500.0, 12.17, -0.0600000000000005, 0.27999999999999936, 0.23364764544549183, 0.0, 0.0, -0.8, 0.013333333333333345
'2016-09-06', 12.06, 12.13, 11.97, 11.98, 72700.0, 11.98, 0.05000000000000071, 0.3000000000000007, 0.23374344910606595, 0.0, 0.1, -0.5, 0.004145936981757863
'2016-09-02', 12.01, 12.25, 11.98, 12.09, 119000.0, 12.09, 0.23000000000000043, 0.2599999999999998, 0.24018997111083185, 0.0, 0.5, -0.1, 0.004163197335553715
'2016-09-01', 11.78, 12.01, 11.71, 11.99, 78800.0, 11.99, 0.05999999999999872, -0.20000000000000107, 0.2424644303810355, 0.0, 0.8, 0.0, 0.008064516129032275
'2016-08-31', 11.72, 11.89, 11.7, 11.84, 92500.0, 11.84, -0.03999999999999915, -0.129999999999999, 0.2404578965224473, 1.0, 1.0, 0.0, 0.007508532423208182
'2016-08-30', 11.76, 11.9, 11.7, 11.73, 80800.0, 11.73, 0.009999999999999787, -0.17999999999999972, 0.23638010820615926, 0.0, 0.8, 0.0, 0.005668934240362817
'2016-08-29', 11.75, 11.92, 11.75, 11.78, 63400.0, 11.78, -0.23000000000000043, -0.08999999999999986, 0.22693733839004007, 0.0, 0.5, 0.0, 0.004984802431610944
'2016-08-26', 11.98, 12.02, 11.71, 11.74, 58200.0, 11.74, 0.13000000000000078, 0.11000000000000121, 0.21552416724503695, 0.0, 0.1, 0.0, 0.0018781302170283777
'2016-08-25', 11.85, 12.02, 11.79, 11.99, 170200.0, 11.99, -0.08999999999999986, -0.13000000000000078, 0.21315643707537116, 0.0, 0.0, 0.0, 0.0029067041725269623
'2016-08-24', 11.94, 12.14, 11.77, 11.91, 149700.0, 11.91, 0.09999999999999964, 0.009999999999999787, 0.20873161928392375, 0.0, 0.0, -0.1, 0.0018425460636515968
'2016-08-23', 11.84, 12.0, 11.82, 11.99, 76300.0, 11.99, -0.02999999999999936, 0.019999999999999574, 0.2117503771477685, 0.0, 0.0, -0.5, 0.002457002457002459
'2016-08-22', 11.87, 11.89, 11.72, 11.85, 53700.0, 11.85, -0.11000000000000121, -0.10000000000000142, 0.21439423707014335, 0.0, 0.1, -0.8, 0.0020359449592811073
'2016-08-19', 11.98, 11.98, 11.75, 11.77, 57400.0, 11.77, 0.05000000000000071, -0.08999999999999986, 0.2168740033598616, -1.0, 0.5, -1.0, 0.0
'2016-08-18', 11.93, 12.04, 11.88, 12.03, 59700.0, 12.03, 0.10999999999999943, -0.08999999999999986, 0.2111737041710763, 0.0, 0.8, -0.8, 0.004191114836546581
'2016-08-17', 11.82, 11.93, 11.8, 11.93, 47800.0, 11.93, -0.15000000000000036, -0.41000000000000014, 0.20226055802685122, 1.0, 1.0, -0.5, 0.006768189509306266
'2016-08-16', 11.97, 11.97, 11.8, 11.86, 78200.0, 11.86, -0.09999999999999964, -0.7199999999999989, 0.1886725558562592, 0.0, 0.8, -0.1, 0.000278473962684483
'2016-08-15', 12.07, 12.11, 12.01, 12.03, 100400.0, 12.03, 0.05000000000000071, -0.4800000000000004, 0.20845702994462262, 0.0, 0.5, -0.1, -0.001864125932062963
'2016-08-12', 12.02, 12.14, 12.02, 12.11, 82800.0, 12.11, -0.21000000000000085, -0.23000000000000043, 0.27548119516382397, 0.0, 0.1, -0.5, -0.000665557404326109
'2016-08-11', 12.23, 12.25, 12.03, 12.1, 92900.0, 12.1, -0.4599999999999991, -0.019999999999999574, 0.3426050528264611, 0.0, 0.0, -0.8, -0.0034069228672662854
'2016-08-10', 12.69, 12.7, 12.41, 12.45, 103300.0, 12.27, 0.1399999999999988, 0.7299999999999986, 0.39612582176205924, -1.0, 0.0, -1.0, 0.0
'2016-08-09', 12.55, 12.7, 12.37, 12.69, 106600.0, 12.50653, 0.3000000000000007, 0.41999999999999993, 0.44075805910574883, 0.0, 0.1, -0.8, 0.01115537848605568
'2016-08-08', 12.25, 12.57, 12.16, 12.55, 95000.0, 12.368555, 0.0, -0.10999999999999943, 0.486073725546513, 0.0, 0.5, -0.5, 0.017959183673469367
'2016-08-05', 12.25, 12.37, 12.1, 12.25, 116100.0, 12.072892, 0.28999999999999915, -0.15000000000000036, 0.5276051764551049, 0.0, 0.8, -0.1, 0.011972789115646245
'2016-08-04', 11.96, 12.05, 11.88, 11.98, 56700.0, 11.806795, -0.16999999999999993, -0.2599999999999998, 0.5534602264139876, 1.0, 1.0, -0.1, 0.015259197324414686
'2016-08-03', 12.13, 12.13, 11.85, 11.99, 50300.0, 11.81665, -0.22999999999999865, -0.08000000000000007, 0.5836205007441815, 0.0, 0.8, -0.5, 0.009233305853256367
