Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 2.0, 2.01, 1.96, 1.97, 8300.0, 1.97, 0.040000000000000036, -0.04999999999999982, 0.05159780357082396, -1.0, 0.1, -1.0, 0.0
'2016-09-22', 1.96, 2.01, 1.95, 1.98, 19200.0, 1.98, -0.010000000000000009, -0.08000000000000007, 0.0552167446422631, 0.0, 0.5, -0.8, 0.02040816326530614
'2016-09-21', 1.97, 2.0, 1.92, 1.96, 26000.0, 1.96, 0.040000000000000036, 0.010000000000000009, 0.05771962885843565, 0.0, 0.8, -0.5, 0.00761421319796955
'2016-09-20', 1.93, 2.0, 1.91, 1.95, 23200.0, 1.95, -0.11999999999999988, -0.07000000000000006, 0.061975801729384696, 1.0, 1.0, -0.1, 0.012089810017271168
'2016-09-19', 2.05, 2.05, 1.9, 1.99, 15500.0, 1.99, 0.009999999999999787, 0.029999999999999805, 0.06556082841317844, 0.0, 0.8, 0.0, -0.006097560975609735
'2016-09-16', 2.04, 2.04, 1.96, 2.02, 45100.0, 2.02, 0.08000000000000007, -0.040000000000000036, 0.07163255001898389, 0.0, 0.5, 0.0, -0.003921568627450984
'2016-09-15', 1.96, 2.02, 1.96, 2.0, 17000.0, 2.0, -0.040000000000000036, -0.1200000000000001, 0.07624230380103224, 0.0, 0.1, 0.0, 0.00340136054421769
'2016-09-14', 2.0, 2.05, 1.96, 1.97, 93100.0, 1.97, -0.020000000000000018, -0.14000000000000012, 0.07881342243270217, 0.0, 0.0, 0.0, 0.0
'2016-09-13', 2.02, 2.06, 2.0, 2.03, 8000.0, 2.03, -0.06000000000000005, -0.1299999999999999, 0.08026345508525178, 0.0, 0.0, 0.0, -0.0012376237623762387
'2016-09-12', 2.08, 2.09, 2.01, 2.06, 26600.0, 2.06, 0.0, 0.0, 0.08143231681723313, 0.0, 0.0, 0.0, -0.004273504273504277
'2016-09-09', 2.08, 2.12, 2.06, 2.07, 18300.0, 2.07, -0.06000000000000005, 0.0, 0.08211712502409121, 0.0, 0.0, 0.0, -0.0038461538461538494
'2016-09-08', 2.14, 2.14, 2.08, 2.12, 35200.0, 2.12, -0.009999999999999787, 0.050000000000000266, 0.08404297842307963, 0.0, 0.0, 0.0, -0.005947323704333055
