Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 106.790001, 107.010002, 106.510002, 106.589996, 188800.0, 106.589996, 0.33000200000000746, 1.2900010000000037, 0.3156101796772513, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 106.459999, 107.400002, 106.459999, 107.019997, 326700.0, 107.019997, 0.6900019999999927, 0.8600009999999969, 0.243318389779274, 0.0, 0.1, -0.8, 0.0030997745923331023
'2016-09-21', 105.769997, 106.529999, 105.580002, 106.529999, 632400.0, 106.529999, -0.2300029999999964, 0.1099930000000029, 0.19328969968630555, 0.0, 0.5, -0.5, 0.004821802160020861
'2016-09-20', 106.0, 106.0, 105.559998, 105.599998, 165500.0, 105.599998, 0.5, 0.06999999999999318, 0.19405145229547294, 0.0, 0.8, -0.1, 0.0024842798742138483
'2016-09-19', 105.5, 105.940002, 105.400002, 105.940002, 231700.0, 105.940002, -0.09999799999999937, -0.1999969999999962, 0.20252421453124755, 1.0, 1.0, -0.1, 0.003056874407582947
'2016-09-16', 105.599998, 105.839996, 105.400002, 105.400002, 1156200.0, 105.400002, -0.060006000000001336, 0.09999799999999937, 0.20563297099549016, 0.0, 0.8, -0.5, 0.0022537936032915535
'2016-09-15', 105.660004, 105.980003, 105.550003, 105.709999, 477800.0, 105.709999, -0.2699960000000061, 0.050003000000003794, 0.2129081667036675, 0.0, 0.5, -0.8, 0.0017824420424338982
'2016-09-14', 105.93, 105.93, 105.5, 105.709999, 455000.0, 105.709999, 0.23000300000001062, 0.23999799999999993, 0.22302983642929186, -1.0, 0.1, -1.0, 0.0
'2016-09-13', 105.699997, 105.959999, 105.510002, 105.849998, 284300.0, 105.849998, 0.1999969999999962, 0.2699969999999894, 0.2668206913597156, 0.0, 0.0, -0.8, 0.0021759981696121583
'2016-09-12', 105.5, 105.959999, 105.5, 105.82, 217800.0, 105.82, -0.1100009999999969, -0.08000199999999325, 0.3065106886001132, 0.0, 0.0, -0.5, 0.0020379146919431604
'2016-09-09', 105.610001, 105.800003, 105.410004, 105.559998, 271100.0, 105.559998, -0.08000100000000998, 0.020004999999997608, 0.3686103377758688, 0.0, 0.0, -0.1, 0.0010100021998232596
'2016-09-08', 105.690002, 106.050003, 105.639999, 105.849998, 170500.0, 105.849998, 0.26000200000000007, 0.4599990000000105, 0.4065900430055315, 0.0, 0.0, 0.0, 0.000567693243113005
'2016-09-07', 105.43, 105.940002, 105.43, 105.82, 233500.0, 105.82, -0.15000199999998642, 0.029998000000006186, 0.45409264645018094, 0.0, 0.1, 0.0, 0.0009484966328369533
'2016-09-06', 105.580002, 105.970001, 105.309998, 105.510002, 203400.0, 105.510002, -0.009994000000006054, 0.13000499999999704, 0.4844558589280284, 0.0, 0.5, 0.0, 0.000552500463108556
'2016-09-02', 105.589996, 106.0, 105.309998, 105.75, 249400.0, 105.75, 0.3599930000000029, 0.12999700000000303, 0.5131832243781296, 0.0, 0.8, 0.0, 0.0004600056997824025
'2016-09-01', 105.230003, 105.730003, 105.199997, 105.559998, 246200.0, 105.559998, -0.16999900000000423, -0.6699990000000042, 0.529424611068563, 1.0, 1.0, 0.0, 0.0008315083389287873
'2016-08-31', 105.400002, 105.650002, 105.059998, 105.410004, 271600.0, 105.410004, -0.04999499999999557, -0.1799999999999926, 0.5828283218203915, 0.0, 0.8, 0.0, 0.0005587159919282293
'2016-08-30', 105.449997, 105.800003, 105.400002, 105.480003, 180100.0, 105.480003, -0.010002000000000066, -0.42000600000000077, 0.6487778376852764, 0.0, 0.5, 0.0, 0.00045519489203969414
'2016-08-29', 105.459999, 105.779999, 105.410004, 105.730003, 677800.0, 105.400005, -0.44000300000000436, -0.5, 0.7266984707140621, 0.0, 0.1, 0.0, 0.0004051523235493735
'2016-08-26', 105.900002, 106.099998, 105.269997, 105.459999, 148000.0, 105.130844, 0.3200000000000074, -0.04999499999999557, 0.7964239191568675, 0.0, 0.0, -0.1, 2.3605602324104288e-05
'2016-08-25', 105.580002, 106.040001, 105.57, 105.650002, 104000.0, 105.320253, -0.29000100000000373, 0.020004000000000133, 0.8556090319407768, 0.0, 0.0, -0.5, 0.00025500021374241045
'2016-08-24', 105.870003, 106.0, 105.510002, 105.699997, 99300.0, 105.370093, -0.0899959999999993, 0.4800039999999939, 0.9094118225929754, 0.0, 0.0, -0.8, 4.0478888056711434e-05
'2016-08-23', 105.959999, 106.230003, 105.910004, 106.0, 199800.0, 105.669159, 0.010002000000000066, 0.5599969999999956, 0.973230205098525, -1.0, 0.1, -1.0, 0.0
'2016-08-22', 105.949997, 106.190002, 105.589996, 106.110001, 162700.0, 105.778817, 0.3899990000000031, 0.3999939999999924, 1.0424977556088588, 0.0, 0.5, -0.8, 9.440302296563601e-05
'2016-08-19', 105.559998, 106.050003, 105.5, 106.019997, 309000.0, 105.689094, 0.16999899999999002, -0.1700050000000033, 1.0781434842689464, 0.0, 0.8, -0.5, 0.0018946618396108873
'2016-08-18', 105.389999, 105.800003, 105.389999, 105.709999, 150200.0, 105.380064, -0.010002999999997542, -0.26000299999999754, 1.099470990676024, 1.0, 1.0, -0.1, 0.001802827609856963
'2016-08-17', 105.400002, 105.57, 105.349998, 105.400002, 184400.0, 105.071034, -0.15000100000000316, -0.41999799999999254, 1.1004196438451745, 0.0, 0.8, 0.0, 0.0013282661038279573
'2016-08-16', 105.550003, 105.879997, 105.129997, 105.330002, 128300.0, 105.001252, -0.1799999999999926, -0.09999899999999684, 1.0782739149030458, 0.0, 0.5, 0.0, 0.0007768753924147069
