Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-21', 24.950001, 24.950001, 24.879999, 24.879999, 200.0, 24.879999, 1.0500010000000017, 1.5700019999999988, 0.5772450419404078, -1.0, 0.1, -1.0, 0.0
'2016-09-20', 23.9, 23.9, 23.9, 23.9, 0.0, 23.9, 0.0, 0.6499999999999986, 0.48390376439981875, 0.0, 0.5, -0.8, 0.0439330962343097
'2016-09-19', 23.9, 23.9, 23.9, 23.9, 0.0, 23.9, 1.1800009999999972, 0.639999999999997, 0.4672865847757952, 0.0, 0.8, -0.5, 0.02196654811715485
'2016-09-16', 22.719999, 23.9, 22.719999, 23.9, 500.0, 23.9, -0.6600000000000001, -0.5400010000000002, 0.4467793219629224, 1.0, 1.0, -0.1, 0.03271716693297388
'2016-09-15', 23.379999, 23.83, 23.07, 23.18, 800.0, 23.18, 0.12999900000000153, -0.15000199999999708, 0.4447749495347605, 0.0, 0.8, 0.0, 0.016787874969541258
'2016-09-14', 23.25, 23.25, 23.25, 23.25, 0.0, 23.25, -0.010000000000001563, -0.14999999999999858, 0.46693634327062045, 0.0, 0.5, 0.0, 0.014623664516129035
'2016-09-13', 23.26, 23.26, 23.01, 23.25, 1000.0, 23.25, 0.0, -0.6600000000000001, 0.4939255301496424, 0.0, 0.1, 0.0, 0.012109494124390933
'2016-09-12', 23.26, 23.26, 23.26, 23.26, 200.0, 23.26, -0.27000099999999705, 0.2199990000000014, 0.49801414984387377, 0.0, 0.0, 0.0, 0.010379566392335084
'2016-09-09', 23.530001, 23.530001, 23.530001, 23.530001, 100.0, 23.530001, 0.13000100000000003, 0.48999999999999844, 0.49739296965978713, 0.0, 0.0, 0.0, 0.007543561090371404
'2016-09-08', 23.4, 24.32, 23.360001, 23.52, 2500.0, 23.52, -0.5200000000000031, 0.3999999999999986, 0.491410968968451, 0.0, 0.0, 0.0, 0.007359928774928783
'2016-09-07', 23.92, 24.440001, 23.34, 23.34, 500.0, 23.34, 0.8799990000000015, 0.4200000000000017, 0.523586988167302, 0.0, 0.0, 0.0, 0.0043060242474916325
'2016-09-06', 23.040001, 23.040001, 23.040001, 23.040001, 0.0, 23.040001, 0.0, 0.010000000000001563, 0.5073821729013607, 0.0, 0.0, -0.1, 0.007536300177954144
'2016-09-02', 23.040001, 23.040001, 23.040001, 23.040001, 400.0, 23.040001, 0.040001000000000175, 0.36000100000000046, 0.5253229154215482, 0.0, 0.0, -0.5, 0.006908275163124632
'2016-09-01', 23.0, 23.0, 23.0, 23.0, 200.0, 23.0, -0.5, 0.5, 0.5718738709426799, 0.0, 0.0, -0.8, 0.006521742474916389
'2016-08-31', 23.5, 23.5, 23.5, 23.5, 700.0, 23.5, 0.4699990000000014, 1.0, 0.5716664248204236, -1.0, 0.1, -1.0, 0.0
'2016-08-30', 23.030001, 23.030001, 23.030001, 23.030001, 0.0, 23.030001, 0.3500009999999989, 0.5300009999999986, 0.6622454630525088, 0.0, 0.5, -0.8, 0.02040811895752855
'2016-08-29', 22.68, 23.030001, 22.68, 23.030001, 200.0, 23.030001, 0.17999999999999972, 0.17999999999999972, 0.6618547682252418, 0.0, 0.8, -0.5, 0.01807760141093475
'2016-08-26', 22.5, 22.5, 22.5, 22.5, 0.0, 22.5, 0.0, 0.0, 0.6612954694136087, 1.0, 1.0, -0.1, 0.014814814814814815
'2016-08-25', 22.5, 22.5, 22.5, 22.5, 0.0, 22.5, 0.0, 0.0, 0.663633165067951, 0.0, 0.8, 0.0, 0.011111111111111112
'2016-08-24', 22.5, 22.5, 22.5, 22.5, 0.0, 22.5, 0.0, -0.2999989999999997, 0.6720186315210883, 0.0, 0.5, 0.0, 0.008888888888888889
'2016-08-23', 22.5, 22.5, 22.5, 22.5, 0.0, 22.5, 0.0, -0.4299999999999997, 0.6802354112122261, 0.0, 0.1, 0.0, 0.007407407407407408
'2016-08-22', 22.5, 22.5, 22.5, 22.5, 0.0, 22.5, 0.0, -0.5700000000000003, 0.6696335591619907, 0.0, 0.0, 0.0, 0.006349206349206349
'2016-08-19', 22.5, 22.5, 22.5, 22.5, 0.0, 22.5, -0.2999989999999997, -1.3700009999999985, 0.6615911738632348, 0.0, 0.0, 0.0, 0.005555555555555556
'2016-08-18', 22.799999, 22.799999, 22.5, 22.5, 1800.0, 22.5, -0.13000100000000003, -1.0700019999999988, 0.647474232177415, 0.0, 0.0, -0.1, 0.003411311065798245
'2016-08-17', 22.93, 23.219999, 22.9, 22.9, 3800.0, 22.9, -0.14000000000000057, -0.9400009999999988, 0.648750135928334, 0.0, 0.0, -0.5, 0.0024858264282599228
'2016-08-16', 23.07, 23.9, 23.07, 23.5, 1000.0, 23.5, -0.8000009999999982, -0.10000000000000142, 0.6526903854562527, 0.0, 0.0, -0.8, 0.0016944477282578702
'2016-08-15', 23.870001, 23.870001, 23.870001, 23.870001, 0.0, 23.870001, 0.0, 1.1200009999999985, 0.6536416496150442, -1.0, 0.0, -1.0, 0.0
'2016-08-12', 23.870001, 23.870001, 23.870001, 23.870001, 0.0, 23.870001, 0.0, 1.1200009999999985, 0.657391925211792, 0.0, 0.1, -0.8, 0.0
'2016-08-11', 23.870001, 23.870001, 23.870001, 23.870001, 0.0, 23.870001, 0.7000009999999968, 1.1200009999999985, 0.6579589543262379, 0.0, 0.5, -0.5, 0.0
'2016-08-10', 23.17, 23.870001, 23.17, 23.870001, 400.0, 23.870001, 0.4200000000000017, 0.36000100000000046, 0.6553509997281659, 0.0, 0.8, -0.1, 0.010070507840598427
'2016-08-09', 22.75, 22.75, 22.75, 22.75, 0.0, 22.75, 0.0, -1.1600000000000001, 0.6587801360429033, 1.0, 1.0, 0.0, 0.01230770329670328
'2016-08-08', 22.75, 22.75, 22.75, 22.75, 0.0, 22.75, 0.0, -1.2399999999999984, 0.6579004010066465, 0.0, 0.8, 0.0, 0.009846162637362623
'2016-08-05', 22.75, 22.75, 22.75, 22.75, 400.0, 22.75, -0.059999000000001246, -0.7399999999999984, 0.6560675328384314, 0.0, 0.5, 0.0, 0.00820513553113552
'2016-08-04', 22.809999, 22.809999, 22.809999, 22.809999, 200.0, 22.809999, -1.100000999999999, -0.23999999999999844, 0.6532735090639344, 0.0, 0.1, 0.0, 0.006638705119752821
'2016-08-03', 23.91, 23.91, 23.91, 23.91, 200.0, 23.91, -0.0799999999999983, 0.7300000000000004, 0.6509044367649002, 0.0, 0.0, 0.0, -0.0002091122961104228
'2016-08-02', 23.99, 23.99, 23.809999, 23.9, 400.0, 23.9, 0.5, -0.1499990000000011, 0.6407859985987773, 0.0, 0.0, 0.0, -0.0005557825019684126
'2016-08-01', 23.49, 23.49, 23.49, 23.49, 0.0, 23.49, 0.44000099999999875, -0.010000000000001563, 0.6270485763747218, 0.0, 0.0, 0.0, 0.0016177139208173694
'2016-07-29', 23.049999, 23.709999, 23.049999, 23.49, 1700.0, 23.49, -0.13000100000000003, -0.8200019999999988, 0.6272033388518423, 0.0, 0.0, 0.0, 0.0032340841474065253
'2016-07-28', 23.18, 23.5, 22.9, 23.33, 1700.0, 23.33, -0.9599989999999998, -1.2199999999999989, 0.6360259570176362, 0.0, 0.0, 0.0, 0.00248059030773655
'2016-07-27', 24.139999, 24.139999, 23.110001, 23.65, 1800.0, 23.65, 0.6399989999999995, 0.7899989999999981, 0.6433492365911551, 0.0, 0.0, 0.0, -0.000860359477358595
'2016-07-26', 23.5, 23.91, 22.610001, 23.91, 6200.0, 23.91, -0.37000099999999847, -1.5700000000000003, 0.6340806800401392, 0.0, 0.0, 0.0, 0.0011246231003039467
'2016-07-25', 23.870001, 24.209999, 23.870001, 23.959999, 900.0, 23.959999, -0.5299990000000001, 0.8000009999999982, 0.6311732389413824, 0.0, 0.0, -0.1, 0.0
'2016-07-22', 24.4, 24.4, 24.4, 24.4, 700.0, 24.4, 1.0499999999999972, 1.6999989999999983, 0.6144650277546306, 0.0, 0.0, -0.5, -0.0013575794057377052
'2016-07-21', 23.35, 24.34, 23.309999, 24.34, 6000.0, 24.34, -1.7199999999999989, 0.9099990000000027, 0.5634205326990371, 0.0, 0.0, -0.8, 0.0013099911827686031
'2016-07-20', 25.07, 25.07, 23.200001, 23.98, 7100.0, 23.98, 2.0, 2.7700010000000006, 0.5604446914927665, -1.0, 0.0, -1.0, 0.0
'2016-07-19', 23.07, 23.07, 23.07, 23.07, 0.0, 23.07, 0.36999899999999997, 0.7700010000000006, 0.40652132238759087, 0.0, 0.1, -0.8, 0.08669267446900737
'2016-07-18', 22.700001, 23.07, 22.700001, 23.07, 1100.0, 23.07, 0.26000000000000156, -0.19999899999999826, 0.4055443899530879, 0.0, 0.5, -0.5, 0.05220261884569961
'2016-07-15', 22.440001, 23.75, 22.440001, 23.35, 8000.0, 23.35, 0.14000199999999907, -0.3199990000000028, 0.4042910570371247, 0.0, 0.8, -0.1, 0.03906712541293264
'2016-07-14', 22.299999, 22.299999, 22.299999, 22.299999, 0.0, 22.299999, 0.0, -0.8000010000000017, 0.3965279162936647, 1.0, 1.0, 0.0, 0.031053824262503336
'2016-07-13', 22.299999, 22.299999, 22.299999, 22.299999, 200.0, 22.299999, -0.6000009999999989, -0.4500010000000003, 0.38239365040077766, 0.0, 0.8, 0.0, 0.02484305941000267
'2016-07-12', 22.9, 23.370001, 22.559999, 23.0, 4300.0, 23.0, 0.13999999999999702, 0.14999999999999858, 0.3649792590760314, 0.0, 0.5, 0.0, 0.015793304221251834
'2016-07-11', 22.76, 22.85, 22.76, 22.790001, 800.0, 22.790001, -0.33999999999999986, -0.22999999999999687, 0.36730001905817167, 0.0, 0.1, 0.0, 0.014499121265377847
'2016-07-08', 23.1, 23.1, 22.700001, 22.9, 900.0, 22.9, 0.3500000000000014, 0.6000000000000014, 0.36680311642944846, 0.0, 0.0, 0.0, 0.010660173160173153
'2016-07-07', 22.75, 23.0, 22.75, 22.969999, 1300.0, 22.969999, 0.0, 0.25, 0.3713392494444175, 0.0, 0.0, 0.0, 0.011330891330891333
'2016-07-06', 22.75, 23.450001, 22.75, 22.799999, 3600.0, 22.799999, -0.23999999999999844, 0.25, 0.3737884941754404, 0.0, 0.0, 0.0, 0.010197802197802199
'2016-07-05', 22.99, 23.26, 22.83, 23.200001, 800.0, 23.200001, 0.48999999999999844, -0.5100000000000016, 0.371092769533705, 0.0, 0.0, 0.0, 0.008224919925659385
'2016-07-01', 22.5, 22.5, 22.5, 22.5, 0.0, 22.5, 0.0, -1.0, 0.3713980553114303, 0.0, 0.0, -0.1, 0.00951851851851852
'2016-06-30', 22.5, 22.5, 22.5, 22.5, 0.0, 22.5, 0.0, -1.0, 0.3586511214726398, 0.0, 0.0, -0.5, 0.008786324786324788
'2016-06-29', 22.5, 22.5, 22.5, 22.5, 0.0, 22.5, -1.0, -1.0, 0.3443150370102357, 0.0, 0.0, -0.8, 0.00815873015873016
'2016-06-28', 23.5, 23.5, 22.5, 22.5, 500.0, 22.5, 0.0, 0.0, 0.3331858976611237, -1.0, 0.0, -1.0, 0.0
'2016-06-27', 23.5, 23.5, 23.5, 23.5, 0.0, 23.5, 0.0, 0.0, 0.3235050437529253, 0.0, 0.0, -0.8, 0.0
'2016-06-24', 23.5, 23.5, 23.5, 23.5, 0.0, 23.5, 0.0, 0.0, 0.3262200515674861, 0.0, 0.0, -0.5, 0.0
'2016-06-23', 23.5, 23.5, 23.5, 23.5, 0.0, 23.5, 0.0, 0.0, 0.3410858148133919, 0.0, 0.0, -0.1, 0.0
'2016-06-22', 23.5, 23.5, 23.5, 23.5, 0.0, 23.5, 0.0, 0.8999999999999986, 0.36982817595956924, 0.0, 0.0, 0.0, 0.0
'2016-06-21', 23.5, 23.5, 23.5, 23.5, 0.0, 23.5, 0.0, 0.8500000000000014, 0.390136163922609, 0.0, 0.0, 0.0, 0.0
'2016-06-20', 23.5, 23.5, 23.5, 23.5, 0.0, 23.5, 0.0, 1.1600000000000001, 0.4276395815016881, 0.0, 0.0, 0.0, 0.0
'2016-06-17', 23.5, 23.5, 23.5, 23.5, 600.0, 23.5, 0.8999999999999986, 0.6200009999999985, 0.4518369060233571, 0.0, 0.1, 0.0, 0.0
'2016-06-16', 22.6, 23.0, 22.540001, 22.969999, 800.0, 22.969999, -0.04999999999999716, -0.3999999999999986, 0.4673292959173208, 0.0, 0.5, 0.0, 0.004977876106194682
'2016-06-15', 22.65, 23.5, 22.65, 23.23, 1800.0, 23.23, 0.3099999999999987, -0.1400010000000016, 0.4992352663828903, 0.0, 0.8, 0.0, 0.004169732646553846
'2016-06-14', 22.34, 23.49, 22.34, 23.49, 1800.0, 23.49, -0.5399990000000017, -0.5100000000000016, 0.5824696202667816, 1.0, 1.0, 0.0, 0.0051924798567591765
'2016-06-13', 22.879999, 22.879999, 22.879999, 22.879999, 0.0, 22.879999, -0.12000099999999847, 0.02999900000000011, 0.6577103199233907, 0.0, 0.8, 0.0, 0.002463449726231506
'2016-06-10', 23.0, 23.0, 22.620001, 22.879999, 1800.0, 22.879999, 0.20999899999999982, 0.07000000000000028, 0.8009957098652771, 0.0, 0.5, 0.0, 0.0018115942028985507
'2016-06-09', 22.790001, 22.92, 22.790001, 22.84, 500.0, 22.84, -0.059999000000001246, -0.2599979999999995, 0.9239792166495724, 0.0, 0.1, 0.0, 0.0023964592056098495
'2016-06-08', 22.85, 23.200001, 22.76, 22.790001, 8700.0, 22.790001, 0.0, 0.1499990000000011, 1.0054170604172714, 0.0, 0.0, 0.0, 0.0020318849640512614
'2016-06-07', 22.85, 23.5, 22.85, 23.200001, 2200.0, 23.200001, -0.0799999999999983, -0.3999999999999986, 1.0572952015403878, 0.0, 0.0, 0.0, 0.001896425966447844
'2016-06-06', 22.93, 22.93, 22.360001, 22.360001, 400.0, 22.360001, -0.11999899999999997, -0.3200000000000003, 1.1004011081420852, 0.0, 0.0, -0.1, 0.0015536415176624517
'2016-06-03', 23.049999, 23.049999, 23.049999, 23.049999, 0.0, 23.049999, 0.34999799999999937, -0.20000100000000032, 1.1332054580997197, 0.0, 0.0, -0.5, 0.001148401223740771
'2016-06-02', 22.700001, 23.049999, 22.700001, 23.049999, 2300.0, 23.049999, -0.5499989999999997, -0.5499989999999997, 1.1607423045334495, 0.0, 0.0, -0.8, 0.0019579025079729676
'2016-06-01', 23.25, 23.25, 23.25, 23.25, 0.0, 23.25, 0.0, 0.5599990000000012, 1.2034942206112764, -1.0, 0.0, -1.0, 0.0
'2016-05-31', 23.25, 23.25, 23.25, 23.25, 0.0, 23.25, 0.0, 0.5899999999999999, 1.2176781236983905, 0.0, 0.0, -0.8, 0.0
'2016-05-27', 23.25, 23.25, 23.25, 23.25, 0.0, 23.25, 0.0, 0.13999899999999954, 1.2396328475266378, 0.0, 0.0, -0.5, 0.0
'2016-05-26', 23.25, 23.25, 23.25, 23.25, 400.0, 23.25, 0.5599990000000012, 0.13999899999999954, 1.2892084074519568, 0.0, 0.0, -0.1, 0.0
'2016-05-25', 22.690001, 22.690001, 22.690001, 22.690001, 0.0, 22.690001, 0.030000999999998612, -0.4200000000000017, 1.321490888823998, 0.0, 0.0, 0.0, 0.006170107705151724
'2016-05-24', 22.66, 23.0, 22.5, 22.690001, 2800.0, 22.690001, -0.4500010000000003, -0.33999999999999986, 1.3623672791139678, 0.0, 0.0, 0.0, 0.005207413945278022
'2016-05-23', 23.110001, 23.110001, 23.110001, 23.110001, 0.0, 23.110001, 0.0, 0.3500009999999989, 1.3536732553071031, 0.0, 0.0, 0.0, 0.0010096566705759375
'2016-05-20', 23.110001, 23.110001, 23.110001, 23.110001, 0.0, 23.110001, 0.0, 0.09000100000000089, 1.3173931919937485, 0.0, 0.0, 0.0, 0.0008654200033508038
'2016-05-19', 23.110001, 23.110001, 23.110001, 23.110001, 400.0, 23.110001, 0.11000100000000046, 0.5900010000000009, 1.2711098883348189, 0.0, 0.0, 0.0, 0.0007572425029319532
'2016-05-18', 23.0, 23.0, 23.0, 23.0, 0.0, 23.0, 0.23999999999999844, 0.7399999999999984, 1.2136794716344865, 0.0, 0.0, 0.0, 0.0012077294685990338
'2016-05-17', 22.76, 23.0, 22.76, 23.0, 600.0, 23.0, -0.259999999999998, 0.7600000000000016, 1.1510160090016461, 0.0, 0.0, 0.0, 0.0021528998242530684
'2016-05-16', 23.02, 23.02, 21.35, 22.91, 1300.0, 22.91, 0.5, 1.0199999999999996, 1.1264667278117741, 0.0, 0.0, 0.0, 0.0009083010820630299
'2016-05-13', 22.52, 22.52, 22.4, 22.4, 300.0, 22.4, 0.259999999999998, 0.8299990000000008, 1.0664287504252838, 0.0, 0.0, 0.0, 0.0027013025458851405
'2016-05-12', 22.26, 23.120001, 22.0, 22.959999, 2300.0, 22.959999, 0.26000000000000156, 0.5400010000000002, 1.0251003986278446, 0.0, 0.0, 0.0, 0.003421107194692095
'2016-05-11', 22.0, 23.66, 22.0, 23.02, 4100.0, 23.02, 0.0, 0.2800009999999986, 0.9867844737328912, 0.0, 0.0, 0.0, 0.004058441558441558
'2016-05-10', 22.0, 22.0, 21.950001, 22.0, 2100.0, 22.0, 0.30999900000000125, 0.2800009999999986, 0.9525274750544639, 0.0, 0.0, 0.0, 0.003787878787878788
'2016-05-09', 21.690001, 21.690001, 21.059999, 21.059999, 600.0, 21.059999, -0.029998000000002634, 0.6900009999999988, 0.883599788403645, 0.0, 0.0, 0.0, 0.004495155970716649
'2016-05-06', 21.719999, 21.719999, 21.719999, 21.719999, 0.0, 21.719999, 0.0, 0.8199990000000028, 0.8268198242262917, 0.0, 0.0, 0.0, 0.004143649307881152
'2016-05-05', 21.719999, 21.719999, 21.719999, 21.719999, 0.0, 21.719999, 0.0, 1.729999000000003, 0.7592084487149972, 0.0, 0.0, 0.0, 0.0039134465685544215
'2016-05-04', 21.719999, 21.719999, 21.719999, 21.719999, 0.0, 21.719999, 0.7199990000000014, 1.889999000000003, 0.6786307552713773, 0.0, 0.0, 0.0, 0.003707475696525242
'2016-05-03', 21.0, 21.719999, 21.0, 21.719999, 1300.0, 21.719999, 0.10000000000000142, 0.8999999999999986, 0.579704857607299, 0.0, 0.1, 0.0, 0.005357142857142857
'2016-05-02', 20.9, 21.35, 20.9, 21.309999, 1400.0, 21.309999, 0.9100000000000001, 0.5599999999999987, 0.5316007819576105, 0.0, 0.5, 0.0, 0.005354294827979042
'2016-04-29', 19.99, 19.99, 19.99, 19.99, 200.0, 19.99, 0.16000000000000014, -0.3500000000000014, 0.4839260211370109, 0.0, 0.8, 0.0, 0.007412797307744786
'2016-04-28', 19.83, 19.83, 19.83, 19.83, 300.0, 19.83, -0.2700000000000031, -0.5200000000000031, 0.48061390720636193, 1.0, 1.0, 0.0, 0.0074985200289416605
'2016-04-27', 20.1, 20.1, 20.09, 20.1, 900.0, 20.1, -0.23999999999999844, -0.129999999999999, 0.4815717955936336, 0.0, 0.8, -0.1, 0.006529850746268653
'2016-04-26', 20.34, 20.34, 20.34, 20.34, 0.0, 20.34, 0.0, 0.38000100000000003, 0.4769163160697049, 0.0, 0.5, -0.5, 0.005722713864306785
'2016-04-25', 20.34, 20.34, 20.34, 20.34, 0.0, 20.34, -0.010000000000001563, 0.33999999999999986, 0.47507124261078504, 0.0, 0.1, -0.8, 0.00550260948491037
