Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-05', 36.259998, 36.259998, 35.349998, 35.349998, 16100.0, 35.349998, 1.1699979999999996, 0.8099970000000027, 0.6326962293243886, -1.0, 0.5, -1.0, 0.0
'2016-10-04', 35.09, 36.07, 35.09, 35.93, 31400.0, 35.93, 0.29000100000000373, 0.25, 0.5444677202972795, 0.0, 0.8, -0.8, 0.033342775719578215
'2016-10-03', 34.799999, 36.450001, 34.560001, 35.41, 126700.0, 35.41, -0.22999999999999687, -0.19000299999999726, 0.5432577963864965, 1.0, 1.0, -0.5, 0.020976997729224123
'2016-09-30', 35.029999, 35.419998, 34.860001, 34.93, 6500.0, 34.93, -0.42000200000000376, -0.4600030000000004, 0.5432737851634045, 0.0, 0.8, -0.1, 0.011704244315469976
'2016-09-29', 35.450001, 35.52, 34.380001, 34.889999, 17900.0, 34.889999, 0.6100009999999969, 0.44000299999999726, 0.5308971621291945, 0.0, 0.5, -0.1, 0.005712249486255323
'2016-09-28', 34.84, 35.290001, 34.549999, 34.849998, 5300.0, 34.849998, -0.15000199999999353, -0.5899999999999963, 0.49872173909481476, 0.0, 0.1, -0.5, 0.008151538461538458
'2016-09-27', 34.990002, 35.450001, 34.990002, 35.029999, 4500.0, 35.029999, -0.5, 0.620002999999997, 0.49182456014001097, 0.0, 0.0, -0.8, 0.006049328033762361
'2016-09-26', 35.490002, 35.52, 34.990002, 34.990002, 8500.0, 34.990002, 0.4800039999999939, 1.620002999999997, 0.4767907590001252, -1.0, 0.0, -1.0, 0.0
'2016-09-23', 35.009998, 35.52, 35.009998, 35.52, 3400.0, 35.52, -0.42000199999999666, 0.5599970000000027, 0.42386690046791436, 0.0, 0.1, -0.8, 0.013710483502455323
'2016-09-22', 35.43, 35.52, 35.27, 35.509998, 8000.0, 35.509998, 1.0600009999999997, 1.4900009999999995, 0.40170211403880557, 0.0, 0.5, -0.5, 0.0008467682754727241
'2016-09-21', 34.369999, 35.25, 34.369999, 35.25, 10300.0, 35.145999, 0.5, -0.07000000000000028, 0.33481825342003924, 0.0, 0.8, -0.1, 0.010862215426114279
'2016-09-20', 33.869999, 34.490002, 33.869999, 34.459999, 5000.0, 34.358329, -0.5800020000000004, -0.21000300000000038, 0.340399233190351, 1.0, 1.0, 0.0, 0.011957506996088168
'2016-09-19', 34.450001, 34.450001, 33.799999, 33.869999, 1900.0, 33.77007, 0.5100020000000001, 0.29000100000000373, 0.35225694239808647, 0.0, 0.8, 0.0, 0.006037741479310823
'2016-09-16', 33.939999, 34.029999, 33.75, 33.799999, 7500.0, 33.700277, -0.5, -0.13000100000000003, 0.3828281426449163, 0.0, 0.5, 0.0, 0.007611486179870918
'2016-09-15', 34.439999, 34.5, 34.32, 34.5, 2300.0, 34.398212, 0.3599969999999999, 0.18999900000000025, 0.386777194434016, 0.0, 0.1, 0.0, 0.004355413267329889
'2016-09-14', 34.080002, 34.5, 33.720001, 34.32, 18600.0, 34.218743, -0.07999799999999624, -0.36999899999999997, 0.40761224589169537, 0.0, 0.0, 0.0, 0.005171654626076594
'2016-09-13', 34.16, 34.380001, 33.740002, 34.0, 5200.0, 33.899687, 0.0899999999999963, 0.09999899999999684, 0.42413634202102823, 0.0, 0.0, -0.1, 0.00432605386416862
'2016-09-12', 34.07, 34.369999, 34.040001, 34.040001, 3900.0, 33.93957, -0.17999999999999972, 0.25, 0.4237459583559219, 0.0, 0.0, -0.5, 0.004167895509245661
'2016-09-09', 34.25, 34.470001, 34.150002, 34.279999, 13800.0, 34.17886, -0.20000100000000032, 0.75, 0.42766613447707047, 0.0, 0.0, -0.8, 0.0032913125414731174
'2016-09-08', 34.450001, 34.450001, 34.299999, 34.380001, 16100.0, 34.278567, 0.39000000000000057, 0.6600000000000037, 0.4828216546058997, -1.0, 0.1, -1.0, 0.0
'2016-09-07', 34.060001, 34.400002, 33.669998, 34.310001, 3400.0, 34.208774, 0.24000099999999946, 0.5600009999999997, 0.5020135080528199, 0.0, 0.5, -0.8, 0.011450381343206672
'2016-09-06', 33.82, 34.349998, 33.740002, 34.349998, 3600.0, 34.248653, 0.3200000000000003, -0.9299999999999997, 0.5108148522168052, 0.0, 0.8, -0.5, 0.009314030159668835
'2016-09-02', 33.5, 33.990002, 33.200001, 33.720001, 6400.0, 33.620515, -0.2900009999999966, -1.3300020000000004, 0.5695273002536362, 1.0, 1.0, -0.1, 0.00945274626865672
'2016-09-01', 33.790001, 33.790001, 33.25, 33.349998, 64400.0, 33.251604, 0.2900009999999966, -0.7099990000000034, 0.5796492739203988, 0.0, 0.8, 0.0, 0.004883101364809102
'2016-08-31', 33.5, 33.5, 33.110001, 33.110001, 29800.0, 33.012314, -1.25, -0.5099980000000031, 0.68402449736897, 0.0, 0.5, 0.0, 0.0056716477611940316
'2016-08-30', 34.75, 34.75, 33.209999, 33.509998, 34700.0, 33.411131, -0.08000200000000035, 0.25, 0.7149525417977861, 0.0, 0.1, 0.0, -0.0014388441247002383
'2016-08-29', 34.830002, 34.830002, 34.0, 34.25, 6100.0, 34.14895, 0.33000200000000035, 0.3400000000000034, 0.7002740773605113, 0.0, 0.0, 0.0, -0.0015585947179347606
