Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-08', 16.57, 16.59, 16.42, 16.440001, 179500.0, 16.440001, 0.16000000000000014, 0.36999899999999997, 0.7649866006525062, -1.0, 0.1, -1.0, 0.0
'2016-09-07', 16.41, 16.639999, 16.35, 16.49, 166100.0, 16.49, 0.19000099999999875, 0.11000100000000046, 0.819910525606361, 0.0, 0.5, -0.8, 0.009750152346130418
'2016-09-06', 16.219999, 16.440001, 16.110001, 16.42, 72700.0, 16.42, 0.28999900000000167, -0.20000100000000032, 0.8810587296984674, 0.0, 0.8, -0.5, 0.010789180689838479
'2016-09-02', 15.93, 16.280001, 15.85, 16.27, 125200.0, 16.27, -0.2700010000000006, -0.8200000000000003, 0.9300363756327313, 1.0, 1.0, -0.1, 0.013391922996442783
'2016-09-01', 16.200001, 16.33, 15.86, 15.95, 190600.0, 15.95, -0.09999799999999937, -0.5499989999999997, 0.9823457718927804, 0.0, 0.8, 0.0, 0.00570986075865057
'2016-08-31', 16.299999, 16.4, 16.08, 16.299999, 192100.0, 16.299999, -0.12000100000000202, -0.05000100000000174, 1.0028840749558408, 0.0, 0.5, 0.0, 0.0033128959087666277
'2016-08-30', 16.42, 16.59, 16.27, 16.32, 254400.0, 16.32, -0.3299999999999983, 0.3200000000000003, 1.0135637895838405, 0.0, 0.1, 0.0, 0.0015225334957368916
'2016-08-29', 16.75, 16.790001, 16.459999, 16.48, 172200.0, 16.48, 0.0, 1.0, 1.0038309397281775, 0.0, 0.0, 0.0, -0.0015351812366737716
'2016-08-26', 16.75, 16.98, 16.65, 16.709999, 290600.0, 16.709999, 0.3999999999999986, 1.4100000000000001, 0.9543700656570399, 0.0, 0.0, 0.0, -0.0013432835820895502
'2016-08-25', 16.35, 17.0, 16.27, 16.790001, 539300.0, 16.790001, 0.25, 1.0600000000000023, 0.882345107590499, 0.0, 0.0, 0.0, 0.0014950730547060745
'2016-08-24', 16.1, 16.709999, 16.07, 16.42, 662200.0, 16.42, 0.3500000000000014, 0.9200000000000017, 0.8248059704493471, 0.0, 0.0, 0.0, 0.002919254658385086
'2016-08-23', 15.75, 16.129999, 15.74, 16.110001, 546500.0, 16.110001, 0.41000000000000014, 0.5399999999999991, 0.7755921751940399, 0.0, 0.0, 0.0, 0.004733044733044735
'2016-08-22', 15.34, 15.75, 15.34, 15.68, 372500.0, 15.68, 0.05000000000000071, 0.20999999999999908, 0.7454669677457211, 0.0, 0.0, 0.0, 0.006681877444589312
'2016-08-19', 15.29, 15.5, 15.24, 15.39, 204300.0, 15.39, 0.10999999999999943, 0.2699999999999996, 0.7334345384710365, 0.0, 0.0, 0.0, 0.006439603561905726
'2016-08-18', 15.18, 15.32, 15.1, 15.27, 161000.0, 15.27, -0.030000000000001137, 0.15000000000000036, 0.7291249702363939, 0.0, 0.0, 0.0, 0.0065405608883869785
'2016-08-17', 15.21, 15.29, 15.1, 15.16, 75400.0, 15.16, 0.08000000000000007, 0.14000000000000057, 0.7406532402023381, 0.0, 0.0, 0.0, 0.005960990576375189
'2016-08-16', 15.13, 15.35, 15.12, 15.21, 98000.0, 15.21, 0.11000000000000121, 0.28000000000000114, 0.7624781235477441, 0.0, 0.0, 0.0, 0.005948446794448114
'2016-08-15', 15.02, 15.25, 14.99, 15.15, 95500.0, 15.15, -0.009999999999999787, 0.09999999999999964, 0.7673588179955682, 0.0, 0.0, 0.0, 0.006070337589096893
'2016-08-12', 15.03, 15.12, 14.92, 15.08, 38900.0, 15.08, -0.040000000000000924, 0.02999999999999936, 0.7761214824726574, 0.0, 0.0, 0.0, 0.0056923190655725625
'2016-08-11', 15.07, 15.2, 15.0, 15.01, 70800.0, 15.01, 0.22000000000000064, 0.019999999999999574, 0.7756903735096599, 0.0, 0.0, 0.0, 0.005238710578702895
'2016-08-10', 14.85, 15.03, 14.85, 14.97, 208500.0, 14.97, -0.07000000000000028, 0.0, 0.7743732232514816, 0.0, 0.0, -0.1, 0.005791245791245793
'2016-08-09', 14.92, 15.01, 14.9, 14.9, 132100.0, 14.9, -0.08000000000000007, 0.1899999999999995, 0.7987259994655378, 0.0, 0.0, -0.5, 0.005266181539639986
'2016-08-08', 15.0, 15.1, 14.8, 14.94, 72700.0, 14.94, -0.05000000000000071, 0.34999999999999964, 0.8241146090738161, 0.0, 0.0, -0.8, 0.004757575757575758
