Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-11', 8.08, 8.14, 7.72, 7.76, 36300.0, 7.76, 0.33999999999999986, 0.33999999999999986, 0.7550058866584345, -1.0, 0.0, -1.0, 0.0
'2016-10-10', 7.74, 8.19, 7.74, 8.1, 54300.0, 8.1, 0.020000000000000462, 0.04999999999999982, 0.7618833389845339, 0.0, 0.0, -0.8, 0.04392764857881135
'2016-10-07', 7.72, 7.81, 7.59, 7.69, 25700.0, 7.69, 0.02999999999999936, 0.16000000000000014, 0.7787046937061571, 0.0, 0.0, -0.5, 0.023316062176165823
'2016-10-06', 7.69, 7.87, 7.65, 7.74, 38700.0, 7.74, -0.04999999999999982, 0.1800000000000006, 0.7905682906759051, 0.0, 0.0, -0.1, 0.016905071521456424
'2016-10-05', 7.74, 7.9, 7.41, 7.76, 56100.0, 7.76, 0.04999999999999982, 0.25, 0.8011433496364223, 0.0, 0.0, 0.0, 0.010981912144702838
'2016-10-04', 7.69, 7.69, 7.4, 7.49, 25800.0, 7.49, 0.13000000000000078, 0.45999999999999996, 0.7999361780097766, 0.0, 0.0, 0.0, 0.010143042912873853
'2016-10-03', 7.56, 7.72, 7.437, 7.67, 20300.0, 7.67, 0.04999999999999982, 0.3699999999999992, 0.7974247439239781, 0.0, 0.0, 0.0, 0.01146384479717814
'2016-09-30', 7.51, 7.67, 7.31, 7.61, 39700.0, 7.61, 0.019999999999999574, 0.16000000000000014, 0.7948730856068925, 0.0, 0.0, 0.0, 0.010842685942552792
'2016-09-29', 7.49, 7.54, 7.36, 7.44, 48100.0, 7.44, 0.2599999999999998, 0.29000000000000004, 0.7888619791967555, 0.0, 0.0, 0.0, 0.009846461949265684
'2016-09-28', 7.23, 7.49, 7.171, 7.47, 24700.0, 7.47, 0.040000000000000036, 0.2400000000000002, 0.7763278230804878, 0.0, 0.0, 0.0, 0.013062855386506832
'2016-09-27', 7.19, 7.37, 7.17, 7.28, 26800.0, 7.28, -0.15999999999999925, 0.3800000000000008, 0.7704800812192067, 0.0, 0.0, 0.0, 0.012378303198887337
'2016-09-26', 7.35, 7.955, 7.15, 7.24, 32700.0, 7.24, 0.14999999999999947, 0.5299999999999994, 0.7625699239341196, 0.0, 0.0, 0.0, 0.00902906617192332
'2016-09-23', 7.2, 7.5, 7.16, 7.4, 73100.0, 7.4, 0.20999999999999996, 0.2400000000000002, 0.7381505417069218, 0.0, 0.0, 0.0, 0.010185185185185183
'2016-09-22', 6.99, 7.3, 6.99, 7.23, 17900.0, 7.23, 0.1800000000000006, 0.11000000000000032, 0.7169721054545986, 0.0, 0.0, 0.0, 0.011995157917904696
'2016-09-21', 6.81, 7.01, 6.8, 7.0, 19400.0, 7.0, -0.010000000000000675, 0.08999999999999986, 0.7009536361272405, 0.0, 0.0, 0.0, 0.013320746800923019
