Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-16', 14.18, 14.19, 13.9, 13.9, 5400.0, 13.9, 0.15000000000000036, 0.23000000000000043, 0.26854774042782187, -1.0, 0.0, -1.0, 0.0
'2016-09-15', 14.03, 14.03, 13.96, 13.96, 4900.0, 13.96, -0.040000000000000924, 0.5199999999999996, 0.23877022892777514, 0.0, 0.0, -0.8, 0.010691375623663605
'2016-09-14', 14.07, 14.23, 14.0, 14.17, 25900.0, 14.17, 0.41000000000000014, 0.8399999999999999, 0.2277035109278924, 0.0, 0.0, -0.5, 0.0039090262970859786
'2016-09-13', 13.66, 13.66, 13.66, 13.66, 0.0, 13.66, -0.28999999999999915, 0.4299999999999997, 0.20391964648415348, 0.0, 0.1, -0.1, 0.012689116642264507
'2016-09-12', 13.95, 13.95, 13.66, 13.66, 5300.0, 13.66, 0.4399999999999995, 0.5699999999999985, 0.20138658236227025, 0.0, 0.5, 0.0, 0.004121863799283162
'2016-09-09', 13.51, 13.9, 13.51, 13.9, 1100.0, 13.9, 0.27999999999999936, 0.07000000000000028, 0.18591634917050412, 0.0, 0.8, 0.0, 0.009918578830495928
'2016-09-08', 13.23, 13.23, 13.23, 13.23, 0.0, 13.23, 0.0, -0.33000000000000007, 0.21934346481159508, 1.0, 1.0, 0.0, 0.01196775006298815
'2016-09-07', 13.23, 13.23, 13.23, 13.23, 900.0, 13.23, -0.15000000000000036, -0.2599999999999998, 0.23906042936648633, 0.0, 0.8, 0.0, 0.010258071482561271
'2016-09-06', 13.38, 13.38, 13.36, 13.36, 1200.0, 13.36, -0.05999999999999872, -0.11999999999999922, 0.26257803073033764, 0.0, 0.5, 0.0, 0.0074738415545590325
'2016-09-02', 13.44, 13.46, 13.43, 13.46, 5500.0, 13.46, -0.120000000000001, -0.28000000000000114, 0.29133867271995, 0.0, 0.1, 0.0, 0.00611772486772487
'2016-09-01', 13.56, 13.56, 13.56, 13.56, 300.0, 13.56, 0.07000000000000028, 0.11000000000000121, 0.30688416200398616, 0.0, 0.0, 0.0, 0.004572271386430673
'2016-08-31', 13.49, 13.49, 13.49, 13.49, 0.0, 13.49, -0.009999999999999787, -0.1999999999999993, 0.32790394935102557, 0.0, 0.0, 0.0, 0.004649909023519101
'2016-08-30', 13.5, 13.5, 13.48, 13.49, 800.0, 13.49, -0.22000000000000064, -0.16999999999999993, 0.3340419135378073, 0.0, 0.0, 0.0, 0.004197530864197529
'2016-08-29', 13.72, 13.72, 13.72, 13.72, 0.0, 13.72, 0.27000000000000135, 0.1800000000000015, 0.34120065780840586, 0.0, 0.0, 0.0, 0.0025790535994617576
'2016-08-26', 13.45, 13.72, 13.45, 13.72, 1400.0, 13.72, -0.2400000000000002, -0.040000000000000924, 0.349204810963423, 0.0, 0.0, 0.0, 0.0038767923526287864
'2016-08-25', 13.69, 13.69, 13.56, 13.65, 7200.0, 13.65, 0.019999999999999574, 0.22999999999999865, 0.35460541451026945, 0.0, 0.0, 0.0, 0.0023861699537375226
'2016-08-24', 13.67, 13.67, 13.65, 13.65, 2700.0, 13.65, 0.13000000000000078, 0.2400000000000002, 0.3588105349623949, 0.0, 0.0, 0.0, 0.0023317483540599843
'2016-08-23', 13.54, 13.54, 13.54, 13.54, 400.0, 13.54, 0.049999999999998934, -0.07000000000000028, 0.3718386746964334, 0.0, 0.0, 0.0, 0.0027804327048396933
'2016-08-22', 13.49, 13.55, 13.49, 13.52, 1800.0, 13.52, 0.02999999999999936, 0.040000000000000924, 0.38157699092057423, 0.0, 0.0, -0.1, 0.00284161106992834
'2016-08-19', 13.46, 13.46, 13.46, 13.46, 5400.0, 13.46, 0.030000000000001137, 0.2900000000000009, 0.38990540163252707, 0.0, 0.0, -0.5, 0.002815359349339168
'2016-08-18', 13.43, 13.52, 13.38, 13.47, 700.0, 13.47, -0.17999999999999972, 0.1999999999999993, 0.4133999946245229, 0.0, 0.0, -0.8, 0.002792256142963514
'2016-08-17', 13.61, 13.64, 13.38, 13.38, 4000.0, 13.38, 0.16000000000000014, 0.379999999999999, 0.44515415557110355, -1.0, 0.0, -1.0, 0.0
'2016-08-16', 13.45, 13.48, 13.45, 13.48, 1300.0, 13.48, 0.27999999999999936, 0.3999999999999986, 0.49780283915086965, 0.0, 0.0, -0.8, 0.011895910780669157
'2016-08-15', 13.17, 13.29, 13.17, 13.29, 3300.0, 13.29, -0.0600000000000005, -0.08000000000000007, 0.5302482647045835, 0.0, 0.0, -0.5, 0.016704631738800286
'2016-08-12', 13.23, 13.23, 13.23, 13.23, 0.0, 13.23, 0.0, -0.09999999999999964, 0.5380463631406579, 0.0, 0.0, -0.1, 0.009574200050390502
'2016-08-11', 13.23, 13.23, 13.23, 13.23, 7100.0, 13.23, 0.17999999999999972, -0.1399999999999988, 0.5464426370219984, 0.0, 0.0, 0.0, 0.007180650037792876
