Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 14.4, 14.4, 14.23, 14.24, 107000.0, 14.170085, 0.0600000000000005, 0.11000000000000121, 0.25618482911106727, -1.0, 0.0, -1.0, 0.0
'2016-09-28', 14.34, 14.4, 14.34, 14.37, 80100.0, 14.299447, 0.03999999999999915, 0.16000000000000014, 0.2568233288122835, 0.0, 0.0, -0.8, 0.004184100418410076
'2016-09-27', 14.3, 14.34, 14.29, 14.34, 76700.0, 14.269594, 0.040000000000000924, 0.25, 0.25676296894650186, 0.0, 0.0, -0.5, 0.003496503496503484
'2016-09-26', 14.26, 14.29, 14.23, 14.28, 79900.0, 14.209888, -0.02999999999999936, 0.10999999999999943, 0.25739053768328185, 0.0, 0.1, -0.1, 0.0032725572697522337
'2016-09-23', 14.29, 14.3, 14.21, 14.21, 43800.0, 14.140232, 0.10999999999999943, 0.129999999999999, 0.2570536044399215, 0.0, 0.5, 0.0, 0.0019244226731980618
'2016-09-22', 14.18, 14.35, 14.18, 14.31, 114900.0, 14.239742, 0.129999999999999, -0.08999999999999986, 0.2615171547379297, 0.0, 0.8, 0.0, 0.0031029619181946492
'2016-09-21', 14.05, 14.14, 14.03, 14.14, 132700.0, 14.070576, -0.09999999999999964, -0.09999999999999964, 0.257900928437431, 1.0, 1.0, 0.0, 0.0041518386714116205
'2016-09-20', 14.15, 14.19, 14.06, 14.07, 131100.0, 14.000919, -0.009999999999999787, 0.030000000000001137, 0.24437312090780824, 0.0, 0.8, 0.0, 0.002523977788995457
'2016-09-19', 14.16, 14.2, 14.11, 14.15, 113300.0, 14.080527, -0.10999999999999943, -0.019999999999999574, 0.23359413995693956, 0.0, 0.5, 0.0, 0.002118644067796612
'2016-09-16', 14.27, 14.27, 14.11, 14.16, 93400.0, 14.090478, 0.11999999999999922, -0.019999999999999574, 0.22044122421483098, 0.0, 0.1, 0.0, 0.0010122245581250548
'2016-09-15', 14.15, 14.25, 14.15, 14.18, 143800.0, 14.11038, 0.030000000000001137, -0.4599999999999991, 0.21478180142233244, 0.0, 0.0, 0.0, 0.0017667844522968198
'2016-09-14', 14.12, 14.25, 14.12, 14.21, 86000.0, 14.140232, -0.0600000000000005, -0.5400000000000009, 0.19131968592442927, 0.0, 0.0, 0.0, 0.0018027298480556345
'2016-09-13', 14.18, 14.23, 14.09, 14.15, 271800.0, 14.080527, -0.10999999999999943, -0.5400000000000009, 0.15932635968002565, 0.0, 0.0, 0.0, 0.0012929007992477707
'2016-09-12', 14.29, 14.32, 14.1, 14.19, 250300.0, 14.12033, -0.3200000000000003, -0.3600000000000012, 0.1251115058213628, 0.0, 0.0, 0.0, 0.0005921300532917114
'2016-09-09', 14.61, 14.61, 14.32, 14.35, 251400.0, 14.21188, -0.05000000000000071, -0.030000000000001137, 0.09518928511129804, 0.0, 0.0, 0.0, -0.0010266940451745335
'2016-09-08', 14.66, 14.69, 14.64, 14.69, 117700.0, 14.548606, -0.0600000000000005, -0.009999999999999787, 0.09358359305395826, 0.0, 0.0, 0.0, -0.0011823556161891758
'2016-09-07', 14.72, 14.72, 14.65, 14.66, 124900.0, 14.518895, 0.07000000000000028, -0.009999999999999787, 0.09819538346242812, 0.0, 0.0, 0.0, -0.001358695652173914
'2016-09-06', 14.65, 14.73, 14.63, 14.69, 212100.0, 14.548606, 0.009999999999999787, -0.08999999999999986, 0.10284616343516807, 0.0, 0.0, 0.0, -0.0010038144950813089
'2016-09-02', 14.64, 14.68, 14.59, 14.65, 150100.0, 14.508991, -0.02999999999999936, -0.08999999999999986, 0.10552987991822756, 0.0, 0.0, 0.0, -0.0009107468123861575
'2016-09-01', 14.67, 14.75, 14.65, 14.7, 80100.0, 14.55851, -0.0600000000000005, -0.08000000000000007, 0.10992371091908337, 0.0, 0.0, 0.0, -0.0009686793671294786
'2016-08-31', 14.73, 14.74, 14.62, 14.65, 196800.0, 14.508991, -0.009999999999999787, -0.08000000000000007, 0.11769121556948166, 0.0, 0.0, 0.0, -0.0011201629327902243
'2016-08-30', 14.74, 14.76, 14.65, 14.67, 83300.0, 14.528799, 0.009999999999999787, -0.14000000000000057, 0.13550112750658402, 0.0, 0.0, 0.0, -0.0010984040834787097
'2016-08-29', 14.73, 14.75, 14.66, 14.73, 127800.0, 14.588221, -0.019999999999999574, -0.049999999999998934, 0.141589783058901, 0.0, 0.0, -0.1, -0.0010183299389002038
'2016-08-26', 14.75, 14.77, 14.66, 14.69, 126400.0, 14.548606, -0.0600000000000005, 0.05000000000000071, 0.16050752838003166, 0.0, 0.0, -0.5, -0.0010316875460574786
'2016-08-25', 14.81, 14.82, 14.73, 14.78, 105500.0, 14.63774, -0.07000000000000028, 0.16000000000000014, 0.20641516955452224, 0.0, 0.0, -0.8, -0.001153499887463426
'2016-08-24', 14.88, 14.88, 14.76, 14.77, 138000.0, 14.627837, 0.10000000000000142, 0.22000000000000064, 0.2113816979358009, -1.0, 0.0, -1.0, 0.0
'2016-08-23', 14.78, 14.84, 14.73, 14.81, 81600.0, 14.667452, 0.08000000000000007, 0.16000000000000014, 0.20750394909227346, 0.0, 0.0, -0.8, 0.006765899864682099
'2016-08-22', 14.7, 14.77, 14.64, 14.75, 109400.0, 14.608029, 0.049999999999998934, 0.049999999999998934, 0.21096497866286282, 0.0, 0.1, -0.5, 0.006122448979591888
'2016-08-19', 14.65, 14.71, 14.64, 14.66, 43500.0, 14.518895, -0.009999999999999787, -0.08999999999999986, 0.22331368072735708, 0.0, 0.5, -0.1, 0.005233219567690567
'2016-08-18', 14.66, 14.74, 14.66, 14.67, 133500.0, 14.528799, 0.040000000000000924, -0.11999999999999922, 0.23397435756937116, 0.0, 0.8, 0.0, 0.003751705320600284
'2016-08-17', 14.62, 14.68, 14.56, 14.67, 104500.0, 14.528799, -0.030000000000001137, -0.2900000000000009, 0.2420700082391225, 1.0, 1.0, 0.0, 0.003556771545827655
'2016-08-16', 14.65, 14.67, 14.53, 14.62, 159000.0, 14.47928, -0.08999999999999986, -0.21999999999999886, 0.24674323136050189, 0.0, 0.8, 0.0, 0.0026166097838452836
'2016-08-15', 14.74, 14.78, 14.64, 14.65, 230700.0, 14.508991, -0.03999999999999915, -0.15000000000000036, 0.2521597817962958, 0.0, 0.5, 0.0, 0.0013568521031207652
'2016-08-12', 14.78, 14.78, 14.71, 14.77, 125600.0, 14.627837, -0.13000000000000078, -0.08999999999999986, 0.2571339901469443, 0.0, 0.1, 0.0, 0.0008457374830852624
