Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-06', 1.55, 1.63, 1.45, 1.48, 209600.0, 1.48, 0.17999999999999994, 0.17000000000000015, 0.06536733808936146, -1.0, 0.0, -1.0, 0.0
'2016-09-02', 1.37, 1.87, 1.37, 1.61, 1855000.0, 1.61, 0.040000000000000036, 0.0, 0.058405669435614024, 0.0, 0.0, -0.8, 0.13138686131386856
'2016-09-01', 1.33, 1.52, 1.32, 1.35, 47400.0, 1.35, -0.04999999999999982, 0.0, 0.058465564413783075, 0.0, 0.0, -0.5, 0.08270676691729321
'2016-08-31', 1.38, 1.38, 1.32, 1.32, 9500.0, 1.32, 0.0, 0.05999999999999983, 0.05895478493444499, 0.0, 0.0, -0.1, 0.041062801932367186
'2016-08-30', 1.38, 1.38, 1.3, 1.36, 30200.0, 1.36, 0.009999999999999787, 0.009999999999999787, 0.06223253882727977, 0.0, 0.0, 0.0, 0.03079710144927539
'2016-08-29', 1.37, 1.42, 1.37, 1.41, 13300.0, 1.41, 0.040000000000000036, 0.07000000000000006, 0.062364519827649824, 0.0, 0.0, 0.0, 0.026277372262773713
'2016-08-26', 1.33, 1.4, 1.31, 1.31, 16800.0, 1.31, 0.010000000000000009, 0.08000000000000007, 0.06386183001866864, 0.0, 0.0, 0.0, 0.027568922305764406
'2016-08-25', 1.32, 1.41, 1.32, 1.36, 27500.0, 1.36, -0.050000000000000044, 0.020000000000000018, 0.0633192966901349, 0.0, 0.1, 0.0, 0.02489177489177489
'2016-08-24', 1.37, 1.37, 1.34, 1.37, 9100.0, 1.37, 0.07000000000000006, 0.050000000000000044, 0.06296471675117384, 0.0, 0.5, 0.0, 0.01642335766423357
'2016-08-23', 1.3, 1.49, 1.25, 1.4, 188100.0, 1.4, 0.050000000000000044, -0.050000000000000044, 0.0647353587050127, 0.0, 0.8, 0.0, 0.021367521367521364
