Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-03', 11.76, 11.8, 11.71, 11.75, 301200.0, 11.674421, 0.049999999999998934, 0.16999999999999993, 0.08411632157646676, -1.0, 0.0, -1.0, 0.0
'2016-09-30', 11.71, 11.79, 11.69, 11.76, 235400.0, 11.684357, 0.0, 0.10000000000000142, 0.0798220242511775, 0.0, 0.0, -0.8, 0.004269854824935861
'2016-09-29', 11.71, 11.72, 11.64, 11.69, 209500.0, 11.614807, 0.05000000000000071, 0.0600000000000005, 0.07770385375828472, 0.0, 0.0, -0.5, 0.0021349274124679305
'2016-09-28', 11.66, 11.71, 11.61, 11.71, 257100.0, 11.634679, 0.07000000000000028, 0.009999999999999787, 0.0753871489195753, 0.0, 0.0, -0.1, 0.0028587764436820936
'2016-09-27', 11.59, 11.68, 11.55, 11.65, 234100.0, 11.575064, -0.019999999999999574, -0.009999999999999787, 0.07608547824650906, 0.0, 0.0, 0.0, 0.003666954270923208
'2016-09-26', 11.61, 11.62, 11.54, 11.59, 169500.0, 11.515451, -0.040000000000000924, 0.08999999999999986, 0.07680856433728964, 0.0, 0.0, 0.0, 0.002583979328165381
'2016-09-23', 11.65, 11.66, 11.55, 11.61, 214100.0, 11.535321, 0.0, 0.08999999999999986, 0.08117470870494914, 0.0, 0.0, 0.0, 0.00157367668097281
'2016-09-22', 11.65, 11.7, 11.59, 11.61, 285600.0, 11.535321, 0.05000000000000071, 0.120000000000001, 0.0854296331621659, 0.0, 0.0, 0.0, 0.001348865726548123
'2016-09-21', 11.6, 11.62, 11.55, 11.55, 163800.0, 11.475708, 0.08000000000000007, 0.11999999999999922, 0.08693803668258344, 0.0, 0.0, 0.0, 0.0017241379310344843
'2016-09-20', 11.52, 11.6, 11.51, 11.59, 156900.0, 11.515451, -0.040000000000000924, 0.07000000000000028, 0.08699233682725548, 0.0, 0.0, 0.0, 0.002314814814814817
'2016-09-19', 11.56, 11.57, 11.5, 11.51, 178800.0, 11.435965, 0.030000000000001137, 0.08000000000000007, 0.08641309057210153, 0.0, 0.1, 0.0, 0.0017301038062283675
'2016-09-16', 11.53, 11.54, 11.5, 11.52, 158900.0, 11.445901, 0.049999999999998934, -0.009999999999999787, 0.0865024084443125, 0.0, 0.5, 0.0, 0.0018134510762437943
'2016-09-15', 11.48, 11.55, 11.46, 11.52, 193600.0, 11.445901, 0.030000000000001137, -0.28999999999999915, 0.08633590729753693, 0.0, 0.8, 0.0, 0.0020325203252032475
'2016-09-14', 11.45, 11.49, 11.42, 11.48, 171900.0, 11.406157, -0.030000000000001137, -0.3000000000000007, 0.0886691728969106, 1.0, 1.0, -0.1, 0.002082633523681562
'2016-09-13', 11.48, 11.51, 11.37, 11.42, 207400.0, 11.346544, -0.05999999999999872, -0.1999999999999993, 0.09211345661133817, 0.0, 0.8, -0.5, 0.0017421602787456407
'2016-09-12', 11.54, 11.57, 11.45, 11.48, 236200.0, 11.406157, -0.23000000000000043, -0.11000000000000121, 0.09043168078106745, 0.0, 0.5, -0.8, 0.0012709416522241517
'2016-09-09', 11.77, 11.78, 11.58, 11.62, 271800.0, 11.47074, 0.019999999999999574, 0.08999999999999986, 0.09033271832508967, -1.0, 0.1, -1.0, 0.0
'2016-09-08', 11.75, 11.83, 11.73, 11.77, 285300.0, 11.618814, 0.07000000000000028, 0.07000000000000028, 0.08401124263388138, 0.0, 0.0, -0.8, 0.0017021276595744319
'2016-09-07', 11.68, 11.76, 11.67, 11.76, 248300.0, 11.608942, 0.02999999999999936, 0.02999999999999936, 0.0785451038151541, 0.0, 0.0, -0.5, 0.0038527397260273914
'2016-09-06', 11.65, 11.68, 11.62, 11.67, 206500.0, 11.520098, -0.02999999999999936, -0.019999999999999574, 0.07692420511993177, 0.0, 0.0, -0.1, 0.0034334763948497627
'2016-09-02', 11.68, 11.7, 11.64, 11.67, 142600.0, 11.520098, 0.0, 0.0600000000000005, 0.07902460938776536, 0.0, 0.0, 0.0, 0.0019263698630136957
'2016-09-01', 11.68, 11.7, 11.64, 11.67, 237500.0, 11.520098, 0.02999999999999936, 0.049999999999998934, 0.08939363636312286, 0.0, 0.0, 0.0, 0.0015410958904109565
'2016-08-31', 11.65, 11.68, 11.6, 11.67, 235200.0, 11.520098, -0.019999999999999574, 0.07000000000000028, 0.10048991104694166, 0.0, 0.0, 0.0, 0.0017167381974248813
'2016-08-30', 11.67, 11.7, 11.61, 11.63, 354700.0, 11.480612, 0.05000000000000071, 0.08999999999999986, 0.11618041525527835, 0.0, 0.0, 0.0, 0.001224140041620757
'2016-08-29', 11.62, 11.7, 11.62, 11.65, 251900.0, 11.500354, -0.010000000000001563, 0.11999999999999922, 0.13075167302944926, 0.0, 0.0, 0.0, 0.0016135972461273705
'2016-08-26', 11.63, 11.63, 11.58, 11.62, 176600.0, 11.47074, 0.05000000000000071, 0.07000000000000028, 0.14866068747318512, 0.0, 0.1, 0.0, 0.0013375370211139658
'2016-08-25', 11.58, 11.65, 11.57, 11.63, 158600.0, 11.480612, 0.0, -0.019999999999999574, 0.1623182744555345, 0.0, 0.5, 0.0, 0.001640759930915367
'2016-08-24', 11.58, 11.62, 11.57, 11.62, 303400.0, 11.47074, 0.08000000000000007, -0.019999999999999574, 0.17186202476276013, 0.0, 0.8, -0.1, 0.0014915999371957883
'2016-08-23', 11.5, 11.59, 11.49, 11.59, 231300.0, 11.441125, -0.0600000000000005, -0.08999999999999986, 0.18018385671924736, 1.0, 1.0, -0.5, 0.001956521739130432
'2016-08-22', 11.56, 11.56, 11.45, 11.46, 171800.0, 11.312795, -0.03999999999999915, 0.040000000000000924, 0.18913722237806319, 0.0, 0.8, -0.8, 0.0013973915357998342
'2016-08-19', 11.6, 11.6, 11.52, 11.53, 203000.0, 11.381896, 0.0, 0.0600000000000005, 0.19884667460131197, -1.0, 0.5, -1.0, 0.0
'2016-08-18', 11.6, 11.61, 11.54, 11.59, 178200.0, 11.441125, 0.009999999999999787, 0.15000000000000036, 0.2037757482026642, 0.0, 0.1, -0.8, 0.0
'2016-08-17', 11.59, 11.6, 11.57, 11.6, 237800.0, 11.450997, 0.07000000000000028, 0.16000000000000014, 0.20963698783055132, 0.0, 0.0, -0.5, 0.00043140638481448606
'2016-08-16', 11.52, 11.55, 11.5, 11.55, 206300.0, 11.401639, -0.019999999999999574, 0.049999999999998934, 0.2184602684446052, 0.0, 0.1, -0.1, 0.002314814814814817
'2016-08-15', 11.54, 11.56, 11.48, 11.48, 295300.0, 11.332538, 0.08999999999999986, -0.010000000000001563, 0.22321489396742542, 0.0, 0.5, 0.0, 0.0012998266897747076
'2016-08-12', 11.45, 11.5, 11.45, 11.5, 135200.0, 11.352281, 0.019999999999999574, -0.11000000000000121, 0.22440637740987288, 0.0, 0.8, 0.0, 0.0026200873362445475
'2016-08-11', 11.43, 11.48, 11.4, 11.41, 209800.0, 11.263437, -0.040000000000000924, -0.120000000000001, 0.22944110839651707, 1.0, 1.0, -0.1, 0.00247885680956547
'2016-08-10', 11.47, 11.49, 11.37, 11.37, 178900.0, 11.223951, -0.08000000000000007, -0.06999999999999851, 0.23648725594040437, 0.0, 0.8, -0.5, 0.0016191306513887035
'2016-08-09', 11.55, 11.59, 11.5, 11.51, 142700.0, 11.288116, -0.009999999999999787, 0.120000000000001, 0.24405850846785823, 0.0, 0.5, -0.8, 0.0005411255411255295
'2016-08-08', 11.56, 11.58, 11.51, 11.54, 213900.0, 11.317537, 0.009999999999999787, 0.16999999999999993, 0.2408448094151549, -1.0, 0.1, -1.0, 0.0
'2016-08-05', 11.55, 11.6, 11.51, 11.52, 498200.0, 11.297923, 0.010000000000001563, -0.019999999999999574, 0.23497139305786907, 0.0, 0.1, -0.8, 0.0008658008658008473
'2016-08-04', 11.54, 11.57, 11.49, 11.52, 168500.0, 11.297923, 0.10999999999999943, -0.07000000000000028, 0.2273577699476215, 0.0, 0.5, -0.5, 0.0008665511265165231
'2016-08-03', 11.43, 11.52, 11.41, 11.52, 220500.0, 11.297923, 0.03999999999999915, -0.21000000000000085, 0.21974732965132693, 0.0, 0.8, -0.1, 0.003791192767570743
'2016-08-02', 11.39, 11.48, 11.37, 11.41, 434500.0, 11.190043, -0.17999999999999972, -0.25, 0.21666692307677146, 1.0, 1.0, 0.0, 0.0037313432835820877
'2016-08-01', 11.57, 11.57, 11.45, 11.5, 240300.0, 11.278309, -0.03999999999999915, 0.07000000000000028, 0.2134429405927704, 0.0, 0.8, 0.0, -0.0001728608470181467
'2016-07-29', 11.61, 11.63, 11.49, 11.53, 370800.0, 11.30773, -0.030000000000001137, 0.17999999999999972, 0.20102957217506315, 0.0, 0.5, 0.0, -0.0007177720356014777
'2016-07-28', 11.64, 11.64, 11.56, 11.59, 260600.0, 11.366574, 0.0, 0.3500000000000014, 0.18412827654171499, 0.0, 0.1, 0.0, -0.000981836033382426
'2016-07-27', 11.64, 11.67, 11.61, 11.62, 552900.0, 11.395995, 0.14000000000000057, 0.39000000000000057, 0.15983185609327774, 0.0, 0.0, 0.0, -0.0008591065292096227
'2016-07-26', 11.5, 11.61, 11.46, 11.61, 584900.0, 11.386188, 0.07000000000000028, 0.3200000000000003, 0.127272236651291, 0.0, 0.0, 0.0, 0.000579710144927541
'2016-07-25', 11.43, 11.5, 11.39, 11.49, 376900.0, 11.268501, 0.14000000000000057, 0.28999999999999915, 0.1045779879112022, 0.0, 0.0, 0.0, 0.001137357830271223
'2016-07-22', 11.29, 11.44, 11.29, 11.41, 760400.0, 11.190043, 0.03999999999999915, 0.20999999999999908, 0.08537759268879234, 0.0, 0.0, 0.0, 0.00217408809082858
'2016-07-21', 11.25, 11.32, 11.24, 11.31, 510100.0, 11.091972, 0.07000000000000028, 0.16999999999999993, 0.07678252115915161, 0.0, 0.0, 0.0, 0.0022962962962963
'2016-07-20', 11.18, 11.25, 11.17, 11.24, 417300.0, 11.023321, 0.03999999999999915, 0.0600000000000005, 0.07114929530376413, 0.0, 0.0, 0.0, 0.0026145589651850884
'2016-07-19', 11.14, 11.18, 11.13, 11.17, 323300.0, 10.95467, 0.0600000000000005, 0.030000000000001137, 0.07023452775443785, 0.0, 0.0, 0.0, 0.002692998204667863
'2016-07-18', 11.08, 11.15, 11.08, 11.14, 301400.0, 10.925249, 0.0, -0.019999999999999574, 0.06911262949385999, 0.0, 0.0, 0.0, 0.002888086642599281
'2016-07-15', 11.08, 11.08, 11.02, 11.03, 275200.0, 10.817369, -0.03999999999999915, 0.040000000000000924, 0.0691825283017485, 0.0, 0.0, 0.0, 0.0027075812274368256
'2016-07-14', 11.12, 11.12, 11.02, 11.09, 368000.0, 10.876213, 0.009999999999999787, 0.049999999999998934, 0.06934935712271126, 0.0, 0.0, 0.0, 0.0023275497249259486
'2016-07-13', 11.11, 11.14, 11.05, 11.05, 361000.0, 10.836984, 0.009999999999999787, 0.08999999999999986, 0.06941101417562563, 0.0, 0.0, 0.0, 0.0022502250225022555
'2016-07-12', 11.1, 11.13, 11.02, 11.08, 408900.0, 10.866405, 0.0600000000000005, 0.16000000000000014, 0.06914156170897191, 0.0, 0.0, 0.0, 0.0021811284969179747
'2016-07-11', 11.04, 11.1, 11.04, 11.08, 293900.0, 10.866405, -0.030000000000001137, 0.019999999999999574, 0.06898953221725433, 0.0, 0.0, 0.0, 0.002355072463768122
'2016-07-08', 11.07, 11.13, 11.06, 11.07, 418800.0, 10.783044, 0.05000000000000071, 0.009999999999999787, 0.07119612973251355, 0.0, 0.0, 0.0, 0.0021077988557663364
