Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-27', 1.24, 1.32, 1.18, 1.2, 780300.0, 1.2, 0.1100000000000001, 0.16999999999999993, 0.03780064667289288, -1.0, 0.0, -1.0, 0.0
'2016-09-26', 1.13, 1.25, 1.11, 1.24, 1183900.0, 1.24, 0.039999999999999813, 0.07999999999999985, 0.01991370270832512, 0.0, 0.0, -0.8, 0.09734513274336293
'2016-09-23', 1.09, 1.13, 1.08, 1.13, 457300.0, 1.13, 0.0, 0.020000000000000018, 0.015648926125740682, 0.0, 0.0, -0.5, 0.06880733944954123
'2016-09-22', 1.09, 1.09, 1.06, 1.08, 320600.0, 1.08, 0.020000000000000018, 0.040000000000000036, 0.014533486237727773, 0.0, 0.0, -0.1, 0.04587155963302749
'2016-09-21', 1.07, 1.11, 1.06, 1.09, 363300.0, 1.09, 0.020000000000000018, 0.030000000000000027, 0.013888444437333117, 0.0, 0.0, 0.0, 0.03971962616822428
'2016-09-20', 1.05, 1.12, 1.05, 1.06, 758200.0, 1.06, -0.020000000000000018, -0.020000000000000018, 0.014302291968616633, 0.0, 0.1, 0.0, 0.03619047619047618
'2016-09-19', 1.07, 1.07, 1.05, 1.06, 248000.0, 1.06, 0.020000000000000018, 0.020000000000000018, 0.018073922282301296, 0.0, 0.5, 0.0, 0.02647975077881619
'2016-09-16', 1.05, 1.07, 1.04, 1.07, 289400.0, 1.07, 0.010000000000000009, -0.010000000000000009, 0.01938212234680886, 0.0, 0.8, 0.0, 0.025850340136054414
'2016-09-15', 1.04, 1.07, 1.04, 1.06, 200100.0, 1.06, -0.030000000000000027, -0.020000000000000018, 0.025309199030304312, 1.0, 1.0, 0.0, 0.024038461538461533
'2016-09-14', 1.07, 1.07, 1.05, 1.05, 120700.0, 1.05, 0.020000000000000018, 0.020000000000000018, 0.027968235951204068, 0.0, 0.8, 0.0, 0.017653167185877457
'2016-09-13', 1.05, 1.07, 1.04, 1.07, 212000.0, 1.07, -0.010000000000000009, 0.010000000000000009, 0.027866746411369176, 0.0, 0.5, 0.0, 0.01809523809523809
'2016-09-12', 1.06, 1.07, 1.04, 1.07, 232400.0, 1.07, 0.0, 0.010000000000000009, 0.027946377224964267, 0.0, 0.1, 0.0, 0.015437392795883357
'2016-09-09', 1.06, 1.08, 1.05, 1.07, 156900.0, 1.07, 0.010000000000000009, 0.0, 0.028104961997641807, 0.0, 0.0, 0.0, 0.01415094339622641
'2016-09-08', 1.05, 1.09, 1.05, 1.07, 404600.0, 1.07, 0.010000000000000009, -0.010000000000000009, 0.0282055944017416, 0.0, 0.0, 0.0, 0.013919413919413915
'2016-09-07', 1.04, 1.06, 1.04, 1.05, 432200.0, 1.05, -0.010000000000000009, -0.010000000000000009, 0.031084115271666057, 0.0, 0.0, 0.0, 0.013736263736263733
'2016-09-06', 1.05, 1.06, 1.04, 1.05, 202000.0, 1.05, -0.010000000000000009, -0.030000000000000027, 0.033334999958335415, 0.0, 0.0, 0.0, 0.012063492063492061
'2016-09-02', 1.06, 1.08, 1.05, 1.05, 78100.0, 1.05, 0.0, -0.010000000000000009, 0.0393559257150545, 0.0, 0.0, -0.1, 0.010613207547169807
'2016-09-01', 1.06, 1.08, 1.04, 1.06, 205400.0, 1.06, 0.010000000000000009, 0.030000000000000027, 0.042070047407732826, 0.0, 0.0, -0.5, 0.009988901220865702
'2016-08-31', 1.05, 1.1, 1.03, 1.06, 462200.0, 1.06, -0.030000000000000027, 0.020000000000000018, 0.044417213880306436, 0.0, 0.1, -0.8, 0.01005291005291005
'2016-08-30', 1.08, 1.09, 1.05, 1.05, 110800.0, 1.05, 0.010000000000000009, 0.030000000000000027, 0.046303347611160874, -1.0, 0.5, -1.0, 0.0
'2016-08-29', 1.07, 1.09, 1.05, 1.09, 311400.0, 1.09, 0.040000000000000036, 0.010000000000000009, 0.04817214501717307, 0.0, 0.8, -0.8, 0.009345794392523372
'2016-08-26', 1.03, 1.07, 1.03, 1.06, 193100.0, 1.06, 0.0, -0.040000000000000036, 0.049823020114534704, 1.0, 1.0, -0.5, 0.024271844660194195
'2016-08-25', 1.03, 1.07, 1.03, 1.04, 300900.0, 1.04, -0.020000000000000018, -0.030000000000000027, 0.05038187504781188, 0.0, 0.8, -0.1, 0.0161812297734628
'2016-08-24', 1.05, 1.09, 1.04, 1.04, 374100.0, 1.04, -0.010000000000000009, 0.010000000000000009, 0.05061949558552839, 0.0, 0.5, 0.0, 0.007142857142857149
'2016-08-23', 1.06, 1.08, 1.05, 1.05, 102300.0, 1.05, -0.010000000000000009, 0.010000000000000009, 0.050885492366030315, 0.0, 0.1, 0.0, 0.00377358490566038
'2016-08-22', 1.07, 1.07, 1.05, 1.06, 196000.0, 1.06, 0.010000000000000009, -0.010000000000000009, 0.05123366948490888, 0.0, 0.0, 0.0, 0.0015576323987538956
'2016-08-19', 1.06, 1.08, 1.05, 1.06, 214400.0, 1.06, 0.020000000000000018, 0.010000000000000009, 0.05377318621353538, 0.0, 0.0, 0.0, 0.0026954177897574147
'2016-08-18', 1.04, 1.09, 1.04, 1.05, 174900.0, 1.05, -0.010000000000000009, -0.040000000000000036, 0.05519259209551784, 0.0, 0.0, 0.0, 0.004807692307692311
'2016-08-17', 1.05, 1.06, 1.03, 1.05, 238500.0, 1.05, -0.030000000000000027, -0.010000000000000009, 0.054320039273427094, 0.0, 0.0, 0.0, 0.003174603174603177
