Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-05', 106.800003, 106.800003, 105.199997, 106.440002, 2600.0, 106.440002, 2.260002, 0.3000030000000038, 2.003812840551777, -1.0, 0.5, -1.0, 0.0
'2016-10-04', 104.540001, 108.269997, 104.449997, 105.510002, 5200.0, 105.510002, 0.48999799999999993, -0.45999899999999627, 2.1550446547897515, 0.0, 0.8, -0.8, 0.021618538151726246
'2016-10-03', 104.050003, 105.050003, 104.050003, 104.629997, 1800.0, 104.629997, -1.8299939999999992, -0.1100009999999969, 2.4099529973019527, 1.0, 1.0, -0.5, 0.013214800195632863
'2016-09-30', 105.879997, 106.050003, 104.199997, 105.519997, 5100.0, 105.519997, -0.620002999999997, 0.27999900000000366, 2.647117863346625, 0.0, 0.8, -0.1, 0.0028963796312410825
'2016-09-29', 106.5, 106.5, 105.860001, 105.860001, 3000.0, 105.860001, 1.5, 1.5, 2.808491755018048, 0.0, 0.5, 0.0, 0.0007042323943662061
'2016-09-28', 105.0, 107.0, 105.0, 105.629997, 6600.0, 105.629997, 0.8399959999999993, -3.0999979999999994, 2.8559574071022396, 0.0, 0.1, 0.0, 0.00342857714285715
'2016-09-27', 104.160004, 106.0, 104.110001, 105.529999, 3300.0, 105.529999, -1.4399939999999987, -2.3999939999999924, 2.922545186432145, 0.0, 0.0, 0.0, 0.004224268590977914
'2016-09-26', 105.599998, 106.75, 105.599998, 105.849998, 4000.0, 105.849998, 0.5999979999999994, -1.4500050000000044, 2.968782230085356, 0.0, 0.0, 0.0, 0.0016233834181917917
'2016-09-23', 105.0, 105.949997, 103.370003, 105.589996, 4900.0, 105.589996, -3.0999979999999994, -0.370002999999997, 3.003321269099634, 0.0, 0.0, 0.0, 0.002142860714285719
'2016-09-22', 108.099998, 108.099998, 105.870003, 106.0, 5500.0, 106.0, 1.5400000000000063, 1.4099959999999925, 3.0349846593285386, 0.0, 0.0, 0.0, -0.0013362062124079631
'2016-09-21', 106.559998, 106.559998, 106.559998, 106.559998, 800.0, 106.559998, -0.4900050000000107, 0.5599979999999931, 2.9076096520994197, 0.0, 0.0, 0.0, 0.00022522992164471578
'2016-09-20', 107.050003, 107.050003, 106.120003, 106.480003, 5000.0, 106.480003, 1.6800000000000068, 3.050003000000004, 2.874546863243268, 0.0, 0.0, 0.0, -0.00021230520402015055
'2016-09-19', 105.370003, 106.739998, 104.739998, 106.43, 4900.0, 106.43, -1.31999900000001, 0.4100040000000007, 2.8766855301126157, 0.0, 0.0, 0.0, 0.0011309354016689858
'2016-09-16', 106.690002, 109.029999, 104.309998, 104.360001, 19500.0, 104.360001, 0.6900020000000069, 0.1900020000000069, 2.938986827085371, 0.0, 0.0, 0.0, 7.931029361697027e-05
'2016-09-15', 106.0, 106.5, 105.910004, 106.419998, 2100.0, 106.419998, 2.0, -0.4499969999999962, 2.9711273388701027, 0.0, 0.0, 0.0, 0.0005390855795148273
'2016-09-14', 104.0, 106.900002, 103.919998, 105.900002, 2300.0, 105.900002, -0.9599989999999963, -2.889999000000003, 3.02283218736323, 0.0, 0.0, 0.0, 0.0017948737179487204
'2016-09-13', 104.959999, 105.559998, 104.029999, 104.5, 4400.0, 104.5, -1.5400010000000037, -2.0900040000000075, 3.0532224101327676, 0.0, 0.0, 0.0, 0.0010956578801034522
'2016-09-12', 106.5, 106.5, 103.669998, 105.720001, 10200.0, 105.720001, 0.050003000000003794, 3.389999000000003, 2.9756935520430545, 0.0, 0.0, -0.1, 0.00016570173985087203
'2016-09-09', 106.449997, 108.0, 106.449997, 106.540001, 2700.0, 106.540001, -0.4400020000000069, 2.319999999999993, 2.8083646848544057, 0.0, 0.0, -0.5, 0.00018266583678511707
'2016-09-08', 106.889999, 109.489998, 106.580002, 108.260002, 3000.0, 108.260002, -0.1600040000000007, 2.9700009999999963, 2.6078424412962757, 0.0, 0.0, -0.8, -4.4313140829455256e-05
'2016-09-07', 107.050003, 109.279999, 104.309998, 106.459999, 8500.0, 106.459999, 3.940002000000007, 4.990005000000011, 2.346056437884075, -1.0, 0.0, -1.0, 0.0
'2016-09-06', 103.110001, 108.0, 103.110001, 107.419998, 4300.0, 107.419998, -1.0199960000000061, 2.5800019999999932, 2.005493463316194, 0.0, 0.1, -0.8, 0.038211637685853644
'2016-09-02', 104.129997, 104.949997, 103.809998, 104.800003, 3100.0, 104.800003, 0.20999899999999627, 1.6800000000000068, 1.9393323005909222, 0.0, 0.5, -0.5, 0.014020964583337119
'2016-09-01', 103.919998, 104.0, 102.139999, 103.989998, 2100.0, 103.989998, 1.8600000000000136, 0.41999800000000675, 1.8037172629026381, 0.0, 0.8, -0.1, 0.010039790416470167
'2016-08-31', 102.059998, 104.25, 101.260002, 103.599998, 4200.0, 103.599998, 1.5299989999999895, 0.1100009999999969, 1.6440349467776878, 1.0, 1.0, -0.1, 0.012223214525244285
'2016-08-30', 100.529999, 103.400002, 99.75, 102.110001, 3200.0, 102.110001, -1.9199979999999925, 0.7699970000000036, 1.5962400862178252, 0.0, 0.8, -0.5, 0.01297126044933115
'2016-08-29', 102.449997, 102.449997, 102.0, 102.230003, 1200.0, 102.230003, -1.0500030000000038, 2.569999999999993, 1.5978326310223427, 0.0, 0.5, -0.8, 0.007483335179274509
'2016-08-26', 103.5, 104.459999, 102.019997, 102.099998, 5100.0, 102.099998, 1.5500030000000038, 4.919998000000007, 1.5022083195540255, -1.0, 0.1, -1.0, 0.0
'2016-08-25', 101.949997, 103.540001, 101.800003, 103.540001, 9800.0, 103.540001, 2.189994999999996, 3.6599959999999925, 1.2968041003446902, 0.0, 0.0, -0.8, 0.01520356101628923
'2016-08-24', 99.760002, 102.160004, 99.760002, 101.650002, 4400.0, 101.650002, -0.11999500000000296, 1.130004999999997, 1.1975650330398138, 0.0, 0.1, -0.5, 0.0187449775712715
'2016-08-23', 99.879997, 102.0, 99.879997, 101.349998, 3000.0, 101.349998, 1.2999950000000098, -0.08000199999999325, 1.2061294931234547, 0.0, 0.5, -0.1, 0.012081174438428002
'2016-08-22', 98.580002, 100.220001, 98.0, 99.760002, 1400.0, 99.760002, 0.2900009999999895, -1.4199980000000068, 1.21657489812079, 0.0, 0.8, 0.0, 0.012477170572587347
'2016-08-19', 98.290001, 102.010002, 97.660004, 98.660004, 9800.0, 98.660004, -0.3399959999999993, -2.2900009999999895, 1.2259162615520167, 1.0, 1.0, 0.0, 0.010601279778194316
'2016-08-18', 98.629997, 98.68, 98.0, 98.5, 2600.0, 98.5, -1.3300019999999932, -1.380004999999997, 1.2182506266519202, 0.0, 0.8, 0.0, 0.008229414897646871
'2016-08-17', 99.959999, 99.959999, 98.050003, 98.379997, 4400.0, 98.379997, -0.04000100000000373, -0.22000100000001055, 1.2659259333977013, 0.0, 0.5, 0.0, 0.005059168003507374
'2016-08-16', 100.0, 100.199997, 98.589996, 99.730003, 5000.0, 99.730003, -0.5800019999999932, -1.139999000000003, 1.266929304904803, 0.0, 0.1, 0.0, 0.004375
'2016-08-15', 100.580002, 100.900002, 100.0, 100.900002, 5900.0, 100.900002, 0.5699999999999932, 0.7700040000000001, 1.4005070361218883, 0.0, 0.0, -0.1, 0.003225732906847854
'2016-08-12', 100.010002, 100.099998, 99.800003, 100.099998, 3000.0, 100.099998, -0.16999800000000675, 2.1099999999999994, 1.426029784558985, 0.0, 0.0, -0.5, 0.0034896489653104897
'2016-08-11', 100.18, 100.199997, 99.480003, 99.800003, 7800.0, 99.800003, -0.9599989999999963, 2.529998000000006, 1.4487690299946256, 0.0, 0.0, -0.8, 0.0030127588522477658
