Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 24.66, 25.02, 24.040001, 24.139999, 1180500.0, 24.139999, 0.05999999999999872, 0.5700000000000003, 0.73331372876859, -1.0, 0.5, -1.0, 0.0
'2016-09-28', 24.6, 25.040001, 23.440001, 24.99, 1372900.0, 24.99, 0.7900010000000002, 0.6000000000000014, 0.7284798620723729, 0.0, 0.8, -0.8, 0.0024390243902438504
'2016-09-27', 23.809999, 24.76, 23.66, 24.59, 903400.0, 24.59, -0.37000099999999847, 0.5299980000000026, 0.726912587898286, 1.0, 1.0, -0.5, 0.017849664756390767
'2016-09-26', 24.18, 24.309999, 23.639999, 23.67, 738100.0, 23.67, 0.08999999999999986, 0.8899989999999995, 0.7237802715069785, 0.0, 0.8, -0.1, 0.006617038875103398
'2016-09-23', 24.09, 24.59, 23.799999, 24.4, 1042700.0, 24.4, 0.08999999999999986, 0.8200000000000003, 0.7237849537907144, 0.0, 0.5, 0.0, 0.005915317559153178
'2016-09-22', 24.0, 24.200001, 23.790001, 24.16, 1039000.0, 24.16, 0.7199990000000014, 0.6600000000000001, 0.7258219689737674, 0.0, 0.1, 0.0, 0.005500000000000001
'2016-09-21', 23.280001, 23.799999, 23.190001, 23.77, 841600.0, 23.77, -0.010000000000001563, 0.44000099999999875, 0.7256137423821613, 0.0, 0.0, -0.1, 0.009879717502303096
'2016-09-20', 23.290001, 23.290001, 22.76, 23.139999, 829000.0, 23.139999, 0.0200010000000006, 0.26000000000000156, 0.7072530855362448, 0.0, 0.0, -0.5, 0.008403354849883554
'2016-09-19', 23.27, 23.290001, 22.860001, 23.08, 1022900.0, 23.08, -0.07000000000000028, 0.00999999999999801, 0.6868593445535378, 0.0, 0.0, -0.8, 0.0074666953158573305
'2016-09-16', 23.34, 23.49, 22.92, 23.07, 1120200.0, 23.07, 0.5, 0.7299989999999994, 0.6648051986029031, -1.0, 0.0, -1.0, 0.0
'2016-09-15', 22.84, 23.440001, 22.719999, 23.290001, 409600.0, 23.290001, -0.19000099999999875, -1.0300009999999986, 0.6540942467943327, 0.0, 0.1, -0.8, 0.021891418563922942
'2016-09-14', 23.030001, 23.129999, 22.66, 22.799999, 564500.0, 22.799999, -0.22999900000000295, -1.5899999999999999, 0.6729670264008324, 0.0, 0.5, -0.5, 0.006730329712100344
'2016-09-13', 23.26, 23.48, 22.790001, 22.969999, 515300.0, 22.969999, 0.6499990000000011, -1.4300009999999972, 0.8155557555982577, 0.0, 0.8, -0.1, 0.001146460303811956
'2016-09-12', 22.610001, 23.6, 22.42, 23.540001, 879500.0, 23.540001, -1.259999999999998, -2.129998999999998, 0.9048179316676082, 1.0, 1.0, 0.0, 0.008071638298468003
'2016-09-09', 23.870001, 23.870001, 22.799999, 22.82, 1376700.0, 22.82, -0.75, -0.8399980000000014, 0.9591890321866818, 0.0, 0.8, 0.0, -0.0044407287624328015
'2016-09-08', 24.620001, 24.700001, 24.040001, 24.049999, 1433000.0, 24.049999, -0.07000000000000028, -0.11999899999999997, 1.0762920227648236, 0.0, 0.5, 0.0, -0.00866504838890948
'2016-09-07', 24.690001, 24.9, 24.57, 24.610001, 573600.0, 24.610001, -0.04999899999999968, -0.1700000000000017, 1.1572975697433492, 0.0, 0.1, 0.0, -0.0078111493682922715
