Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-08-30', 29.73, 29.879999, 29.049999, 29.280001, 218500.0, 29.280001, 0.02999900000000011, 0.18000100000000074, 0.8138416421450667, -1.0, 0.0, -1.0, 0.0
'2016-08-29', 29.700001, 29.91, 29.65, 29.75, 61000.0, 29.75, 0.010000000000001563, 0.7000010000000003, 0.8981760224665664, 0.0, 0.0, -0.8, 0.0010100673060583435
'2016-08-26', 29.690001, 30.0, 29.58, 29.65, 182200.0, 29.65, 0.16000000000000014, 0.8900019999999991, 0.9748049365787376, 0.0, 0.0, -0.5, 0.0006736106206261441
'2016-08-25', 29.530001, 29.84, 29.4, 29.610001, 101100.0, 29.610001, -0.01999800000000107, 0.44000099999999875, 1.0067273891180604, 0.0, 0.1, -0.1, 0.002257579785836578
'2016-08-24', 29.549999, 29.809999, 29.379999, 29.629999, 84000.0, 29.629999, 0.5499989999999997, 0.629998999999998, 0.9910544839380908, 0.0, 0.5, 0.0, 0.0015228511513655275
'2016-08-23', 29.0, 29.690001, 28.969999, 29.65, 116600.0, 29.65, 0.20000100000000032, -0.4200000000000017, 0.9823970697569967, 0.0, 0.8, 0.0, 0.005034482758620693
'2016-08-22', 28.799999, 29.09, 28.780001, 29.07, 54900.0, 29.07, -0.2900010000000002, -1.130001, 0.9915341980993387, 1.0, 1.0, 0.0, 0.005381950418354764
'2016-08-19', 29.09, 29.120001, 28.790001, 28.969999, 165000.0, 28.969999, 0.16999999999999815, -0.7600000000000016, 1.0095370708071103, 0.0, 0.8, 0.0, 0.0031429553602121524
'2016-08-18', 28.92, 29.219999, 28.75, 29.049999, 149800.0, 29.049999, -0.5, -0.5999999999999979, 1.0599369413111435, 0.0, 0.5, 0.0, 0.0035010373443983343
'2016-08-17', 29.42, 29.42, 28.93, 28.98, 74900.0, 28.98, -0.509999999999998, -0.08999999999999986, 1.1058051303112537, 0.0, 0.1, 0.0, 0.001170783291789405
'2016-08-16', 29.93, 29.93, 29.370001, 29.379999, 123300.0, 29.379999, 0.0799999999999983, 0.38999899999999954, 1.103108984038809, 0.0, 0.0, 0.0, -0.0006682258603407928
'2016-08-15', 29.85, 30.139999, 29.639999, 29.9, 147300.0, 29.9, 0.33000000000000185, 0.1400010000000016, 1.0479788585868246, 0.0, 0.0, 0.0, -0.0003654636820465996
'2016-08-12', 29.52, 30.0, 29.25, 29.85, 174600.0, 29.85, 0.00999999999999801, 0.3999990000000011, 1.002512551365305, 0.0, 0.0, 0.0, 0.0005928184281842842
'2016-08-11', 29.51, 29.84, 28.92, 29.5, 159500.0, 29.5, -0.030000999999998612, 0.9500010000000003, 0.9608992686254754, 0.0, 0.0, 0.0, 0.0005734692281625495
'2016-08-10', 29.540001, 29.540001, 29.139999, 29.440001, 141400.0, 29.440001, -0.16999799999999965, 1.2700010000000006, 0.9294348651378762, 0.0, 0.0, 0.0, 0.00045942304277028155
'2016-08-09', 29.709999, 29.82, 29.139999, 29.450001, 360700.0, 29.450001, 0.5899980000000014, 1.5799999999999983, 0.8738548187329016, 0.0, 0.0, 0.0, 4.488051312287288e-05
'2016-08-08', 29.120001, 29.379999, 28.99, 29.139999, 132300.0, 29.139999, 0.5600019999999972, 0.7400019999999969, 0.7754426919010277, 0.0, 0.0, 0.0, 0.0013092354461114245
'2016-08-05', 28.559999, 29.190001, 28.559999, 29.110001, 227700.0, 29.110001, 0.28999900000000167, 0.6199980000000025, 0.8748450918117534, 0.0, 0.0, 0.0, 0.002409789588413293
'2016-08-04', 28.27, 28.559999, 28.15, 28.5, 260500.0, 28.5, 0.14000099999999804, 0.1499990000000011, 1.1386124710757881, 0.0, 0.0, 0.0, 0.002869158511181859
'2016-08-03', 28.129999, 28.440001, 27.610001, 28.370001, 259800.0, 28.370001, -0.25, 0.12999900000000153, 1.274026093741316, 0.0, 0.0, 0.0, 0.0029936218251329604
'2016-08-02', 28.379999, 28.6, 27.870001, 28.23, 210600.0, 28.23, 0.4399980000000028, 0.2199990000000014, 1.3687561971855065, 0.0, 0.0, 0.0, 0.0023784373635813002
'2016-08-01', 27.940001, 28.74, 27.84, 28.5, 214000.0, 28.5, -0.17999999999999972, -0.059999000000001246, 1.4257480221976095, 0.0, 0.0, 0.0, 0.0030507532057370973
'2016-07-29', 28.120001, 28.290001, 27.98, 28.07, 525500.0, 28.07, 0.12000099999999847, -0.07000000000000028, 1.4811106780612477, 0.0, 0.0, 0.0, 0.0026024811566426626
'2016-07-28', 28.0, 28.200001, 28.0, 28.030001, 178100.0, 28.030001, -0.16000000000000014, 0.1700000000000017, 1.5071489882410152, 0.0, 0.0, -0.1, 0.002686335403726709
'2016-07-27', 28.16, 28.24, 28.0, 28.0, 110900.0, 28.0, 0.16000000000000014, 0.4599989999999998, 1.5303675239483867, 0.0, 0.0, -0.5, 0.002323035037878788
'2016-07-26', 28.0, 28.41, 28.0, 28.139999, 187600.0, 28.139999, -0.19000099999999875, 1.3299999999999983, 1.56905686591954, 0.0, 0.0, -0.8, 0.002471428571428572
'2016-07-25', 28.190001, 28.450001, 27.950001, 27.99, 288700.0, 27.99, 0.36000100000000046, 1.7200019999999974, 1.609222877872134, -1.0, 0.0, -1.0, 0.0
'2016-07-22', 27.83, 28.549999, 27.700001, 28.15, 306200.0, 28.15, 0.12999899999999798, 1.5, 1.6629571390883322, 0.0, 0.0, -0.8, 0.01293571685231766
'2016-07-21', 27.700001, 28.08, 27.49, 27.879999, 789600.0, 27.879999, 1.0300009999999986, 0.9400009999999988, 1.7141815322254086, 0.0, 0.1, -0.5, 0.008844765023654664
'2016-07-20', 26.67, 28.139999, 26.450001, 27.93, 396400.0, 27.93, 0.20000100000000032, -1.3899989999999995, 1.771358022786279, 0.0, 0.5, -0.1, 0.01899763779527555
'2016-07-19', 26.469999, 26.610001, 26.200001, 26.43, 687800.0, 26.43, 0.1399990000000031, -1.0700019999999988, 1.7871924811715112, 0.0, 0.8, -0.1, 0.016244824943136543
'2016-07-18', 26.33, 26.629999, 26.139999, 26.49, 234900.0, 26.49, -0.43000000000000327, -1.0499990000000032, 1.7935004016108353, 1.0, 1.0, -0.5, 0.01412837827573111
'2016-07-15', 26.76, 26.889999, 26.290001, 26.34, 314400.0, 26.34, -1.2999989999999997, -0.389999999999997, 1.7687806707071163, 0.0, 0.8, -0.8, 0.008906334080717471
'2016-07-14', 28.059999, 28.190001, 26.51, 26.639999, 293800.0, 26.639999, 0.5199980000000011, 1.7999989999999997, 1.7572605214558017, -1.0, 0.5, -1.0, 0.0
'2016-07-13', 27.540001, 27.92, 27.540001, 27.65, 151900.0, 27.65, 0.16000199999999865, 1.3000010000000017, 1.76345160833344, 0.0, 0.1, -0.8, 0.01888155341751807
'2016-07-12', 27.379999, 28.0, 27.33, 27.58, 360900.0, 27.58, 0.22999900000000295, 0.6399990000000031, 1.7517359709221725, 0.0, 0.1, -0.5, 0.012417823682170325
'2016-07-11', 27.15, 27.49, 26.950001, 27.450001, 434500.0, 27.450001, 0.889999999999997, -0.23999900000000096, 1.7260292991720612, 0.0, 0.5, -0.1, 0.011172486187845339
'2016-07-08', 26.26, 27.110001, 26.059999, 27.08, 207900.0, 27.08, 0.020000000000003126, -0.5399989999999981, 1.6853608373284328, 0.0, 0.8, 0.0, 0.017136319497334344
