Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-26', 12.68, 12.74, 12.48, 12.55, 1604600.0, 12.55, 0.25, 0.4299999999999997, 0.6657473661649407, -1.0, 0.0, -1.0, 0.0
'2016-09-23', 12.43, 12.78, 12.425, 12.75, 1523700.0, 12.75, 0.16000000000000014, 0.4800000000000004, 0.6624356572528385, 0.0, 0.0, -0.8, 0.02011263073209976
'2016-09-22', 12.27, 12.575, 12.27, 12.47, 2157800.0, 12.47, 0.2699999999999996, 0.33999999999999986, 0.6544090633710862, 0.0, 0.0, -0.5, 0.016707416462917693
'2016-09-21', 12.0, 12.15, 11.71, 12.11, 2371700.0, 12.11, -0.25, 0.08999999999999986, 0.6437028299870473, 0.0, 0.0, -0.1, 0.018888888888888882
'2016-09-20', 12.25, 12.3, 11.96, 11.97, 1421100.0, 11.97, 0.3000000000000007, 0.33000000000000007, 0.6127842651011493, 0.0, 0.1, 0.0, 0.008775510204081627
'2016-09-19', 11.95, 12.28, 11.88, 12.19, 1436200.0, 12.19, 0.019999999999999574, -0.6699999999999999, 0.5878349163573809, 0.0, 0.5, 0.0, 0.012217573221757328
'2016-09-16', 11.93, 11.95, 11.54, 11.83, 4598300.0, 11.83, 0.019999999999999574, -0.9100000000000001, 0.548837559453311, 0.0, 0.8, 0.0, 0.010477787091366304
'2016-09-15', 11.91, 12.13, 11.86, 12.01, 999600.0, 12.01, -0.009999999999999787, -1.5899999999999999, 0.5113572354257073, 1.0, 1.0, 0.0, 0.00923593618807724
'2016-09-14', 11.92, 12.11, 11.845, 11.94, 3021300.0, 11.94, -0.6999999999999993, -1.7400000000000002, 0.47156995474926344, 0.0, 0.8, 0.0, 0.007969798657718118
'2016-09-13', 12.62, 12.64, 11.97, 12.0, 3466600.0, 12.0, -0.22000000000000064, -0.9800000000000004, 0.4092493127666803, 0.0, 0.5, 0.0, 0.000528262017960913
'2016-09-12', 12.84, 12.91, 12.55, 12.69, 3044200.0, 12.69, -0.6600000000000001, -1.0500000000000007, 0.4060307870100494, 0.0, 0.1, 0.0, -0.0012461059190031164
'2016-09-09', 13.5, 13.51, 12.905, 12.95, 2167500.0, 12.95, -0.16000000000000014, -0.3699999999999992, 0.42988124975263686, 0.0, 0.0, 0.0, -0.005521885521885524
'2016-09-08', 13.66, 13.715, 13.43, 13.65, 1812500.0, 13.65, 0.0600000000000005, -0.11999999999999922, 0.45858284117727555, 0.0, 0.0, 0.0, -0.005978526110297708
'2016-09-07', 13.6, 13.76, 13.51, 13.69, 1505700.0, 13.69, -0.2900000000000009, -0.22000000000000064, 0.47687128475325735, 0.0, 0.0, 0.0, -0.005203619909502262
'2016-09-06', 13.89, 13.95, 13.6, 13.92, 1205900.0, 13.67, 0.02000000000000135, 0.23000000000000043, 0.48925623825012876, 0.0, 0.0, 0.0, -0.006222359354108818
'2016-09-02', 13.87, 14.15, 13.565, 13.85, 2712100.0, 13.601258, 0.08999999999999986, 0.29999999999999893, 0.48738861975498227, 0.0, 0.0, 0.0, -0.0057197788993030504
'2016-09-01', 13.78, 14.0, 13.431, 13.79, 2563700.0, 13.542335, -0.040000000000000924, 0.06999999999999851, 0.47819057103023516, 0.0, 0.0, 0.0, -0.004989114658925978
'2016-08-31', 13.82, 13.875, 13.7, 13.74, 1544800.0, 13.493232, 0.16000000000000014, 0.45000000000000107, 0.4673149069120548, 0.0, 0.0, 0.0, -0.0048523027155869605
'2016-08-30', 13.66, 13.76, 13.45, 13.75, 1008900.0, 13.503053, 0.08999999999999986, 0.09999999999999964, 0.44749624455283316, 0.0, 0.0, 0.0, -0.003985684073531806
