Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-29', 20.0, 20.280001, 18.629999, 19.01, 23414500.0, 19.01, 0.17999999999999972, 1.4899999999999984, 1.6237305219977718, -1.0, 0.0, -1.0, 0.0
'2016-09-28', 19.82, 20.139999, 19.219999, 20.129999, 18335900.0, 20.129999, 0.8900000000000006, 1.279999, 1.6818515177428266, 0.0, 0.0, -0.8, 0.009081735620585252
'2016-09-27', 18.93, 19.370001, 18.66, 19.23, 16630400.0, 19.23, -0.11999899999999997, 2.030000000000001, 1.8023423859893748, 0.0, 0.0, -0.5, 0.028262017960908617
'2016-09-26', 19.049999, 19.75, 18.959999, 19.549999, 17376900.0, 19.549999, 0.5399989999999981, 2.289998999999998, 1.8634998558269882, 0.0, 0.0, -0.1, 0.01662294050514124
'2016-09-23', 18.51, 19.309999, 18.5, 18.950001, 19508400.0, 18.950001, -0.030000999999998612, 2.069999000000003, 1.9591599664483312, 0.0, 0.0, 0.0, 0.02012425715829279
'2016-09-22', 18.540001, 18.940001, 17.99, 18.200001, 23123400.0, 18.200001, 1.6400010000000016, 2.750001000000001, 2.090065064776815, 0.0, 0.0, 0.0, 0.0157497186758512
'2016-09-21', 16.9, 17.98, 16.860001, 17.9, 23897800.0, 17.9, 0.13999999999999702, 0.619999, 2.2018154377393166, 0.0, 0.1, 0.0, 0.030571992110453666
'2016-09-20', 16.76, 16.950001, 16.5, 16.639999, 12423300.0, 16.639999, 0.3199990000000028, 0.5500010000000017, 2.3300669479367317, 0.0, 0.5, 0.0, 0.027616774633481063
'2016-09-19', 16.440001, 17.23, 16.41, 16.809999, 21796800.0, 16.809999, 0.6500009999999996, -0.5799990000000008, 2.5603720464548134, 0.0, 0.8, 0.0, 0.027068117270795798
'2016-09-16', 15.79, 16.25, 15.72, 15.91, 15740400.0, 15.91, -0.49000099999999946, -0.9800000000000004, 2.672527950894366, 1.0, 1.0, 0.0, 0.029624938427978337
'2016-09-15', 16.280001, 16.459999, 15.84, 16.059999, 14493100.0, 16.059999, 0.07000199999999879, -1.9200000000000017, 2.714776262031446, 0.0, 0.8, 0.0, 0.022850115304046983
'2016-09-14', 16.209999, 16.58, 15.96, 16.280001, 17827700.0, 16.280001, -0.8100009999999997, -2.8600010000000005, 2.7172923938608196, 0.0, 0.5, 0.0, 0.021255124411454034
'2016-09-13', 17.02, 17.02, 16.02, 16.35, 20319200.0, 16.35, 0.25, -2.2700010000000006, 2.7353366775673105, 0.0, 0.1, 0.0, 0.014590677634155896
'2016-09-12', 16.77, 17.549999, 16.5, 17.43, 22914300.0, 17.43, -1.4300010000000007, -2.2899990000000017, 2.8004542351356916, 0.0, 0.0, 0.0, 0.014815834136048808
'2016-09-09', 18.200001, 18.200001, 16.799999, 17.030001, 25154400.0, 17.030001, -0.869999, -1.4899999999999984, 2.759193746127158, 0.0, 0.0, 0.0, 0.007064359894422925
'2016-09-08', 19.07, 19.120001, 18.42, 18.559999, 14762600.0, 18.559999, -0.2200009999999999, -0.46000099999999833, 2.706825309090684, 0.0, 0.0, 0.0, 0.0032511798636601984
'2016-09-07', 19.290001, 19.57, 19.09, 19.16, 10412800.0, 19.16, 0.23000199999999893, 0.08000200000000035, 2.6828523123721433, 0.0, 0.0, 0.0, 0.0023004113633794
'2016-09-06', 19.059999, 19.57, 18.700001, 19.48, 12176200.0, 19.48, -0.6300019999999975, -1.010000999999999, 2.6267309326741524, 0.0, 0.0, 0.0, 0.002901058728837717
'2016-09-02', 19.690001, 19.93, 18.74, 18.9, 13787900.0, 18.9, 0.16000000000000014, -0.10000000000000142, 2.5616542176059354, 0.0, 0.0, 0.0, 0.0008746656065008192
'2016-09-01', 19.530001, 19.58, 18.66, 19.33, 16664800.0, 19.33, 0.3200019999999988, -0.8099990000000012, 2.5335252033481908, 0.0, 0.0, 0.0, 0.0012666046188980883
'2016-08-31', 19.209999, 19.469999, 18.860001, 19.440001, 15406900.0, 19.440001, -0.8600010000000005, -0.6900009999999988, 2.495770963467875, 0.0, 0.0, 0.0, 0.002056223428226103
'2016-08-30', 20.07, 20.190001, 19.32, 19.51, 11683900.0, 19.51, 0.2799990000000001, -0.5599990000000012, 2.451929908541521, 0.0, 0.0, 0.0, -0.0001660853678790905
'2016-08-29', 19.790001, 20.450001, 19.66, 20.24, 8703900.0, 20.24, -0.5499989999999997, -1.3999999999999986, 2.418006713390285, 0.0, 0.0, 0.0, 0.0004823349473761564
'2016-08-26', 20.34, 20.98, 19.620001, 19.790001, 21578400.0, 19.790001, 0.4400000000000013, -0.05999999999999872, 2.365907688327963, 0.0, 0.0, 0.0, -0.0007267752554401262
'2016-08-25', 19.9, 20.25, 19.700001, 20.07, 9277200.0, 20.07, -0.729999000000003, -1.149999000000001, 2.3420686843046443, 0.0, 0.0, 0.0, 0.00020938023450586563
'2016-08-24', 20.629999, 20.629999, 19.85, 19.92, 12159400.0, 19.92, -0.5600019999999972, -1.1200009999999985, 2.2960056190408498, 0.0, 0.0, 0.0, -0.0012215201755463032
'2016-08-23', 21.190001, 21.379999, 20.67, 20.709999, 12788400.0, 20.709999, 0.7900010000000002, -0.3500000000000014, 2.2753306640135698, 0.0, 0.0, 0.0, -0.0021599465347249954
'2016-08-22', 20.4, 21.02, 20.110001, 20.950001, 15288500.0, 20.950001, -0.6499990000000011, -2.220001, 2.2944979674576187, 0.0, 0.0, 0.0, -0.0007262164124909198
'2016-08-19', 21.049999, 21.200001, 20.280001, 20.379999, 18573300.0, 20.379999, -0.7000010000000003, -0.6100010000000005, 2.339659219297745, 0.0, 0.0, 0.0, -0.0017814710720753136
'2016-08-18', 21.75, 21.99, 21.139999, 21.809999, 10926600.0, 21.809999, 0.20999899999999982, -0.7300000000000004, 2.453188111272621, 0.0, 0.0, 0.0, -0.0027744748315497426
'2016-08-17', 21.540001, 21.700001, 20.940001, 21.49, 12398900.0, 21.49, -1.0799999999999983, -1.8299999999999983, 2.5909385700081726, 0.0, 0.0, 0.0, -0.00238316454426658
'2016-08-16', 22.620001, 22.799999, 21.59, 21.610001, 13396100.0, 21.610001, 0.9600009999999983, -0.75, 2.727977793490667, 0.0, 0.0, 0.0, -0.0037363464877973496
'2016-08-15', 21.66, 22.610001, 21.389999, 22.299999, 18820400.0, 22.299999, -0.8200000000000003, -3.0300009999999986, 2.847204473701722, 0.0, 0.0, 0.0, -0.0023949676823638044
'2016-08-12', 22.48, 22.75, 20.99, 21.059999, 21074700.0, 21.059999, -0.890000999999998, -4.130001, 3.025578467878387, 0.0, 0.0, 0.0, -0.0033430389302275426
