Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-30', 10.18, 10.2, 10.02, 10.13, 7677400.0, 10.13, 0.08999999999999986, 0.28999999999999915, 0.13566461914916836, 0.0, 0.0, -0.8, 0.0
'2016-09-29', 10.09, 10.31, 10.03, 10.18, 13273400.0, 10.18, 0.09999999999999964, 0.09999999999999964, 0.12020353109991778, 0.0, 0.0, -0.5, 0.004459861248761143
'2016-09-28', 9.99, 10.09, 9.97, 10.08, 7962200.0, 10.08, 0.07000000000000028, 0.02999999999999936, 0.10869938157853325, 0.0, 0.0, -0.1, 0.006339673006339657
'2016-09-27', 9.92, 10.05, 9.92, 10.03, 10406700.0, 9.952, 0.02999999999999936, 0.03999999999999915, 0.10319560714164798, 0.0, 0.0, 0.0, 0.006552419354838705
'2016-09-26', 9.89, 10.03, 9.85, 9.98, 9877500.0, 9.902388, -0.09999999999999964, -0.03999999999999915, 0.10070860053750245, 0.0, 0.0, 0.0, 0.005864509605662267
'2016-09-23', 9.99, 10.02, 9.92, 9.92, 3986300.0, 9.842855, 0.02999999999999936, 0.13000000000000078, 0.10104399481853885, 0.0, 0.0, 0.0, 0.0031698365031698284
'2016-09-22', 9.96, 10.02, 9.95, 10.01, 5226400.0, 9.932156, 0.08000000000000007, 0.19000000000000128, 0.0972191110613318, 0.0, 0.0, 0.0, 0.0031554790590935006
'2016-09-21', 9.88, 9.97, 9.85, 9.94, 6237800.0, 9.862699, -0.049999999999998934, 0.16000000000000014, 0.09781217829198074, 0.0, 0.0, 0.0, 0.00379554655870444
'2016-09-20', 9.93, 9.93, 9.81, 9.81, 4681900.0, 9.733711, 0.07000000000000028, 0.14000000000000057, 0.10429445495007553, 0.0, 0.0, 0.0, 0.0027973592928275705
'2016-09-19', 9.86, 9.94, 9.83, 9.85, 8572600.0, 9.7734, 0.08999999999999986, 0.049999999999998934, 0.10928098340211498, 0.0, 0.0, 0.0, 0.0032454361054766764
'2016-09-16', 9.77, 9.8, 9.64, 9.8, 24655500.0, 9.723789, 0.049999999999998934, 0.2599999999999998, 0.11025677101908779, 0.0, 0.0, 0.0, 0.003815018144598494
'2016-09-15', 9.72, 9.83, 9.68, 9.81, 9124700.0, 9.733711, -0.06999999999999851, -0.10999999999999943, 0.11329852406609518, 0.0, 0.1, 0.0, 0.003943758573388195
'2016-09-14', 9.79, 9.82, 9.62, 9.73, 8403100.0, 9.654332, -0.02000000000000135, -0.0600000000000005, 0.11217100041157399, 0.0, 0.5, 0.0, 0.0030643513789581256
'2016-09-13', 9.81, 9.9, 9.73, 9.79, 9993500.0, 9.713866, 0.3000000000000007, 0.030000000000001137, 0.12440480519479762, 0.0, 0.8, 0.0, 0.0026940439784476425
'2016-09-12', 9.51, 9.83, 9.46, 9.81, 8066600.0, 9.733711, -0.3200000000000003, -0.35999999999999943, 0.15444848116227405, 1.0, 1.0, 0.0, 0.004696810375043813
'2016-09-09', 9.83, 9.86, 9.59, 9.59, 8307100.0, 9.515422, -0.019999999999999574, -0.07000000000000028, 0.1554134271333507, 0.0, 0.8, 0.0, 0.0022253306205493365
'2016-09-08', 9.85, 9.91, 9.81, 9.9, 8363900.0, 9.823011, 0.07000000000000028, -0.030000000000001137, 0.1567747853876168, 0.0, 0.5, 0.0, 0.0019707375335921177
'2016-09-07', 9.78, 9.88, 9.76, 9.88, 6301200.0, 9.803167, -0.08999999999999986, -0.009999999999999787, 0.15731920840550054, 0.0, 0.1, 0.0, 0.0022722108611679184
'2016-09-06', 9.87, 9.89, 9.67, 9.8, 5700900.0, 9.723789, -0.030000000000001137, 0.17999999999999972, 0.15671488619641571, 0.0, 0.0, 0.0, 0.0016530688423185653
'2016-09-02', 9.9, 9.91, 9.83, 9.89, 6001700.0, 9.813089, 0.019999999999999574, 0.16999999999999993, 0.157416644609139, 0.0, 0.0, 0.0, 0.0014141414141414109
'2016-09-01', 9.88, 9.91, 9.72, 9.87, 7039900.0, 9.793244, 0.09000000000000163, 0.14000000000000057, 0.15795533827284491, 0.0, 0.0, 0.0, 0.0014459224985540723
'2016-08-31', 9.79, 9.86, 9.75, 9.85, 7390500.0, 9.7734, 0.09999999999999964, 0.129999999999999, 0.15814936680942546, 0.0, 0.0, 0.0, 0.0018107530875661648
'2016-08-30', 9.69, 9.82, 9.68, 9.81, 5964500.0, 9.733711, -0.040000000000000924, -0.07000000000000028, 0.16272539923305004, 0.0, 0.0, 0.0, 0.0021985911069233198
'2016-08-29', 9.73, 9.77, 9.67, 9.69, 3854500.0, 9.614644, -0.009999999999999787, -0.049999999999998934, 0.16345709596778657, 0.0, 0.0, 0.0, 0.0019270298047276433
'2016-08-26', 9.74, 9.84, 9.65, 9.73, 5171200.0, 9.654332, 0.08000000000000007, 0.08000000000000007, 0.1661645770513879, 0.0, 0.0, -0.1, 0.001806981519507185
'2016-08-25', 9.66, 9.73, 9.61, 9.72, 6086900.0, 9.644411, -0.09999999999999964, 0.009999999999999787, 0.16694809572638622, 0.0, 0.0, -0.5, 0.0020703933747411992
'2016-08-24', 9.76, 9.79, 9.64, 9.68, 4067800.0, 9.604722, -0.019999999999999574, 0.03999999999999915, 0.16776339158337109, 0.0, 0.1, -0.8, 0.001593806921675774
'2016-08-23', 9.78, 9.82, 9.72, 9.76, 4521600.0, 9.6841, 0.11999999999999922, -0.009999999999999787, 0.16796031277259105, -1.0, 0.5, -1.0, 0.0
'2016-08-22', 9.66, 9.71, 9.59, 9.71, 4510600.0, 9.634488, 0.009999999999999787, -0.16999999999999993, 0.17107503227141768, 0.0, 0.8, -0.8, 0.012422360248447124
'2016-08-19', 9.65, 9.71, 9.61, 9.69, 4065500.0, 9.614644, -0.07000000000000028, -0.129999999999999, 0.17565749501673844, 1.0, 1.0, -0.5, 0.006735751295336736
'2016-08-18', 9.72, 9.76, 9.67, 9.7, 5518300.0, 9.624566, -0.06999999999999851, -0.17999999999999972, 0.18378852581764227, 0.0, 0.8, -0.1, 0.0020576131687242358
'2016-08-17', 9.79, 9.81, 9.64, 9.68, 5626200.0, 9.604722, -0.040000000000000924, -0.13000000000000078, 0.20535173077754484, 0.0, 0.5, 0.0, -0.0002553626149131713
'2016-08-16', 9.83, 9.86, 9.78, 9.79, 4062600.0, 9.713866, 0.05000000000000071, -0.14000000000000057, 0.23781155004190452, 0.0, 0.1, 0.0, -0.0010172939979654265
'2016-08-15', 9.78, 9.88, 9.78, 9.84, 3578200.0, 9.763478, -0.120000000000001, -0.23000000000000043, 0.25328508312439807, 0.0, 0.0, 0.0, 0.0
'2016-08-12', 9.9, 9.95, 9.76, 9.77, 4985400.0, 9.694022, -0.019999999999999574, -0.11999999999999922, 0.2601273192539033, 0.0, 0.0, 0.0, -0.0017316017316017461
'2016-08-11', 9.92, 9.96, 9.86, 9.9, 4448400.0, 9.823011, -0.05000000000000071, 0.019999999999999574, 0.27702165980298343, 0.0, 0.0, -0.1, -0.0017641129032258136
'2016-08-10', 9.97, 10.02, 9.83, 9.87, 3654100.0, 9.793244, -0.03999999999999915, 0.02000000000000135, 0.29384444108329744, 0.0, 0.0, -0.5, -0.002117463501615973
'2016-08-09', 10.01, 10.04, 9.93, 9.94, 3265200.0, 9.862699, -0.009999999999999787, 0.20999999999999908, 0.3133441487495106, 0.0, 0.0, -0.8, -0.002297702297702302
'2016-08-08', 10.02, 10.06, 9.97, 9.99, 4253700.0, 9.912311, 0.11999999999999922, -0.08999999999999986, 0.31413885818571075, -1.0, 0.1, -1.0, 0.0
'2016-08-05', 9.9, 10.02, 9.88, 10.0, 4108900.0, 9.922233, -0.049999999999998934, -0.4299999999999997, 0.3079879146258104, 0.0, 0.5, -0.8, 0.012121212121212041
'2016-08-04', 9.95, 10.0, 9.8, 9.84, 4792100.0, 9.763478, 0.14999999999999858, -0.25, 0.30824593355883134, 0.0, 0.8, -0.5, 0.003517587939698507
'2016-08-03', 9.8, 9.94, 9.77, 9.94, 4935600.0, 9.862699, -0.3099999999999987, -0.17999999999999972, 0.30530785919934783, 1.0, 1.0, -0.1, 0.007482993197278872
'2016-08-02', 10.11, 10.15, 9.74, 9.81, 10893900.0, 9.733711, -0.22000000000000064, 0.16999999999999993, 0.30530785919934783, 0.0, 0.8, 0.0, -0.0022255192878338245
'2016-08-01', 10.33, 10.35, 9.97, 10.14, 14923700.0, 10.061145, 0.13000000000000078, 0.41000000000000014, 0.29784205359366034, 0.0, 0.5, 0.0, -0.0060019361084220815
'2016-07-29', 10.2, 10.32, 10.07, 10.3, 21482400.0, 10.2199, 0.21999999999999886, 0.41000000000000014, 0.2706496300056997, 0.0, 0.1, 0.0, -0.002941176470588231
'2016-07-28', 9.98, 10.04, 9.9, 9.91, 5649400.0, 9.832933, 0.040000000000000924, 0.19000000000000128, 0.25247222069412345, 0.0, 0.0, 0.0, 0.0005725737188662918
'2016-07-27', 9.94, 10.03, 9.88, 10.0, 4363500.0, 9.922233, 0.019999999999999574, 0.11999999999999922, 0.2449038360028051, 0.0, 0.0, 0.0, 0.0010060362173038239
'2016-07-26', 9.92, 10.0, 9.87, 9.95, 4187000.0, 9.872622, 0.13000000000000078, 0.27999999999999936, 0.24023229498873694, 0.0, 0.0, 0.0, 0.0011200716845878097
'2016-07-25', 9.79, 9.9, 9.71, 9.89, 3843000.0, 9.813089, 0.0, 0.11999999999999922, 0.23900464895524987, 0.0, 0.0, 0.0, 0.0023493360572012303
'2016-07-22', 9.79, 9.82, 9.7, 9.79, 2244600.0, 9.713866, -0.030000000000001137, 0.1399999999999988, 0.24926202188772265, 0.0, 0.0, 0.0, 0.0021357600520011183
'2016-07-21', 9.82, 9.89, 9.73, 9.77, 3074500.0, 9.694022, 0.17999999999999972, 0.10999999999999943, 0.26737094498509406, 0.0, 0.0, 0.0, 0.0016972165648336667
