Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-22', 1.04, 1.04, 1.04, 1.04, 0.0, 1.04, 0.030000000000000027, 0.0, 0.06801633790658113, -1.0, 0.0, -1.0, 0.0
'2016-09-21', 1.01, 1.04, 1.01, 1.04, 800.0, 1.04, -0.020000000000000018, -0.020000000000000018, 0.07134345722551501, 0.0, 0.0, -0.8, 0.02970297029702973
'2016-09-20', 1.03, 1.03, 1.01, 1.02, 6800.0, 1.02, -0.010000000000000009, 0.030000000000000027, 0.07826166934642327, 0.0, 0.0, -0.5, 0.004854368932038839
'2016-09-19', 1.04, 1.04, 1.04, 1.04, 0.0, 1.04, 0.0, 0.020000000000000018, 0.07898241717130607, 0.0, 0.0, -0.1, 0.0
'2016-09-16', 1.04, 1.04, 1.04, 1.04, 0.0, 1.04, 0.010000000000000009, 0.10000000000000009, 0.08419619943916708, 0.0, 0.0, 0.0, 0.0
'2016-09-15', 1.03, 1.07, 0.97, 1.04, 7500.0, 1.04, 0.030000000000000027, 0.09999999999999998, 0.0854692927313664, 0.0, 0.0, 0.0, 0.0019417475728155356
'2016-09-14', 1.0, 1.0, 0.98, 1.0, 1400.0, 1.0, -0.020000000000000018, -0.020000000000000018, 0.09187491496594703, 0.0, 0.1, 0.0, 0.006666666666666672
'2016-09-13', 1.02, 1.02, 0.97, 0.98, 16600.0, 0.98, 0.08000000000000007, 0.020000000000000018, 0.09213576938409967, 0.0, 0.5, 0.0, 0.002801120448179274
'2016-09-12', 0.94, 1.0, 0.94, 0.99, 7300.0, 0.99, 0.009999999999999898, -0.020000000000000018, 0.09261689310751514, 0.0, 0.8, 0.0, 0.013297872340425544
'2016-09-09', 0.93, 0.96, 0.92, 0.94, 13600.0, 0.94, -0.08999999999999997, -0.06999999999999995, 0.0887349361237663, 1.0, 1.0, 0.0, 0.01314217443249701
'2016-09-08', 1.02, 1.04, 0.94, 0.95, 34600.0, 0.95, 0.020000000000000018, 0.050000000000000044, 0.08334399931742069, 0.0, 0.8, 0.0, 0.001960784313725492
'2016-09-07', 1.0, 1.14, 0.93, 1.01, 417300.0, 1.01, 0.040000000000000036, -0.040000000000000036, 0.08182637444953524, 0.0, 0.5, 0.0, 0.0036363636363636394
'2016-09-06', 0.96, 0.96, 0.91, 0.91, 600.0, 0.91, -0.040000000000000036, -0.08000000000000007, 0.07910681948409307, 0.0, 0.1, 0.0, 0.006944444444444451
'2016-09-02', 1.0, 1.0, 1.0, 1.0, 900.0, 1.0, 0.030000000000000027, -0.030000000000000027, 0.07372923436466701, 0.0, 0.0, 0.0, 0.0030769230769230795
'2016-09-01', 0.97, 1.06, 0.97, 0.97, 600.0, 0.97, -0.07000000000000006, -0.10000000000000009, 0.07042411203242502, 0.0, 0.0, 0.0, 0.005154639175257736
'2016-08-31', 1.04, 1.04, 0.96, 0.97, 8100.0, 0.97, 0.0, -0.050000000000000044, 0.06453595036015883, 0.0, 0.0, 0.0, 0.0
'2016-08-30', 1.04, 1.04, 0.99, 1.04, 1600.0, 1.04, 0.010000000000000009, -0.050000000000000044, 0.06277738446287799, 0.0, 0.0, 0.0, 0.0
'2016-08-29', 1.03, 1.09, 1.01, 1.06, 7100.0, 1.06, -0.040000000000000036, -0.07000000000000006, 0.06092253733681445, 0.0, 0.0, 0.0, 0.0005711022272986869
'2016-08-26', 1.07, 1.07, 1.07, 1.07, 0.0, 1.07, -0.020000000000000018, 0.010000000000000009, 0.058385690788830144, 0.0, 0.0, 0.0, -0.0015576323987538953
'2016-08-25', 1.09, 1.09, 1.07, 1.07, 2600.0, 1.07, 0.0, 0.030000000000000027, 0.05773117778885933, 0.0, 0.0, 0.0, -0.0024142926122646085
'2016-08-24', 1.09, 1.1, 1.08, 1.09, 3600.0, 1.09, -0.010000000000000009, -0.020000000000000018, 0.05729456053297435, 0.0, 0.0, 0.0, -0.002293577981651378
'2016-08-23', 1.1, 1.11, 1.04, 1.04, 12000.0, 1.04, 0.040000000000000036, -0.010000000000000009, 0.059356736957334656, 0.0, 0.0, 0.0, -0.0025974025974025996
