Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-28', 41.759998, 41.759998, 40.380001, 41.709999, 1950100.0, 41.709999, 2.149997000000006, 3.0599970000000027, 1.0733580141993437, -1.0, 0.0, -1.0, 0.0
'2016-09-27', 39.610001, 41.77, 39.389999, 41.669998, 4219900.0, 41.669998, 0.4099999999999966, 2.130001, 0.8572401700296759, 0.0, 0.0, -0.8, 0.054279145309792
'2016-09-26', 39.200001, 40.700001, 38.049999, 39.439999, 4334500.0, 39.439999, 0.20999900000000338, 1.619999, 0.8132875390531678, 0.0, 0.0, -0.5, 0.03265302212619845
'2016-09-23', 38.990002, 41.470001, 38.900002, 39.380001, 6651600.0, 39.380001, 0.2900009999999966, 0.8000029999999967, 0.8093112872898762, 0.0, 0.0, -0.1, 0.02368125038824061
'2016-09-22', 38.700001, 38.950001, 38.23, 38.459999, 1074500.0, 38.459999, 1.2200010000000034, 0.5300030000000007, 0.8034645305047123, 0.0, 0.0, 0.0, 0.019767421969834074
'2016-09-21', 37.48, 38.57, 37.400002, 38.52, 1231500.0, 38.52, -0.10000200000000348, 0.1599999999999966, 0.8433570487056574, 0.0, 0.0, 0.0, 0.02283883671291359
'2016-09-20', 37.580002, 37.779999, 37.099998, 37.220001, 936700.0, 37.220001, -0.6099969999999999, 0.3000030000000038, 1.3544783285175805, 0.0, 0.0, 0.0, 0.018538210828195286
'2016-09-19', 38.189999, 38.380001, 37.040001, 37.290001, 1295500.0, 37.290001, 0.0200010000000006, 0.6099969999999999, 1.6415250024701926, 0.0, 0.0, 0.0, 0.013354277834436643
'2016-09-16', 38.169998, 38.259998, 37.560001, 37.950001, 1212000.0, 37.950001, 0.8499979999999994, 1.6499979999999965, 1.9017395461118856, 0.0, 0.0, 0.0, 0.011756615758795701
'2016-09-15', 37.32, 38.310001, 36.650002, 38.139999, 1453700.0, 38.139999, 0.04000100000000373, -0.6799999999999997, 2.1416391994609967, 0.0, 0.1, 0.0, 0.013219000833631067
'2016-09-14', 37.279999, 37.610001, 37.049999, 37.18, 940900.0, 37.18, -0.3000030000000038, -1.639999000000003, 2.3679435931488326, 0.0, 0.5, 0.0, 0.012017165021919681
'2016-09-13', 37.580002, 38.0, 36.349998, 36.900002, 1945000.0, 36.900002, 1.0600019999999972, -2.259998000000003, 2.5184442434701415, 0.0, 0.8, 0.0, 0.010111751360833792
'2016-09-12', 36.52, 38.0, 36.040001, 37.93, 1892200.0, 37.93, -1.4799999999999969, -2.5600019999999972, 2.6432720521944715, 1.0, 1.0, 0.0, 0.011956914019715223
'2016-09-09', 38.0, 38.349998, 37.09, 37.389999, 2385600.0, 37.389999, -0.9199979999999996, -1.0200000000000031, 2.7842899614087067, 0.0, 0.8, 0.0, 0.007611331983805674
'2016-09-08', 38.919998, 38.939999, 38.18, 38.240002, 1354300.0, 38.240002, -0.9200020000000038, 0.48999799999999993, 2.9478390796651923, 0.0, 0.5, 0.0, 0.0052121570730076375
'2016-09-07', 39.84, 39.880001, 38.790001, 39.049999, 1578000.0, 39.049999, 0.7599980000000031, 1.6100000000000065, 3.046211312817044, 0.0, 0.1, 0.0, 0.003212848058902275
'2016-09-06', 39.080002, 39.959999, 39.0, 39.84, 1699800.0, 39.84, 0.060001999999997224, 0.40000200000000063, 3.0945498901744957, 0.0, 0.0, 0.0, 0.004286073219750607
'2016-09-02', 39.02, 39.34, 38.669998, 38.779999, 872300.0, 38.779999, 0.5900000000000034, 0.8699980000000025, 3.192207735805182, 0.0, 0.0, 0.0, 0.004130608737600626
'2016-09-01', 38.43, 39.240002, 38.209999, 38.889999, 1671900.0, 38.889999, 0.20000000000000284, 1.0200000000000031, 3.2797578644638117, 0.0, 0.0, 0.0, 0.004813944545638539
