Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-23', 21.84, 22.049999, 21.469999, 21.57, 1658900.0, 21.57, 0.07000000000000028, 0.9500010000000003, 0.929234076837431, -1.0, 0.0, -1.0, 0.0
'2016-09-22', 21.77, 22.1, 21.690001, 22.07, 1839100.0, 22.07, 0.9299999999999997, 1.3100009999999997, 0.9357447877257519, 0.0, 0.0, -0.8, 0.003215434083601299
'2016-09-21', 20.84, 21.559999, 20.700001, 21.540001, 1962900.0, 21.540001, 0.12000099999999847, 0.38000100000000003, 0.938751184642162, 0.0, 0.0, -0.5, 0.02399232245681382
'2016-09-20', 20.719999, 20.870001, 20.559999, 20.700001, 1270900.0, 20.700001, -0.16999999999999815, 0.3499980000000029, 0.9143141402532624, 0.0, 0.0, -0.1, 0.01801803497513036
'2016-09-19', 20.889999, 21.0, 20.690001, 20.77, 1198400.0, 20.77, 0.4299999999999997, 0.33999999999999986, 0.8818162629232668, 0.0, 0.1, 0.0, 0.01136908862465719
'2016-09-16', 20.459999, 20.719999, 20.309999, 20.639999, 1255800.0, 20.639999, 0.0, 0.02999900000000011, 0.8599284138166905, 0.0, 0.5, 0.0, 0.013489746504875196
'2016-09-15', 20.459999, 20.620001, 20.129999, 20.5, 1619400.0, 20.5, 0.08999800000000135, -1.1799999999999997, 0.8286091786175732, 0.0, 0.8, 0.0, 0.011241455420729329
'2016-09-14', 20.370001, 20.43, 20.15, 20.32, 915500.0, 20.32, -0.1799980000000012, -2.019998000000001, 0.7978803542723051, 1.0, 1.0, 0.0, 0.010309270831300272
'2016-09-13', 20.549999, 20.58, 19.98, 20.379999, 2771200.0, 20.379999, 0.11999899999999997, -1.600000999999999, 0.7493810052305607, 0.0, 0.8, 0.0, 0.007846721793027825
'2016-09-12', 20.43, 21.030001, 20.43, 20.83, 2673300.0, 20.83, -1.2099989999999998, -2.219999999999999, 0.6968115491136085, 0.0, 0.5, 0.0, 0.0076684614129548054
'2016-09-09', 21.639999, 21.700001, 20.17, 20.309999, 4440700.0, 20.309999, -0.75, -0.6800010000000007, 0.6154808366366866, 0.0, 0.1, -0.1, 0.000924219081525837
'2016-09-08', 22.389999, 22.440001, 21.84, 21.85, 2563800.0, 21.85, 0.23999900000000096, 0.34999799999999937, 0.6057419350408079, 0.0, 0.0, -0.5, -0.0022331358340350557
'2016-09-07', 22.15, 22.209999, 21.870001, 22.01, 2167400.0, 22.01, -0.5, 0.14999999999999858, 0.6363416985657986, 0.0, 0.0, -0.8, -0.0011662904439428095
'2016-09-06', 22.65, 22.84, 21.99, 22.059999, 2561200.0, 22.059999, 0.3299999999999983, 0.389999999999997, 0.6794004660975776, -1.0, 0.1, -1.0, 0.0
'2016-09-02', 22.32, 22.65, 22.219999, 22.389999, 1836600.0, 22.389999, 0.2799990000000001, 0.14000000000000057, 0.6953078520420889, 0.0, 0.5, -0.8, 0.014784946236559062
'2016-09-01', 22.040001, 22.42, 22.0, 22.190001, 1865600.0, 22.190001, 0.040001000000000175, -0.13999899999999954, 0.7072027191691731, 0.0, 0.8, -0.5, 0.01383845218518816
'2016-08-31', 22.0, 22.190001, 21.709999, 22.040001, 1649900.0, 22.040001, -0.26000000000000156, -0.41000000000000014, 0.7184321100224852, 1.0, 1.0, -0.1, 0.009848484848484827
'2016-08-30', 22.26, 22.389999, 21.93, 22.110001, 1220800.0, 22.110001, 0.08000000000000185, -0.030000999999998612, 0.7443384347938511, 0.0, 0.8, 0.0, 0.004380053908355761
'2016-08-29', 22.18, 22.41, 22.049999, 22.219999, 828900.0, 22.219999, 0.0, -0.07000000000000028, 0.7516104973841504, 0.0, 0.5, 0.0, 0.00423805229936879
'2016-08-26', 22.18, 22.719999, 22.0, 22.139999, 2211400.0, 22.139999, -0.23000000000000043, -0.16000000000000014, 0.7566961171950403, 0.0, 0.1, 0.0, 0.0035317102494739927
'2016-08-25', 22.41, 22.530001, 22.0, 22.139999, 1492300.0, 22.139999, 0.11999899999999997, -0.3200000000000003, 0.7560695252424027, 0.0, 0.0, 0.0, 0.0015299292407726043
'2016-08-24', 22.290001, 22.5, 22.219999, 22.370001, 1500800.0, 22.370001, 0.040001000000000175, -0.5, 0.7542421013619964, 0.0, 0.0, 0.0, 0.0020188368318152967
'2016-08-23', 22.25, 22.57, 22.139999, 22.440001, 2579300.0, 22.440001, -0.08999999999999986, -1.0700000000000003, 0.7655018370253478, 0.0, 0.0, 0.0, 0.0019975031210986197
'2016-08-22', 22.34, 22.57, 22.030001, 22.129999, 1390400.0, 22.129999, -0.39000000000000057, -0.9800000000000004, 0.7660564520105588, 0.0, 0.0, 0.0, 0.0013876454789614984
'2016-08-19', 22.73, 22.82, 22.450001, 22.48, 1654700.0, 22.48, -0.06000099999999975, -0.75, 0.7654147427958576, 0.0, 0.0, 0.0, -0.0003199616046074545
'2016-08-18', 22.790001, 23.129999, 22.68, 22.77, 1935100.0, 22.77, -0.5299990000000001, -0.43999900000000025, 0.7539571640059637, 0.0, 0.0, 0.0, -0.0005119240670502881
'2016-08-17', 23.32, 23.32, 22.49, 22.870001, 1660900.0, 22.870001, 0.0, 0.75, 0.7421085634867448, 0.0, 0.0, 0.0, -0.002210054096846555
'2016-08-16', 23.32, 23.540001, 23.049999, 23.35, 2504300.0, 23.35, -0.16000000000000014, 0.8799990000000015, 0.7041307487489182, 0.0, 0.0, 0.0, -0.002052193089928944
'2016-08-15', 23.48, 23.870001, 23.299999, 23.41, 1829800.0, 23.41, 0.25, 1.5500000000000007, 0.6535694507687432, 0.0, 0.0, 0.0, -0.002356615559341289
'2016-08-12', 23.23, 23.389999, 22.92, 23.209999, 1539100.0, 23.209999, 0.6600000000000001, 1.279999, 0.5778636331257707, 0.0, 0.0, 0.0, -0.0015604821351700437
'2016-08-11', 22.57, 23.540001, 22.4, 23.24, 4259300.0, 23.24, 0.12999900000000153, 1.010000999999999, 0.51727978507273, 0.0, 0.0, 0.0, 0.00020850165498188198
'2016-08-10', 22.440001, 22.719999, 22.299999, 22.360001, 1188900.0, 22.360001, 0.510000999999999, 1.390001999999999, 0.5009020286114959, 0.0, 0.0, 0.0, 0.0005199024327633097
'2016-08-09', 21.93, 22.41, 21.790001, 22.389999, 1998800.0, 22.389999, -0.0200010000000006, 0.9299999999999997, 0.5261732562573334, 0.0, 0.0, 0.0, 0.0017279861761105883
'2016-08-08', 21.950001, 22.15, 21.85, 21.889999, 1127800.0, 21.889999, 0.39000199999999907, 0.75, 0.5302725481615832, 0.0, 0.0, 0.0, 0.0015945306790646576
'2016-08-05', 21.559999, 22.0, 21.41, 21.77, 2298000.0, 21.77, 0.5100000000000016, -0.02000099999999705, 0.5345134509900714, 0.0, 0.0, 0.0, 0.002407458809428024
'2016-08-04', 21.049999, 21.5, 21.01, 21.459999, 1244600.0, 21.459999, 0.04999899999999968, -1.1900009999999988, 0.5524593064755899, 0.0, 0.0, 0.0, 0.0034549796502041704
'2016-08-03', 21.0, 21.469999, 21.0, 21.049999, 1669400.0, 21.049999, -0.20000100000000032, -1.4400009999999988, 0.5443019165053893, 0.0, 0.0, 0.0, 0.0034161490683229786
'2016-08-02', 21.200001, 21.870001, 20.93, 21.139999, 2293400.0, 21.139999, -0.379998999999998, 0.0200010000000006, 0.533633777666852, 0.0, 0.0, -0.1, 0.0028498406674603424
'2016-08-01', 21.58, 22.08, 21.18, 21.26, 2663300.0, 21.26, -0.6600000000000001, 0.6699999999999982, 0.5422673358740275, 0.0, 0.0, -0.5, 0.0019833178869323453
'2016-07-29', 22.24, 22.280001, 21.59, 21.65, 1947900.0, 21.65, -0.20000100000000032, 1.009999999999998, 0.5465061563547964, 0.0, 0.1, -0.8, 0.000709048146098506
'2016-07-28', 22.440001, 23.17, 22.08, 22.33, 4339200.0, 22.33, 1.260000999999999, 1.0400010000000002, 0.5465061717251628, -1.0, 0.5, -1.0, 0.0
'2016-07-27', 21.18, 21.860001, 21.139999, 21.709999, 2947200.0, 21.709999, 0.2699999999999996, -0.23000000000000043, 0.5261047181358319, 0.0, 0.8, -0.8, 0.05949013220018881
'2016-07-26', 20.91, 21.42, 20.83, 21.129999, 1766200.0, 21.129999, -0.3200000000000003, -0.10000000000000142, 0.5261047181358319, 1.0, 1.0, -0.5, 0.03658538976566233
'2016-07-25', 21.23, 21.33, 20.950001, 21.02, 1656500.0, 21.02, -0.16999999999999815, -0.21000099999999833, 0.5125486988682082, 0.0, 0.8, -0.1, 0.018998288585335192
'2016-07-22', 21.4, 21.51, 21.200001, 21.23, 1443300.0, 21.23, -0.010000000000001563, -0.120000000000001, 0.5346347056951274, 0.0, 0.5, 0.0, 0.012149544392523368
'2016-07-21', 21.41, 21.700001, 21.23, 21.26, 1638000.0, 21.26, 0.3999999999999986, -0.5799999999999983, 0.5660840450364474, 0.0, 0.1, 0.0, 0.009621681457262948
'2016-07-20', 21.01, 21.459999, 20.950001, 21.389999, 2928800.0, 21.389999, -0.4300009999999972, -1.2800009999999986, 0.5678473254907949, 0.0, 0.0, 0.0, 0.011343812470252238
'2016-07-19', 21.440001, 21.6, 21.040001, 21.049999, 2252100.0, 21.049999, -0.07999900000000082, -1.3399999999999999, 0.5542602891946706, 0.0, 0.0, 0.0, 0.006663112695617078
'2016-07-18', 21.52, 21.709999, 21.33, 21.5, 2018700.0, 21.5, -0.46999999999999886, -0.7799990000000001, 0.5545817612703197, 0.0, 0.0, 0.0, 0.005343871979553899
'2016-07-15', 21.99, 22.139999, 21.35, 21.43, 2279900.0, 21.43, -0.30000100000000174, -0.30000100000000174, 0.5873517581297939, 0.0, 0.0, 0.0, 0.002273765853165582
'2016-07-14', 22.290001, 22.49, 21.76, 21.969999, 2287600.0, 21.969999, -0.48999999999999844, 0.31000099999999975, 0.6460270934294088, 0.0, 0.0, 0.0, 0.0006729474799036508
'2016-07-13', 22.780001, 22.809999, 21.83, 22.0, 3238400.0, 22.0, 0.48000199999999893, 1.1699999999999982, 0.6639952666668482, 0.0, 0.0, 0.0, -0.0013568520435574562
'2016-07-12', 22.299999, 23.17, 22.280001, 22.77, 3648100.0, 22.77, 0.009997999999999507, 0.9299980000000012, 0.6746066862504148, 0.0, 0.0, 0.0, 0.0005231764061215096
'2016-07-11', 22.290001, 22.389999, 21.870001, 22.07, 1357700.0, 22.07, 0.31000099999999975, 0.6900009999999988, 0.711448922536404, 0.0, 0.0, 0.0, 0.000517651907618193
'2016-07-08', 21.98, 22.27, 21.98, 22.08, 2039200.0, 22.08, 0.36999899999999997, 0.1000009999999989, 0.7338926181672849, 0.0, 0.0, 0.0, 0.001494868711815931
'2016-07-07', 21.610001, 22.059999, 21.530001, 21.68, 1952600.0, 21.68, 0.240000000000002, 0.3200000000000003, 0.7765295595721748, 0.0, 0.0, -0.1, 0.002560542840018065
'2016-07-06', 21.370001, 21.57, 20.860001, 21.559999, 1777900.0, 21.559999, -0.22999900000000295, 0.20000099999999676, 0.8512945227909056, 0.0, 0.0, -0.5, 0.003129386844670715
'2016-07-05', 21.6, 21.690001, 21.16, 21.65, 1960400.0, 21.65, -0.2799990000000001, 1.1599990000000027, 0.9188379064886594, 0.0, 0.0, -0.8, 0.0022875844226579447
'2016-07-01', 21.879999, 22.18, 21.5, 21.73, 1811200.0, 21.73, 0.5899980000000014, 0.7899990000000017, 0.980704108564885, -1.0, 0.1, -1.0, 0.0
'2016-06-30', 21.290001, 22.0, 21.290001, 21.85, 2360000.0, 21.85, 0.12000099999999847, 0.2700010000000006, 1.0347863736381324, 0.0, 0.5, -0.8, 0.027712445856625433
'2016-06-29', 21.17, 21.77, 20.889999, 21.469999, 3303800.0, 21.469999, 0.729999000000003, -1.1499999999999986, 1.0571967740105088, 0.0, 0.8, -0.5, 0.016768989135569196
'2016-06-28', 20.440001, 20.969999, 20.43, 20.93, 3757400.0, 20.93, -0.6499990000000011, -1.0499989999999997, 1.0771423277462975, 1.0, 1.0, -0.1, 0.02348333218444237
'2016-06-27', 21.09, 21.120001, 19.540001, 19.9, 3522700.0, 19.9, 0.07000000000000028, -0.5899999999999999, 1.0883764412495869, 0.0, 0.8, -0.5, 0.009364615931721216
'2016-06-24', 21.02, 21.969999, 20.969999, 21.389999, 3844800.0, 21.389999, -1.3000000000000007, -1.279999, 1.1137514760685692, 0.0, 0.5, -0.8, 0.00818267364414845
'2016-06-23', 22.32, 22.59, 21.99, 22.08, 1851000.0, 22.08, 0.8300000000000018, 1.0599999999999987, 1.1231815199494908, -1.0, 0.1, -1.0, 0.0
'2016-06-22', 21.49, 22.0, 21.309999, 21.799999, 1531600.0, 21.799999, -0.19000000000000128, 0.509999999999998, 1.0895791627965996, 0.0, 0.0, -0.8, 0.03862261516984653
'2016-06-21', 21.68, 21.76, 21.379999, 21.540001, 2465000.0, 21.540001, -0.619999, 0.4299999999999997, 1.1047220129971786, 0.0, 0.1, -0.5, 0.014760147601476028
'2016-06-20', 22.299999, 22.540001, 21.780001, 21.809999, 2941400.0, 21.809999, 1.0399989999999981, 1.119999, 1.101159050929966, 0.0, 0.5, -0.1, 0.00029896862327214455
'2016-06-17', 21.26, 21.799999, 20.959999, 21.43, 3269400.0, 21.43, 0.28000000000000114, -0.2899989999999981, 1.0568049159090083, 0.0, 0.8, 0.0, 0.012464722483537144
'2016-06-16', 20.98, 21.139999, 20.51, 21.09, 2251800.0, 21.09, -0.2699999999999996, -1.5199999999999996, 1.0431027291906712, 1.0, 1.0, 0.0, 0.01277407054337464
'2016-06-15', 21.25, 21.65, 21.129999, 21.18, 1947600.0, 21.18, 0.07000000000000028, -1.4299999999999997, 1.03625398098715, 0.0, 0.8, 0.0, 0.0083921568627451
'2016-06-14', 21.18, 21.379999, 20.700001, 21.110001, 2474900.0, 21.110001, -0.36999899999999997, -0.8399999999999999, 1.019449183998978, 0.0, 0.5, -0.1, 0.0076891946580331895
'2016-06-13', 21.549999, 21.860001, 21.34, 21.48, 2042900.0, 21.48, -0.9500010000000003, -0.11000100000000046, 1.0042762267427359, 0.0, 0.1, -0.5, 0.004466363316304566
'2016-06-10', 22.5, 22.67, 21.440001, 21.84, 3648300.0, 21.84, -0.17999999999999972, 1.0799999999999983, 0.9724231654312193, 0.0, 0.0, -0.8, -0.0008888888888888875
'2016-06-09', 22.68, 23.08, 22.629999, 23.08, 3709400.0, 23.08, 0.6600000000000001, 2.0699989999999993, 0.8717343063626185, -1.0, 0.0, -1.0, 0.0
'2016-06-08', 22.02, 23.200001, 22.02, 23.08, 6655600.0, 23.08, 0.35999999999999943, 1.899999000000001, 0.7897300391066002, 0.0, 0.0, -0.8, 0.029972752043596736
'2016-06-07', 21.66, 21.99, 21.440001, 21.93, 3454200.0, 21.93, 0.23999999999999844, 1.1900009999999988, 0.7634393838417337, 0.0, 0.0, -0.5, 0.023545706371191126
'2016-06-06', 21.42, 21.83, 21.290001, 21.459999, 2204100.0, 21.459999, 0.8099990000000012, 1.3600010000000005, 0.7216183016284234, 0.0, 0.0, -0.1, 0.01960784313725487
'2016-06-03', 20.610001, 21.059999, 20.58, 20.889999, 2331800.0, 20.889999, 0.490000000000002, 0.7200020000000009, 0.673863185620033, 0.0, 0.0, 0.0, 0.025109156957343174
'2016-06-02', 20.120001, 20.68, 20.110001, 20.629999, 1407600.0, 20.629999, -0.3499980000000029, 0.16000199999999865, 0.7031013247356601, 0.0, 0.0, 0.0, 0.025447304898245298
'2016-06-01', 20.469999, 20.620001, 19.959999, 20.559999, 1600500.0, 20.559999, 0.41000000000000014, 0.7799980000000026, 0.7684015491051684, 0.0, 0.0, 0.0, 0.017993821103752847
'2016-05-31', 20.059999, 20.83, 19.99, 20.6, 3364200.0, 20.6, 0.1700000000000017, 0.8399999999999999, 0.8142879361888923, 0.0, 0.0, 0.0, 0.01865831883355811
'2016-05-27', 19.889999, 19.950001, 19.73, 19.91, 1268200.0, 19.91, -0.07000000000000028, 0.6999980000000008, 0.9669880903095854, 0.0, 0.0, 0.0, 0.017533943817694513
'2016-05-26', 19.959999, 20.370001, 19.77, 19.85, 1356000.0, 19.85, 0.26999800000000107, 0.8999999999999986, 1.0457776895478865, 0.0, 0.0, 0.0, 0.015141400224185047
'2016-05-25', 19.690001, 19.85, 19.549999, 19.77, 1505300.0, 19.77, 0.47000199999999737, 0.8000019999999992, 1.1012244718193802, 0.0, 0.0, 0.0, 0.015185367435989472
'2016-05-24', 19.219999, 19.51, 19.129999, 19.48, 1215800.0, 19.48, 0.029998000000002634, -0.37000099999999847, 1.154201380147263, 0.0, 0.1, 0.0, 0.016365533913635755
'2016-05-23', 19.190001, 19.4, 19.040001, 19.16, 1511400.0, 19.16, 0.1300019999999975, -0.4200000000000017, 1.2568862446893843, 0.0, 0.5, 0.0, 0.01515545778241492
'2016-05-20', 19.059999, 19.25, 18.99, 19.219999, 1519400.0, 19.219999, 0.1700000000000017, -0.7900010000000002, 1.384561441708931, 0.0, 0.8, 0.0, 0.014609739244194885
