Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-10-11', 4.49, 4.49, 4.49, 4.49, 0.0, 4.49, 0.14000000000000057, 0.08999999999999986, 0.23568811783560262, 0.0, 0.0, -0.8, 0.0
'2016-10-10', 4.35, 4.55, 4.35, 4.49, 3900.0, 4.49, -0.09000000000000075, 0.16999999999999993, 0.22088433373349253, 0.0, 0.0, -0.5, 0.01609195402298857
'2016-10-07', 4.44, 4.44, 4.44, 4.44, 0.0, 4.44, 0.0, 0.41000000000000014, 0.22579636843846723, 0.0, 0.0, -0.1, 0.0037537537537537403
'2016-10-06', 4.44, 4.44, 4.44, 4.44, 0.0, 4.44, 0.040000000000000036, 0.34000000000000075, 0.21839312158480534, 0.0, 0.0, 0.0, 0.002815315315315305
'2016-10-05', 4.4, 4.51, 4.4, 4.44, 24000.0, 4.44, 0.22000000000000064, 0.4400000000000004, 0.20318136397481604, 0.0, 0.0, 0.0, 0.004090909090909084
'2016-10-04', 4.18, 4.46, 4.17, 4.3, 12900.0, 4.3, 0.14999999999999947, 0.3899999999999997, 0.1937593008520279, 0.0, 0.0, 0.0, 0.012360446570972907
'2016-10-03', 4.03, 4.1, 4.02, 4.1, 5100.0, 4.1, -0.0699999999999994, 0.3700000000000001, 0.2007732275202271, 0.0, 0.0, 0.0, 0.016306274370790498
'2016-09-30', 4.1, 4.12, 4.03, 4.05, 12400.0, 4.05, 0.13999999999999968, 0.37999999999999945, 0.20216165149041826, 0.0, 0.1, 0.0, 0.011890243902439042
'2016-09-29', 3.96, 4.12, 3.77, 3.77, 15800.0, 3.77, 0.16999999999999993, 0.10999999999999988, 0.21663615169731534, 0.0, 0.5, 0.0, 0.014870931537598211
'2016-09-28', 3.79, 3.98, 3.79, 3.98, 5200.0, 3.98, 0.1299999999999999, 0.010000000000000231, 0.23062355088373396, 0.0, 0.8, 0.0, 0.018469656992084436
'2016-09-27', 3.66, 3.66, 3.66, 3.66, 0.0, 3.66, -0.06000000000000005, -0.1299999999999999, 0.24620429637915656, 1.0, 1.0, 0.0, 0.02061599602583209
'2016-09-26', 3.72, 3.73, 3.65, 3.66, 9900.0, 3.66, -0.1299999999999999, -0.13999999999999968, 0.2590701320749525, 0.0, 0.8, 0.0, 0.01724910394265233
'2016-09-23', 3.85, 3.85, 3.85, 3.85, 0.0, 3.85, 0.07000000000000028, -0.009999999999999787, 0.26998683095456505, 0.0, 0.5, -0.1, 0.012787212787212789
'2016-09-22', 3.78, 3.85, 3.78, 3.85, 2100.0, 3.85, -0.010000000000000231, -0.08000000000000007, 0.2753777203930792, 0.0, 0.1, -0.5, 0.013416477702191997
'2016-09-21', 3.79, 3.85, 3.79, 3.85, 3300.0, 3.85, -0.06999999999999984, 0.0, 0.28263855992336845, 0.0, 0.0, -0.8, 0.012313104661389625
'2016-09-20', 3.86, 3.86, 3.86, 3.86, 0.0, 3.86, 0.0, 0.1599999999999997, 0.28564955219055865, -1.0, 0.0, -1.0, 0.0
'2016-09-19', 3.86, 3.86, 3.86, 3.86, 0.0, 3.86, 0.0, -0.18999999999999995, 0.2829057558033535, 0.0, 0.1, -0.8, 0.0
'2016-09-16', 3.86, 3.86, 3.86, 3.86, 200.0, 3.86, 0.06999999999999984, -0.14000000000000012, 0.2815828277592384, 0.0, 0.5, -0.5, 0.0
'2016-09-15', 3.79, 3.82, 3.77, 3.77, 3600.0, 3.77, 0.08999999999999986, -0.20000000000000018, 0.30318018111714073, 0.0, 0.8, -0.1, 0.006156552330694796
'2016-09-14', 3.7, 3.83, 3.7, 3.72, 8800.0, 3.72, -0.34999999999999964, -0.21999999999999975, 0.3242934199490058, 1.0, 1.0, 0.0, 0.01081081081081079
'2016-09-13', 4.05, 4.05, 3.67, 3.97, 17800.0, 3.97, 0.04999999999999982, 0.23999999999999977, 0.3447480561543781, 0.0, 0.8, 0.0, -0.009382716049382714
'2016-09-12', 4.0, 4.01, 3.99, 3.99, 1000.0, 3.99, 0.009999999999999787, 0.0, 0.3376633760945294, 0.0, 0.5, 0.0, -0.005833333333333339
'2016-09-09', 3.99, 4.14, 3.85, 3.85, 16300.0, 3.85, 0.07000000000000028, 0.08000000000000007, 0.3309219444723081, 0.0, 0.1, -0.1, -0.0046544933762979
'2016-09-08', 3.92, 3.94, 3.88, 3.88, 600.0, 3.88, 0.10999999999999988, -0.03000000000000025, 0.3281471553366806, 0.0, 0.0, -0.5, -0.0019132653061224507
'2016-09-07', 3.81, 3.81, 3.81, 3.81, 0.0, 3.81, -0.18999999999999995, 0.14000000000000012, 0.3259952283222699, 0.0, 0.0, -0.8, 0.001458151064450272
'2016-09-06', 4.0, 4.0, 3.67, 3.81, 6200.0, 3.81, 0.08999999999999986, 0.1499999999999999, 0.33904129541989425, -1.0, 0.0, -1.0, 0.0
'2016-09-02', 3.91, 4.1, 3.91, 4.02, 203700.0, 4.02, -0.040000000000000036, 0.22999999999999998, 0.34470277051396037, 0.0, 0.0, -0.8, 0.023017902813299195
'2016-09-01', 3.95, 4.06, 3.8, 3.8, 5700.0, 3.8, 0.28000000000000025, 0.5100000000000002, 0.3378257275907539, 0.0, 0.0, -0.5, 0.00632911392405061
'2016-08-31', 3.67, 3.94, 3.67, 3.92, 24300.0, 3.92, -0.18000000000000016, 0.20999999999999996, 0.3372970995032915, 0.0, 0.0, -0.1, 0.029972752043596736
'2016-08-30', 3.85, 3.85, 3.72, 3.75, 119500.0, 3.75, 0.16999999999999993, 0.3500000000000001, 0.344825398652065, 0.0, 0.0, 0.0, 0.009740259740259735
'2016-08-29', 3.68, 3.73, 3.52, 3.7, 35600.0, 3.7, 0.2400000000000002, 0.30000000000000027, 0.3428890329084453, 0.0, 0.0, 0.0, 0.017391304347826077
'2016-08-26', 3.44, 3.55, 3.42, 3.55, 30800.0, 3.55, -0.020000000000000018, 0.10999999999999988, 0.34262126806918064, 0.0, 0.0, 0.0, 0.027131782945736437
'2016-08-25', 3.46, 3.46, 3.46, 3.46, 100.0, 3.46, -0.040000000000000036, -0.040000000000000036, 0.3511087201043764, 0.0, 0.0, 0.0, 0.02229562345169282
'2016-08-24', 3.5, 3.5, 3.34, 3.34, 2100.0, 3.34, 0.1200000000000001, 0.29000000000000004, 0.34587473647743244, 0.0, 0.0, 0.0, 0.017857142857142856
'2016-08-23', 3.38, 3.38, 3.33, 3.33, 29500.0, 3.33, 0.04999999999999982, 0.13999999999999968, 0.3595968421564473, 0.0, 0.1, 0.0, 0.02038132807363577
'2016-08-22', 3.33, 3.33, 3.33, 3.33, 0.0, 3.33, -0.16999999999999993, 0.10000000000000009, 0.38803507859756986, 0.0, 0.5, 0.0, 0.02012012012012012
'2016-08-19', 3.5, 3.5, 3.29, 3.33, 4100.0, 3.33, 0.29000000000000004, 0.25, 0.4116060684143949, 0.0, 0.8, 0.0, 0.012987012987012988
'2016-08-18', 3.21, 3.27, 3.21, 3.27, 300.0, 3.27, -0.03000000000000025, -0.04999999999999982, 0.4212970712243585, 1.0, 1.0, 0.0, 0.020508826583592942
'2016-08-17', 3.24, 3.24, 3.24, 3.24, 0.0, 3.24, 0.010000000000000231, -0.06999999999999984, 0.4408673269817123, 0.0, 0.8, 0.0, 0.01804368471035137
'2016-08-16', 3.23, 3.4, 3.15, 3.24, 23700.0, 3.24, -0.020000000000000018, -0.040000000000000036, 0.4743341531967616, 0.0, 0.5, 0.0, 0.017027863777089786
'2016-08-15', 3.25, 3.25, 3.25, 3.25, 0.0, 3.25, -0.009999999999999787, -0.10000000000000009, 0.4785654489083901, 0.0, 0.1, 0.0, 0.015384615384615385
'2016-08-12', 3.26, 3.26, 3.25, 3.25, 5100.0, 3.25, -0.050000000000000266, -0.2400000000000002, 0.4775683778848382, 0.0, 0.0, 0.0, 0.014187116564417183
'2016-08-11', 3.31, 3.45, 3.3, 3.3, 11300.0, 3.3, 0.040000000000000036, -0.08000000000000007, 0.47108810216349134, 0.0, 0.0, -0.1, 0.012262306735382974
'2016-08-10', 3.27, 3.33, 3.25, 3.31, 1700.0, 3.31, -0.08000000000000007, 0.3700000000000001, 0.4632168918432152, 0.0, 0.0, -0.5, 0.012402310567448182
'2016-08-09', 3.35, 3.35, 3.3, 3.35, 12300.0, 3.35, -0.1499999999999999, 0.48, 0.46423760678725234, 0.0, 0.0, -0.8, 0.010212097407698349
'2016-08-08', 3.5, 3.5, 3.36, 3.36, 10000.0, 3.36, 0.10999999999999988, 0.6499999999999999, 0.43959627943021634, -1.0, 0.0, -1.0, 0.0
'2016-08-05', 3.39, 3.39, 3.24, 3.31, 10800.0, 3.31, 0.4900000000000002, 0.3200000000000003, 0.4003365251052336, 0.0, 0.1, -0.8, 0.03244837758112091
'2016-08-04', 2.9, 3.0, 2.86, 2.91, 15000.0, 2.91, 0.029999999999999805, -0.1499999999999999, 0.37532282400917505, 0.0, 0.5, -0.3, 0.10344827586206898
'2016-08-03', 2.87, 2.95, 2.82, 2.82, 13400.0, 2.82, 0.020000000000000018, -0.029999999999999805, 0.3761059247960163, 0.0, 0.8, -0.3, 0.07317073170731707
'2016-08-02', 2.85, 2.85, 2.85, 2.85, 400.0, 2.85, -0.21999999999999975, -0.040000000000000036, 0.3779853024773436, 1.0, 1.0, -0.8, 0.05701754385964911
'2016-08-01', 3.07, 3.07, 2.91, 2.92, 900.0, 2.92, 0.020000000000000018, 0.4099999999999997, 0.4009711821177288, -1.0, 0.8, -1.0, 0.0
'2016-07-29', 3.05, 3.17, 3.03, 3.07, 7300.0, 3.07, 0.1499999999999999, 0.52, 0.3903800142880724, 0.0, 0.5, -0.8, 0.006557377049180334
'2016-07-28', 2.9, 3.37, 2.9, 3.36, 39900.0, 3.36, 0.009999999999999787, 0.16999999999999993, 0.37621743122236584, 0.0, 0.1, -0.5, 0.029310344827586196
'2016-07-27', 2.89, 3.5, 2.89, 3.0, 128800.0, 3.0, 0.22999999999999998, 0.3999999999999999, 0.3754552791833758, 0.0, 0.5, -0.1, 0.020761245674740452
'2016-07-26', 2.66, 2.73, 2.65, 2.65, 5700.0, 2.65, 0.13000000000000034, 0.1200000000000001, 0.36888736612804846, 0.0, 0.8, 0.0, 0.038533834586466136
'2016-07-25', 2.53, 2.62, 2.53, 2.53, 4600.0, 2.53, -0.20000000000000018, 0.08999999999999986, 0.38208855867019453, 1.0, 1.0, 0.0, 0.04268774703557313
'2016-07-22', 2.73, 2.73, 2.53, 2.53, 300.0, 2.53, 0.23999999999999977, 0.22999999999999998, 0.3986610924916885, 0.0, 0.8, 0.0, 0.02075702075702075
'2016-07-21', 2.49, 2.6, 2.49, 2.55, 2700.0, 2.55, -0.04999999999999982, 0.010000000000000231, 0.40879239501514975, 0.0, 0.5, 0.0, 0.03327596098680434
'2016-07-20', 2.54, 2.54, 2.54, 2.54, 200.0, 2.54, 0.10000000000000009, -0.20000000000000018, 0.4295839072094453, 0.0, 0.1, 0.0, 0.02608267716535432
'2016-07-19', 2.44, 2.44, 2.43, 2.43, 800.0, 2.43, -0.06000000000000005, 0.18999999999999995, 0.44919879291417913, 0.0, 0.0, -0.1, 0.028688524590163928
'2016-07-18', 2.5, 2.51, 2.39, 2.45, 32100.0, 2.45, 0.020000000000000018, 0.45999999999999996, 0.4625519790610925, 0.0, 0.0, -0.5, 0.022799999999999994
'2016-07-15', 2.48, 2.6, 2.39, 2.48, 13200.0, 2.48, -0.26000000000000023, 0.43999999999999995, 0.4642352133706935, 0.0, 0.0, -0.8, 0.021627565982404687
'2016-07-14', 2.74, 2.74, 2.49, 2.49, 8800.0, 2.49, 0.4900000000000002, 0.6900000000000004, 0.46967790381636365, -1.0, 0.0, -1.0, 0.0
'2016-07-13', 2.25, 2.4, 2.25, 2.4, 9700.0, 2.4, 0.20999999999999996, 0.25, 0.47310980637573863, 0.0, 0.0, -0.8, 0.21777777777777788
'2016-07-12', 2.04, 2.39, 2.04, 2.35, 21700.0, 2.35, 0.0, 0.3400000000000001, 0.4737346889932756, 0.0, 0.0, -0.5, 0.17156862745098042
'2016-07-11', 2.04, 2.19, 2.02, 2.17, 8200.0, 2.17, -0.009999999999999787, -0.06999999999999984, 0.462993760457117, 0.0, 0.1, -0.1, 0.11437908496732029
'2016-07-08', 2.05, 2.21, 2.0, 2.1, 23300.0, 2.1, 0.04999999999999982, -0.10000000000000009, 0.45146133093913293, 0.0, 0.5, 0.0, 0.0841463414634147
'2016-07-07', 2.0, 2.09, 1.86, 2.05, 19100.0, 2.05, 0.30000000000000004, -0.2200000000000002, 0.438221278452894, 0.0, 0.8, 0.0, 0.07400000000000002
'2016-07-06', 1.7, 1.91, 1.65, 1.89, 37100.0, 1.89, -0.4099999999999999, -0.40000000000000013, 0.4176675977643253, 1.0, 1.0, 0.0, 0.10196078431372552
'2016-07-05', 2.11, 2.11, 1.62, 1.68, 115400.0, 1.68, -0.040000000000000036, 0.2599999999999998, 0.3706474815178913, 0.0, 0.8, 0.0, 0.04265402843601898
'2016-07-01', 2.15, 2.2, 2.13, 2.17, 41900.0, 2.17, -0.07000000000000028, -0.3700000000000001, 0.351206808336943, 0.0, 0.5, 0.0, 0.03430232558139537
'2016-06-30', 2.22, 2.23, 2.15, 2.16, 14600.0, 2.16, 0.1200000000000001, -0.17999999999999972, 0.3329124008904845, 0.0, 0.1, 0.0, 0.026026026026026026
'2016-06-29', 2.1, 2.19, 1.9, 2.18, 17700.0, 2.18, 0.25, -0.8799999999999999, 0.32008679378499133, 0.0, 0.0, 0.0, 0.030476190476190483
'2016-06-28', 1.85, 2.0, 1.83, 2.0, 63900.0, 2.0, -0.6699999999999999, -1.0699999999999998, 0.3018093585177386, 0.0, 0.0, 0.0, 0.04373464373464374
'2016-06-27', 2.52, 2.52, 1.71, 1.75, 91200.0, 1.75, 0.1200000000000001, -0.3999999999999999, 0.25410868191036334, 0.0, 0.0, 0.0, 0.007275132275132281
'2016-06-24', 2.4, 2.4, 2.25, 2.28, 29200.0, 2.28, -0.5800000000000001, -0.8999999999999999, 0.2629744389775469, 0.0, 0.0, 0.0, 0.010897435897435907
'2016-06-23', 2.98, 3.15, 2.98, 3.0, 15400.0, 3.0, 0.06000000000000005, 0.18999999999999995, 0.25453421511982754, 0.0, 0.0, -0.1, -0.0057526366251198415
'2016-06-22', 2.92, 2.92, 2.92, 2.92, 0.0, 2.92, 0.0, 0.33999999999999986, 0.25715105807028416, 0.0, 0.0, -0.5, -0.004109589041095884
'2016-06-21', 2.92, 2.92, 2.92, 2.92, 300.0, 2.92, -0.3799999999999999, 0.040000000000000036, 0.2601070292527033, 0.0, 0.1, -0.8, -0.0038527397260273914
'2016-06-20', 3.3, 3.3, 3.3, 3.3, 100.0, 3.3, 0.5099999999999998, 0.6399999999999997, 0.2754400519572675, -1.0, 0.5, -1.0, 0.0
'2016-06-17', 2.79, 2.79, 2.79, 2.79, 100.0, 2.79, 0.20999999999999996, -0.25, 0.27321237160860784, 0.0, 0.8, -0.8, 0.1827956989247311
