Date, Open, High, Low, Close, Volume, Adj Close, 2 Day Slope, 5 Day Slope, Standard Dev, Optimal Dates, Desired Level 1 Out Buy, Desired Level 1 Out Sell, Profit Speed
'2016-09-08', 0.809, 0.809, 0.702, 0.76, 28300.0, 0.76, 0.008000000000000007, 0.1080000000000001, 0.3092435861187028, -1.0, 0.0, -1.0, 0.0
'2016-09-07', 0.801, 0.838, 0.733, 0.77, 32100.0, 0.77, 0.027000000000000024, -0.10899999999999999, 0.3097716883268852, 0.0, 0.0, -0.8, 0.009987515605493142
'2016-09-06', 0.774, 0.847, 0.774, 0.8, 47700.0, 0.8, 0.0040000000000000036, -0.256, 0.3192869764543072, 0.0, 0.0, -0.5, 0.022609819121447047
'2016-09-02', 0.77, 0.84, 0.713, 0.815, 54300.0, 0.815, 0.06900000000000006, -0.30000000000000004, 0.3017202236067933, 0.0, 0.0, -0.1, 0.0168831168831169
'2016-09-01', 0.701, 0.8, 0.701, 0.773, 103000.0, 0.773, -0.20900000000000007, -0.469, 0.2814613531789637, 0.0, 0.0, 0.0, 0.03851640513552072
'2016-08-31', 0.91, 0.91, 0.778, 0.8, 114800.0, 0.8, -0.12, -0.2699999999999999, 0.2522621321826432, 0.0, 0.0, 0.0, -0.022197802197802194
'2016-08-30', 1.03, 1.03, 0.832, 0.924, 351400.0, 0.924, -0.040000000000000036, -0.1299999999999999, 0.24117651673042761, 0.0, 0.0, 0.0, -0.03576051779935275
'2016-08-29', 1.07, 1.07, 0.98, 1.01, 434600.0, 1.01, -0.09999999999999987, -0.17999999999999994, 0.2385464990776897, 0.0, 0.0, 0.0, -0.03484646194926569
'2016-08-26', 1.17, 1.17, 0.963, 0.98, 373700.0, 0.98, -0.010000000000000009, -0.050000000000000044, 0.23554888381536995, 0.0, 0.0, 0.0, -0.038568376068376056
'2016-08-25', 1.18, 1.24, 1.14, 1.15, 98600.0, 1.15, 0.020000000000000018, -0.1200000000000001, 0.2358960905898094, 0.0, 0.0, 0.0, -0.034934086629001875
'2016-08-24', 1.16, 1.22, 1.15, 1.19, 123900.0, 1.19, -0.09000000000000008, -0.15000000000000013, 0.23589609058980937, 0.0, 0.0, 0.0, -0.030258620689655163
'2016-08-23', 1.25, 1.25, 1.14, 1.14, 146600.0, 1.14, 0.030000000000000027, -0.10000000000000009, 0.2362564261324735, 0.0, 0.0, 0.0, -0.03207272727272727
'2016-08-22', 1.22, 1.22, 1.12, 1.15, 44500.0, 1.15, -0.08000000000000007, -0.30000000000000004, 0.23882692245408363, 0.0, 0.0, 0.0, -0.028073770491803273
'2016-08-19', 1.3, 1.42, 1.12, 1.25, 179700.0, 1.25, -0.010000000000000009, -0.06000000000000005, 0.24248662964286413, 0.0, 0.0, 0.0, -0.029053254437869817
'2016-08-18', 1.31, 1.4, 1.26, 1.27, 83400.0, 1.27, -0.040000000000000036, -0.17999999999999994, 0.24513404269682515, 0.0, 0.0, 0.0, -0.027317339149400217
'2016-08-17', 1.35, 1.45, 1.31, 1.32, 12100.0, 1.32, -0.16999999999999993, 0.09000000000000008, 0.246097877998888, 0.0, 0.0, 0.0, -0.026716049382716052
'2016-08-16', 1.52, 1.52, 1.3, 1.35, 37800.0, 1.35, 0.15999999999999992, 0.1200000000000001, 0.24658185253582632, 0.0, 0.1, 0.0, -0.02923519736842105
'2016-08-15', 1.36, 1.36, 1.26, 1.32, 5200.0, 1.32, -0.1299999999999999, -0.06999999999999984, 0.24789197692184842, 0.0, 0.5, 0.0, -0.02383217993079585
'2016-08-12', 1.49, 1.513, 1.36, 1.36, 5500.0, 1.36, 0.22999999999999998, -0.050000000000000044, 0.24857627713753289, 0.0, 0.8, 0.0, -0.025391498881431766
'2016-08-11', 1.26, 1.51, 1.26, 1.48, 5800.0, 1.48, -0.1399999999999999, -0.29000000000000004, 0.24925638072742157, 1.0, 1.0, 0.0, -0.01883876357560568
'2016-08-10', 1.4, 1.4, 1.33, 1.39, 4500.0, 1.39, -0.030000000000000027, -0.16000000000000014, 0.24826229185189516, 0.0, 0.8, 0.0, -0.021107142857142852
'2016-08-09', 1.43, 1.43, 1.4, 1.4, 4700.0, 1.4, -0.1100000000000001, 0.020000000000000018, 0.24840752582981238, 0.0, 0.5, 0.0, -0.020679320679320677
'2016-08-08', 1.54, 1.54, 1.45, 1.48, 4200.0, 1.48, -0.010000000000000009, 0.13000000000000012, 0.25635147096645783, 0.0, 0.1, 0.0, -0.021576151121605665
'2016-08-05', 1.55, 1.63, 1.43, 1.51, 28200.0, 1.51, -0.010000000000000009, -0.2729999999999999, 0.25605951782089, 0.0, 0.0, 0.0, -0.020785413744740532
'2016-08-04', 1.56, 1.71, 1.451, 1.58, 29000.0, 1.58, 0.15000000000000013, -0.24, 0.2538079523314167, 0.0, 0.0, 0.0, -0.020058760683760685
'2016-08-03', 1.41, 1.51, 1.41, 1.51, 5400.0, 1.51, 0.0, -0.43000000000000016, 0.25129424099162234, 0.0, 0.0, 0.0, -0.01704964539007092
'2016-08-02', 1.41, 1.58, 1.225, 1.41, 71300.0, 1.41, -0.41300000000000003, -0.3700000000000001, 0.2514712177036038, 0.0, 0.0, 0.0, -0.016393889798145114
'2016-08-01', 1.823, 1.97, 1.4, 1.4, 105300.0, 1.4, 0.02299999999999991, -0.17700000000000005, 0.2514028551062131, 0.0, 0.0, 0.0, -0.020600963003596023
'2016-07-29', 1.8, 1.92, 1.75, 1.75, 57800.0, 1.75, -0.040000000000000036, 0.54, 0.23625495879569505, 0.0, 0.0, -0.1, -0.019662698412698413
'2016-07-28', 1.84, 1.98, 1.65, 1.82, 60700.0, 1.82, 0.06000000000000005, 0.548, 0.2204355284935308, 0.0, 0.0, -0.5, -0.019321589205397303
'2016-07-27', 1.78, 1.965, 1.71, 1.84, 57000.0, 1.84, -0.21999999999999997, 0.47, 0.20177253419520594, 0.0, 0.0, -0.8, -0.018183520599250935
'2016-07-26', 2.0, 2.0, 1.75, 1.97, 178900.0, 1.97, 0.74, 0.8779999999999999, 0.20100480922936478, -1.0, 0.0, -1.0, 0.0
'2016-07-25', 1.26, 1.95, 1.15, 1.75, 134800.0, 1.75, -0.03200000000000003, 0.17599999999999993, 0.1688504927114188, 0.0, 0.0, -0.8, 0.5873015873015873
'2016-07-22', 1.292, 1.4, 1.25, 1.4, 6700.0, 1.4, -0.018000000000000016, 0.15200000000000014, 0.18057759181766342, 0.0, 0.1, -0.5, 0.2739938080495356
'2016-07-21', 1.31, 1.38, 1.24, 1.3, 31800.0, 1.3, 0.18799999999999994, 0.15000000000000013, 0.19664695946458635, 0.0, 0.5, -0.1, 0.17557251908396945
'2016-07-20', 1.122, 1.47, 1.122, 1.3, 140900.0, 1.3, 0.038000000000000034, -0.05799999999999983, 0.20344642756482328, 0.0, 0.8, 0.0, 0.195632798573975
'2016-07-19', 1.084, 1.24, 1.06, 1.11, 127600.0, 1.11, -0.05599999999999983, -0.06599999999999984, 0.20931227070257172, 1.0, 1.0, 0.0, 0.16900369003690036
'2016-07-18', 1.14, 1.14, 1.05, 1.06, 14300.0, 1.06, -0.020000000000000018, -0.020000000000000018, 0.21739630989406322, 0.0, 0.8, 0.0, 0.1257309941520468
