Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,27.99,28.01,27.709999,27.91,162500,27.91
2016-10-20,27.549999,27.969999,27.450001,27.950001,186600,27.950001
2016-10-19,27.90,27.99,27.379999,27.76,192300,27.76
2016-10-18,27.950001,28.18,27.66,27.690001,235900,27.690001
2016-10-17,27.709999,28.030001,27.709999,27.889999,165300,27.889999
2016-10-14,27.91,28.097,27.709999,27.889999,255400,27.889999
2016-10-13,27.33,28.32,27.09,27.91,459200,27.91
2016-10-12,27.00,27.645,26.870001,27.459999,257700,27.459999
2016-10-11,26.52,27.35,26.200001,27.10,659700,27.10
2016-10-10,27.00,27.00,26.35,26.530001,701500,26.530001
2016-10-07,27.02,27.215,26.09,26.209999,573000,26.209999
2016-10-06,26.93,27.139999,26.690001,26.91,353100,26.91
2016-10-05,26.76,27.610001,26.76,27.25,332800,27.25
2016-10-04,27.309999,27.379999,26.75,26.870001,333600,26.870001
2016-10-03,27.60,27.629999,27.049999,27.360001,351900,27.360001
2016-09-30,26.809999,27.879999,26.610001,27.559999,3046300,27.559999
2016-09-29,26.559999,27.459999,26.559999,26.719999,282700,26.719999
2016-09-28,26.74,26.885,26.00,26.67,356200,26.67
2016-09-27,26.32,26.92,26.10,26.809999,307800,26.809999
2016-09-26,26.57,26.700001,25.700001,26.110001,339600,26.110001
2016-09-23,26.00,27.00,25.91,26.610001,544900,26.610001
2016-09-22,25.84,26.23,25.84,26.15,564600,26.15
2016-09-21,26.00,26.23,25.57,25.870001,253900,25.870001
2016-09-20,25.700001,25.98,25.40,25.879999,240800,25.879999
2016-09-19,24.76,25.700001,24.559999,25.65,633400,25.65
2016-09-16,24.74,24.959999,24.530001,24.76,1909600,24.76
2016-09-15,25.440001,25.889999,24.57,24.719999,303300,24.719999
2016-09-14,25.309999,25.90,25.264999,25.540001,259700,25.540001
2016-09-13,25.110001,25.42,24.684999,25.389999,322900,25.389999
2016-09-12,24.75,25.32,24.57,24.969999,462000,24.969999
2016-09-09,25.25,25.389999,24.360001,24.809999,310700,24.809999
2016-09-08,25.40,25.60,25.18,25.40,135500,25.40
2016-09-07,26.27,26.27,25.32,25.530001,183000,25.530001
2016-09-06,25.969999,26.389999,25.459999,26.00,378200,26.00
2016-09-02,25.33,26.08,24.90,25.85,208700,25.85
2016-09-01,25.40,25.488001,24.790001,25.299999,233200,25.299999
2016-08-31,25.700001,25.799999,24.67,25.309999,171600,25.309999
2016-08-30,25.66,25.98,25.370001,25.73,245300,25.73
2016-08-29,25.764999,25.99,25.360001,25.51,217200,25.51
2016-08-26,25.65,26.01,25.24,25.690001,199100,25.690001
2016-08-25,26.07,26.09,25.73,25.74,127000,25.74
2016-08-24,26.030001,26.219999,25.631001,25.99,122800,25.849999
2016-08-23,25.879999,26.190001,25.75,25.959999,267300,25.82016
2016-08-22,25.90,26.34,25.85,25.860001,228000,25.7207
2016-08-19,26.00,26.065001,25.610001,25.98,118400,25.840053
2016-08-18,26.389999,26.40,25.645,25.940001,205400,25.800269
2016-08-17,25.93,26.309999,25.75,26.00,251800,25.859946
2016-08-16,24.879999,26.49,24.599001,25.889999,238300,25.750537
2016-08-15,25.139999,25.48,24.790001,24.969999,221300,24.835493
2016-08-12,24.92,25.26,24.50,24.969999,178600,24.835493
2016-08-11,24.75,25.049999,24.565001,24.860001,384900,24.726087
2016-08-10,25.10,25.120001,24.110001,24.50,1169400,24.368026
2016-08-09,24.99,25.66,24.709999,24.950001,473100,24.815602
2016-08-08,24.290001,25.219999,24.097,24.950001,450700,24.815602
2016-08-05,23.77,24.389999,23.75,24.309999,84900,24.179049
2016-08-04,23.92,23.931,23.639999,23.77,23100,23.641958
2016-08-03,24.030001,24.17,23.549999,24.02,230400,23.890612
2016-08-02,24.51,24.747,24.08,24.08,239200,23.950288
2016-08-01,23.82,25.059999,23.629999,24.49,545400,24.358079
2016-07-29,23.60,24.00,23.559999,23.92,267700,23.79115
2016-07-28,23.879999,23.879999,23.528,23.66,68600,23.53255
2016-07-27,23.50,23.940001,23.50,23.85,476500,23.721527
2016-07-26,23.77,23.77,23.50,23.559999,222100,23.433089
2016-07-25,23.82,23.85,23.549999,23.75,53900,23.622066
2016-07-22,23.67,23.84,23.52,23.60,153800,23.472874
2016-07-21,23.700001,23.879999,23.424999,23.50,473300,23.373412
2016-07-20,23.530001,23.879999,23.469999,23.76,211600,23.632012
2016-07-19,23.98,24.00,23.559999,23.65,190500,23.522604
2016-07-18,23.84,24.35,23.58,24.049999,598900,23.920449
2016-07-15,23.50,24.24,22.99,24.00,11286700,23.870719
