Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,28.059999,28.120001,27.700001,28.00,14400,28.00
2016-10-17,27.90,28.110001,27.60,27.969999,10200,27.969999
2016-10-14,27.889999,28.10,27.620001,27.690001,17200,27.690001
2016-10-13,27.200001,28.10,27.200001,27.879999,16400,27.879999
2016-10-12,27.09,28.049999,26.92,27.469999,26700,27.469999
2016-10-11,27.790001,27.950001,26.889999,26.959999,26400,26.959999
2016-10-10,26.83,27.959999,26.83,27.809999,20000,27.809999
2016-10-07,27.23,27.299999,26.780001,26.780001,21000,26.780001
2016-10-06,26.85,27.200001,26.75,27.18,17700,27.18
2016-10-05,27.41,27.41,26.719999,26.98,27400,26.98
2016-10-04,28.18,28.18,27.00,27.139999,30700,27.139999
2016-10-03,28.35,28.68,28.030001,28.18,28300,28.18
2016-09-30,28.440001,28.74,28.26,28.540001,20300,28.540001
2016-09-29,28.65,28.65,28.110001,28.309999,11400,28.309999
2016-09-28,28.75,29.01,28.60,28.75,20700,28.75
2016-09-27,29.129999,29.379999,28.700001,28.780001,18800,28.780001
2016-09-26,29.49,29.59,29.00,29.049999,24700,29.049999
2016-09-23,29.860001,29.860001,29.049999,29.450001,23900,29.450001
2016-09-22,29.00,30.040001,28.690001,30.00,36100,30.00
2016-09-21,28.67,28.959999,28.09,28.92,28400,28.92
2016-09-20,28.200001,28.75,27.889999,28.49,30200,28.49
2016-09-19,27.959999,28.440001,27.74,28.219999,21700,28.219999
2016-09-16,27.23,27.959999,27.120001,27.92,54700,27.92
2016-09-15,26.57,27.219999,26.57,27.139999,22900,27.139999
2016-09-14,26.549999,26.709999,26.360001,26.639999,25700,26.639999
2016-09-13,26.74,26.959999,26.280001,26.32,28600,26.32
2016-09-12,26.559999,27.33,26.48,26.969999,38800,26.969999
2016-09-09,27.85,27.85,26.41,26.43,30500,26.43
2016-09-08,27.120001,28.09,27.120001,27.98,23500,27.98
2016-09-07,27.15,27.360001,27.07,27.18,51200,27.18
2016-09-06,27.190001,27.33,27.07,27.18,35100,27.18
2016-09-02,27.10,27.809999,27.00,27.18,48100,27.18
2016-09-01,27.639999,27.639999,27.059999,27.10,38400,27.10
2016-08-31,27.860001,27.860001,27.42,27.469999,37300,27.469999
2016-08-30,29.15,29.18,27.889999,27.950001,39200,27.950001
2016-08-29,29.790001,29.91,29.110001,29.18,28500,29.18
2016-08-26,29.889999,30.33,29.620001,29.77,14800,29.77
2016-08-25,29.65,29.93,29.629999,29.73,23500,29.73
2016-08-24,30.040001,30.040001,29.57,29.719999,13200,29.719999
2016-08-23,30.23,30.389999,29.799999,29.93,29400,29.93
2016-08-22,29.98,30.299999,29.780001,30.110001,19600,30.110001
2016-08-19,30.26,30.620001,29.629999,29.76,32500,29.76
2016-08-18,30.09,30.549999,30.08,30.440001,29600,30.440001
2016-08-17,29.23,30.110001,29.18,29.98,30700,29.98
2016-08-16,31.00,31.00,29.110001,29.40,49500,29.40
2016-08-15,31.540001,31.540001,30.860001,30.969999,31900,30.969999
2016-08-12,31.41,31.66,31.360001,31.440001,16900,31.440001
2016-08-11,31.190001,31.549999,31.030001,31.469999,24300,31.469999
2016-08-10,31.68,31.799999,30.940001,31.190001,49600,31.190001
2016-08-09,32.009998,32.57,31.629999,31.77,50200,31.77
2016-08-08,32.639999,32.639999,32.00,32.02,20800,32.02
2016-08-05,32.509998,32.790001,32.32,32.369999,47900,32.145
2016-08-04,32.50,33.009998,32.50,32.50,32000,32.274097
2016-08-03,33.099998,33.130001,32.50,32.709999,39900,32.482637
2016-08-02,33.200001,33.279999,33.080002,33.110001,18100,32.879858
2016-08-01,34.240002,34.27,33.330002,33.389999,18500,33.15791
2016-07-29,33.82,34.259998,33.689999,34.09,26800,33.853045
2016-07-28,33.720001,33.91,33.389999,33.810001,12100,33.574993
2016-07-27,33.43,33.740002,33.25,33.700001,18900,33.465757
2016-07-26,33.59,33.700001,33.25,33.400002,19200,33.167843
2016-07-25,33.509998,33.84,33.00,33.400002,42000,33.167843
2016-07-22,33.150002,33.75,33.07,33.75,56000,33.515409
2016-07-21,33.290001,33.73,33.130001,33.240002,28100,33.008955
2016-07-20,33.369999,33.830002,32.959999,33.41,24900,33.177772
2016-07-19,33.200001,33.700001,33.110001,33.32,27300,33.088397
2016-07-18,32.73,33.400002,32.599998,33.220001,44000,32.989094
2016-07-15,33.189999,34.310001,32.540001,32.669998,50900,32.442914
2016-07-14,33.759998,33.900002,33.130001,33.169998,25000,32.939438
