Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,16.18,16.92,16.00,16.33,710600,16.33
2016-10-20,16.049999,16.51,15.76,16.370001,575000,16.370001
2016-10-19,16.07,16.549999,15.96,16.209999,607100,16.209999
2016-10-18,16.299999,16.309999,16.00,16.10,669200,16.10
2016-10-17,15.43,16.339001,15.31,16.02,881100,16.02
2016-10-14,15.04,16.10,14.91,15.62,1118800,15.62
2016-10-13,15.15,15.32,14.92,15.13,1147800,15.13
2016-10-12,15.02,15.68,14.22,14.98,2114700,14.98
2016-10-11,15.07,16.028999,15.00,15.64,1859000,15.64
2016-10-10,15.20,16.32,15.18,15.62,1873100,15.62
2016-10-07,14.00,15.53,13.70,15.10,4259900,15.10
2016-10-06,13.86,14.445,13.75,14.01,2430000,14.01
2016-10-05,14.90,14.94,14.00,14.16,3722300,14.16
2016-10-04,16.450001,16.450001,14.90,15.00,2288100,15.00
2016-10-03,16.50,16.59,14.45,16.41,6622200,16.41
2016-09-30,15.96,16.889999,15.50,16.59,66000,16.59
2016-09-29,17.129999,17.129999,15.50,15.61,43100,15.61
2016-09-28,18.049999,18.10,17.049999,17.16,46400,17.16
2016-09-27,18.719999,19.120001,18.049999,18.25,16500,18.25
2016-09-26,19.50,19.50,18.290001,18.700001,26900,18.700001
2016-09-23,19.50,19.50,19.50,19.50,000,19.50
2016-09-22,19.450001,19.50,19.389999,19.50,7200,19.50
2016-09-21,19.40,19.40,19.40,19.40,100,19.40
2016-09-20,20.25,20.50,19.40,19.51,6200,19.51
2016-09-19,19.200001,20.25,19.200001,20.15,2500,20.15
2016-09-16,17.26,19.200001,17.26,19.200001,3400,19.200001
2016-09-15,12.00,17.809999,12.00,16.639999,4000,16.639999
