Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,30.139999,30.139999,29.629999,29.74,100300,29.74
2016-10-17,30.15,30.209999,29.809999,29.860001,105200,29.860001
2016-10-14,29.959999,30.43,29.84,30.25,83000,30.25
2016-10-13,29.860001,30.25,29.58,29.92,104600,29.92
2016-10-12,29.77,30.190001,29.610001,30.08,67900,30.08
2016-10-11,30.02,30.040001,29.469999,29.690001,109600,29.690001
2016-10-10,29.950001,30.620001,29.74,29.99,107800,29.99
2016-10-07,29.35,30.23,29.35,29.950001,172900,29.950001
2016-10-06,31.40,31.440001,28.40,29.60,399000,29.60
2016-10-05,32.509998,33.16,32.509998,32.959999,88200,32.959999
2016-10-04,32.630001,33.029999,32.509998,32.57,82600,32.57
2016-10-03,32.790001,32.84,32.439999,32.669998,71200,32.669998
2016-09-30,32.759998,33.009998,32.509998,32.889999,94000,32.889999
2016-09-29,33.02,33.060001,32.43,32.439999,76500,32.439999
2016-09-28,32.990002,33.209999,32.75,32.939999,90100,32.939999
2016-09-27,32.98,33.259998,32.939999,33.009998,86600,33.009998
2016-09-26,33.490002,33.619999,32.880001,32.900002,74500,32.900002
2016-09-23,33.639999,33.810001,33.389999,33.52,71800,33.52
2016-09-22,33.16,33.639999,33.07,33.599998,144800,33.599998
2016-09-21,32.830002,33.119999,32.630001,33.09,165700,33.09
2016-09-20,32.889999,33.099998,32.599998,32.68,85400,32.68
2016-09-19,33.02,33.139999,32.790001,32.810001,83400,32.810001
2016-09-16,32.82,33.09,32.66,32.75,262600,32.75
2016-09-15,32.209999,32.849998,32.07,32.799999,142000,32.799999
2016-09-14,32.220001,32.59,32.009998,32.380001,127500,32.380001
2016-09-13,32.650002,32.849998,32.169998,32.360001,116800,32.360001
2016-09-12,32.130001,32.959999,32.130001,32.84,120700,32.84
2016-09-09,32.75,32.959999,32.18,32.200001,185200,32.200001
2016-09-08,32.889999,32.889999,32.419998,32.759998,135400,32.759998
2016-09-07,32.529999,33.189999,32.349998,33.16,193600,32.829999
2016-09-06,33.669998,33.669998,31.98,32.529999,167400,32.206268
2016-09-02,32.540001,33.529999,32.50,33.490002,223000,33.156717
2016-09-01,34.290001,34.290001,32.009998,32.57,214700,32.245871
2016-08-31,34.380001,34.700001,33.919998,34.279999,216100,33.938852
2016-08-30,34.860001,34.860001,34.310001,34.439999,104300,34.09726
2016-08-29,35.080002,35.18,34.849998,35.02,80900,34.671489
2016-08-26,35.16,35.240002,34.689999,35.00,99800,34.651688
2016-08-25,34.93,35.419998,34.93,35.150002,148600,34.800197
2016-08-24,35.220001,35.27,34.939999,34.98,150400,34.631887
2016-08-23,35.450001,35.599998,35.290001,35.299999,107600,34.948702
2016-08-22,35.16,35.50,34.799999,35.139999,152400,34.790294
2016-08-19,35.16,35.470001,34.860001,35.040001,118500,34.691291
2016-08-18,35.59,35.779999,34.84,35.279999,118600,34.9289
2016-08-17,34.82,35.119999,34.68,34.93,150900,34.582385
2016-08-16,35.080002,35.099998,34.669998,34.869999,143900,34.522981
2016-08-15,34.73,35.16,34.700001,35.099998,153600,34.750691
2016-08-12,34.880001,35.150002,34.450001,34.57,142400,34.225967
2016-08-11,34.380001,35.139999,34.380001,34.93,266900,34.582385
2016-08-10,33.25,34.150002,33.25,33.970001,307500,33.63194
2016-08-09,34.599998,34.75,33.139999,33.18,244600,32.849801
2016-08-08,34.25,34.740002,34.16,34.610001,265200,34.26557
2016-08-05,33.849998,34.529999,33.82,34.200001,200200,33.85965
2016-08-04,34.34,34.599998,33.389999,33.59,259700,33.25572
2016-08-03,34.259998,34.630001,33.810001,34.330002,335200,33.988358
