Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,5.70,6.06,5.70,5.93,91700,5.93
2016-10-20,5.82,5.93,5.70,5.75,14300,5.75
2016-10-19,5.92,6.13,5.78,5.95,21900,5.95
2016-10-18,5.94,6.48,5.90,5.99,75400,5.99
2016-10-17,5.80,5.96,5.70,5.81,55600,5.81
2016-10-14,5.90,6.00,5.85,5.87,22500,5.87
2016-10-13,5.99,6.00,5.87,5.87,15900,5.87
2016-10-12,5.93,6.20,5.92,6.04,21900,6.04
2016-10-11,5.88,6.00,5.69,5.77,26100,5.77
2016-10-10,5.96,5.96,5.68,5.87,13400,5.87
2016-10-07,5.60,5.94,5.60,5.83,21100,5.83
2016-10-06,5.55,5.90,5.49,5.58,122800,5.58
2016-10-05,5.48,5.93,5.45,5.46,136700,5.46
2016-10-04,5.46,5.50,5.27,5.43,43600,5.43
2016-10-03,5.53,5.53,5.45,5.47,19200,5.47
2016-09-30,5.53,5.58,5.42,5.50,17200,5.50
2016-09-29,5.57,5.65,5.42,5.48,49600,5.48
2016-09-28,6.50,6.50,5.01,5.55,541200,5.55
2016-09-27,6.10,6.66,6.08,6.45,78900,6.45
2016-09-26,5.81,6.12,5.75,6.10,68000,6.10
2016-09-23,5.59,5.98,5.46,5.78,38600,5.78
2016-09-22,5.58,5.66,5.54,5.63,16900,5.63
2016-09-21,5.58,5.62,5.49,5.53,6400,5.53
2016-09-20,5.51,5.55,5.45,5.53,12900,5.53
2016-09-19,5.55,5.59,5.42,5.55,25100,5.55
2016-09-16,5.58,5.63,5.49,5.49,28300,5.49
2016-09-15,5.59,5.62,5.55,5.60,11800,5.60
2016-09-14,5.55,5.65,5.55,5.63,18700,5.63
2016-09-13,5.50,5.60,5.45,5.47,24800,5.47
2016-09-12,5.45,5.58,5.45,5.50,17800,5.50
2016-09-09,5.51,5.61,5.43,5.52,5600,5.52
2016-09-08,5.65,5.70,5.51,5.68,34400,5.56
2016-09-07,5.69,5.70,5.61,5.69,30400,5.569789
2016-09-06,5.45,5.66,5.45,5.62,37700,5.501268
2016-09-02,5.67,5.67,5.45,5.48,42200,5.364225
2016-09-01,5.48,5.57,5.40,5.49,40400,5.374014
2016-08-31,5.45,5.75,5.45,5.45,151900,5.334859
2016-08-30,5.04,5.17,5.04,5.15,38900,5.041197
2016-08-29,5.01,5.14,4.95,5.04,13400,4.933521
2016-08-26,5.09,5.13,4.98,5.07,4100,4.962888
2016-08-25,5.14,5.14,4.98,5.08,7000,4.972676
2016-08-24,5.03,5.15,4.98,5.07,23200,4.962888
2016-08-23,5.02,5.11,5.02,5.04,16600,4.933521
2016-08-22,5.06,5.15,5.01,5.12,50600,5.011831
2016-08-19,5.20,5.20,5.02,5.11,31200,5.002042
2016-08-18,5.34,5.34,5.14,5.15,4100,5.041197
2016-08-17,5.20,5.30,5.20,5.30,5500,5.188028
2016-08-16,5.21,5.45,5.16,5.18,10400,5.070563
2016-08-15,5.44,5.44,5.12,5.26,10800,5.148874
2016-08-12,5.27,5.33,5.11,5.24,7100,5.129296
2016-08-11,5.25,5.44,5.22,5.23,21200,5.119507
2016-08-10,5.34,5.41,5.20,5.21,9600,5.09993
2016-08-09,5.36,5.53,5.26,5.39,30100,5.276127
2016-08-08,5.26,5.54,5.14,5.30,41100,5.188028
2016-08-05,5.12,5.48,5.12,5.21,84800,5.09993
2016-08-04,5.19,5.28,5.12,5.22,7100,5.109718
2016-08-03,5.15,5.28,5.11,5.15,19600,5.041197
2016-08-02,5.16,5.28,5.13,5.17,10400,5.060775
2016-08-01,5.14,5.28,5.11,5.18,39700,5.070563
2016-07-29,5.21,5.24,5.08,5.12,13900,5.011831
2016-07-28,5.12,5.30,5.08,5.28,29100,5.168451
2016-07-27,5.20,5.38,5.07,5.19,41700,5.080352
2016-07-26,5.30,5.30,5.06,5.22,50800,5.109718
2016-07-25,5.29,5.31,5.29,5.30,2300,5.188028
2016-07-22,5.34,5.38,5.30,5.32,5200,5.207606
2016-07-21,5.38,5.45,5.30,5.32,6800,5.207606
2016-07-20,5.37,5.44,5.29,5.35,41300,5.236972
2016-07-19,5.26,5.43,5.22,5.29,35900,5.178239
2016-07-18,5.30,5.41,5.20,5.30,32600,5.188028
2016-07-15,5.46,6.16,5.39,5.58,70600,5.462113
2016-07-14,5.26,5.65,5.26,5.53,22200,5.413169
2016-07-13,5.25,5.37,5.22,5.26,18700,5.148874
2016-07-12,5.24,5.43,5.18,5.32,26500,5.207606
2016-07-11,5.23,5.40,5.21,5.23,14000,5.119507
2016-07-08,5.19,5.41,5.12,5.21,5600,5.09993
2016-07-07,5.40,5.42,5.14,5.16,11300,5.050986
2016-07-06,5.27,5.42,5.11,5.36,23600,5.246761
2016-07-05,5.18,5.36,5.12,5.31,13500,5.197817
2016-07-01,5.19,5.24,5.11,5.18,12700,5.070563
2016-06-30,5.22,5.30,5.20,5.22,7600,5.109718
2016-06-29,5.17,5.28,5.10,5.21,25500,5.09993
2016-06-28,5.30,5.33,5.03,5.19,15500,5.080352
2016-06-27,5.14,5.33,4.97,5.20,21400,5.090141
2016-06-24,5.24,5.53,5.10,5.10,40000,4.992253
2016-06-23,5.45,5.72,5.34,5.37,30600,5.256549
2016-06-22,5.74,5.74,5.36,5.44,41300,5.325071
2016-06-21,5.74,5.83,5.50,5.75,51000,5.628521
2016-06-20,5.60,5.84,5.51,5.78,7200,5.657888
2016-06-17,5.65,5.95,5.47,5.55,17300,5.432747
2016-06-16,5.81,5.97,5.61,5.62,21700,5.501268
2016-06-15,5.80,6.20,5.44,5.93,35100,5.804718
2016-06-14,6.18,6.18,5.65,5.71,33000,5.589366
2016-06-13,6.09,6.33,5.87,5.88,27300,5.755775
2016-06-10,5.96,6.34,5.92,6.09,48500,5.961338
2016-06-09,6.17,6.30,5.98,6.10,23900,5.853662
2016-06-08,6.11,6.48,6.07,6.23,25200,5.978412
2016-06-07,6.13,6.49,6.07,6.24,23100,5.988008
2016-06-06,6.04,6.24,5.90,6.19,10000,5.940028
2016-06-03,6.23,6.27,5.94,6.08,29500,5.83447
2016-06-02,6.32,6.48,6.30,6.31,8700,6.055181
2016-06-01,6.42,6.56,6.25,6.27,24400,6.016797
2016-05-31,6.57,6.57,6.35,6.50,10200,6.237509
2016-05-27,6.46,6.48,6.26,6.42,7700,6.160739
2016-05-26,6.51,6.55,6.46,6.46,4600,6.199124
2016-05-25,6.38,6.65,6.35,6.56,41000,6.295086
2016-05-24,6.20,6.52,6.09,6.38,70000,6.122355
2016-05-23,5.85,6.30,5.76,6.24,27200,5.988008
2016-05-20,5.80,6.12,5.80,5.80,6700,5.565777
2016-05-19,5.93,6.12,5.74,5.85,15300,5.613758
2016-05-18,6.18,6.43,5.89,5.89,60200,5.652142
2016-05-17,6.25,6.44,6.10,6.10,19000,5.853662
2016-05-16,6.14,6.37,6.10,6.24,16200,5.988008
2016-05-13,6.35,6.35,6.17,6.18,5700,5.930431
2016-05-12,6.26,6.33,6.18,6.22,6700,5.968816
2016-05-11,6.25,6.50,6.11,6.26,30600,6.007201
2016-05-10,6.28,6.35,6.20,6.21,12000,5.95922
2016-05-09,6.15,6.41,6.13,6.26,21900,6.007201
2016-05-06,6.18,6.41,6.10,6.21,25700,5.95922
2016-05-05,6.10,6.25,6.10,6.11,11800,5.863258
2016-05-04,6.22,6.33,6.10,6.10,15900,5.853662
