Date,Open,High,Low,Close,Volume,Adj Close
2016-10-18,11.04,11.11,10.89,10.89,39200,10.89
2016-10-17,10.87,11.19,10.87,10.90,27800,10.90
2016-10-14,11.01,11.17,10.89,11.14,32000,11.14
2016-10-13,11.10,11.10,10.91,10.98,80100,10.98
2016-10-12,11.37,11.52,11.20,11.27,38600,11.27
2016-10-11,11.71,11.71,11.23,11.39,51200,11.39
2016-10-10,11.67,11.72,11.60,11.65,171900,11.65
2016-10-07,11.48,11.73,11.35,11.52,34700,11.52
2016-10-06,11.66,11.70,11.47,11.63,33900,11.63
2016-10-05,11.56,11.64,11.24,11.61,53300,11.61
2016-10-04,11.47,11.66,11.46,11.54,44400,11.54
2016-10-03,11.65,11.71,11.33,11.49,156500,11.49
2016-09-30,11.64,11.81,11.42,11.74,63100,11.74
2016-09-29,11.78,11.78,11.45,11.54,50100,11.54
2016-09-28,11.59,11.71,11.38,11.66,44500,11.66
2016-09-27,11.30,11.66,11.22,11.65,58500,11.65
2016-09-26,11.42,11.47,11.23,11.35,51100,11.35
2016-09-23,11.69,11.75,11.47,11.55,48300,11.55
2016-09-22,11.60,11.75,11.49,11.74,79400,11.74
2016-09-21,11.36,11.56,11.33,11.55,49900,11.55
2016-09-20,11.32,11.45,11.27,11.35,67200,11.35
2016-09-19,11.25,11.34,11.16,11.30,58200,11.30
2016-09-16,11.11,11.23,10.95,11.14,286000,11.14
2016-09-15,10.94,11.07,10.87,11.06,74900,11.06
2016-09-14,10.90,11.10,10.77,10.94,139000,10.94
2016-09-13,10.90,11.00,10.72,10.90,74600,10.90
2016-09-12,10.91,11.04,10.87,11.01,50500,11.01
2016-09-09,11.22,11.32,10.93,10.94,57500,10.94
2016-09-08,11.24,11.39,11.15,11.36,61200,11.36
2016-09-07,11.26,11.30,11.15,11.27,69700,11.27
2016-09-06,11.25,11.27,11.03,11.27,91600,11.27
2016-09-02,10.86,11.25,10.79,11.24,131900,11.24
2016-09-01,10.86,11.13,10.70,10.87,74900,10.87
2016-08-31,11.13,11.19,10.83,10.87,87500,10.87
2016-08-30,10.78,11.25,10.78,11.16,85700,11.16
2016-08-29,10.77,10.89,10.63,10.77,208900,10.77
2016-08-26,10.90,11.02,10.67,10.78,63000,10.78
2016-08-25,10.74,10.99,10.64,10.85,215300,10.85
2016-08-24,10.70,10.90,10.61,10.72,64900,10.72
2016-08-23,10.56,10.78,10.55,10.74,188500,10.68
2016-08-22,10.57,10.60,10.49,10.52,96900,10.46123
2016-08-19,10.64,10.76,10.50,10.53,206900,10.471173
2016-08-18,10.67,10.86,10.56,10.65,45100,10.590503
2016-08-17,10.67,10.81,10.51,10.68,41500,10.620336
2016-08-16,10.59,10.99,10.48,10.70,82000,10.640224
2016-08-15,10.62,10.79,10.37,10.64,59000,10.580559
2016-08-12,10.51,10.64,10.39,10.54,56700,10.481118
2016-08-11,10.54,10.74,10.30,10.54,166900,10.481118
2016-08-10,10.51,10.92,10.23,10.50,47700,10.441341
2016-08-09,10.55,10.60,10.43,10.51,121100,10.451285
2016-08-08,10.65,10.72,10.46,10.50,140600,10.441341
2016-08-05,10.35,10.70,10.01,10.68,90900,10.620336
2016-08-04,10.47,10.67,10.23,10.31,60800,10.252403
2016-08-03,10.37,10.46,10.26,10.41,110400,10.351844
2016-08-02,10.59,10.68,10.33,10.34,182700,10.282235
2016-08-01,10.56,10.77,10.46,10.62,87200,10.560671
2016-07-29,11.02,11.02,10.29,10.56,112000,10.501006
2016-07-28,11.84,11.84,11.05,11.12,43700,11.057877
2016-07-27,11.37,11.66,11.07,11.41,41100,11.346257
2016-07-26,11.33,11.45,11.12,11.35,42700,11.286593
2016-07-25,11.26,11.42,10.97,11.35,31000,11.286593
2016-07-22,11.34,11.47,11.14,11.28,34700,11.216983
2016-07-21,11.53,11.54,11.24,11.35,100700,11.286593
2016-07-20,11.59,11.69,11.36,11.62,36100,11.555084
2016-07-19,11.65,11.79,11.50,11.57,44500,11.505363
2016-07-18,11.75,11.86,11.40,11.68,46600,11.614749
2016-07-15,11.83,11.85,11.25,11.73,58000,11.664469
2016-07-14,11.97,12.00,11.44,11.74,39900,11.674414
2016-07-13,11.68,11.92,11.66,11.89,66800,11.823576
2016-07-12,11.48,11.68,11.36,11.60,72800,11.535196
2016-07-11,11.48,11.62,11.32,11.35,95200,11.286593
2016-07-08,10.57,11.43,10.57,11.40,222300,11.336313
2016-07-07,10.51,10.70,10.38,10.44,58900,10.381676
2016-07-06,10.41,11.04,10.20,10.47,60100,10.411509
2016-07-05,10.63,11.11,10.50,10.52,70300,10.46123
2016-07-01,10.79,10.97,10.63,10.71,57600,10.650168
2016-06-30,10.53,11.40,10.53,10.85,69200,10.789386
2016-06-29,10.66,11.04,10.43,10.48,120200,10.421452
2016-06-28,10.66,10.86,10.51,10.52,101100,10.46123
2016-06-27,10.70,10.84,10.51,10.51,96600,10.451285
2016-06-24,10.94,11.31,10.49,10.92,210300,10.858995
2016-06-23,11.61,11.75,11.43,11.51,157800,11.445699
2016-06-22,11.59,11.84,11.41,11.42,32200,11.356202
2016-06-21,11.68,11.75,11.54,11.59,74900,11.525252
2016-06-20,11.48,11.91,11.38,11.64,50300,11.574973
2016-06-17,11.80,11.80,11.28,11.28,262100,11.216983
2016-06-16,11.90,11.96,11.72,11.82,62700,11.753967
2016-06-15,12.45,12.45,12.02,12.02,29000,11.95285
2016-06-14,12.13,12.48,12.10,12.46,44100,12.330727
2016-06-13,12.21,12.44,12.14,12.19,58000,12.063527
2016-06-10,12.06,12.31,11.95,12.26,31900,12.132802
2016-06-09,12.12,12.26,11.88,12.25,58600,12.122905
2016-06-08,12.10,12.28,12.05,12.20,40300,12.073424
2016-06-07,12.14,12.29,12.10,12.11,26600,11.984357
2016-06-06,12.09,12.25,11.99,12.20,57400,12.073424
2016-06-03,12.10,12.25,12.00,12.12,45000,11.994254
2016-06-02,11.88,12.13,11.82,12.12,98500,11.994254
2016-06-01,11.74,12.00,11.64,11.96,101300,11.835914
2016-05-31,11.93,12.00,11.76,11.80,76100,11.677574
2016-05-27,11.84,11.95,11.82,11.94,47500,11.816121
2016-05-26,11.94,11.98,11.68,11.80,28300,11.677574
2016-05-25,11.99,12.03,11.77,11.84,56400,11.717159
2016-05-24,11.50,12.05,11.50,12.03,61500,11.905187
2016-05-23,11.32,11.48,11.29,11.47,55800,11.350998
2016-05-20,11.05,11.39,11.05,11.34,69000,11.222347
2016-05-19,10.97,11.04,10.81,10.97,29700,10.856186
2016-05-18,10.97,11.23,10.97,11.09,26100,10.97494
2016-05-17,11.33,11.46,10.91,11.00,126800,10.885874
2016-05-16,11.30,11.50,11.26,11.40,45100,11.281724
2016-05-13,11.28,11.31,11.25,11.25,66000,11.13328
2016-05-12,11.27,11.46,11.24,11.31,101600,11.192658
2016-05-11,11.28,11.31,11.23,11.25,55500,11.13328
2016-05-10,11.27,11.47,11.25,11.33,32800,11.21245
2016-05-09,11.29,11.35,11.25,11.26,53700,11.143177
2016-05-06,11.25,11.39,11.25,11.36,79500,11.242139
2016-05-05,11.25,11.52,11.24,11.25,42300,11.13328
2016-05-04,11.24,11.31,11.22,11.23,58200,11.113487
2016-05-03,11.58,11.63,11.26,11.30,42100,11.182762
2016-05-02,11.61,11.97,11.51,11.71,104800,11.588508
2016-04-29,11.36,11.62,11.30,11.56,68700,11.440064
2016-04-28,11.61,11.63,11.27,11.39,92200,11.271828
2016-04-27,11.53,11.72,11.48,11.69,38300,11.568715
2016-04-26,11.25,11.57,11.21,11.54,85500,11.420272
2016-04-25,11.48,11.59,11.12,11.18,75800,11.064007
2016-04-22,11.28,11.70,11.28,11.55,87200,11.430168
2016-04-21,11.22,11.45,11.20,11.31,75200,11.192658
2016-04-20,11.37,11.46,11.21,11.25,58400,11.13328
2016-04-19,10.90,11.39,10.90,11.38,48800,11.261932
2016-04-18,11.12,11.14,10.79,10.86,78400,10.747326
2016-04-15,11.20,11.33,11.10,11.10,45300,10.984837
2016-04-14,11.30,11.35,11.14,11.27,58500,11.153073
2016-04-13,11.15,11.50,11.04,11.40,92800,11.281724
2016-04-12,11.28,11.45,11.03,11.15,71300,11.034317
2016-04-11,11.53,11.74,11.28,11.28,53400,11.162969
2016-04-08,11.33,11.51,11.32,11.49,51700,11.37079
2016-04-07,11.27,11.36,11.16,11.22,258400,11.103592
2016-04-06,11.44,11.48,11.04,11.45,54700,11.331205
2016-04-05,11.50,11.69,11.27,11.38,73800,11.261932
2016-04-04,12.00,12.00,11.63,11.64,55600,11.519234
2016-04-01,11.77,12.12,11.77,12.02,38700,11.895292
2016-03-31,12.07,12.24,11.87,11.88,69700,11.756744
2016-03-30,12.20,12.60,11.97,12.11,98000,11.984357
2016-03-29,11.52,12.20,11.48,12.17,96500,12.043735
2016-03-28,11.56,11.64,11.37,11.59,53400,11.469753
2016-03-24,11.61,11.61,11.31,11.50,57100,11.380687
2016-03-23,12.14,12.16,11.61,11.64,51500,11.519234
2016-03-22,12.11,12.25,11.95,12.18,62500,12.053632
2016-03-21,11.95,12.17,11.95,12.13,80500,12.00415
2016-03-18,11.74,12.04,11.73,12.01,212000,11.885395
2016-03-17,11.35,11.67,11.31,11.62,79500,11.499441
2016-03-16,11.29,11.46,11.20,11.41,59000,11.29162
2016-03-15,11.60,11.60,11.24,11.33,71400,11.21245
2016-03-14,11.48,11.74,11.30,11.61,77000,11.489545
2016-03-11,11.37,11.51,11.26,11.48,94500,11.360894
2016-03-10,11.77,11.78,11.18,11.24,73800,11.123384
2016-03-09,11.55,11.83,11.41,11.69,40700,11.568715
2016-03-08,11.55,11.78,11.48,11.53,61400,11.410375
2016-03-07,11.63,12.00,11.57,11.66,77300,11.539026
2016-03-04,12.00,12.21,11.65,11.74,56300,11.618196
2016-03-03,11.74,12.17,11.74,12.00,69600,11.875499
2016-03-02,11.73,11.89,11.55,11.77,104500,11.647886
2016-03-01,11.52,11.88,11.48,11.79,38700,11.667678
2016-02-29,11.60,12.51,11.38,11.41,97600,11.29162
2016-02-26,11.71,12.02,11.52,11.64,78600,11.519234
2016-02-25,11.91,11.91,11.59,11.76,61000,11.578612
2016-02-24,11.66,11.98,11.46,11.97,69700,11.785373
2016-02-23,11.95,12.07,11.35,11.75,106300,11.568766
2016-02-22,11.63,12.12,11.63,11.94,106900,11.755835
2016-02-19,11.71,11.95,11.61,11.63,110000,11.450617
2016-02-18,11.49,11.98,11.49,11.72,61900,11.539229
2016-02-17,12.06,12.35,11.32,11.42,94700,11.243856
2016-02-16,11.39,12.02,11.31,12.01,72500,11.824756
2016-02-12,11.65,11.90,11.07,11.32,100900,11.145398
2016-02-11,11.09,11.34,10.97,11.27,57600,11.09617
2016-02-10,11.61,11.83,11.25,11.25,69800,11.076478
2016-02-09,11.49,11.90,11.34,11.57,106800,11.391542
2016-02-08,11.23,11.66,11.18,11.60,45300,11.42108
2016-02-05,11.83,11.83,11.25,11.33,86500,11.155244
2016-02-04,11.71,11.98,11.70,11.87,43800,11.686915
2016-02-03,11.98,12.12,10.87,11.68,51500,11.499846
2016-02-02,12.08,12.28,11.71,11.79,56200,11.608149
2016-02-01,12.14,12.31,11.72,12.19,62200,12.001979
2016-01-29,11.79,12.14,11.79,12.11,143200,11.923213
2016-01-28,11.85,11.98,11.71,11.76,43000,11.578612
2016-01-27,11.75,11.82,11.45,11.69,65800,11.509691
2016-01-26,11.57,11.95,11.57,11.76,66600,11.578612
2016-01-25,11.66,11.77,11.18,11.45,53300,11.273393
2016-01-22,11.66,11.76,11.31,11.74,47700,11.55892
2016-01-21,11.62,11.67,11.34,11.48,79500,11.30293
2016-01-20,11.15,11.61,11.00,11.55,87600,11.371851
2016-01-19,11.49,11.49,11.01,11.25,98800,11.076478
2016-01-15,11.15,11.38,11.00,11.37,140800,11.194627
2016-01-14,11.18,11.58,11.14,11.42,83700,11.243856
2016-01-13,11.67,11.69,10.99,11.08,88600,10.9091
2016-01-12,11.60,11.66,11.38,11.64,123500,11.460463
2016-01-11,11.26,11.53,11.22,11.52,81300,11.342314
2016-01-08,11.34,11.39,10.96,11.19,146300,11.017403
2016-01-07,11.35,11.41,11.25,11.30,110700,11.125707
2016-01-06,11.38,11.54,11.34,11.51,102600,11.332468
2016-01-05,11.48,11.65,11.44,11.51,108800,11.332468
2016-01-04,11.93,11.93,11.24,11.43,147400,11.253702
2015-12-31,12.69,12.69,12.04,12.07,65600,11.88383
2015-12-30,12.78,12.84,12.66,12.68,74400,12.484422
2015-12-29,12.84,12.86,12.32,12.76,78800,12.563188
2015-12-28,12.85,12.93,12.56,12.80,114100,12.602571
2015-12-24,12.73,13.06,12.56,12.93,28400,12.730565
2015-12-23,13.00,13.21,12.56,12.76,79200,12.563188
2015-12-22,12.81,12.92,12.53,12.90,107600,12.701028
2015-12-21,12.85,12.93,12.61,12.78,85700,12.582879
2015-12-18,12.61,12.75,11.22,12.69,430500,12.494267
2015-12-17,12.91,12.95,11.38,12.65,67800,12.454884
2015-12-16,12.64,12.88,12.30,12.88,98200,12.681337
2015-12-15,12.44,12.68,12.40,12.54,91600,12.346581
2015-12-14,12.64,12.64,12.26,12.35,88700,12.159512
2015-12-11,12.50,12.76,12.40,12.65,107700,12.454884
2015-12-10,12.74,12.84,12.61,12.72,76900,12.523805
