Date,Open,High,Low,Close,Volume,Adj Close
2016-10-21,13.85,14.10,13.75,14.05,928200,14.05
2016-10-20,14.28,14.31,13.83,13.89,874400,13.89
2016-10-19,13.85,14.37,13.81,14.33,1206400,14.33
2016-10-18,13.62,13.80,13.53,13.79,651500,13.79
2016-10-17,13.43,13.57,13.28,13.48,976100,13.48
2016-10-14,13.73,13.74,13.41,13.48,583800,13.48
2016-10-13,13.75,13.78,13.60,13.67,189400,13.67
2016-10-12,13.59,13.97,13.49,13.89,347200,13.89
2016-10-11,13.75,13.75,13.43,13.55,925300,13.55
2016-10-10,13.70,13.81,13.61,13.76,549300,13.76
2016-10-07,13.93,14.04,13.66,13.76,508200,13.76
2016-10-06,14.16,14.21,13.88,13.94,598100,13.94
2016-10-05,13.70,14.20,13.56,14.17,1081600,14.17
2016-10-04,13.89,14.07,13.63,13.68,624400,13.68
2016-10-03,14.16,14.24,13.75,13.90,847600,13.90
2016-09-30,14.32,14.33,14.16,14.25,781900,14.25
2016-09-29,14.79,14.81,14.10,14.24,1312100,14.24
2016-09-28,14.65,14.78,14.53,14.75,608300,14.75
2016-09-27,14.58,14.69,14.52,14.60,351600,14.60
2016-09-26,15.01,15.04,14.64,14.65,867800,14.65
2016-09-23,15.22,15.27,14.98,15.03,369900,15.03
2016-09-22,15.22,15.37,15.22,15.25,530500,15.25
2016-09-21,15.01,15.28,14.82,15.12,439400,15.12
2016-09-20,14.88,15.12,14.83,15.05,352300,15.05
2016-09-19,15.05,15.21,14.79,14.89,359400,14.89
2016-09-16,15.13,15.26,14.87,15.10,571400,15.10
2016-09-15,14.74,15.22,14.71,15.21,511900,15.21
2016-09-14,14.94,15.03,14.70,14.74,406700,14.74
2016-09-13,15.09,15.10,14.70,14.87,508800,14.87
2016-09-12,15.10,15.37,14.83,15.18,488200,15.18
2016-09-09,15.34,15.35,15.04,15.12,882400,15.12
2016-09-08,15.73,15.75,15.41,15.46,610000,15.46
2016-09-07,16.27,16.290001,15.76,15.78,421100,15.78
2016-09-06,16.379999,16.49,16.17,16.209999,312300,16.209999
2016-09-02,16.110001,16.42,16.110001,16.379999,676200,16.379999
2016-09-01,15.90,16.09,15.76,16.00,321100,16.00
2016-08-31,16.030001,16.110001,15.90,15.94,489800,15.94
2016-08-30,15.94,16.16,15.90,16.07,421600,16.07
2016-08-29,16.01,16.190001,15.99,16.01,525200,16.01
2016-08-26,16.08,16.25,15.90,16.040001,426700,16.040001
2016-08-25,16.08,16.27,15.99,16.02,390600,16.02
2016-08-24,16.42,16.42,16.110001,16.17,694800,16.17
2016-08-23,16.73,16.889999,16.35,16.389999,408400,16.389999
2016-08-22,16.790001,16.93,16.700001,16.73,482300,16.67
2016-08-19,16.98,17.030001,16.74,16.92,439400,16.859319
2016-08-18,16.68,17.309999,16.68,17.139999,874900,17.078529
2016-08-17,16.700001,16.90,16.540001,16.76,442300,16.699893
2016-08-16,17.01,17.07,16.67,16.780001,548900,16.719822
2016-08-15,16.780001,17.200001,16.76,17.049999,695200,16.988852
2016-08-12,16.940001,17.190001,16.799999,16.90,823900,16.83939
2016-08-11,17.17,17.379999,16.98,16.99,889400,16.929068
2016-08-10,17.139999,17.26,16.93,17.049999,1132500,16.988852
2016-08-09,16.540001,17.209999,16.52,17.09,1398700,17.028709
2016-08-08,16.719999,16.74,16.280001,16.620001,979500,16.560396
2016-08-05,16.00,16.84,15.96,16.66,2733900,16.600251
2016-08-04,15.08,16.00,15.00,15.88,3278000,15.823049
2016-08-03,14.71,14.79,14.24,14.44,1284300,14.388213
2016-08-02,14.84,14.92,14.43,14.79,695800,14.736958
2016-08-01,14.98,15.01,14.65,14.69,376600,14.637316
2016-07-29,14.74,14.95,14.59,14.93,610300,14.876456
2016-07-28,14.25,14.86,14.16,14.69,1014500,14.637316
2016-07-27,14.14,14.32,14.02,14.28,890100,14.228787
2016-07-26,14.23,14.39,14.12,14.19,381500,14.139109
2016-07-25,14.25,14.33,14.05,14.24,470100,14.18893
2016-07-22,14.20,14.35,14.16,14.25,230600,14.198894
2016-07-21,14.26,14.36,14.06,14.19,506600,14.139109
2016-07-20,14.45,14.45,14.23,14.32,460100,14.268643
2016-07-19,14.45,14.53,14.33,14.40,282000,14.348356
2016-07-18,14.54,14.62,14.35,14.50,309000,14.447998
2016-07-15,14.61,14.66,14.48,14.55,476800,14.497819
2016-07-14,14.76,14.80,14.57,14.60,410000,14.54764
2016-07-13,14.85,14.92,14.65,14.75,469400,14.697101
2016-07-12,14.36,14.90,14.31,14.88,1388400,14.826635
2016-07-11,14.32,14.45,14.25,14.28,392200,14.228787
2016-07-08,14.49,14.52,14.18,14.34,403300,14.288572
2016-07-07,14.34,14.57,14.34,14.43,784800,14.378249
